directory,table_id,total_rows,year_range,categories,source_id
agriculture,0003050523,30,—,cat01_label(3) / cat02_label(10),estat-agri
agriculture,0003093186,30,—,cat01_label(3) / cat02_label(10),estat-agri
agriculture,0003104636,30,—,cat01_label(3) / cat02_label(10),estat-agri
agriculture,0003117386,28272,—,cat01_label(2),estat-agri
agriculture,0003117418,26942,—,cat01_label(2),estat-agri
agriculture,0003117424,29868,—,cat01_label(2),estat-agri
agriculture,0003117490,26258,—,cat01_label(2),estat-agri
agriculture,0003117514,28234,—,cat01_label(2),estat-agri
agriculture,0003130947,30,—,cat01_label(3) / cat02_label(10),estat-agri
agriculture,0003175942,30,—,cat01_label(3) / cat02_label(10),estat-agri
agriculture,0003194860,5544,2015-2015,cat01_label(3) / cat02_label(6),estat-agri
agriculture,0003195083,5544,2015-2015,cat01_label(3) / cat03_label(6),estat-agri
agriculture,0003195093,5280,2015-2015,cat01_label(2) / cat03_label(8),estat-agri
agriculture,0003195151,6831,2015-2015,cat01_label(2) / cat03_label(9),estat-agri
agriculture,0003195162,12144,2015-2015,cat03_label(6) / cat04_label(4),estat-agri
census,0003085523,13651,2012-2012,,estat-census
census,0003085525,100000,2012-2012,,estat-census
census,0003085552,4604,2012-2012,,estat-census
census,0003085698,5613,2012-2012,cat02_label(21) / area_label(48),estat-census
census,0003085699,100000,2012-2012,,estat-census
census,0003111245,56609,2014-2014,cat01_label(17),estat-census
census,0003216724,13104,2016-2016,cat02_label(17),estat-census
census,0003389413,224,2016-2016,cat01_label(9) / cat02_label(25),estat-census
census,0003389782,225,2012-2012,cat01_label(9) / cat02_label(25),estat-census
census,0003389783,432,2012-2012,cat01_label(9) / area_label(48),estat-census
census,0003413553,8568,2012-2012,cat02_label(15),estat-census
construction,0003125915,50000,2007-2025,cat02_label(5),estat-construction
construction,0003126456,33620,2005-2024,cat01_label(2) / area_label(41) / time_label(20),estat-construction
construction,0003126559,10580,2005-2024,cat01_label(3) / cat02_label(23) / time_label(20),estat-construction
construction,0003126568,10800,2007-2025,tab_label(2) / cat01_label(4),estat-construction
construction,0003422893,558,1994-2024,tab_label(4) / cat01_label(3) / cat02_label(6) / time_label(31),estat-construction
construction,0003458612,50000,2021-2023,cat04_label(6) / time_label(3),estat-construction
construction,0003458613,50000,2021-2023,cat04_label(6) / time_label(3),estat-construction
construction,0003458614,50000,2021-2023,cat04_label(6) / time_label(3),estat-construction
construction,0003458615,23760,2021-2023,cat03_label(10) / cat04_label(36) / time_label(3),estat-construction
construction,0003458616,23760,2021-2023,cat03_label(10) / cat04_label(36) / time_label(3),estat-construction
corporate,0003014193,140,1999-2008,cat01_label(14) / time_label(10),estat-corp-finance
corporate,0003014199,825,—,cat01_label(33) / cat02_label(25),estat-corp-finance
corporate,0003015306,30000,2008-2018,cat02_label(3) / cat03_label(42) / time_label(11),estat-corp-finance
corporate,0003015598,30000,2003-2007,cat02_label(5) / cat03_label(42) / time_label(5),estat-corp-finance
corporate,0003033209,364,1900-2100,cat01_label(6) / cat02_label(4) / time_label(26),estat-corp-finance
corporate,0003033210,364,1900-2100,cat01_label(14) / time_label(26),estat-corp-finance
corporate,0003033211,572,1900-2100,cat02_label(22) / time_label(26),estat-corp-finance
corporate,0003033212,468,1900-2100,cat01_label(2) / cat02_label(9) / time_label(26),estat-corp-finance
corporate,0003033213,182,1900-2100,cat02_label(7) / time_label(26),estat-corp-finance
corporate,0003059049,2460,—,cat01_label(7),estat-corp-finance
corporate,0003094240,132,2007-2008,cat01_label(2) / cat02_label(11) / cat03_label(3) / time_label(2),estat-corp-finance
corporate,0003094258,66,2007-2008,cat02_label(11) / cat03_label(3) / time_label(2),estat-corp-finance
corporate,0003094259,99,2008-2008,cat01_label(3) / cat02_label(11) / cat03_label(3),estat-corp-finance
corporate,0003239543,9162,—,,estat-corp-finance
corporate,0003240110,2475,—,cat01_label(7),estat-corp-finance
corporate,0003287200,7110,2014-2016,cat01_label(12) / cat02_label(15) / cat03_label(2) / time_label(3),estat-corp-finance
corporate,0003317770,11664,2014-2016,cat01_label(4) / cat03_label(9) / cat04_label(12) / time_label(3),estat-corp-finance
corporate,0003317771,11232,2014-2016,cat01_label(4) / cat03_label(12) / cat04_label(12) / time_label(3),estat-corp-finance
corporate,0003317788,9720,2014-2016,cat01_label(2) / cat02_label(2) / cat03_label(9) / cat04_label(12) / time_label(3),estat-corp-finance
corporate,0003317789,7560,2014-2016,cat01_label(2) / cat02_label(2) / cat03_label(7) / cat04_label(12) / time_label(3),estat-corp-finance
corporate,0003327332,2475,—,cat01_label(7),estat-corp-finance
corporate,0003340749,2490,—,cat01_label(7),estat-corp-finance
corporate,0003421677,16758,2019-2025,tab_label(2) / cat01_label(7) / cat02_label(18) / time_label(7),estat-corp-finance
corporate,0003448679,1035,2019-2019,cat04_label(15),estat-corp-finance
corporate,0003448680,915,2019-2019,cat04_label(15),estat-corp-finance
corporate,0003448681,915,2019-2019,cat04_label(15),estat-corp-finance
corporate,0003448682,915,2019-2019,cat04_label(15),estat-corp-finance
corporate,0003448683,915,2019-2019,cat04_label(15),estat-corp-finance
corporate,0004048482,5880,2019-2025,tab_label(4) / cat01_label(7) / cat02_label(6) / time_label(7),estat-corp-finance
corporate,0004048483,7056,2019-2025,tab_label(4) / cat01_label(7) / cat02_label(6) / time_label(7),estat-corp-finance
education,0003017946,171,—,cat01_label(3) / cat02_label(3) / area_label(19),estat-school
education,0003017953,114,—,cat01_label(2) / cat02_label(3) / area_label(19),estat-school
education,0003017954,114,—,cat01_label(2) / cat02_label(3) / area_label(19),estat-school
education,0003061540,526,2006-2006,cat01_label(48) / cat02_label(12),estat-school
education,0003175400,4,2016-2016,cat01_label(4),estat-school
employment,0000140001,3234,1987-1987,cat02_label(11) / cat03_label(14) / cat04_label(7),estat-employment
employment,0000140002,1848,1987-1987,cat01_label(2) / cat02_label(11) / cat03_label(14) / cat04_label(4),estat-employment
employment,0000140003,4312,1987-1987,cat02_label(11) / cat03_label(14) / cat04_label(7),estat-employment
employment,0000140004,44,1987-1987,cat01_label(4) / cat02_label(11),estat-employment
employment,0000140005,1944,1987-1987,cat01_label(2) / cat02_label(18) / cat03_label(3) / cat04_label(12),estat-employment
employment,0003004104,13020,2007-2007,cat01_label(2) / cat02_label(17) / cat03_label(7) / cat04_label(3),estat-employment
employment,0003004106,10500,2007-2007,cat01_label(2) / cat02_label(14) / cat03_label(3) / cat04_label(7),estat-employment
employment,0003004537,100000,2007-2007,cat02_label(2) / cat03_label(3) / cat04_label(2),estat-employment
employment,0003005472,100000,2007-2007,cat02_label(13) / cat04_label(26) / cat05_label(3),estat-employment
employment,0003005473,100000,2007-2007,cat02_label(5) / cat03_label(5) / cat04_label(16) / cat05_label(3),estat-employment
employment,0003109558,24624,2007-2024,cat01_label(28) / cat02_label(2) / time_label(18),estat-employment
employment,0003109570,7792,2005-2020,tab_label(2) / cat02_label(2) / time_label(4),estat-employment
energy,0003046635,34,—,cat01_label(2) / cat02_label(16),estat-energy
energy,0003047173,34,—,cat01_label(2) / cat02_label(16),estat-energy
energy,0003047567,34,—,cat01_label(2) / cat02_label(16),estat-energy
energy,0003048081,34,—,cat01_label(2) / cat02_label(16),estat-energy
energy,0003048832,34,—,cat01_label(2) / cat02_label(16),estat-energy
energy,0003171988,3519,2007-2024,cat01_label(5),estat-energy
energy,0003171992,3519,2007-2024,cat01_label(5),estat-energy
ict,0003174641,5376,2010-2017,cat01_label(6) / cat02_label(8) / cat03_label(3) / time_label(8),estat-ict
ict,0003174842,16128,2010-2017,cat01_label(2) / cat02_label(2) / area_label(48) / time_label(8),estat-ict
ict,0003175261,448,2010-2017,cat01_label(8) / cat02_label(7) / time_label(8),estat-ict
ict,0003176288,1008,2010-2015,cat01_label(8) / cat02_label(23) / time_label(6),estat-ict
ict,0003176298,528,2010-2015,cat01_label(8) / cat02_label(11) / time_label(6),estat-ict
macro,0000010103,50000,1985-2024,cat01_label(2) / area_label(48) / time_label(14),estat-macro
macro,0000010112,30000,1975-2024,area_label(35) / time_label(29),estat-macro
macro,0000010212,50000,1975-2024,area_label(35) / time_label(29),estat-macro
macro,0000150001,736,1991-1991,cat02_label(8),estat-macro
macro,0000150002,690,1991-1991,cat01_label(46) / cat02_label(3) / cat03_label(5),estat-macro
macro,0000150003,87,1991-1991,cat01_label(29) / cat02_label(3),estat-macro
macro,0000150004,2511,1991-1991,cat01_label(38) / cat02_label(3) / cat03_label(9),estat-macro
macro,0000150005,150,1991-1991,cat01_label(25) / cat02_label(6),estat-macro
macro,0000150271,2538,2006-2006,cat01_label(38) / cat02_label(3) / cat03_label(9),estat-macro
macro,0002060004,50000,1968-2026,cat04_label(2),estat-macro
