industry_or_category,indicator,value,year,source_id
事業所数　実数 / 1999年,—,345457.0,1999,estat-corporate
事業所数　実数 / 2000年,—,341421.0,2000,estat-corporate
事業所数　実数 / 2001年,—,316267.0,2001,estat-corporate
事業所数　実数 / 2002年,—,290848.0,2002,estat-corporate
事業所数　実数 / 2003年,—,293910.0,2003,estat-corporate
事業所数　実数 / 2004年,—,271087.0,2004,estat-corporate
事業所数　実数 / 2005年,—,276715.0,2005,estat-corporate
事業所数　実数 / 2006年,—,258543.0,2006,estat-corporate
事業所数　実数 / 2007年,—,258232.0,2007,estat-corporate
事業所数　実数 / 2008年,—,262893.0,2008,estat-corporate
事業所数　前年比 （％） / 1999年,—,-7.6,1999,estat-corporate
事業所数　前年比 （％） / 2000年,—,-1.2,2000,estat-corporate
事業所数　前年比 （％） / 2001年,—,-7.4,2001,estat-corporate
事業所数　前年比 （％） / 2002年,—,-7.3,2002,estat-corporate
事業所数　前年比 （％） / 2003年,—,1.1,2003,estat-corporate
事業所数　前年比 （％） / 2004年,—,-7.8,2004,estat-corporate
事業所数　前年比 （％） / 2005年,—,2.1,2005,estat-corporate
事業所数　前年比 （％） / 2006年,—,-6.6,2006,estat-corporate
事業所数　前年比 （％） / 2007年,—,-5.9,2007,estat-corporate
事業所数　前年比 （％） / 2008年,—,1.8,2008,estat-corporate
従業者数　実数 （人） / 1999年,—,9377750.0,1999,estat-corporate
従業者数　実数 （人） / 2000年,—,9183833.0,2000,estat-corporate
従業者数　実数 （人） / 2001年,—,8866220.0,2001,estat-corporate
従業者数　実数 （人） / 2002年,—,8323589.0,2002,estat-corporate
従業者数　実数 （人） / 2003年,—,8226302.0,2003,estat-corporate
従業者数　実数 （人） / 2004年,—,8115743.0,2004,estat-corporate
従業者数　実数 （人） / 2005年,—,8156992.0,2005,estat-corporate
従業者数　実数 （人） / 2006年,—,8225442.0,2006,estat-corporate
従業者数　実数 （人） / 2007年,—,8518545.0,2007,estat-corporate
従業者数　実数 （人） / 2008年,—,8329065.0,2008,estat-corporate
従業者数　前年比 （％） / 1999年,—,-4.7,1999,estat-corporate
従業者数　前年比 （％） / 2000年,—,-2.1,2000,estat-corporate
従業者数　前年比 （％） / 2001年,—,-3.5,2001,estat-corporate
従業者数　前年比 （％） / 2002年,—,-4.9,2002,estat-corporate
従業者数　前年比 （％） / 2003年,—,-1.2,2003,estat-corporate
従業者数　前年比 （％） / 2004年,—,-1.3,2004,estat-corporate
従業者数　前年比 （％） / 2005年,—,0.5,2005,estat-corporate
従業者数　前年比 （％） / 2006年,—,0.8,2006,estat-corporate
従業者数　前年比 （％） / 2007年,—,0.1,2007,estat-corporate
従業者数　前年比 （％） / 2008年,—,-2.2,2008,estat-corporate
現金給与総額　金額 （百万円） / 1999年,—,42592831.0,1999,estat-corporate
現金給与総額　金額 （百万円） / 2000年,—,41728759.0,2000,estat-corporate
現金給与総額　金額 （百万円） / 2001年,—,40264898.0,2001,estat-corporate
現金給与総額　金額 （百万円） / 2002年,—,37108782.0,2002,estat-corporate
現金給与総額　金額 （百万円） / 2003年,—,35636118.0,2003,estat-corporate
現金給与総額　金額 （百万円） / 2004年,—,35487217.0,2004,estat-corporate
現金給与総額　金額 （百万円） / 2005年,—,35722578.0,2005,estat-corporate
現金給与総額　金額 （百万円） / 2006年,—,36236436.0,2006,estat-corporate
現金給与総額　金額 （百万円） / 2007年,—,37685319.0,2007,estat-corporate
現金給与総額　金額 （百万円） / 2008年,—,37126982.0,2008,estat-corporate
現金給与総額　前年比 （％） / 1999年,—,-5.0,1999,estat-corporate
現金給与総額　前年比 （％） / 2000年,—,-2.0,2000,estat-corporate
現金給与総額　前年比 （％） / 2001年,—,-3.5,2001,estat-corporate
現金給与総額　前年比 （％） / 2002年,—,-5.6,2002,estat-corporate
現金給与総額　前年比 （％） / 2003年,—,-4.0,2003,estat-corporate
現金給与総額　前年比 （％） / 2004年,—,-0.4,2004,estat-corporate
現金給与総額　前年比 （％） / 2005年,—,0.7,2005,estat-corporate
現金給与総額　前年比 （％） / 2006年,—,1.4,2006,estat-corporate
現金給与総額　前年比 （％） / 2007年,—,1.2,2007,estat-corporate
現金給与総額　前年比 （％） / 2008年,—,-1.5,2008,estat-corporate
原材料使用額等　金額 （百万円） / 1999年,—,161996953.0,1999,estat-corporate
原材料使用額等　金額 （百万円） / 2000年,—,169733006.0,2000,estat-corporate
原材料使用額等　金額 （百万円） / 2001年,—,162885540.0,2001,estat-corporate
原材料使用額等　金額 （百万円） / 2002年,—,152082143.0,2002,estat-corporate
原材料使用額等　金額 （百万円） / 2003年,—,156366867.0,2003,estat-corporate
原材料使用額等　金額 （百万円） / 2004年,—,164592364.0,2004,estat-corporate
原材料使用額等　金額 （百万円） / 2005年,—,174760879.0,2005,estat-corporate
原材料使用額等　金額 （百万円） / 2006年,—,191033327.0,2006,estat-corporate
原材料使用額等　金額 （百万円） / 2007年,—,211083949.0,2007,estat-corporate
原材料使用額等　金額 （百万円） / 2008年,—,216223265.0,2008,estat-corporate
原材料使用額等　前年比 （％） / 1999年,—,-5.8,1999,estat-corporate
原材料使用額等　前年比 （％） / 2000年,—,4.8,2000,estat-corporate
原材料使用額等　前年比 （％） / 2001年,—,-4.0,2001,estat-corporate
原材料使用額等　前年比 （％） / 2002年,—,-5.7,2002,estat-corporate
原材料使用額等　前年比 （％） / 2003年,—,2.8,2003,estat-corporate
原材料使用額等　前年比 （％） / 2004年,—,5.3,2004,estat-corporate
原材料使用額等　前年比 （％） / 2005年,—,6.2,2005,estat-corporate
原材料使用額等　前年比 （％） / 2006年,—,9.3,2006,estat-corporate
原材料使用額等　前年比 （％） / 2008年,—,2.4,2008,estat-corporate
製造品出荷額等　金額 （百万円） / 1999年,—,291449554.0,1999,estat-corporate
製造品出荷額等　金額 （百万円） / 2000年,—,300477604.0,2000,estat-corporate
製造品出荷額等　金額 （百万円） / 2001年,—,286667406.0,2001,estat-corporate
製造品出荷額等　金額 （百万円） / 2002年,—,269361805.0,2002,estat-corporate
製造品出荷額等　金額 （百万円） / 2003年,—,273409438.0,2003,estat-corporate
製造品出荷額等　金額 （百万円） / 2004年,—,283529598.0,2004,estat-corporate
製造品出荷額等　金額 （百万円） / 2005年,—,295345543.0,2005,estat-corporate
製造品出荷額等　金額 （百万円） / 2006年,—,314834621.0,2006,estat-corporate
製造品出荷額等　金額 （百万円） / 2007年,—,336756635.0,2007,estat-corporate
製造品出荷額等　金額 （百万円） / 2008年,—,334016041.0,2008,estat-corporate
製造品出荷額等　前年比 （％） / 1999年,—,-4.7,1999,estat-corporate
製造品出荷額等　前年比 （％） / 2000年,—,3.1,2000,estat-corporate
製造品出荷額等　前年比 （％） / 2001年,—,-4.6,2001,estat-corporate
製造品出荷額等　前年比 （％） / 2002年,—,-4.4,2002,estat-corporate
製造品出荷額等　前年比 （％） / 2003年,—,1.5,2003,estat-corporate
製造品出荷額等　前年比 （％） / 2004年,—,3.7,2004,estat-corporate
製造品出荷額等　前年比 （％） / 2005年,—,4.2,2005,estat-corporate
製造品出荷額等　前年比 （％） / 2006年,—,6.6,2006,estat-corporate
製造品出荷額等　前年比 （％） / 2008年,—,-0.8,2008,estat-corporate
付加価値額　金額 （百万円） / 1999年,—,107859559.0,1999,estat-corporate
付加価値額　金額 （百万円） / 2000年,—,110242635.0,2000,estat-corporate
付加価値額　金額 （百万円） / 2001年,—,103305132.0,2001,estat-corporate
付加価値額　金額 （百万円） / 2002年,—,97458726.0,2002,estat-corporate
付加価値額　金額 （百万円） / 2003年,—,98551522.0,2003,estat-corporate
付加価値額　金額 （百万円） / 2004年,—,101246663.0,2004,estat-corporate
付加価値額　金額 （百万円） / 2005年,—,103966838.0,2005,estat-corporate
付加価値額　金額 （百万円） / 2006年,—,107598153.0,2006,estat-corporate
付加価値額　金額 （百万円） / 2007年,—,108656444.0,2007,estat-corporate
付加価値額　金額 （百万円） / 2008年,—,100852400.0,2008,estat-corporate
付加価値額　前年比 （％） / 1999年,—,-4.7,1999,estat-corporate
付加価値額　前年比 （％） / 2000年,—,2.2,2000,estat-corporate
付加価値額　前年比 （％） / 2001年,—,-6.3,2001,estat-corporate
付加価値額　前年比 （％） / 2002年,—,-2.9,2002,estat-corporate
付加価値額　前年比 （％） / 2003年,—,1.1,2003,estat-corporate
付加価値額　前年比 （％） / 2004年,—,2.7,2004,estat-corporate
付加価値額　前年比 （％） / 2005年,—,2.7,2005,estat-corporate
付加価値額　前年比 （％） / 2006年,—,3.5,2006,estat-corporate
付加価値額　前年比 （％） / 2008年,—,-7.2,2008,estat-corporate
有形固定資産投資総額　金額 （百万円） / 1999年,—,11089230.0,1999,estat-corporate
有形固定資産投資総額　金額 （百万円） / 2000年,—,11325748.0,2000,estat-corporate
有形固定資産投資総額　金額 （百万円） / 2001年,—,11845227.0,2001,estat-corporate
有形固定資産投資総額　金額 （百万円） / 2002年,—,9508008.0,2002,estat-corporate
有形固定資産投資総額　金額 （百万円） / 2003年,—,8918418.0,2003,estat-corporate
有形固定資産投資総額　金額 （百万円） / 2004年,—,10340831.0,2004,estat-corporate
有形固定資産投資総額　金額 （百万円） / 2005年,—,11728278.0,2005,estat-corporate
有形固定資産投資総額　金額 （百万円） / 2006年,—,13096100.0,2006,estat-corporate
有形固定資産投資総額　金額 （百万円） / 2007年,—,14020169.0,2007,estat-corporate
有形固定資産投資総額　金額 （百万円） / 2008年,—,13704950.0,2008,estat-corporate
有形固定資産投資総額　前年比 （％） / 1999年,—,-16.9,1999,estat-corporate
有形固定資産投資総額　前年比 （％） / 2000年,—,2.1,2000,estat-corporate
有形固定資産投資総額　前年比 （％） / 2001年,—,4.6,2001,estat-corporate
有形固定資産投資総額　前年比 （％） / 2002年,—,-18.8,2002,estat-corporate
有形固定資産投資総額　前年比 （％） / 2003年,—,-6.2,2003,estat-corporate
有形固定資産投資総額　前年比 （％） / 2004年,—,15.9,2004,estat-corporate
有形固定資産投資総額　前年比 （％） / 2005年,—,13.4,2005,estat-corporate
有形固定資産投資総額　前年比 （％） / 2006年,—,11.7,2006,estat-corporate
有形固定資産投資総額　前年比 （％） / 2007年,—,5.4,2007,estat-corporate
有形固定資産投資総額　前年比 （％） / 2008年,—,-2.2,2008,estat-corporate
事業所数　実数 / 製造業計,—,262893.0,—,estat-corporate
事業所数　実数 / 食料品製造業,—,33121.0,—,estat-corporate
事業所数　実数 / 飲料・たばこ・飼料製造業,—,4863.0,—,estat-corporate
事業所数　実数 / 繊維工業,—,19843.0,—,estat-corporate
事業所数　実数 / 木材・木製品製造業（家具を除く）,—,7999.0,—,estat-corporate
事業所数　実数 / 家具・装備品製造業,—,8587.0,—,estat-corporate
事業所数　実数 / パルプ・紙・紙加工品製造業,—,7378.0,—,estat-corporate
事業所数　実数 / 印刷・同関連業,—,16463.0,—,estat-corporate
事業所数　実数 / 化学工業,—,4996.0,—,estat-corporate
事業所数　実数 / 石油製品・石炭製品製造業,—,983.0,—,estat-corporate
事業所数　実数 / プラスチック製品製造業（別掲を除く）,—,16086.0,—,estat-corporate
事業所数　実数 / ゴム製品製造業,—,3246.0,—,estat-corporate
事業所数　実数 / なめし革・同製品・毛皮製造業,—,2207.0,—,estat-corporate
事業所数　実数 / 窯業・土石製品製造業,—,12857.0,—,estat-corporate
事業所数　実数 / 鉄鋼業,—,4924.0,—,estat-corporate
事業所数　実数 / 非鉄金属製造業,—,3333.0,—,estat-corporate
事業所数　実数 / 金属製品製造業,—,34637.0,—,estat-corporate
事業所数　実数 / はん用機械器具製造業,—,9264.0,—,estat-corporate
事業所数　実数 / 生産用機械器具製造業,—,23980.0,—,estat-corporate
事業所数　実数 / 業務用機械器具製造業,—,5423.0,—,estat-corporate
事業所数　実数 / 電子部品・デバイス・電子回路製造業,—,5819.0,—,estat-corporate
事業所数　実数 / 電気機械器具製造業,—,11437.0,—,estat-corporate
事業所数　実数 / 情報通信機械器具製造業,—,2493.0,—,estat-corporate
事業所数　実数 / 輸送用機械器具製造業,—,12614.0,—,estat-corporate
事業所数　実数 / その他の製造業,—,10340.0,—,estat-corporate
事業所数　前年比 （％） / 製造業計,—,1.8,—,estat-corporate
事業所数　前年比 （％） / 食料品製造業,—,1.9,—,estat-corporate
事業所数　前年比 （％） / 飲料・たばこ・飼料製造業,—,7.1,—,estat-corporate
事業所数　前年比 （％） / 繊維工業,—,1.2,—,estat-corporate
事業所数　前年比 （％） / 木材・木製品製造業（家具を除く）,—,-2.0,—,estat-corporate
事業所数　前年比 （％） / 家具・装備品製造業,—,4.5,—,estat-corporate
事業所数　前年比 （％） / パルプ・紙・紙加工品製造業,—,-0.3,—,estat-corporate
事業所数　前年比 （％） / 印刷・同関連業,—,0.9,—,estat-corporate
事業所数　前年比 （％） / 化学工業,—,0.4,—,estat-corporate
事業所数　前年比 （％） / 石油製品・石炭製品製造業,—,-0.4,—,estat-corporate
事業所数　前年比 （％） / プラスチック製品製造業（別掲を除く）,—,0.4,—,estat-corporate
事業所数　前年比 （％） / ゴム製品製造業,—,0.8,—,estat-corporate
事業所数　前年比 （％） / なめし革・同製品・毛皮製造業,—,4.8,—,estat-corporate
事業所数　前年比 （％） / 窯業・土石製品製造業,—,-0.2,—,estat-corporate
事業所数　前年比 （％） / 鉄鋼業,—,4.8,—,estat-corporate
事業所数　前年比 （％） / 非鉄金属製造業,—,5.1,—,estat-corporate
事業所数　前年比 （％） / 金属製品製造業,—,3.7,—,estat-corporate
事業所数　前年比 （％） / はん用機械器具製造業,—,-4.9,—,estat-corporate
事業所数　前年比 （％） / 生産用機械器具製造業,—,7.0,—,estat-corporate
事業所数　前年比 （％） / 業務用機械器具製造業,—,-1.9,—,estat-corporate
事業所数　前年比 （％） / 電子部品・デバイス・電子回路製造業,—,-0.1,—,estat-corporate
事業所数　前年比 （％） / 電気機械器具製造業,—,-1.1,—,estat-corporate
事業所数　前年比 （％） / 情報通信機械器具製造業,—,-5.1,—,estat-corporate
事業所数　前年比 （％） / 輸送用機械器具製造業,—,1.3,—,estat-corporate
事業所数　前年比 （％） / その他の製造業,—,5.0,—,estat-corporate
事業所数　構成比 （％） / 製造業計,—,100.0,—,estat-corporate
事業所数　構成比 （％） / 食料品製造業,—,12.6,—,estat-corporate
事業所数　構成比 （％） / 飲料・たばこ・飼料製造業,—,1.8,—,estat-corporate
事業所数　構成比 （％） / 繊維工業,—,7.5,—,estat-corporate
事業所数　構成比 （％） / 木材・木製品製造業（家具を除く）,—,3.0,—,estat-corporate
事業所数　構成比 （％） / 家具・装備品製造業,—,3.3,—,estat-corporate
事業所数　構成比 （％） / パルプ・紙・紙加工品製造業,—,2.8,—,estat-corporate
事業所数　構成比 （％） / 印刷・同関連業,—,6.3,—,estat-corporate
事業所数　構成比 （％） / 化学工業,—,1.9,—,estat-corporate
事業所数　構成比 （％） / 石油製品・石炭製品製造業,—,0.4,—,estat-corporate
事業所数　構成比 （％） / プラスチック製品製造業（別掲を除く）,—,6.1,—,estat-corporate
事業所数　構成比 （％） / ゴム製品製造業,—,1.2,—,estat-corporate
事業所数　構成比 （％） / なめし革・同製品・毛皮製造業,—,0.8,—,estat-corporate
事業所数　構成比 （％） / 窯業・土石製品製造業,—,4.9,—,estat-corporate
事業所数　構成比 （％） / 鉄鋼業,—,1.9,—,estat-corporate
事業所数　構成比 （％） / 非鉄金属製造業,—,1.3,—,estat-corporate
事業所数　構成比 （％） / 金属製品製造業,—,13.2,—,estat-corporate
事業所数　構成比 （％） / はん用機械器具製造業,—,3.5,—,estat-corporate
事業所数　構成比 （％） / 生産用機械器具製造業,—,9.1,—,estat-corporate
事業所数　構成比 （％） / 業務用機械器具製造業,—,2.1,—,estat-corporate
事業所数　構成比 （％） / 電子部品・デバイス・電子回路製造業,—,2.2,—,estat-corporate
事業所数　構成比 （％） / 電気機械器具製造業,—,4.4,—,estat-corporate
事業所数　構成比 （％） / 情報通信機械器具製造業,—,0.9,—,estat-corporate
事業所数　構成比 （％） / 輸送用機械器具製造業,—,4.8,—,estat-corporate
事業所数　構成比 （％） / その他の製造業,—,3.9,—,estat-corporate
従業者数　実数 （人） / 製造業計,—,8329065.0,—,estat-corporate
従業者数　実数 （人） / 食料品製造業,—,1131651.0,—,estat-corporate
従業者数　実数 （人） / 飲料・たばこ・飼料製造業,—,106606.0,—,estat-corporate
従業者数　実数 （人） / 繊維工業,—,347097.0,—,estat-corporate
従業者数　実数 （人） / 木材・木製品製造業（家具を除く）,—,112510.0,—,estat-corporate
従業者数　実数 （人） / 家具・装備品製造業,—,118517.0,—,estat-corporate
従業者数　実数 （人） / パルプ・紙・紙加工品製造業,—,203810.0,—,estat-corporate
従業者数　実数 （人） / 印刷・同関連業,—,325152.0,—,estat-corporate
従業者数　実数 （人） / 化学工業,—,348813.0,—,estat-corporate
従業者数　実数 （人） / 石油製品・石炭製品製造業,—,24647.0,—,estat-corporate
従業者数　実数 （人） / プラスチック製品製造業（別掲を除く）,—,451135.0,—,estat-corporate
従業者数　実数 （人） / ゴム製品製造業,—,124607.0,—,estat-corporate
従業者数　実数 （人） / なめし革・同製品・毛皮製造業,—,29722.0,—,estat-corporate
従業者数　実数 （人） / 窯業・土石製品製造業,—,279028.0,—,estat-corporate
従業者数　実数 （人） / 鉄鋼業,—,233971.0,—,estat-corporate
従業者数　実数 （人） / 非鉄金属製造業,—,153483.0,—,estat-corporate
従業者数　実数 （人） / 金属製品製造業,—,652543.0,—,estat-corporate
従業者数　実数 （人） / はん用機械器具製造業,—,359037.0,—,estat-corporate
従業者数　実数 （人） / 生産用機械器具製造業,—,611579.0,—,estat-corporate
従業者数　実数 （人） / 業務用機械器具製造業,—,241708.0,—,estat-corporate
従業者数　実数 （人） / 電子部品・デバイス・電子回路製造業,—,518433.0,—,estat-corporate
従業者数　実数 （人） / 電気機械器具製造業,—,509845.0,—,estat-corporate
従業者数　実数 （人） / 情報通信機械器具製造業,—,238615.0,—,estat-corporate
従業者数　実数 （人） / 輸送用機械器具製造業,—,1026732.0,—,estat-corporate
従業者数　実数 （人） / その他の製造業,—,179824.0,—,estat-corporate
従業者数　前年比 （％） / 製造業計,—,-2.2,—,estat-corporate
従業者数　前年比 （％） / 食料品製造業,—,-0.3,—,estat-corporate
従業者数　前年比 （％） / 飲料・たばこ・飼料製造業,—,1.4,—,estat-corporate
従業者数　前年比 （％） / 繊維工業,—,-3.9,—,estat-corporate
従業者数　前年比 （％） / 木材・木製品製造業（家具を除く）,—,-5.9,—,estat-corporate
従業者数　前年比 （％） / 家具・装備品製造業,—,-4.9,—,estat-corporate
従業者数　前年比 （％） / パルプ・紙・紙加工品製造業,—,-2.5,—,estat-corporate
従業者数　前年比 （％） / 印刷・同関連業,—,-2.9,—,estat-corporate
従業者数　前年比 （％） / 化学工業,—,0.1,—,estat-corporate
従業者数　前年比 （％） / 石油製品・石炭製品製造業,—,-0.8,—,estat-corporate
従業者数　前年比 （％） / プラスチック製品製造業（別掲を除く）,—,-4.2,—,estat-corporate
従業者数　前年比 （％） / ゴム製品製造業,—,-5.9,—,estat-corporate
従業者数　前年比 （％） / なめし革・同製品・毛皮製造業,—,-0.6,—,estat-corporate
従業者数　前年比 （％） / 窯業・土石製品製造業,—,-4.0,—,estat-corporate
従業者数　前年比 （％） / 鉄鋼業,—,2.1,—,estat-corporate
従業者数　前年比 （％） / 非鉄金属製造業,—,-1.0,—,estat-corporate
従業者数　前年比 （％） / 金属製品製造業,—,-2.0,—,estat-corporate
従業者数　前年比 （％） / はん用機械器具製造業,—,-1.7,—,estat-corporate
従業者数　前年比 （％） / 生産用機械器具製造業,—,2.4,—,estat-corporate
従業者数　前年比 （％） / 業務用機械器具製造業,—,0.2,—,estat-corporate
従業者数　前年比 （％） / 電子部品・デバイス・電子回路製造業,—,-5.1,—,estat-corporate
従業者数　前年比 （％） / 電気機械器具製造業,—,-3.8,—,estat-corporate
従業者数　前年比 （％） / 情報通信機械器具製造業,—,-10.8,—,estat-corporate
従業者数　前年比 （％） / 輸送用機械器具製造業,—,-2.4,—,estat-corporate
従業者数　前年比 （％） / その他の製造業,—,-1.3,—,estat-corporate
従業者数　構成比 （％） / 製造業計,—,100.0,—,estat-corporate
従業者数　構成比 （％） / 食料品製造業,—,13.6,—,estat-corporate
従業者数　構成比 （％） / 飲料・たばこ・飼料製造業,—,1.3,—,estat-corporate
従業者数　構成比 （％） / 繊維工業,—,4.2,—,estat-corporate
従業者数　構成比 （％） / 木材・木製品製造業（家具を除く）,—,1.4,—,estat-corporate
従業者数　構成比 （％） / 家具・装備品製造業,—,1.4,—,estat-corporate
従業者数　構成比 （％） / パルプ・紙・紙加工品製造業,—,2.4,—,estat-corporate
従業者数　構成比 （％） / 印刷・同関連業,—,3.9,—,estat-corporate
