category,indicator,value,year,source_id
　　 全国 / 総数 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,1332.6,2008,estat-medical
　　 全国 / １　感染症及び寄生虫症 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,23.9,2008,estat-medical
　　 全国 / １　感染症及び寄生虫症(腸管感染症（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,4.3,2008,estat-medical
　　 全国 / １　感染症及び寄生虫症(結核（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,4.6,2008,estat-medical
　　 全国 / １　感染症及び寄生虫症(皮膚及び粘膜の病変を伴うウイルス疾患（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,1.5,2008,estat-medical
　　 全国 / １　感染症及び寄生虫症(真菌症（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.7,2008,estat-medical
　　 全国 / ２　新生物 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,155.8,2008,estat-medical
　　 全国 / ２　新生物(（悪性新生物）（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,138.7,2008,estat-medical
　　 全国 / ２　新生物(胃の悪性新生物（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,16.7,2008,estat-medical
　　 全国 / ２　新生物(結腸及び直腸の悪性新生物（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,19.1,2008,estat-medical
　　 全国 / ２　新生物(気管，気管支及び肺の悪性新生物（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,20.1,2008,estat-medical
　　 全国 / ３　血液及び造血器の疾患並びに免疫機構の障害 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,5.7,2008,estat-medical
　　 全国 / ４　内分泌，栄養及び代謝疾患 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,34.9,2008,estat-medical
　　 全国 / ４　内分泌，栄養及び代謝疾患(甲状腺障害（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,1.1,2008,estat-medical
　　 全国 / ４　内分泌，栄養及び代謝疾患(糖尿病（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,24.7,2008,estat-medical
　　 全国 / ５　精神及び行動の障害 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,299.5,2008,estat-medical
　　 全国 / ５　精神及び行動の障害(統合失調症，統合失調症型障害及び妄想性障害（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,187.3,2008,estat-medical
　　 全国 / ５　精神及び行動の障害(気分［感情］障害（躁うつ病を含む）（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,28.2,2008,estat-medical
　　 全国 / 病院の推計入院患者数（施設所在地） / 平成２０年,病院の推計入院患者数（施設所在地）,4.8,2008,estat-medical
　　 全国 / ６　神経系の疾患 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,102.4,2008,estat-medical
　　 全国 / ７　眼及び付属器の疾患 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,9.4,2008,estat-medical
　　 全国 / ７　眼及び付属器の疾患(白内障（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,5.4,2008,estat-medical
　　 全国 / ８　耳及び乳様突起の疾患 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,2.5,2008,estat-medical
　　 全国 / ９　循環器系の疾患 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,267.0,2008,estat-medical
　　 全国 / ９　循環器系の疾患(高血圧性疾患（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,6.8,2008,estat-medical
　　 全国 / ９　循環器系の疾患(（心疾患（高血圧性のものを除く））（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,55.5,2008,estat-medical
　　 全国 / ９　循環器系の疾患(虚血性心疾患（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,17.9,2008,estat-medical
　　 全国 / ９　循環器系の疾患(脳血管疾患（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,192.0,2008,estat-medical
　　 全国 / １０　呼吸器系の疾患 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,80.8,2008,estat-medical
　　 全国 / １０　呼吸器系の疾患(急性上気道感染症（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,1.4,2008,estat-medical
　　 全国 / １０　呼吸器系の疾患(肺炎（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,35.8,2008,estat-medical
　　 全国 / １０　呼吸器系の疾患(急性気管支炎及び急性細気管支炎（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,2.3,2008,estat-medical
　　 全国 / １０　呼吸器系の疾患(気管支炎及び慢性閉塞性肺疾患（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,8.7,2008,estat-medical
　　 全国 / １０　呼吸器系の疾患(喘息（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,5.2,2008,estat-medical
　　 全国 / １１　消化器系の疾患 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,65.5,2008,estat-medical
　　 全国 / １１　消化器系の疾患(う蝕（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.1,2008,estat-medical
　　 全国 / １１　消化器系の疾患(歯肉炎及び歯周疾患（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.1,2008,estat-medical
　　 全国 / １１　消化器系の疾患(胃潰瘍及び十二指腸潰瘍（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,6.2,2008,estat-medical
　　 全国 / １１　消化器系の疾患(胃炎及び十二指腸炎（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,1.0,2008,estat-medical
　　 全国 / １１　消化器系の疾患(肝疾患（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,9.2,2008,estat-medical
　　 全国 / １２　皮膚及び皮下組織の疾患 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,11.9,2008,estat-medical
　　 全国 / １３　筋骨格系及び結合組織の疾患 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,60.8,2008,estat-medical
　　 全国 / １３　筋骨格系及び結合組織の疾患(炎症性多発性関節障害（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,6.9,2008,estat-medical
　　 全国 / １３　筋骨格系及び結合組織の疾患(関節症（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,13.6,2008,estat-medical
　　 全国 / １３　筋骨格系及び結合組織の疾患(脊柱障害（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,23.4,2008,estat-medical
　　 全国 / １３　筋骨格系及び結合組織の疾患(骨の密度及び構造の障害（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,1.3,2008,estat-medical
　　 全国 / １４　腎尿路生殖器系の疾患 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,44.0,2008,estat-medical
　　 全国 / １４　腎尿路生殖器系の疾患(糸球体疾患，腎尿細管間質性疾患及び腎不全（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,31.7,2008,estat-medical
　　 全国 / １４　腎尿路生殖器系の疾患(前立腺肥大（症）（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,2.0,2008,estat-medical
　　 全国 / １４　腎尿路生殖器系の疾患(乳房及び女性生殖器の疾患（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,2.2,2008,estat-medical
　　 全国 / １５　妊娠，分娩及び産じょく / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,14.8,2008,estat-medical
　　 全国 / １５　妊娠，分娩及び産じょく(妊娠高血圧症候群（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.4,2008,estat-medical
　　 全国 / １６　周産期に発生した病態 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,6.0,2008,estat-medical
　　 全国 / １７　先天奇形，変形及び染色体異常 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,5.7,2008,estat-medical
　　 全国 / １８　症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,17.9,2008,estat-medical
　　 全国 / １９　損傷，中毒及びその他の外因の影響 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,116.1,2008,estat-medical
　　 全国 / １９　損傷，中毒及びその他の外因の影響(骨折（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,78.3,2008,estat-medical
　　 全国 / ２１　健康状態に影響を及ぼす要因及び保健サービスの利用 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,8.0,2008,estat-medical
　　 全国 / ２１　健康状態に影響を及ぼす要因及び保健サービスの利用(歯の補てつ（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.0,2008,estat-medical
01　 北海道 / 総数 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,83.5,2008,estat-medical
01　 北海道 / １　感染症及び寄生虫症 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,1.0,2008,estat-medical
01　 北海道 / １　感染症及び寄生虫症(腸管感染症（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.2,2008,estat-medical
01　 北海道 / １　感染症及び寄生虫症(結核（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.1,2008,estat-medical
01　 北海道 / １　感染症及び寄生虫症(皮膚及び粘膜の病変を伴うウイルス疾患（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.1,2008,estat-medical
01　 北海道 / １　感染症及び寄生虫症(真菌症（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.0,2008,estat-medical
01　 北海道 / ２　新生物 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,9.5,2008,estat-medical
01　 北海道 / ２　新生物(（悪性新生物）（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,8.4,2008,estat-medical
01　 北海道 / ２　新生物(胃の悪性新生物（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.9,2008,estat-medical
01　 北海道 / ２　新生物(結腸及び直腸の悪性新生物（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,1.1,2008,estat-medical
01　 北海道 / ２　新生物(気管，気管支及び肺の悪性新生物（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,1.8,2008,estat-medical
01　 北海道 / ３　血液及び造血器の疾患並びに免疫機構の障害 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.3,2008,estat-medical
01　 北海道 / ４　内分泌，栄養及び代謝疾患 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,2.4,2008,estat-medical
01　 北海道 / ４　内分泌，栄養及び代謝疾患(甲状腺障害（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.1,2008,estat-medical
01　 北海道 / ４　内分泌，栄養及び代謝疾患(糖尿病（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,1.8,2008,estat-medical
01　 北海道 / ５　精神及び行動の障害 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,18.9,2008,estat-medical
01　 北海道 / ５　精神及び行動の障害(統合失調症，統合失調症型障害及び妄想性障害（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,10.0,2008,estat-medical
01　 北海道 / ５　精神及び行動の障害(気分［感情］障害（躁うつ病を含む）（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,2.2,2008,estat-medical
01　 北海道 / 病院の推計入院患者数（施設所在地） / 平成２０年,病院の推計入院患者数（施設所在地）,0.3,2008,estat-medical
01　 北海道 / ６　神経系の疾患 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,6.7,2008,estat-medical
01　 北海道 / ７　眼及び付属器の疾患 / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.5,2008,estat-medical
01　 北海道 / ７　眼及び付属器の疾患(白内障（再掲）) / 病院の推計入院患者数（施設所在地）,病院の推計入院患者数（施設所在地）,0.3,2008,estat-medical
