industry_category,year,value,unit,gender,source_id
Ａ農業，林業,1995,3543000.0,人,総数,estat-national-census
Ａ農業，林業,2000,2955000.0,人,総数,estat-national-census
Ａ農業，林業,2005,2766689.0,人,総数,estat-national-census
Ａ農業，林業,2010,2204530.0,人,総数,estat-national-census
Ａ農業，林業,2015,2067952.0,人,総数,estat-national-census
Ａ農業，林業,2020,1830697.0,人,総数,estat-national-census
Ａ農業，林業,2015,2178125.0,人,総数,estat-national-census
Ａ農業，林業,2020,1986273.0,人,総数,estat-national-census
Ａ農業，林業,1995,1931000.0,人,男,estat-national-census
Ａ農業，林業,2000,1611000.0,人,男,estat-national-census
Ａ農業，林業,2005,1565787.0,人,男,estat-national-census
Ａ農業，林業,2010,1310914.0,人,男,estat-national-census
Ａ農業，林業,2015,1240348.0,人,男,estat-national-census
Ａ農業，林業,2020,1105962.0,人,男,estat-national-census
Ａ農業，林業,2015,1310835.0,人,男,estat-national-census
Ａ農業，林業,2020,1205028.0,人,男,estat-national-census
Ａ農業，林業,1995,1612000.0,人,女,estat-national-census
Ａ農業，林業,2000,1344000.0,人,女,estat-national-census
Ａ農業，林業,2005,1200902.0,人,女,estat-national-census
Ａ農業，林業,2010,893616.0,人,女,estat-national-census
Ａ農業，林業,2015,827604.0,人,女,estat-national-census
Ａ農業，林業,2020,724735.0,人,女,estat-national-census
Ａ農業，林業,2015,867290.0,人,女,estat-national-census
Ａ農業，林業,2020,781245.0,人,女,estat-national-census
Ｂ漁業,1995,305000.0,人,総数,estat-national-census
Ｂ漁業,2000,253000.0,人,総数,estat-national-census
Ｂ漁業,2005,214142.0,人,総数,estat-national-census
Ｂ漁業,2010,176885.0,人,総数,estat-national-census
Ｂ漁業,2015,153747.0,人,総数,estat-national-census
Ｂ漁業,2020,132065.0,人,総数,estat-national-census
Ｂ漁業,2015,160259.0,人,総数,estat-national-census
Ｂ漁業,2020,141248.0,人,総数,estat-national-census
Ｂ漁業,1995,229000.0,人,男,estat-national-census
Ｂ漁業,2000,189000.0,人,男,estat-national-census
Ｂ漁業,2005,161634.0,人,男,estat-national-census
Ｂ漁業,2010,134061.0,人,男,estat-national-census
Ｂ漁業,2015,116284.0,人,男,estat-national-census
Ｂ漁業,2020,99587.0,人,男,estat-national-census
Ｂ漁業,2015,121615.0,人,男,estat-national-census
Ｂ漁業,2020,107021.0,人,男,estat-national-census
Ｂ漁業,1995,76000.0,人,女,estat-national-census
Ｂ漁業,2000,64000.0,人,女,estat-national-census
Ｂ漁業,2005,52508.0,人,女,estat-national-census
Ｂ漁業,2010,42824.0,人,女,estat-national-census
Ｂ漁業,2015,37463.0,人,女,estat-national-census
Ｂ漁業,2020,32478.0,人,女,estat-national-census
Ｂ漁業,2015,38644.0,人,女,estat-national-census
Ｂ漁業,2020,34227.0,人,女,estat-national-census
Ｃ鉱業，採石業，砂利採取業,1995,59000.0,人,総数,estat-national-census
Ｃ鉱業，採石業，砂利採取業,2000,46000.0,人,総数,estat-national-census
Ｃ鉱業，採石業，砂利採取業,2005,31074.0,人,総数,estat-national-census
Ｃ鉱業，採石業，砂利採取業,2010,22152.0,人,総数,estat-national-census
Ｃ鉱業，採石業，砂利採取業,2015,22281.0,人,総数,estat-national-census
Ｃ鉱業，採石業，砂利採取業,2020,18891.0,人,総数,estat-national-census
