industry_or_category,indicator,value,year_month,source_id
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,290535703.0,2009000000,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,284009043.0,2010000000,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,273342532.0,2011000000,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,278296901.0,2012000000,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,289144184.0,2009100000,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,280916018.0,2010100000,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,275759006.0,2011100000,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,77227032.0,2008001012,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,72247760.0,2009000103,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,70863565.0,2009000406,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,73799856.0,2009000709,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,73624522.0,2009001012,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,70856241.0,2010000103,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,69446119.0,2010000406,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,71518295.0,2010000709,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,72188388.0,2010001012,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,67763216.0,2011000103,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,65620661.0,2011000406,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,69411873.0,2011000709,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,70546782.0,2011001012,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,70179689.0,2012000103,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,67985540.0,2012000406,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,69805452.0,2012000709,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,70326219.0,2012001012,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,25297455.0,2008001010,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,25242904.0,2008001111,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,26686673.0,2008001212,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,22214699.0,2009000101,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,22158650.0,2009000202,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,27874411.0,2009000303,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23560124.0,2009000404,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23103809.0,2009000505,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,24199632.0,2009000606,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,24685583.0,2009000707,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,24132585.0,2009000808,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,24981688.0,2009000909,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,24318344.0,2009001010,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23919349.0,2009001111,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,25386830.0,2009001212,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,22024288.0,2010000101,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,21495719.0,2010000202,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,27336234.0,2010000303,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23542259.0,2010000404,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,22574492.0,2010000505,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23329368.0,2010000606,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23759586.0,2010000707,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23393081.0,2010000808,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,24365628.0,2010000909,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23564266.0,2010001010,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23668011.0,2010001111,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,24956110.0,2010001212,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,21621189.0,2011000101,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,21031065.0,2011000202,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,25110963.0,2011000303,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,21767830.0,2011000404,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,21422316.0,2011000505,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,22430514.0,2011000606,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,22893334.0,2011000707,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23049024.0,2011000808,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23469516.0,2011000909,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23115627.0,2011001010,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,22913424.0,2011001111,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,24517730.0,2011001212,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,21310206.0,2012000101,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,21595117.0,2012000202,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,27274367.0,2012000303,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,22751776.0,2012000404,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,22381507.0,2012000505,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,22852257.0,2012000606,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23192468.0,2012000707,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,22928125.0,2012000808,estat-service
全国 / サービス産業計 / 売上高（収入額）,売上高（収入額）,23684859.0,2012000909,estat-service
