industry_or_category,indicator,value,year,source_id
全国 / 企業規模計（10人以上） / 男女計,年齢,41.2,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,41.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,45.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,43.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,41.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,41.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,40.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,37.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,45.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,45.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,40.2,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,40.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,41.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,39.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,39.8,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,38.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,43.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,39.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,41.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.2,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,18.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.2,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.2,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,18.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,19.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,22.8,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,22.8,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,22.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,22.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,22.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,22.8,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,23.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.2,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,27.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,32.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,32.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,32.6,2009,estat-wage-structure
