value,cat01,cat01_label,time,time_label,unit
411200,001,作付面積,001,明.11,ha
438000,001,作付面積,002,明.12,ha
420200,001,作付面積,003,明.13,ha
424000,001,作付面積,004,明.14,ha
429300,001,作付面積,005,明.15,ha
437000,001,作付面積,006,明.16,ha
439100,001,作付面積,007,明.17,ha
…,001,作付面積,008,明.18,ha
…,001,作付面積,009,明.19,ha
462400,001,作付面積,010,明.20,ha
…,001,作付面積,011,明.21,ha
…,001,作付面積,012,明.22,ha
…,001,作付面積,013,明.23,ha
…,001,作付面積,014,明.24,ha
439800,001,作付面積,015,明.25,ha
…,001,作付面積,016,明.26,ha
432200,001,作付面積,017,明.27,ha
427700,001,作付面積,018,明.28,ha
437100,001,作付面積,019,明.29,ha
432000,001,作付面積,020,明.30,ha
478000,001,作付面積,021,明.31,ha
451800,001,作付面積,022,明.32,ha
453900,001,作付面積,023,明.33,ha
470000,001,作付面積,024,明.34,ha
462300,001,作付面積,025,明.35,ha
461200,001,作付面積,026,明.36,ha
443100,001,作付面積,027,明.37,ha
454900,001,作付面積,028,明.38,ha
457100,001,作付面積,029,明.39,ha
468000,001,作付面積,030,明.40,ha
491700,001,作付面積,031,明.41,ha
475800,001,作付面積,032,明.42,ha
474200,001,作付面積,033,明.43,ha
485300,001,作付面積,034,明.44,ha
471700,001,作付面積,035,大.元,ha
471300,001,作付面積,036,大.2,ha
460700,001,作付面積,037,大.3,ha
466900,001,作付面積,038,大.4,ha
462300,001,作付面積,039,大.5,ha
430600,001,作付面積,040,大.6,ha
428600,001,作付面積,041,大.7,ha
425900,001,作付面積,042,大.8,ha
472000,001,作付面積,043,大.9,ha
469600,001,作付面積,044,大.10,ha
442800,001,作付面積,045,大.11,ha
422200,001,作付面積,046,大.12,ha
405300,001,作付面積,047,大.13,ha
393800,001,作付面積,048,大.14,ha
387700,001,作付面積,049,昭.元,ha
379000,001,作付面積,050,昭.2,ha
369900,001,作付面積,051,昭.3,ha
344000,001,作付面積,052,昭.4,ha
346700,001,作付面積,053,昭.5,ha
350300,001,作付面積,054,昭.6,ha
341700,001,作付面積,055,昭.7,ha
323700,001,作付面積,056,昭.8,ha
336400,001,作付面積,057,昭.9,ha
332600,001,作付面積,058,昭.10,ha
326700,001,作付面積,059,昭.11,ha
328800,001,作付面積,060,昭.12,ha
326900,001,作付面積,061,昭.13,ha
321700,001,作付面積,062,昭.14,ha
324800,001,作付面積,063,昭.15,ha
298200,001,作付面積,064,昭.16,ha
308600,001,作付面積,065,昭.17,ha
301500,001,作付面積,066,昭.18,ha
286500,001,作付面積,067,昭.19,ha
257000,001,作付面積,068,昭.20,ha
224600,001,作付面積,069,昭.21,ha
223100,001,作付面積,070,昭.22,ha
229700,001,作付面積,071,昭.23,ha
254100,001,作付面積,072,昭.24,ha
413100,001,作付面積,073,昭.25,ha
422000,001,作付面積,074,昭.26,ha
409900,001,作付面積,075,昭.27,ha
421400,001,作付面積,076,昭.28,ha
429900,001,作付面積,077,昭.29,ha
385200,001,作付面積,078,昭.30,ha
383400,001,作付面積,079,昭.31,ha
363700,001,作付面積,080,昭.32,ha
346500,001,作付面積,081,昭.33,ha
338600,001,作付面積,082,昭.34,ha
306900,001,作付面積,083,昭.35,ha
286700,001,作付面積,084,昭.36,ha
265500,001,作付面積,085,昭.37,ha
233400,001,作付面積,086,昭.38,ha
216600,001,作付面積,087,昭.39,ha
184100,001,作付面積,088,昭.40,ha
168800,001,作付面積,089,昭.41,ha
141300,001,作付面積,090,昭.42,ha
122400,001,作付面積,091,昭.43,ha
102600,001,作付面積,092,昭.44,ha
95500,001,作付面積,093,昭.45,ha
100500,001,作付面積,094,昭.46,ha
89100,001,作付面積,095,昭.47,ha
88400,001,作付面積,096,昭.48,ha
92800,001,作付面積,097,昭.49,ha
86900,001,作付面積,098,昭.50,ha
82900,001,作付面積,099,昭.51,ha
79300,001,作付面積,100,昭.52,ha
127000,001,作付面積,101,昭.53,ha
130300,001,作付面積,102,昭.54,ha
142200,001,作付面積,103,昭.55,ha
148800,001,作付面積,104,昭.56,ha
147100,001,作付面積,105,昭.57,ha
143400,001,作付面積,106,昭.58,ha
134300,001,作付面積,107,昭.59,ha
133500,001,作付面積,108,昭.60,ha
138400,001,作付面積,109,昭.61,ha
162700,001,作付面積,110,昭.62,ha
162400,001,作付面積,111,昭.63,ha
151600,001,作付面積,112,平.元,ha
145900,001,作付面積,113,平.2,ha
140800,001,作付面積,114,平.3,ha
109900,001,作付面積,115,平.4,ha
87400,001,作付面積,116,平.5,ha
60900,001,作付面積,117,平.6,ha
68600,001,作付面積,118,平.7,ha
81800,001,作付面積,119,平.8,ha
