value,tab,tab_label,cat01,cat01_label,area,area_label,unit
3173,150,経営体数,11,計,43240,福岡県,経営体
2726,150,経営体数,11,計,43250,東シナ海区,経営体
320,150,経営体数,11,計,43270,北九州市,経営体
21,150,経営体数,11,計,43280,旧門司,経営体
24,150,経営体数,11,計,43290,大里,経営体
23,150,経営体数,11,計,43300,長浜,経営体
28,150,経営体数,11,計,43310,平松,経営体
10,150,経営体数,11,計,43320,馬島,経営体
72,150,経営体数,11,計,43330,藍島,経営体
18,150,経営体数,11,計,43340,戸畑,経営体
3,150,経営体数,11,計,43350,八幡東区,経営体
2,150,経営体数,11,計,43360,八幡西区,経営体
17,150,経営体数,11,計,43370,若松,経営体
25,150,経営体数,11,計,43380,脇之浦,経営体
45,150,経営体数,11,計,43390,脇田,経営体
32,150,経営体数,11,計,43400,岩屋,経営体
67,150,経営体数,11,計,43410,芦屋町,経営体
38,150,経営体数,11,計,43420,柏原,経営体
29,150,経営体数,11,計,43430,芦屋,経営体
34,150,経営体数,11,計,43440,岡垣町,経営体
34,150,経営体数,11,計,43450,波津,経営体
308,150,経営体数,11,計,43460,宗像市,経営体
33,150,経営体数,11,計,43470,地島,経営体
142,150,経営体数,11,計,43480,鐘崎,経営体
26,150,経営体数,11,計,43490,神湊,経営体
107,150,経営体数,11,計,43500,大島,経営体
41,150,経営体数,11,計,43510,福津市,経営体
30,150,経営体数,11,計,43520,津屋崎,経営体
11,150,経営体数,11,計,43530,福間,経営体
-,150,経営体数,11,計,43540,古賀市,経営体
-,150,経営体数,11,計,43550,古賀,経営体
69,150,経営体数,11,計,43560,新宮町,経営体
62,150,経営体数,11,計,43570,相島,経営体
7,150,経営体数,11,計,43580,新宮,経営体
442,150,経営体数,11,計,43590,福岡市,経営体
40,150,経営体数,11,計,43600,弘,経営体
74,150,経営体数,11,計,43610,志賀島,経営体
21,150,経営体数,11,計,43620,奈多,経営体
15,150,経営体数,11,計,43630,箱崎,経営体
3,150,経営体数,11,計,43640,博多,経営体
