value,tab,tab_label,area,area_label,unit
115196,360,漁業経営体数,10010,全国,経営体
14780,360,漁業経営体数,10020,北海道,経営体
9115,360,漁業経営体数,10060,北海道太平洋北区,経営体
1663,360,漁業経営体数,10070,根室支庁,経営体
381,360,漁業経営体数,10090,羅臼町,経営体
31,360,漁業経営体数,10110,標津町,経営体
422,360,漁業経営体数,10130,別海町,経営体
829,360,漁業経営体数,10160,根室市,経営体
1532,360,漁業経営体数,10240,釧路支庁,経営体
528,360,漁業経営体数,10260,浜中町,経営体
473,360,漁業経営体数,10290,厚岸町,経営体
223,360,漁業経営体数,10310,釧路町,経営体
189,360,漁業経営体数,10330,釧路市,経営体
119,360,漁業経営体数,10370,白糠町,経営体
282,360,漁業経営体数,10430,十勝支庁,経営体
28,360,漁業経営体数,10450,浦幌町,経営体
30,360,漁業経営体数,10470,豊頃町,経営体
36,360,漁業経営体数,10490,大樹町,経営体
188,360,漁業経営体数,10510,広尾町,経営体
1401,360,漁業経営体数,10690,日高支庁,経営体
650,360,漁業経営体数,10710,えりも町,経営体
240,360,漁業経営体数,10740,様似町,経営体
226,360,漁業経営体数,10770,浦河町,経営体
208,360,漁業経営体数,10800,新ひだか町,経営体
18,360,漁業経営体数,10830,新冠町,経営体
59,360,漁業経営体数,10850,日高町,経営体
647,360,漁業経営体数,10890,胆振支庁,経営体
29,360,漁業経営体数,10910,むかわ町,経営体
13,360,漁業経営体数,10930,厚真町,経営体
63,360,漁業経営体数,10950,苫小牧市,経営体
205,360,漁業経営体数,10970,白老町,経営体
48,360,漁業経営体数,11000,登別市,経営体
59,360,漁業経営体数,11020,室蘭市,経営体
106,360,漁業経営体数,11040,伊達市,経営体
46,360,漁業経営体数,11070,洞爺湖町,経営体
78,360,漁業経営体数,11090,豊浦町,経営体
3590,360,漁業経営体数,11140,渡島支庁,経営体
101,360,漁業経営体数,11160,長万部町,経営体
322,360,漁業経営体数,11180,八雲町,経営体
437,360,漁業経営体数,11210,森町,経営体
350,360,漁業経営体数,11240,鹿部町,経営体
1908,360,漁業経営体数,11260,函館市,経営体
123,360,漁業経営体数,11460,北斗市,経営体
45,360,漁業経営体数,11510,木古内町,経営体
92,360,漁業経営体数,11530,知内町,経営体
212,360,漁業経営体数,11550,福島町,経営体
5665,360,漁業経営体数,11630,北海道日本海北区,経営体
2027,360,漁業経営体数,11640,宗谷支庁,経営体
342,360,漁業経営体数,11660,枝幸町,経営体
39,360,漁業経営体数,11680,浜頓別町,経営体
39,360,漁業経営体数,11700,猿払村,経営体
461,360,漁業経営体数,11720,稚内市,経営体
16,360,漁業経営体数,11750,豊富町,経営体
313,360,漁業経営体数,11770,利尻町,経営体
369,360,漁業経営体数,11800,利尻富士町,経営体
