value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,unit
217107,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10010,全国,人
32584,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10020,北海道,人
19640,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10060,北海道太平洋北区,人
4583,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10070,根室支庁,人
1242,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10090,羅臼町,人
311,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10110,標津町,人
1070,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10130,別海町,人
1960,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10160,根室市,人
3157,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10240,釧路支庁,人
674,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10260,浜中町,人
869,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10290,厚岸町,人
544,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10310,釧路町,人
785,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10330,釧路市,人
285,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10370,白糠町,人
910,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10430,十勝支庁,人
142,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10450,浦幌町,人
90,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10470,豊頃町,人
130,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10490,大樹町,人
548,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10510,広尾町,人
2684,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10690,日高支庁,人
1279,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10710,えりも町,人
457,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10740,様似町,人
310,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10770,浦河町,人
425,130,人数,11,計,11,計,11,11月1日現在の海上作業従事者数,10800,新ひだか町,人
