value,cat01,cat01_label,cat02,cat02_label,unit
4960,001,計,001,作付面積_実数,ha
29,001,計,002,作付面積_かんしょの作付面積に占める割合,％
2660,001,計,003,10ａ当たり収量,kg
131700,001,計,004,収穫量_実数,ｔ
31,001,計,005,収穫量_かんしょの収穫量に占める割合,％
-180,001,計,006,前年産との比較_作付面積_対差,ha
96,001,計,007,前年産との比較_作付面積_対比,％
95,001,計,008,前年産との比較_10a当たり収量_対比,％
-12500,001,計,009,前年産との比較_収穫量_対差,ｔ
91,001,計,010,前年産との比較_収穫量_対比,％
170,002,宮崎,001,作付面積_実数,ha
5,002,宮崎,002,作付面積_かんしょの作付面積に占める割合,％
3030,002,宮崎,003,10ａ当たり収量,kg
5150,002,宮崎,004,収穫量_実数,ｔ
5,002,宮崎,005,収穫量_かんしょの収穫量に占める割合,％
52,002,宮崎,006,前年産との比較_作付面積_対差,ha
144,002,宮崎,007,前年産との比較_作付面積_対比,％
99,002,宮崎,008,前年産との比較_10a当たり収量_対比,％
1550,002,宮崎,009,前年産との比較_収穫量_対差,ｔ
143,002,宮崎,010,前年産との比較_収穫量_対比,％
4790,003,鹿児島,001,作付面積_実数,ha
36,003,鹿児島,002,作付面積_かんしょの作付面積に占める割合,％
2640,003,鹿児島,003,10ａ当たり収量,kg
126500,003,鹿児島,004,収穫量_実数,ｔ
38,003,鹿児島,005,収穫量_かんしょの収穫量に占める割合,％
-230,003,鹿児島,006,前年産との比較_作付面積_対差,ha
95,003,鹿児島,007,前年産との比較_作付面積_対比,％
94,003,鹿児島,008,前年産との比較_10a当たり収量_対比,％
-14100,003,鹿児島,009,前年産との比較_収穫量_対差,ｔ
90,003,鹿児島,010,前年産との比較_収穫量_対比,％
