value,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
313887,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,00000,全国,2015000000,2015年,経営体
21028,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50010,北海道地方,2015000000,2015年,経営体
292859,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50020,都府県,2015000000,2015年,経営体
63852,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50030,東北地方,2015000000,2015年,経営体
19647,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50040,北陸地方,2015000000,2015年,経営体
65106,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50050,関東・東山地方,2015000000,2015年,経営体
23659,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50060,北関東地方,2015000000,2015年,経営体
19711,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50070,南関東地方,2015000000,2015年,経営体
21736,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50080,東山地方,2015000000,2015年,経営体
24005,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50090,東海地方,2015000000,2015年,経営体
24304,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50100,近畿地方,2015000000,2015年,経営体
21172,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50110,中国地方,2015000000,2015年,経営体
6707,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50120,山陰地方,2015000000,2015年,経営体
14465,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50130,山陽地方,2015000000,2015年,経営体
17960,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50140,四国地方,2015000000,2015年,経営体
53976,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50150,九州地方,2015000000,2015年,経営体
36881,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50160,北九州地方,2015000000,2015年,経営体
17095,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50170,南九州地方,2015000000,2015年,経営体
2837,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,50180,沖縄地方,2015000000,2015年,経営体
21028,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,01000,北海道,2015000000,2015年,経営体
15814,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,02000,青森県,2015000000,2015年,経営体
10082,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,03000,岩手県,2015000000,2015年,経営体
7020,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,04000,宮城県,2015000000,2015年,経営体
9385,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,05000,秋田県,2015000000,2015年,経営体
11614,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,06000,山形県,2015000000,2015年,経営体
9937,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,07000,福島県,2015000000,2015年,経営体
9985,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,08000,茨城県,2015000000,2015年,経営体
7374,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,09000,栃木県,2015000000,2015年,経営体
6300,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,10000,群馬県,2015000000,2015年,経営体
5722,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,11000,埼玉県,2015000000,2015年,経営体
9743,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,12000,千葉県,2015000000,2015年,経営体
1268,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,13000,東京都,2015000000,2015年,経営体
2978,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,14000,神奈川県,2015000000,2015年,経営体
10594,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,15000,新潟県,2015000000,2015年,経営体
3123,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,16000,富山県,2015000000,2015年,経営体
3256,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,17000,石川県,2015000000,2015年,経営体
2674,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,18000,福井県,2015000000,2015年,経営体
6526,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,19000,山梨県,2015000000,2015年,経営体
15210,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,20000,長野県,2015000000,2015年,経営体
4164,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,21000,岐阜県,2015000000,2015年,経営体
8688,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,22000,静岡県,2015000000,2015年,経営体
7009,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,23000,愛知県,2015000000,2015年,経営体
4144,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,24000,三重県,2015000000,2015年,経営体
2766,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,25000,滋賀県,2015000000,2015年,経営体
2923,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,26000,京都府,2015000000,2015年,経営体
1356,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,27000,大阪府,2015000000,2015年,経営体
6919,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,28000,兵庫県,2015000000,2015年,経営体
2253,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,29000,奈良県,2015000000,2015年,経営体
8087,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,30000,和歌山県,2015000000,2015年,経営体
3307,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,31000,鳥取県,2015000000,2015年,経営体
3400,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,32000,島根県,2015000000,2015年,経営体
5748,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,33000,岡山県,2015000000,2015年,経営体
4990,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,34000,広島県,2015000000,2015年,経営体
3727,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,35000,山口県,2015000000,2015年,経営体
3671,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,36000,徳島県,2015000000,2015年,経営体
2674,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,37000,香川県,2015000000,2015年,経営体
6505,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,38000,愛媛県,2015000000,2015年,経営体
5110,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,39000,高知県,2015000000,2015年,経営体
8607,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,40000,福岡県,2015000000,2015年,経営体
5278,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,41000,佐賀県,2015000000,2015年,経営体
5856,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,42000,長崎県,2015000000,2015年,経営体
12081,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,43000,熊本県,2015000000,2015年,経営体
5059,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,44000,大分県,2015000000,2015年,経営体
6968,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,45000,宮崎県,2015000000,2015年,経営体
10127,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,46000,鹿児島県,2015000000,2015年,経営体
2837,120,雇用者_雇い入れた実経営体数又は実農家数,120,農業経営体,47000,沖縄県,2015000000,2015年,経営体
21075,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,00000,全国,2015000000,2015年,経営体
2804,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50010,北海道地方,2015000000,2015年,経営体
18271,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50020,都府県,2015000000,2015年,経営体
2809,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50030,東北地方,2015000000,2015年,経営体
1922,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50040,北陸地方,2015000000,2015年,経営体
3708,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50050,関東・東山地方,2015000000,2015年,経営体
1333,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50060,北関東地方,2015000000,2015年,経営体
1240,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50070,南関東地方,2015000000,2015年,経営体
1135,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50080,東山地方,2015000000,2015年,経営体
1836,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50090,東海地方,2015000000,2015年,経営体
1183,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50100,近畿地方,2015000000,2015年,経営体
1617,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50110,中国地方,2015000000,2015年,経営体
519,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50120,山陰地方,2015000000,2015年,経営体
1098,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50130,山陽地方,2015000000,2015年,経営体
993,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50140,四国地方,2015000000,2015年,経営体
3883,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50150,九州地方,2015000000,2015年,経営体
2134,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50160,北九州地方,2015000000,2015年,経営体
1749,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50170,南九州地方,2015000000,2015年,経営体
320,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,50180,沖縄地方,2015000000,2015年,経営体
2804,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,01000,北海道,2015000000,2015年,経営体
393,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,02000,青森県,2015000000,2015年,経営体
680,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,03000,岩手県,2015000000,2015年,経営体
415,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,04000,宮城県,2015000000,2015年,経営体
457,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,05000,秋田県,2015000000,2015年,経営体
390,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,06000,山形県,2015000000,2015年,経営体
474,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,07000,福島県,2015000000,2015年,経営体
534,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,08000,茨城県,2015000000,2015年,経営体
328,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,09000,栃木県,2015000000,2015年,経営体
471,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,10000,群馬県,2015000000,2015年,経営体
377,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,11000,埼玉県,2015000000,2015年,経営体
625,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,12000,千葉県,2015000000,2015年,経営体
52,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,13000,東京都,2015000000,2015年,経営体
186,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,14000,神奈川県,2015000000,2015年,経営体
985,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,15000,新潟県,2015000000,2015年,経営体
346,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,16000,富山県,2015000000,2015年,経営体
338,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,17000,石川県,2015000000,2015年,経営体
253,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,18000,福井県,2015000000,2015年,経営体
235,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,19000,山梨県,2015000000,2015年,経営体
900,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,20000,長野県,2015000000,2015年,経営体
471,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,21000,岐阜県,2015000000,2015年,経営体
465,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,22000,静岡県,2015000000,2015年,経営体
486,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,23000,愛知県,2015000000,2015年,経営体
414,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,24000,三重県,2015000000,2015年,経営体
269,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,25000,滋賀県,2015000000,2015年,経営体
237,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,26000,京都府,2015000000,2015年,経営体
77,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,27000,大阪府,2015000000,2015年,経営体
367,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,28000,兵庫県,2015000000,2015年,経営体
109,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,29000,奈良県,2015000000,2015年,経営体
124,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,30000,和歌山県,2015000000,2015年,経営体
219,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,31000,鳥取県,2015000000,2015年,経営体
300,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,32000,島根県,2015000000,2015年,経営体
309,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,33000,岡山県,2015000000,2015年,経営体
521,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,34000,広島県,2015000000,2015年,経営体
268,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,35000,山口県,2015000000,2015年,経営体
239,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,36000,徳島県,2015000000,2015年,経営体
201,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,37000,香川県,2015000000,2015年,経営体
347,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,38000,愛媛県,2015000000,2015年,経営体
206,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,39000,高知県,2015000000,2015年,経営体
500,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,40000,福岡県,2015000000,2015年,経営体
212,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,41000,佐賀県,2015000000,2015年,経営体
243,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,42000,長崎県,2015000000,2015年,経営体
686,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,43000,熊本県,2015000000,2015年,経営体
493,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,44000,大分県,2015000000,2015年,経営体
611,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,45000,宮崎県,2015000000,2015年,経営体
1138,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,46000,鹿児島県,2015000000,2015年,経営体
320,120,雇用者_雇い入れた実経営体数又は実農家数,130,農業経営体_うち法人経営体,47000,沖縄県,2015000000,2015年,経営体
291906,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,00000,全国,2015000000,2015年,経営体
19093,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50010,北海道地方,2015000000,2015年,経営体
272813,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50020,都府県,2015000000,2015年,経営体
60310,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50030,東北地方,2015000000,2015年,経営体
17210,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50040,北陸地方,2015000000,2015年,経営体
61604,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50050,関東・東山地方,2015000000,2015年,経営体
22440,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50060,北関東地方,2015000000,2015年,経営体
18567,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50070,南関東地方,2015000000,2015年,経営体
20597,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50080,東山地方,2015000000,2015年,経営体
22133,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50090,東海地方,2015000000,2015年,経営体
22667,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50100,近畿地方,2015000000,2015年,経営体
19301,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50110,中国地方,2015000000,2015年,経営体
6044,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50120,山陰地方,2015000000,2015年,経営体
13257,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50130,山陽地方,2015000000,2015年,経営体
17057,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50140,四国地方,2015000000,2015年,経営体
49989,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50150,九州地方,2015000000,2015年,経営体
34568,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50160,北九州地方,2015000000,2015年,経営体
15421,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50170,南九州地方,2015000000,2015年,経営体
2542,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,50180,沖縄地方,2015000000,2015年,経営体
19093,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,01000,北海道,2015000000,2015年,経営体
15364,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,02000,青森県,2015000000,2015年,経営体
9204,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,03000,岩手県,2015000000,2015年,経営体
6393,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,04000,宮城県,2015000000,2015年,経営体
8805,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,05000,秋田県,2015000000,2015年,経営体
11126,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,06000,山形県,2015000000,2015年,経営体
9418,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,07000,福島県,2015000000,2015年,経営体
9509,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,08000,茨城県,2015000000,2015年,経営体
7022,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,09000,栃木県,2015000000,2015年,経営体
5909,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,10000,群馬県,2015000000,2015年,経営体
5376,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,11000,埼玉県,2015000000,2015年,経営体
9141,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,12000,千葉県,2015000000,2015年,経営体
1212,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,13000,東京都,2015000000,2015年,経営体
2838,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,14000,神奈川県,2015000000,2015年,経営体
9443,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,15000,新潟県,2015000000,2015年,経営体
2670,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,16000,富山県,2015000000,2015年,経営体
2855,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,17000,石川県,2015000000,2015年,経営体
2242,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,18000,福井県,2015000000,2015年,経営体
6288,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,19000,山梨県,2015000000,2015年,経営体
14309,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,20000,長野県,2015000000,2015年,経営体
3586,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,21000,岐阜県,2015000000,2015年,経営体
8252,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,22000,静岡県,2015000000,2015年,経営体
6583,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,23000,愛知県,2015000000,2015年,経営体
3712,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,24000,三重県,2015000000,2015年,経営体
2382,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,25000,滋賀県,2015000000,2015年,経営体
2610,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,26000,京都府,2015000000,2015年,経営体
1281,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,27000,大阪府,2015000000,2015年,経営体
6293,120,雇用者_雇い入れた実経営体数又は実農家数,140,農業経営体_うち家族経営体,28000,兵庫県,2015000000,2015年,経営体
