value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label,unit
479,0015,実農家数,210,かぼちゃ,47000,沖縄県,2005000000,2005年,戸
1206,0015,実農家数,240,にがうり,47000,沖縄県,2005000000,2005年,戸
435,0015,実農家数,270,へちま,47000,沖縄県,2005000000,2005年,戸
417,0015,実農家数,300,とうがん,47000,沖縄県,2005000000,2005年,戸
381,0015,実農家数,330,オクラ,47000,沖縄県,2005000000,2005年,戸
658,0015,実農家数,360,さやいんげん,47000,沖縄県,2005000000,2005年,戸
226,0015,実農家数,390,ちんげんさい,47000,沖縄県,2005000000,2005年,戸
127,0015,実農家数,420,洋ラン類,47000,沖縄県,2005000000,2005年,戸
11033,0020,農家数,100,さとうきび,47000,沖縄県,2005000000,2005年,戸
7500,0020,農家数,110,さとうきび_夏植,47000,沖縄県,2005000000,2005年,戸
3667,0020,農家数,120,さとうきび_春植,47000,沖縄県,2005000000,2005年,戸
5251,0020,農家数,130,さとうきび_株出,47000,沖縄県,2005000000,2005年,戸
1901,0020,農家数,140,さとうきび_1回目の株出,47000,沖縄県,2005000000,2005年,戸
2537,0020,農家数,150,さとうきび_2回目の株出,47000,沖縄県,2005000000,2005年,戸
2122,0020,農家数,160,さとうきび_3回目の株出,47000,沖縄県,2005000000,2005年,戸
1235,0020,農家数,170,さとうきび_4、5回目の株出,47000,沖縄県,2005000000,2005年,戸
441,0020,農家数,180,さとうきび_6回目以上の株出,47000,沖縄県,2005000000,2005年,戸
35,0020,農家数,190,実とり用豆類,47000,沖縄県,2005000000,2005年,戸
118,0020,農家数,200,薬用作物,47000,沖縄県,2005000000,2005年,戸
475,0020,農家数,220,かぼちゃ_露地,47000,沖縄県,2005000000,2005年,戸
4,0020,農家数,230,かぼちゃ_施設,47000,沖縄県,2005000000,2005年,戸
584,0020,農家数,250,にがうり_露地,47000,沖縄県,2005000000,2005年,戸
687,0020,農家数,260,にがうり_施設,47000,沖縄県,2005000000,2005年,戸
389,0020,農家数,280,へちま_露地,47000,沖縄県,2005000000,2005年,戸
55,0020,農家数,290,へちま_施設,47000,沖縄県,2005000000,2005年,戸
340,0020,農家数,310,とうがん_露地,47000,沖縄県,2005000000,2005年,戸
82,0020,農家数,320,とうがん_施設,47000,沖縄県,2005000000,2005年,戸
359,0020,農家数,340,オクラ_露地,47000,沖縄県,2005000000,2005年,戸
27,0020,農家数,350,オクラ_施設,47000,沖縄県,2005000000,2005年,戸
369,0020,農家数,370,さやいんげん_露地,47000,沖縄県,2005000000,2005年,戸
329,0020,農家数,380,さやいんげん_施設,47000,沖縄県,2005000000,2005年,戸
210,0020,農家数,400,ちんげんさい_露地,47000,沖縄県,2005000000,2005年,戸
17,0020,農家数,410,ちんげんさい_施設,47000,沖縄県,2005000000,2005年,戸
20,0020,農家数,430,洋ラン類_露地,47000,沖縄県,2005000000,2005年,戸
114,0020,農家数,440,洋ラン類_施設,47000,沖縄県,2005000000,2005年,戸
10772,0050,面積,100,さとうきび,47000,沖縄県,2005000000,2005年,ha
5421,0050,面積,110,さとうきび_夏植,47000,沖縄県,2005000000,2005年,ha
1442,0050,面積,120,さとうきび_春植,47000,沖縄県,2005000000,2005年,ha
3908,0050,面積,130,さとうきび_株出,47000,沖縄県,2005000000,2005年,ha
860,0050,面積,140,さとうきび_1回目の株出,47000,沖縄県,2005000000,2005年,ha
1105,0050,面積,150,さとうきび_2回目の株出,47000,沖縄県,2005000000,2005年,ha
934,0050,面積,160,さとうきび_3回目の株出,47000,沖縄県,2005000000,2005年,ha
543,0050,面積,170,さとうきび_4、5回目の株出,47000,沖縄県,2005000000,2005年,ha
467,0050,面積,180,さとうきび_6回目以上の株出,47000,沖縄県,2005000000,2005年,ha
3,0050,面積,190,実とり用豆類,47000,沖縄県,2005000000,2005年,ha
65,0050,面積,200,薬用作物,47000,沖縄県,2005000000,2005年,ha
176,0050,面積,220,かぼちゃ_露地,47000,沖縄県,2005000000,2005年,ha
66,0050,面積,250,にがうり_露地,47000,沖縄県,2005000000,2005年,ha
35,0050,面積,280,へちま_露地,47000,沖縄県,2005000000,2005年,ha
46,0050,面積,310,とうがん_露地,47000,沖縄県,2005000000,2005年,ha
39,0050,面積,340,オクラ_露地,47000,沖縄県,2005000000,2005年,ha
60,0050,面積,370,さやいんげん_露地,47000,沖縄県,2005000000,2005年,ha
27,0050,面積,400,ちんげんさい_露地,47000,沖縄県,2005000000,2005年,ha
6,0050,面積,430,洋ラン類_露地,47000,沖縄県,2005000000,2005年,ha
37,0053,面積,230,かぼちゃ_施設,47000,沖縄県,2005000000,2005年,a
11613,0053,面積,260,にがうり_施設,47000,沖縄県,2005000000,2005年,a
534,0053,面積,290,へちま_施設,47000,沖縄県,2005000000,2005年,a
1083,0053,面積,320,とうがん_施設,47000,沖縄県,2005000000,2005年,a
277,0053,面積,350,オクラ_施設,47000,沖縄県,2005000000,2005年,a
5164,0053,面積,380,さやいんげん_施設,47000,沖縄県,2005000000,2005年,a
148,0053,面積,410,ちんげんさい_施設,47000,沖縄県,2005000000,2005年,a
2345,0053,面積,440,洋ラン類_施設,47000,沖縄県,2005000000,2005年,a
