value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
1403395,0020,農家数,100,計,100,稲,00000,全国,2005000000,2005年,戸
19643,0020,農家数,100,計,100,稲,00042,北海道,2005000000,2005年,戸
1383752,0020,農家数,100,計,100,稲,50002,都府県,2005000000,2005年,戸
311865,0020,農家数,100,計,100,稲,00043,東北,2005000000,2005年,戸
151047,0020,農家数,100,計,100,稲,00049,北陸,2005000000,2005年,戸
276263,0020,農家数,100,計,100,稲,53030,関東・東山,2005000000,2005年,戸
137694,0020,農家数,100,計,100,稲,00046,北関東,2005000000,2005年,戸
83897,0020,農家数,100,計,100,稲,00047,南関東,2005000000,2005年,戸
54672,0020,農家数,100,計,100,稲,53033,東山,2005000000,2005年,戸
109632,0020,農家数,100,計,100,稲,00050,東海,2005000000,2005年,戸
124329,0020,農家数,100,計,100,稲,00051,近畿,2005000000,2005年,戸
143472,0020,農家数,100,計,100,稲,00053,中国,2005000000,2005年,戸
45040,0020,農家数,100,計,100,稲,56061,山陰,2005000000,2005年,戸
98432,0020,農家数,100,計,100,稲,56062,山陽,2005000000,2005年,戸
72747,0020,農家数,100,計,100,稲,00054,四国,2005000000,2005年,戸
194027,0020,農家数,100,計,100,稲,00056,九州,2005000000,2005年,戸
150508,0020,農家数,100,計,100,稲,58081,北九州,2005000000,2005年,戸
43519,0020,農家数,100,計,100,稲,58082,南九州,2005000000,2005年,戸
370,0020,農家数,100,計,100,稲,00057,沖縄,2005000000,2005年,戸
36845,0020,農家数,100,計,100,稲,02000,青森県,2005000000,2005年,戸
52689,0020,農家数,100,計,100,稲,03000,岩手県,2005000000,2005年,戸
55511,0020,農家数,100,計,100,稲,04000,宮城県,2005000000,2005年,戸
56657,0020,農家数,100,計,100,稲,05000,秋田県,2005000000,2005年,戸
42363,0020,農家数,100,計,100,稲,06000,山形県,2005000000,2005年,戸
67800,0020,農家数,100,計,100,稲,07000,福島県,2005000000,2005年,戸
67129,0020,農家数,100,計,100,稲,08000,茨城県,2005000000,2005年,戸
48797,0020,農家数,100,計,100,稲,09000,栃木県,2005000000,2005年,戸
21768,0020,農家数,100,計,100,稲,10000,群馬県,2005000000,2005年,戸
31387,0020,農家数,100,計,100,稲,11000,埼玉県,2005000000,2005年,戸
47350,0020,農家数,100,計,100,稲,12000,千葉県,2005000000,2005年,戸
484,0020,農家数,100,計,100,稲,13000,東京都,2005000000,2005年,戸
4676,0020,農家数,100,計,100,稲,14000,神奈川県,2005000000,2005年,戸
76660,0020,農家数,100,計,100,稲,15000,新潟県,2005000000,2005年,戸
30308,0020,農家数,100,計,100,稲,16000,富山県,2005000000,2005年,戸
20552,0020,農家数,100,計,100,稲,17000,石川県,2005000000,2005年,戸
23527,0020,農家数,100,計,100,稲,18000,福井県,2005000000,2005年,戸
6555,0020,農家数,100,計,100,稲,19000,山梨県,2005000000,2005年,戸
48117,0020,農家数,100,計,100,稲,20000,長野県,2005000000,2005年,戸
29645,0020,農家数,100,計,100,稲,21000,岐阜県,2005000000,2005年,戸
17984,0020,農家数,100,計,100,稲,22000,静岡県,2005000000,2005年,戸
31172,0020,農家数,100,計,100,稲,23000,愛知県,2005000000,2005年,戸
30831,0020,農家数,100,計,100,稲,24000,三重県,2005000000,2005年,戸
28465,0020,農家数,100,計,100,稲,25000,滋賀県,2005000000,2005年,戸
18498,0020,農家数,100,計,100,稲,26000,京都府,2005000000,2005年,戸
6796,0020,農家数,100,計,100,稲,27000,大阪府,2005000000,2005年,戸
48700,0020,農家数,100,計,100,稲,28000,兵庫県,2005000000,2005年,戸
12343,0020,農家数,100,計,100,稲,29000,奈良県,2005000000,2005年,戸
9527,0020,農家数,100,計,100,稲,30000,和歌山県,2005000000,2005年,戸
20061,0020,農家数,100,計,100,稲,31000,鳥取県,2005000000,2005年,戸
24979,0020,農家数,100,計,100,稲,32000,島根県,2005000000,2005年,戸
42422,0020,農家数,100,計,100,稲,33000,岡山県,2005000000,2005年,戸
30612,0020,農家数,100,計,100,稲,34000,広島県,2005000000,2005年,戸
25398,0020,農家数,100,計,100,稲,35000,山口県,2005000000,2005年,戸
15914,0020,農家数,100,計,100,稲,36000,徳島県,2005000000,2005年,戸
25914,0020,農家数,100,計,100,稲,37000,香川県,2005000000,2005年,戸
18543,0020,農家数,100,計,100,稲,38000,愛媛県,2005000000,2005年,戸
12376,0020,農家数,100,計,100,稲,39000,高知県,2005000000,2005年,戸
40901,0020,農家数,100,計,100,稲,40000,福岡県,2005000000,2005年,戸
27200,0020,農家数,100,計,100,稲,41000,佐賀県,2005000000,2005年,戸
17199,0020,農家数,100,計,100,稲,42000,長崎県,2005000000,2005年,戸
39152,0020,農家数,100,計,100,稲,43000,熊本県,2005000000,2005年,戸
26056,0020,農家数,100,計,100,稲,44000,大分県,2005000000,2005年,戸
22407,0020,農家数,100,計,100,稲,45000,宮崎県,2005000000,2005年,戸
21112,0020,農家数,100,計,100,稲,46000,鹿児島県,2005000000,2005年,戸
294247,0020,農家数,100,計,100,稲,60100,関東農政局,2005000000,2005年,戸
91648,0020,農家数,100,計,100,稲,60110,東海農政局,2005000000,2005年,戸
216219,0020,農家数,100,計,100,稲,60120,中国四国農政局,2005000000,2005年,戸
1402318,0020,農家数,100,計,110,水稲,00000,全国,2005000000,2005年,戸
19643,0020,農家数,100,計,110,水稲,00042,北海道,2005000000,2005年,戸
1382675,0020,農家数,100,計,110,水稲,50002,都府県,2005000000,2005年,戸
311835,0020,農家数,100,計,110,水稲,00043,東北,2005000000,2005年,戸
151039,0020,農家数,100,計,110,水稲,00049,北陸,2005000000,2005年,戸
275360,0020,農家数,100,計,110,水稲,53030,関東・東山,2005000000,2005年,戸
137138,0020,農家数,100,計,110,水稲,00046,北関東,2005000000,2005年,戸
83554,0020,農家数,100,計,110,水稲,00047,南関東,2005000000,2005年,戸
54668,0020,農家数,100,計,110,水稲,53033,東山,2005000000,2005年,戸
109608,0020,農家数,100,計,110,水稲,00050,東海,2005000000,2005年,戸
124317,0020,農家数,100,計,110,水稲,00051,近畿,2005000000,2005年,戸
143463,0020,農家数,100,計,110,水稲,00053,中国,2005000000,2005年,戸
45037,0020,農家数,100,計,110,水稲,56061,山陰,2005000000,2005年,戸
98426,0020,農家数,100,計,110,水稲,56062,山陽,2005000000,2005年,戸
72739,0020,農家数,100,計,110,水稲,00054,四国,2005000000,2005年,戸
193944,0020,農家数,100,計,110,水稲,00056,九州,2005000000,2005年,戸
150480,0020,農家数,100,計,110,水稲,58081,北九州,2005000000,2005年,戸
43464,0020,農家数,100,計,110,水稲,58082,南九州,2005000000,2005年,戸
370,0020,農家数,100,計,110,水稲,00057,沖縄,2005000000,2005年,戸
36842,0020,農家数,100,計,110,水稲,02000,青森県,2005000000,2005年,戸
52683,0020,農家数,100,計,110,水稲,03000,岩手県,2005000000,2005年,戸
55510,0020,農家数,100,計,110,水稲,04000,宮城県,2005000000,2005年,戸
56655,0020,農家数,100,計,110,水稲,05000,秋田県,2005000000,2005年,戸
42362,0020,農家数,100,計,110,水稲,06000,山形県,2005000000,2005年,戸
67783,0020,農家数,100,計,110,水稲,07000,福島県,2005000000,2005年,戸
66694,0020,農家数,100,計,110,水稲,08000,茨城県,2005000000,2005年,戸
48700,0020,農家数,100,計,110,水稲,09000,栃木県,2005000000,2005年,戸
21744,0020,農家数,100,計,110,水稲,10000,群馬県,2005000000,2005年,戸
31240,0020,農家数,100,計,110,水稲,11000,埼玉県,2005000000,2005年,戸
47276,0020,農家数,100,計,110,水稲,12000,千葉県,2005000000,2005年,戸
433,0020,農家数,100,計,110,水稲,13000,東京都,2005000000,2005年,戸
4605,0020,農家数,100,計,110,水稲,14000,神奈川県,2005000000,2005年,戸
76656,0020,農家数,100,計,110,水稲,15000,新潟県,2005000000,2005年,戸
30308,0020,農家数,100,計,110,水稲,16000,富山県,2005000000,2005年,戸
20550,0020,農家数,100,計,110,水稲,17000,石川県,2005000000,2005年,戸
23525,0020,農家数,100,計,110,水稲,18000,福井県,2005000000,2005年,戸
6554,0020,農家数,100,計,110,水稲,19000,山梨県,2005000000,2005年,戸
48114,0020,農家数,100,計,110,水稲,20000,長野県,2005000000,2005年,戸
29644,0020,農家数,100,計,110,水稲,21000,岐阜県,2005000000,2005年,戸
17971,0020,農家数,100,計,110,水稲,22000,静岡県,2005000000,2005年,戸
31168,0020,農家数,100,計,110,水稲,23000,愛知県,2005000000,2005年,戸
30825,0020,農家数,100,計,110,水稲,24000,三重県,2005000000,2005年,戸
28462,0020,農家数,100,計,110,水稲,25000,滋賀県,2005000000,2005年,戸
18496,0020,農家数,100,計,110,水稲,26000,京都府,2005000000,2005年,戸
6795,0020,農家数,100,計,110,水稲,27000,大阪府,2005000000,2005年,戸
48694,0020,農家数,100,計,110,水稲,28000,兵庫県,2005000000,2005年,戸
12343,0020,農家数,100,計,110,水稲,29000,奈良県,2005000000,2005年,戸
9527,0020,農家数,100,計,110,水稲,30000,和歌山県,2005000000,2005年,戸
20059,0020,農家数,100,計,110,水稲,31000,鳥取県,2005000000,2005年,戸
24978,0020,農家数,100,計,110,水稲,32000,島根県,2005000000,2005年,戸
42417,0020,農家数,100,計,110,水稲,33000,岡山県,2005000000,2005年,戸
30612,0020,農家数,100,計,110,水稲,34000,広島県,2005000000,2005年,戸
25397,0020,農家数,100,計,110,水稲,35000,山口県,2005000000,2005年,戸
15909,0020,農家数,100,計,110,水稲,36000,徳島県,2005000000,2005年,戸
25913,0020,農家数,100,計,110,水稲,37000,香川県,2005000000,2005年,戸
18542,0020,農家数,100,計,110,水稲,38000,愛媛県,2005000000,2005年,戸
12375,0020,農家数,100,計,110,水稲,39000,高知県,2005000000,2005年,戸
40895,0020,農家数,100,計,110,水稲,40000,福岡県,2005000000,2005年,戸
27199,0020,農家数,100,計,110,水稲,41000,佐賀県,2005000000,2005年,戸
17194,0020,農家数,100,計,110,水稲,42000,長崎県,2005000000,2005年,戸
39137,0020,農家数,100,計,110,水稲,43000,熊本県,2005000000,2005年,戸
26055,0020,農家数,100,計,110,水稲,44000,大分県,2005000000,2005年,戸
22404,0020,農家数,100,計,110,水稲,45000,宮崎県,2005000000,2005年,戸
21060,0020,農家数,100,計,110,水稲,46000,鹿児島県,2005000000,2005年,戸
293331,0020,農家数,100,計,110,水稲,60100,関東農政局,2005000000,2005年,戸
91637,0020,農家数,100,計,110,水稲,60110,東海農政局,2005000000,2005年,戸
216202,0020,農家数,100,計,110,水稲,60120,中国四国農政局,2005000000,2005年,戸
112826,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),00000,全国,2005000000,2005年,戸
18177,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),00042,北海道,2005000000,2005年,戸
94649,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),50002,都府県,2005000000,2005年,戸
5129,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),00043,東北,2005000000,2005年,戸
6485,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),00049,北陸,2005000000,2005年,戸
30978,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),53030,関東・東山,2005000000,2005年,戸
21619,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),00046,北関東,2005000000,2005年,戸
5990,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),00047,南関東,2005000000,2005年,戸
3369,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),53033,東山,2005000000,2005年,戸
7772,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),00050,東海,2005000000,2005年,戸
9417,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),00051,近畿,2005000000,2005年,戸
2622,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),00053,中国,2005000000,2005年,戸
343,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),56061,山陰,2005000000,2005年,戸
2279,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),56062,山陽,2005000000,2005年,戸
3828,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),00054,四国,2005000000,2005年,戸
28411,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),00056,九州,2005000000,2005年,戸
28140,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),58081,北九州,2005000000,2005年,戸
271,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),58082,南九州,2005000000,2005年,戸
7,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),00057,沖縄,2005000000,2005年,戸
1586,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),02000,青森県,2005000000,2005年,戸
2367,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),03000,岩手県,2005000000,2005年,戸
493,0020,農家数,100,計,130,麦類(沖縄県は小麦の作付農家のみ),04000,宮城県,2005000000,2005年,戸
