value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label
6356329,002,事業所数（事業内容等不詳を含む）,001,総数,00000,全国,2009000000,2009年
267965,002,事業所数（事業内容等不詳を含む）,001,総数,01000,北海道,2009000000,2009年
85031,002,事業所数（事業内容等不詳を含む）,001,総数,01100,札幌市,2009000000,2009年
25824,002,事業所数（事業内容等不詳を含む）,001,総数,01101,中央区,2009000000,2009年
10411,002,事業所数（事業内容等不詳を含む）,001,総数,01102,北区,2009000000,2009年
10039,002,事業所数（事業内容等不詳を含む）,001,総数,01103,東区,2009000000,2009年
9177,002,事業所数（事業内容等不詳を含む）,001,総数,01104,白石区,2009000000,2009年
7277,002,事業所数（事業内容等不詳を含む）,001,総数,01105,豊平区,2009000000,2009年
4220,002,事業所数（事業内容等不詳を含む）,001,総数,01106,南区,2009000000,2009年
7736,002,事業所数（事業内容等不詳を含む）,001,総数,01107,西区,2009000000,2009年
3282,002,事業所数（事業内容等不詳を含む）,001,総数,01108,厚別区,2009000000,2009年
3796,002,事業所数（事業内容等不詳を含む）,001,総数,01109,手稲区,2009000000,2009年
3269,002,事業所数（事業内容等不詳を含む）,001,総数,01110,清田区,2009000000,2009年
15610,002,事業所数（事業内容等不詳を含む）,001,総数,01202,函館市,2009000000,2009年
7093,002,事業所数（事業内容等不詳を含む）,001,総数,01203,小樽市,2009000000,2009年
16681,002,事業所数（事業内容等不詳を含む）,001,総数,01204,旭川市,2009000000,2009年
5123,002,事業所数（事業内容等不詳を含む）,001,総数,01205,室蘭市,2009000000,2009年
9924,002,事業所数（事業内容等不詳を含む）,001,総数,01206,釧路市,2009000000,2009年
9824,002,事業所数（事業内容等不詳を含む）,001,総数,01207,帯広市,2009000000,2009年
6455,002,事業所数（事業内容等不詳を含む）,001,総数,01208,北見市,2009000000,2009年
644,002,事業所数（事業内容等不詳を含む）,001,総数,01209,夕張市,2009000000,2009年
3816,002,事業所数（事業内容等不詳を含む）,001,総数,01210,岩見沢市,2009000000,2009年
2129,002,事業所数（事業内容等不詳を含む）,001,総数,01211,網走市,2009000000,2009年
1477,002,事業所数（事業内容等不詳を含む）,001,総数,01212,留萌市,2009000000,2009年
8454,002,事業所数（事業内容等不詳を含む）,001,総数,01213,苫小牧市,2009000000,2009年
2374,002,事業所数（事業内容等不詳を含む）,001,総数,01214,稚内市,2009000000,2009年
1225,002,事業所数（事業内容等不詳を含む）,001,総数,01215,美唄市,2009000000,2009年
818,002,事業所数（事業内容等不詳を含む）,001,総数,01216,芦別市,2009000000,2009年
3848,002,事業所数（事業内容等不詳を含む）,001,総数,01217,江別市,2009000000,2009年
584,002,事業所数（事業内容等不詳を含む）,001,総数,01218,赤平市,2009000000,2009年
1578,002,事業所数（事業内容等不詳を含む）,001,総数,01219,紋別市,2009000000,2009年
1294,002,事業所数（事業内容等不詳を含む）,001,総数,01220,士別市,2009000000,2009年
1683,002,事業所数（事業内容等不詳を含む）,001,総数,01221,名寄市,2009000000,2009年
517,002,事業所数（事業内容等不詳を含む）,001,総数,01222,三笠市,2009000000,2009年
1809,002,事業所数（事業内容等不詳を含む）,001,総数,01223,根室市,2009000000,2009年
3597,002,事業所数（事業内容等不詳を含む）,001,総数,01224,千歳市,2009000000,2009年
2231,002,事業所数（事業内容等不詳を含む）,001,総数,01225,滝川市,2009000000,2009年
972,002,事業所数（事業内容等不詳を含む）,001,総数,01226,砂川市,2009000000,2009年
201,002,事業所数（事業内容等不詳を含む）,001,総数,01227,歌志内市,2009000000,2009年
1258,002,事業所数（事業内容等不詳を含む）,001,総数,01228,深川市,2009000000,2009年
1353,002,事業所数（事業内容等不詳を含む）,001,総数,01229,富良野市,2009000000,2009年
1921,002,事業所数（事業内容等不詳を含む）,001,総数,01230,登別市,2009000000,2009年
2129,002,事業所数（事業内容等不詳を含む）,001,総数,01231,恵庭市,2009000000,2009年
1624,002,事業所数（事業内容等不詳を含む）,001,総数,01233,伊達市,2009000000,2009年
1934,002,事業所数（事業内容等不詳を含む）,001,総数,01234,北広島市,2009000000,2009年
2535,002,事業所数（事業内容等不詳を含む）,001,総数,01235,石狩市,2009000000,2009年
1941,002,事業所数（事業内容等不詳を含む）,001,総数,01236,北斗市,2009000000,2009年
846,002,事業所数（事業内容等不詳を含む）,001,総数,01300,石狩支庁,2009000000,2009年
