value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
62860514,004,従業者数　総数,000,A～S全産業,000,総数,000,総数,00000,全国,2009000000,2009年
2437407,004,従業者数　総数,000,A～S全産業,000,総数,001,個人業主,00000,全国,2009000000,2009年
698326,004,従業者数　総数,000,A～S全産業,000,総数,002,無給の家族従業者,00000,全国,2009000000,2009年
4261515,004,従業者数　総数,000,A～S全産業,000,総数,003,有給役員,00000,全国,2009000000,2009年
52094559,004,従業者数　総数,000,A～S全産業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
34179876,004,従業者数　総数,000,A～S全産業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
17914683,004,従業者数　総数,000,A～S全産業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
3368707,004,従業者数　総数,000,A～S全産業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
58442129,004,従業者数　総数,000,A～S全産業,001,民営,000,総数,00000,全国,2009000000,2009年
2437407,004,従業者数　総数,000,A～S全産業,001,民営,001,個人業主,00000,全国,2009000000,2009年
698326,004,従業者数　総数,000,A～S全産業,001,民営,002,無給の家族従業者,00000,全国,2009000000,2009年
4261515,004,従業者数　総数,000,A～S全産業,001,民営,003,有給役員,00000,全国,2009000000,2009年
47843039,004,従業者数　総数,000,A～S全産業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
30698440,004,従業者数　総数,000,A～S全産業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
17144599,004,従業者数　総数,000,A～S全産業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
3201842,004,従業者数　総数,000,A～S全産業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
60991824,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,000,総数,000,総数,00000,全国,2009000000,2009年
2437407,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,000,総数,001,個人業主,00000,全国,2009000000,2009年
698326,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,000,総数,002,無給の家族従業者,00000,全国,2009000000,2009年
4261515,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,000,総数,003,有給役員,00000,全国,2009000000,2009年
50258093,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
32535113,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
17722980,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
3336483,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
58442129,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,001,民営,000,総数,00000,全国,2009000000,2009年
2437407,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,001,民営,001,個人業主,00000,全国,2009000000,2009年
698326,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,001,民営,002,無給の家族従業者,00000,全国,2009000000,2009年
4261515,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,001,民営,003,有給役員,00000,全国,2009000000,2009年
47843039,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
30698440,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
17144599,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
3201842,004,従業者数　総数,001,A～R全産業（Ｓ公務を除く）,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
387662,004,従業者数　総数,002,A～B農林漁業,000,総数,000,総数,00000,全国,2009000000,2009年
73393,004,従業者数　総数,002,A～B農林漁業,000,総数,003,有給役員,00000,全国,2009000000,2009年
251000,004,従業者数　総数,002,A～B農林漁業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
