value,tab,tab_label,cat01,cat01_label,time,time_label
5768489,831,事業所数（事業内容等不詳を含む）,00000,全国,2012000000,2012年
242432,831,事業所数（事業内容等不詳を含む）,01000,北海道,2012000000,2012年
79388,831,事業所数（事業内容等不詳を含む）,01100,札幌市,2012000000,2012年
25025,831,事業所数（事業内容等不詳を含む）,01101,中央区,2012000000,2012年
9563,831,事業所数（事業内容等不詳を含む）,01102,北区,2012000000,2012年
9270,831,事業所数（事業内容等不詳を含む）,01103,東区,2012000000,2012年
8353,831,事業所数（事業内容等不詳を含む）,01104,白石区,2012000000,2012年
6598,831,事業所数（事業内容等不詳を含む）,01105,豊平区,2012000000,2012年
3708,831,事業所数（事業内容等不詳を含む）,01106,南区,2012000000,2012年
7247,831,事業所数（事業内容等不詳を含む）,01107,西区,2012000000,2012年
3034,831,事業所数（事業内容等不詳を含む）,01108,厚別区,2012000000,2012年
3482,831,事業所数（事業内容等不詳を含む）,01109,手稲区,2012000000,2012年
3108,831,事業所数（事業内容等不詳を含む）,01110,清田区,2012000000,2012年
14157,831,事業所数（事業内容等不詳を含む）,01202,函館市,2012000000,2012年
6298,831,事業所数（事業内容等不詳を含む）,01203,小樽市,2012000000,2012年
15484,831,事業所数（事業内容等不詳を含む）,01204,旭川市,2012000000,2012年
4677,831,事業所数（事業内容等不詳を含む）,01205,室蘭市,2012000000,2012年
8945,831,事業所数（事業内容等不詳を含む）,01206,釧路市,2012000000,2012年
8993,831,事業所数（事業内容等不詳を含む）,01207,帯広市,2012000000,2012年
5933,831,事業所数（事業内容等不詳を含む）,01208,北見市,2012000000,2012年
549,831,事業所数（事業内容等不詳を含む）,01209,夕張市,2012000000,2012年
3454,831,事業所数（事業内容等不詳を含む）,01210,岩見沢市,2012000000,2012年
2015,831,事業所数（事業内容等不詳を含む）,01211,網走市,2012000000,2012年
1303,831,事業所数（事業内容等不詳を含む）,01212,留萌市,2012000000,2012年
7874,831,事業所数（事業内容等不詳を含む）,01213,苫小牧市,2012000000,2012年
2135,831,事業所数（事業内容等不詳を含む）,01214,稚内市,2012000000,2012年
1061,831,事業所数（事業内容等不詳を含む）,01215,美唄市,2012000000,2012年
719,831,事業所数（事業内容等不詳を含む）,01216,芦別市,2012000000,2012年
3608,831,事業所数（事業内容等不詳を含む）,01217,江別市,2012000000,2012年
479,831,事業所数（事業内容等不詳を含む）,01218,赤平市,2012000000,2012年
1392,831,事業所数（事業内容等不詳を含む）,01219,紋別市,2012000000,2012年
1247,831,事業所数（事業内容等不詳を含む）,01220,士別市,2012000000,2012年
1497,831,事業所数（事業内容等不詳を含む）,01221,名寄市,2012000000,2012年
434,831,事業所数（事業内容等不詳を含む）,01222,三笠市,2012000000,2012年
1586,831,事業所数（事業内容等不詳を含む）,01223,根室市,2012000000,2012年
3218,831,事業所数（事業内容等不詳を含む）,01224,千歳市,2012000000,2012年
2012,831,事業所数（事業内容等不詳を含む）,01225,滝川市,2012000000,2012年
850,831,事業所数（事業内容等不詳を含む）,01226,砂川市,2012000000,2012年
147,831,事業所数（事業内容等不詳を含む）,01227,歌志内市,2012000000,2012年
1128,831,事業所数（事業内容等不詳を含む）,01228,深川市,2012000000,2012年
1222,831,事業所数（事業内容等不詳を含む）,01229,富良野市,2012000000,2012年
1704,831,事業所数（事業内容等不詳を含む）,01230,登別市,2012000000,2012年
1951,831,事業所数（事業内容等不詳を含む）,01231,恵庭市,2012000000,2012年
1440,831,事業所数（事業内容等不詳を含む）,01233,伊達市,2012000000,2012年
1901,831,事業所数（事業内容等不詳を含む）,01234,北広島市,2012000000,2012年
2216,831,事業所数（事業内容等不詳を含む）,01235,石狩市,2012000000,2012年
1756,831,事業所数（事業内容等不詳を含む）,01236,北斗市,2012000000,2012年
735,831,事業所数（事業内容等不詳を含む）,01300,石狩振興局,2012000000,2012年
631,831,事業所数（事業内容等不詳を含む）,01303,当別町,2012000000,2012年
104,831,事業所数（事業内容等不詳を含む）,01304,新篠津村,2012000000,2012年
4404,831,事業所数（事業内容等不詳を含む）,01330,渡島総合振興局,2012000000,2012年
415,831,事業所数（事業内容等不詳を含む）,01331,松前町,2012000000,2012年
281,831,事業所数（事業内容等不詳を含む）,01332,福島町,2012000000,2012年
195,831,事業所数（事業内容等不詳を含む）,01333,知内町,2012000000,2012年
278,831,事業所数（事業内容等不詳を含む）,01334,木古内町,2012000000,2012年
909,831,事業所数（事業内容等不詳を含む）,01337,七飯町,2012000000,2012年
160,831,事業所数（事業内容等不詳を含む）,01343,鹿部町,2012000000,2012年
891,831,事業所数（事業内容等不詳を含む）,01345,森町,2012000000,2012年
933,831,事業所数（事業内容等不詳を含む）,01346,八雲町,2012000000,2012年
342,831,事業所数（事業内容等不詳を含む）,01347,長万部町,2012000000,2012年
2106,831,事業所数（事業内容等不詳を含む）,01360,檜山振興局,2012000000,2012年
508,831,事業所数（事業内容等不詳を含む）,01361,江差町,2012000000,2012年
234,831,事業所数（事業内容等不詳を含む）,01362,上ノ国町,2012000000,2012年
216,831,事業所数（事業内容等不詳を含む）,01363,厚沢部町,2012000000,2012年
175,831,事業所数（事業内容等不詳を含む）,01364,乙部町,2012000000,2012年
230,831,事業所数（事業内容等不詳を含む）,01367,奥尻町,2012000000,2012年
256,831,事業所数（事業内容等不詳を含む）,01370,今金町,2012000000,2012年
