value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
19359,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,00000,全国,2016000000,2016年
619,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,01000,北海道,2016000000,2016年
473,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,01100,札幌市,2016000000,2016年
79,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,02000,青森県,2016000000,2016年
114,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,03000,岩手県,2016000000,2016年
338,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,04000,宮城県,2016000000,2016年
313,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,04100,仙台市,2016000000,2016年
78,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,05000,秋田県,2016000000,2016年
92,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,06000,山形県,2016000000,2016年
154,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,07000,福島県,2016000000,2016年
299,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,08000,茨城県,2016000000,2016年
163,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,09000,栃木県,2016000000,2016年
204,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,10000,群馬県,2016000000,2016年
549,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,11000,埼玉県,2016000000,2016年
161,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,11100,さいたま市,2016000000,2016年
467,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,12000,千葉県,2016000000,2016年
114,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,12100,千葉市,2016000000,2016年
5762,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,13000,東京都,2016000000,2016年
5095,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,13100,特別区部,2016000000,2016年
1485,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,14000,神奈川県,2016000000,2016年
822,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,14100,横浜市,2016000000,2016年
271,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,14130,川崎市,2016000000,2016年
68,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,14150,相模原市,2016000000,2016年
269,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,15000,新潟県,2016000000,2016年
155,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,15100,新潟市,2016000000,2016年
119,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,16000,富山県,2016000000,2016年
184,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,17000,石川県,2016000000,2016年
114,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,18000,福井県,2016000000,2016年
100,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,19000,山梨県,2016000000,2016年
304,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,20000,長野県,2016000000,2016年
157,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,21000,岐阜県,2016000000,2016年
447,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,22000,静岡県,2016000000,2016年
116,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,22100,静岡市,2016000000,2016年
141,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,22130,浜松市,2016000000,2016年
1267,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,23000,愛知県,2016000000,2016年
899,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,23100,名古屋市,2016000000,2016年
130,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,24000,三重県,2016000000,2016年
96,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,25000,滋賀県,2016000000,2016年
258,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,26000,京都府,2016000000,2016年
195,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,26100,京都市,2016000000,2016年
1902,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,27000,大阪府,2016000000,2016年
1525,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,27100,大阪市,2016000000,2016年
42,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,27140,堺市,2016000000,2016年
547,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,28000,兵庫県,2016000000,2016年
282,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,28100,神戸市,2016000000,2016年
58,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,29000,奈良県,2016000000,2016年
56,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,30000,和歌山県,2016000000,2016年
55,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,31000,鳥取県,2016000000,2016年
69,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,32000,島根県,2016000000,2016年
215,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,33000,岡山県,2016000000,2016年
