value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label
45346,811,事業所数,100,合計,01490,E製造業,2016000000,2016年
7561,811,事業所数,100,合計,01500,09食料品製造業,2016000000,2016年
736,811,事業所数,100,合計,02040,10飲料・たばこ・飼料製造業,2016000000,2016年
1907,811,事業所数,100,合計,02280,11繊維工業,2016000000,2016年
652,811,事業所数,100,合計,03050,12木材・木製品製造業（家具を除く）,2016000000,2016年
568,811,事業所数,100,合計,03310,13家具・装備品製造業,2016000000,2016年
1530,811,事業所数,100,合計,03480,14パルプ・紙・紙加工品製造業,2016000000,2016年
1963,811,事業所数,100,合計,03730,15印刷・同関連業,2016000000,2016年
2194,811,事業所数,100,合計,03880,16化学工業,2016000000,2016年
93,811,事業所数,100,合計,04370,17石油製品・石炭製品製造業,2016000000,2016年
3186,811,事業所数,100,合計,04510,18プラスチック製品製造業（別掲を除く）,2016000000,2016年
621,811,事業所数,100,合計,04860,19ゴム製品製造業,2016000000,2016年
153,811,事業所数,100,合計,05070,20なめし革・同製品・毛皮製造業,2016000000,2016年
1497,811,事業所数,100,合計,05300,21窯業・土石製品製造業,2016000000,2016年
1211,811,事業所数,100,合計,05870,22鉄鋼業,2016000000,2016年
775,811,事業所数,100,合計,06210,23非鉄金属製造業,2016000000,2016年
4227,811,事業所数,100,合計,06490,24金属製品製造業,2016000000,2016年
1677,811,事業所数,100,合計,06950,25はん用機械器具製造業,2016000000,2016年
3777,811,事業所数,100,合計,07220,26生産用機械器具製造業,2016000000,2016年
1215,811,事業所数,100,合計,07600,27業務用機械器具製造業,2016000000,2016年
1760,811,事業所数,100,合計,07930,28電子部品・デバイス・電子回路製造業,2016000000,2016年
2669,811,事業所数,100,合計,08180,29電気機械器具製造業,2016000000,2016年
594,811,事業所数,100,合計,08530,30情報通信機械器具製造業,2016000000,2016年
3883,811,事業所数,100,合計,08750,31輸送用機械器具製造業,2016000000,2016年
897,811,事業所数,100,合計,09010,32その他の製造業,2016000000,2016年
2380,811,事業所数,110,500m2未満,01490,E製造業,2016000000,2016年
499,811,事業所数,110,500m2未満,01500,09食料品製造業,2016000000,2016年
40,811,事業所数,110,500m2未満,02040,10飲料・たばこ・飼料製造業,2016000000,2016年
131,811,事業所数,110,500m2未満,02280,11繊維工業,2016000000,2016年
27,811,事業所数,110,500m2未満,03050,12木材・木製品製造業（家具を除く）,2016000000,2016年
29,811,事業所数,110,500m2未満,03310,13家具・装備品製造業,2016000000,2016年
73,811,事業所数,110,500m2未満,03480,14パルプ・紙・紙加工品製造業,2016000000,2016年
171,811,事業所数,110,500m2未満,03730,15印刷・同関連業,2016000000,2016年
78,811,事業所数,110,500m2未満,03880,16化学工業,2016000000,2016年
8,811,事業所数,110,500m2未満,04370,17石油製品・石炭製品製造業,2016000000,2016年
142,811,事業所数,110,500m2未満,04510,18プラスチック製品製造業（別掲を除く）,2016000000,2016年
25,811,事業所数,110,500m2未満,04860,19ゴム製品製造業,2016000000,2016年
23,811,事業所数,110,500m2未満,05070,20なめし革・同製品・毛皮製造業,2016000000,2016年
89,811,事業所数,110,500m2未満,05300,21窯業・土石製品製造業,2016000000,2016年
34,811,事業所数,110,500m2未満,05870,22鉄鋼業,2016000000,2016年
15,811,事業所数,110,500m2未満,06210,23非鉄金属製造業,2016000000,2016年
137,811,事業所数,110,500m2未満,06490,24金属製品製造業,2016000000,2016年
36,811,事業所数,110,500m2未満,06950,25はん用機械器具製造業,2016000000,2016年
126,811,事業所数,110,500m2未満,07220,26生産用機械器具製造業,2016000000,2016年
67,811,事業所数,110,500m2未満,07600,27業務用機械器具製造業,2016000000,2016年
87,811,事業所数,110,500m2未満,07930,28電子部品・デバイス・電子回路製造業,2016000000,2016年
161,811,事業所数,110,500m2未満,08180,29電気機械器具製造業,2016000000,2016年
39,811,事業所数,110,500m2未満,08530,30情報通信機械器具製造業,2016000000,2016年
273,811,事業所数,110,500m2未満,08750,31輸送用機械器具製造業,2016000000,2016年
70,811,事業所数,110,500m2未満,09010,32その他の製造業,2016000000,2016年
1859,811,事業所数,120,500m2以上1000m2未満,01490,E製造業,2016000000,2016年
