value,tab,tab_label,area,area_label,time,time_label,unit
60562,300,受注高,00042,北海道地方,2026000505,2026年5月,百万円
40686,300,受注高,00042,北海道地方,2026000404,2026年4月,百万円
144010,300,受注高,00042,北海道地方,2026000303,2026年3月,百万円
78906,300,受注高,00042,北海道地方,2026000202,2026年2月,百万円
26813,300,受注高,00042,北海道地方,2026000101,2026年1月,百万円
73759,300,受注高,00042,北海道地方,2025001212,2025年12月,百万円
48353,300,受注高,00042,北海道地方,2025001111,2025年11月,百万円
32132,300,受注高,00042,北海道地方,2025001010,2025年10月,百万円
172080,300,受注高,00042,北海道地方,2025000909,2025年9月,百万円
48925,300,受注高,00042,北海道地方,2025000808,2025年8月,百万円
46617,300,受注高,00042,北海道地方,2025000707,2025年7月,百万円
26093,300,受注高,00042,北海道地方,2025000606,2025年6月,百万円
41591,300,受注高,00042,北海道地方,2025000505,2025年5月,百万円
39392,300,受注高,00042,北海道地方,2025000404,2025年4月,百万円
285837,300,受注高,00042,北海道地方,2025000303,2025年3月,百万円
53170,300,受注高,00042,北海道地方,2025000202,2025年2月,百万円
65359,300,受注高,00042,北海道地方,2025000101,2025年1月,百万円
44142,300,受注高,00042,北海道地方,2024001212,2024年12月,百万円
35147,300,受注高,00042,北海道地方,2024001111,2024年11月,百万円
55228,300,受注高,00042,北海道地方,2024001010,2024年10月,百万円
123356,300,受注高,00042,北海道地方,2024000909,2024年9月,百万円
53153,300,受注高,00042,北海道地方,2024000808,2024年8月,百万円
26909,300,受注高,00042,北海道地方,2024000707,2024年7月,百万円
62586,300,受注高,00042,北海道地方,2024000606,2024年6月,百万円
43864,300,受注高,00042,北海道地方,2024000505,2024年5月,百万円
26730,300,受注高,00042,北海道地方,2024000404,2024年4月,百万円
180553,300,受注高,00042,北海道地方,2024000303,2024年3月,百万円
48727,300,受注高,00042,北海道地方,2024000202,2024年2月,百万円
36237,300,受注高,00042,北海道地方,2024000101,2024年1月,百万円
282490,300,受注高,00042,北海道地方,2023001212,2023年12月,百万円
28593,300,受注高,00042,北海道地方,2023001111,2023年11月,百万円
56726,300,受注高,00042,北海道地方,2023001010,2023年10月,百万円
64629,300,受注高,00042,北海道地方,2023000909,2023年9月,百万円
19720,300,受注高,00042,北海道地方,2023000808,2023年8月,百万円
48157,300,受注高,00042,北海道地方,2023000707,2023年7月,百万円
52166,300,受注高,00042,北海道地方,2023000606,2023年6月,百万円
42439,300,受注高,00042,北海道地方,2023000505,2023年5月,百万円
66310,300,受注高,00042,北海道地方,2023000404,2023年4月,百万円
166329,300,受注高,00042,北海道地方,2023000303,2023年3月,百万円
