value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label,unit
301334,110,輸送トン数,00500,合計,00500,合計,2024100000,2024年度,1000M/T
303486,110,輸送トン数,00500,合計,00500,合計,2023100000,2023年度,1000M/T
319944,110,輸送トン数,00500,合計,00500,合計,2022100000,2022年度,1000M/T
323758,110,輸送トン数,00500,合計,00500,合計,2021100000,2021年度,1000M/T
304338,110,輸送トン数,00500,合計,00500,合計,2020100000,2020年度,1000M/T
339876,110,輸送トン数,00500,合計,00500,合計,2019100000,2019年度,1000M/T
352823,110,輸送トン数,00500,合計,00500,合計,2018100000,2018年度,1000M/T
358664,110,輸送トン数,00500,合計,00500,合計,2017100000,2017年度,1000M/T
363130,110,輸送トン数,00500,合計,00500,合計,2016100000,2016年度,1000M/T
364098,110,輸送トン数,00500,合計,00500,合計,2015100000,2015年度,1000M/T
367143,110,輸送トン数,00500,合計,00500,合計,2014100000,2014年度,1000M/T
376583,110,輸送トン数,00500,合計,00500,合計,2013100000,2013年度,1000M/T
364774,110,輸送トン数,00500,合計,00500,合計,2012100000,2012年度,1000M/T
359901,110,輸送トン数,00500,合計,00500,合計,2011100000,2011年度,1000M/T
365418,110,輸送トン数,00500,合計,00500,合計,2010100000,2010年度,1000M/T
330408,110,輸送トン数,00500,合計,00500,合計,2009100000,2009年度,1000M/T
376292,110,輸送トン数,00500,合計,00500,合計,2008100000,2008年度,1000M/T
407481,110,輸送トン数,00500,合計,00500,合計,2007100000,2007年度,1000M/T
413747,110,輸送トン数,00500,合計,00500,合計,2006100000,2006年度,1000M/T
423348,110,輸送トン数,00500,合計,00500,合計,2005100000,2005年度,1000M/T
18738,110,輸送トン数,00500,合計,01000,北海道,2024100000,2024年度,1000M/T
18136,110,輸送トン数,00500,合計,01000,北海道,2023100000,2023年度,1000M/T
21961,110,輸送トン数,00500,合計,01000,北海道,2022100000,2022年度,1000M/T
20836,110,輸送トン数,00500,合計,01000,北海道,2021100000,2021年度,1000M/T
19649,110,輸送トン数,00500,合計,01000,北海道,2020100000,2020年度,1000M/T
19633,110,輸送トン数,00500,合計,01000,北海道,2019100000,2019年度,1000M/T
21644,110,輸送トン数,00500,合計,01000,北海道,2018100000,2018年度,1000M/T
23749,110,輸送トン数,00500,合計,01000,北海道,2017100000,2017年度,1000M/T
22868,110,輸送トン数,00500,合計,01000,北海道,2016100000,2016年度,1000M/T
22958,110,輸送トン数,00500,合計,01000,北海道,2015100000,2015年度,1000M/T
22265,110,輸送トン数,00500,合計,01000,北海道,2014100000,2014年度,1000M/T
21224,110,輸送トン数,00500,合計,01000,北海道,2013100000,2013年度,1000M/T
20608,110,輸送トン数,00500,合計,01000,北海道,2012100000,2012年度,1000M/T
20122,110,輸送トン数,00500,合計,01000,北海道,2011100000,2011年度,1000M/T
20552,110,輸送トン数,00500,合計,01000,北海道,2010100000,2010年度,1000M/T
20330,110,輸送トン数,00500,合計,01000,北海道,2009100000,2009年度,1000M/T
21260,110,輸送トン数,00500,合計,01000,北海道,2008100000,2008年度,1000M/T
23652,110,輸送トン数,00500,合計,01000,北海道,2007100000,2007年度,1000M/T
24814,110,輸送トン数,00500,合計,01000,北海道,2006100000,2006年度,1000M/T
26365,110,輸送トン数,00500,合計,01000,北海道,2005100000,2005年度,1000M/T
3903,110,輸送トン数,00500,合計,02000,青森県,2024100000,2024年度,1000M/T
3939,110,輸送トン数,00500,合計,02000,青森県,2023100000,2023年度,1000M/T
4204,110,輸送トン数,00500,合計,02000,青森県,2022100000,2022年度,1000M/T
3844,110,輸送トン数,00500,合計,02000,青森県,2021100000,2021年度,1000M/T
3390,110,輸送トン数,00500,合計,02000,青森県,2020100000,2020年度,1000M/T
3767,110,輸送トン数,00500,合計,02000,青森県,2019100000,2019年度,1000M/T
4546,110,輸送トン数,00500,合計,02000,青森県,2018100000,2018年度,1000M/T
4639,110,輸送トン数,00500,合計,02000,青森県,2017100000,2017年度,1000M/T
4429,110,輸送トン数,00500,合計,02000,青森県,2016100000,2016年度,1000M/T
4319,110,輸送トン数,00500,合計,02000,青森県,2015100000,2015年度,1000M/T
4548,110,輸送トン数,00500,合計,02000,青森県,2014100000,2014年度,1000M/T
4731,110,輸送トン数,00500,合計,02000,青森県,2013100000,2013年度,1000M/T
5035,110,輸送トン数,00500,合計,02000,青森県,2012100000,2012年度,1000M/T
4619,110,輸送トン数,00500,合計,02000,青森県,2011100000,2011年度,1000M/T
4464,110,輸送トン数,00500,合計,02000,青森県,2010100000,2010年度,1000M/T
3932,110,輸送トン数,00500,合計,02000,青森県,2009100000,2009年度,1000M/T
