value,tab,tab_label,cat01,cat01_label,time,time_label,unit
25559,110,輸送トン数,11,合計,2025001111,2025年11月,1000M/T
25318,110,輸送トン数,11,合計,2025001010,2025年10月,1000M/T
24434,110,輸送トン数,11,合計,2025000909,2025年9月,1000M/T
24344,110,輸送トン数,11,合計,2025000808,2025年8月,1000M/T
24740,110,輸送トン数,11,合計,2025000707,2025年7月,1000M/T
24283,110,輸送トン数,11,合計,2025000606,2025年6月,1000M/T
23147,110,輸送トン数,11,合計,2025000505,2025年5月,1000M/T
24336,110,輸送トン数,11,合計,2025000404,2025年4月,1000M/T
25571,110,輸送トン数,11,合計,2025000303,2025年3月,1000M/T
23155,110,輸送トン数,11,合計,2025000202,2025年2月,1000M/T
24168,110,輸送トン数,11,合計,2025000101,2025年1月,1000M/T
26540,110,輸送トン数,11,合計,2024001212,2024年12月,1000M/T
24941,110,輸送トン数,11,合計,2024001111,2024年11月,1000M/T
26880,110,輸送トン数,11,合計,2024001010,2024年10月,1000M/T
25605,110,輸送トン数,11,合計,2024000909,2024年9月,1000M/T
23116,110,輸送トン数,11,合計,2024000808,2024年8月,1000M/T
26404,110,輸送トン数,11,合計,2024000707,2024年7月,1000M/T
25094,110,輸送トン数,11,合計,2024000606,2024年6月,1000M/T
24399,110,輸送トン数,11,合計,2024000505,2024年5月,1000M/T
25462,110,輸送トン数,11,合計,2024000404,2024年4月,1000M/T
25590,110,輸送トン数,11,合計,2024000303,2024年3月,1000M/T
24309,110,輸送トン数,11,合計,2024000202,2024年2月,1000M/T
24123,110,輸送トン数,11,合計,2024000101,2024年1月,1000M/T
26947,110,輸送トン数,11,合計,2023001212,2023年12月,1000M/T
25664,110,輸送トン数,11,合計,2023001111,2023年11月,1000M/T
26327,110,輸送トン数,11,合計,2023001010,2023年10月,1000M/T
26581,110,輸送トン数,11,合計,2023000909,2023年9月,1000M/T
23437,110,輸送トン数,11,合計,2023000808,2023年8月,1000M/T
26057,110,輸送トン数,11,合計,2023000707,2023年7月,1000M/T
25335,110,輸送トン数,11,合計,2023000606,2023年6月,1000M/T
24672,110,輸送トン数,11,合計,2023000505,2023年5月,1000M/T
24443,110,輸送トン数,11,合計,2023000404,2023年4月,1000M/T
27666,110,輸送トン数,11,合計,2023000303,2023年3月,1000M/T
25695,110,輸送トン数,11,合計,2023000202,2023年2月,1000M/T
25768,110,輸送トン数,11,合計,2023000101,2023年1月,1000M/T
27030,110,輸送トン数,11,合計,2022001212,2022年12月,1000M/T
26709,110,輸送トン数,11,合計,2022001111,2022年11月,1000M/T
28018,110,輸送トン数,11,合計,2022001010,2022年10月,1000M/T
24879,110,輸送トン数,11,合計,2022000909,2022年9月,1000M/T
27054,110,輸送トン数,11,合計,2022000808,2022年8月,1000M/T
27911,110,輸送トン数,11,合計,2022000707,2022年7月,1000M/T
26645,110,輸送トン数,11,合計,2022000606,2022年6月,1000M/T
26146,110,輸送トン数,11,合計,2022000505,2022年5月,1000M/T
26424,110,輸送トン数,11,合計,2022000404,2022年4月,1000M/T
28374,110,輸送トン数,11,合計,2022000303,2022年3月,1000M/T
25418,110,輸送トン数,11,合計,2022000202,2022年2月,1000M/T
26490,110,輸送トン数,11,合計,2022000101,2022年1月,1000M/T
28522,110,輸送トン数,11,合計,2021001212,2021年12月,1000M/T
27438,110,輸送トン数,11,合計,2021001111,2021年11月,1000M/T
27614,110,輸送トン数,11,合計,2021001010,2021年10月,1000M/T
25908,110,輸送トン数,11,合計,2021000909,2021年9月,1000M/T
26751,110,輸送トン数,11,合計,2021000808,2021年8月,1000M/T
27694,110,輸送トン数,11,合計,2021000707,2021年7月,1000M/T
26566,110,輸送トン数,11,合計,2021000606,2021年6月,1000M/T
26376,110,輸送トン数,11,合計,2021000505,2021年5月,1000M/T
26605,110,輸送トン数,11,合計,2021000404,2021年4月,1000M/T
27996,110,輸送トン数,11,合計,2021000303,2021年3月,1000M/T
25169,110,輸送トン数,11,合計,2021000202,2021年2月,1000M/T
25908,110,輸送トン数,11,合計,2021000101,2021年1月,1000M/T
28064,110,輸送トン数,11,合計,2020001212,2020年12月,1000M/T
27214,110,輸送トン数,11,合計,2020001111,2020年11月,1000M/T
26912,110,輸送トン数,11,合計,2020001010,2020年10月,1000M/T
23930,110,輸送トン数,11,合計,2020000909,2020年9月,1000M/T
24684,110,輸送トン数,11,合計,2020000808,2020年8月,1000M/T
24647,110,輸送トン数,11,合計,2020000707,2020年7月,1000M/T
23336,110,輸送トン数,11,合計,2020000606,2020年6月,1000M/T
21984,110,輸送トン数,11,合計,2020000505,2020年5月,1000M/T
24492,110,輸送トン数,11,合計,2020000404,2020年4月,1000M/T
28735,110,輸送トン数,11,合計,2020000303,2020年3月,1000M/T
28134,110,輸送トン数,11,合計,2020000202,2020年2月,1000M/T
27165,110,輸送トン数,11,合計,2020000101,2020年1月,1000M/T
29834,110,輸送トン数,11,合計,2019001212,2019年12月,1000M/T
29369,110,輸送トン数,11,合計,2019001111,2019年11月,1000M/T
