value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label,unit
302741,110,輸送トン数,11,合計,11,合計,2024100000,2024年度,1000M/T
304404,110,輸送トン数,11,合計,11,合計,2023100000,2023年度,1000M/T
320929,110,輸送トン数,11,合計,11,合計,2022100000,2022年度,1000M/T
324659,110,輸送トン数,11,合計,11,合計,2021100000,2021年度,1000M/T
306076,110,輸送トン数,11,合計,11,合計,2020100000,2020年度,1000M/T
341450,110,輸送トン数,11,合計,11,合計,2019100000,2019年度,1000M/T
354445,110,輸送トン数,11,合計,11,合計,2018100000,2018年度,1000M/T
360127,110,輸送トン数,11,合計,11,合計,2017100000,2017年度,1000M/T
364485,110,輸送トン数,11,合計,11,合計,2016100000,2016年度,1000M/T
365486,110,輸送トン数,11,合計,11,合計,2015100000,2015年度,1000M/T
369302,110,輸送トン数,11,合計,11,合計,2014100000,2014年度,1000M/T
378334,110,輸送トン数,11,合計,11,合計,2013100000,2013年度,1000M/T
365992,110,輸送トン数,11,合計,11,合計,2012100000,2012年度,1000M/T
360983,110,輸送トン数,11,合計,11,合計,2011100000,2011年度,1000M/T
366734,110,輸送トン数,11,合計,11,合計,2010100000,2010年度,1000M/T
332175,110,輸送トン数,11,合計,11,合計,2009100000,2009年度,1000M/T
378705,110,輸送トン数,11,合計,11,合計,2008100000,2008年度,1000M/T
409694,110,輸送トン数,11,合計,11,合計,2007100000,2007年度,1000M/T
416644,110,輸送トン数,11,合計,11,合計,2006100000,2006年度,1000M/T
426145,110,輸送トン数,11,合計,11,合計,2005100000,2005年度,1000M/T
440252,110,輸送トン数,11,合計,11,合計,2004100000,2004年度,1000M/T
445544,110,輸送トン数,11,合計,11,合計,2003100000,2003年度,1000M/T
497251,110,輸送トン数,11,合計,11,合計,2002100000,2002年度,1000M/T
520067,110,輸送トン数,11,合計,11,合計,2001100000,2001年度,1000M/T
537021,110,輸送トン数,11,合計,11,合計,2000100000,2000年度,1000M/T
522602,110,輸送トン数,11,合計,11,合計,1999100000,1999年度,1000M/T
516647,110,輸送トン数,11,合計,11,合計,1998100000,1998年度,1000M/T
541437,110,輸送トン数,11,合計,11,合計,1997100000,1997年度,1000M/T
546909,110,輸送トン数,11,合計,11,合計,1996100000,1996年度,1000M/T
548542,110,輸送トン数,11,合計,11,合計,1995100000,1995年度,1000M/T
555764,110,輸送トン数,11,合計,11,合計,1994100000,1994年度,1000M/T
301334,110,輸送トン数,12,営業用,11,合計,2024100000,2024年度,1000M/T
303486,110,輸送トン数,12,営業用,11,合計,2023100000,2023年度,1000M/T
319944,110,輸送トン数,12,営業用,11,合計,2022100000,2022年度,1000M/T
323758,110,輸送トン数,12,営業用,11,合計,2021100000,2021年度,1000M/T
304338,110,輸送トン数,12,営業用,11,合計,2020100000,2020年度,1000M/T
339876,110,輸送トン数,12,営業用,11,合計,2019100000,2019年度,1000M/T
352823,110,輸送トン数,12,営業用,11,合計,2018100000,2018年度,1000M/T
358664,110,輸送トン数,12,営業用,11,合計,2017100000,2017年度,1000M/T
363130,110,輸送トン数,12,営業用,11,合計,2016100000,2016年度,1000M/T
364098,110,輸送トン数,12,営業用,11,合計,2015100000,2015年度,1000M/T
367143,110,輸送トン数,12,営業用,11,合計,2014100000,2014年度,1000M/T
376583,110,輸送トン数,12,営業用,11,合計,2013100000,2013年度,1000M/T
364774,110,輸送トン数,12,営業用,11,合計,2012100000,2012年度,1000M/T
359901,110,輸送トン数,12,営業用,11,合計,2011100000,2011年度,1000M/T
365418,110,輸送トン数,12,営業用,11,合計,2010100000,2010年度,1000M/T
330408,110,輸送トン数,12,営業用,11,合計,2009100000,2009年度,1000M/T
376292,110,輸送トン数,12,営業用,11,合計,2008100000,2008年度,1000M/T
407481,110,輸送トン数,12,営業用,11,合計,2007100000,2007年度,1000M/T
413747,110,輸送トン数,12,営業用,11,合計,2006100000,2006年度,1000M/T
423348,110,輸送トン数,12,営業用,11,合計,2005100000,2005年度,1000M/T
433249,110,輸送トン数,12,営業用,11,合計,2004100000,2004年度,1000M/T
438146,110,輸送トン数,12,営業用,11,合計,2003100000,2003年度,1000M/T
490880,110,輸送トン数,12,営業用,11,合計,2002100000,2002年度,1000M/T
511268,110,輸送トン数,12,営業用,11,合計,2001100000,2001年度,1000M/T
527367,110,輸送トン数,12,営業用,11,合計,2000100000,2000年度,1000M/T
515731,110,輸送トン数,12,営業用,11,合計,1999100000,1999年度,1000M/T
508983,110,輸送トン数,12,営業用,11,合計,1998100000,1998年度,1000M/T
534908,110,輸送トン数,12,営業用,11,合計,1997100000,1997年度,1000M/T
540264,110,輸送トン数,12,営業用,11,合計,1996100000,1996年度,1000M/T
541000,110,輸送トン数,12,営業用,11,合計,1995100000,1995年度,1000M/T
545630,110,輸送トン数,12,営業用,11,合計,1994100000,1994年度,1000M/T
286407,110,輸送トン数,12,営業用,12,鋼船及び木船,2024100000,2024年度,1000M/T
289483,110,輸送トン数,12,営業用,12,鋼船及び木船,2023100000,2023年度,1000M/T
305021,110,輸送トン数,12,営業用,12,鋼船及び木船,2022100000,2022年度,1000M/T
306362,110,輸送トン数,12,営業用,12,鋼船及び木船,2021100000,2021年度,1000M/T
286129,110,輸送トン数,12,営業用,12,鋼船及び木船,2020100000,2020年度,1000M/T
318046,110,輸送トン数,12,営業用,12,鋼船及び木船,2019100000,2019年度,1000M/T
330270,110,輸送トン数,12,営業用,12,鋼船及び木船,2018100000,2018年度,1000M/T
332306,110,輸送トン数,12,営業用,12,鋼船及び木船,2017100000,2017年度,1000M/T
335568,110,輸送トン数,12,営業用,12,鋼船及び木船,2016100000,2016年度,1000M/T
336080,110,輸送トン数,12,営業用,12,鋼船及び木船,2015100000,2015年度,1000M/T
339030,110,輸送トン数,12,営業用,12,鋼船及び木船,2014100000,2014年度,1000M/T
