value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
108614095,300,受注高,100,計,100,計,100,計,100,計,2023100000,2023年度,百万円
116577337,300,受注高,100,計,100,計,100,計,100,計,2022100000,2022年度,百万円
106994011,300,受注高,100,計,100,計,100,計,100,計,2021100000,2021年度,百万円
17152613,300,受注高,100,計,100,計,100,計,110,01 一般土木建築工事業,2023100000,2023年度,百万円
20848895,300,受注高,100,計,100,計,100,計,110,01 一般土木建築工事業,2022100000,2022年度,百万円
17498427,300,受注高,100,計,100,計,100,計,110,01 一般土木建築工事業,2021100000,2021年度,百万円
12557037,300,受注高,100,計,100,計,100,計,120,02 土木工事業,2023100000,2023年度,百万円
13160147,300,受注高,100,計,100,計,100,計,120,02 土木工事業,2022100000,2022年度,百万円
13052852,300,受注高,100,計,100,計,100,計,120,02 土木工事業,2021100000,2021年度,百万円
241971,300,受注高,100,計,100,計,100,計,130,03 造園工事業,2023100000,2023年度,百万円
446618,300,受注高,100,計,100,計,100,計,130,03 造園工事業,2022100000,2022年度,百万円
314761,300,受注高,100,計,100,計,100,計,130,03 造園工事業,2021100000,2021年度,百万円
885959,300,受注高,100,計,100,計,100,計,140,04 水道施設工事業,2023100000,2023年度,百万円
848619,300,受注高,100,計,100,計,100,計,140,04 水道施設工事業,2022100000,2022年度,百万円
671230,300,受注高,100,計,100,計,100,計,140,04 水道施設工事業,2021100000,2021年度,百万円
2118190,300,受注高,100,計,100,計,100,計,150,05 舗装工事業,2023100000,2023年度,百万円
1925147,300,受注高,100,計,100,計,100,計,150,05 舗装工事業,2022100000,2022年度,百万円
2020344,300,受注高,100,計,100,計,100,計,150,05 舗装工事業,2021100000,2021年度,百万円
211434,300,受注高,100,計,100,計,100,計,160,06 しゅんせつ工事業,2023100000,2023年度,百万円
283138,300,受注高,100,計,100,計,100,計,160,06 しゅんせつ工事業,2022100000,2022年度,百万円
143125,300,受注高,100,計,100,計,100,計,160,06 しゅんせつ工事業,2021100000,2021年度,百万円
26440862,300,受注高,100,計,100,計,100,計,170,07 建築工事業,2023100000,2023年度,百万円
27864874,300,受注高,100,計,100,計,100,計,170,07 建築工事業,2022100000,2022年度,百万円
25151739,300,受注高,100,計,100,計,100,計,170,07 建築工事業,2021100000,2021年度,百万円
3604897,300,受注高,100,計,100,計,100,計,180,08 木造建築工事業,2023100000,2023年度,百万円
4738828,300,受注高,100,計,100,計,100,計,180,08 木造建築工事業,2022100000,2022年度,百万円
5276499,300,受注高,100,計,100,計,100,計,180,08 木造建築工事業,2021100000,2021年度,百万円
582268,300,受注高,100,計,100,計,100,計,190,09 大工工事業,2023100000,2023年度,百万円
734829,300,受注高,100,計,100,計,100,計,190,09 大工工事業,2022100000,2022年度,百万円
874973,300,受注高,100,計,100,計,100,計,190,09 大工工事業,2021100000,2021年度,百万円
