value,cat01,cat01_label,time,time_label
345457,010010000,事業所数　実数,1999000000,1999年
341421,010010000,事業所数　実数,2000000000,2000年
316267,010010000,事業所数　実数,2001000000,2001年
290848,010010000,事業所数　実数,2002000000,2002年
293910,010010000,事業所数　実数,2003000000,2003年
271087,010010000,事業所数　実数,2004000000,2004年
276715,010010000,事業所数　実数,2005000000,2005年
258543,010010000,事業所数　実数,2006000000,2006年
258232,010010000,事業所数　実数,2007000000,2007年
262893,010010000,事業所数　実数,2008000000,2008年
-7.6,010020000,事業所数　前年比 （％）,1999000000,1999年
-1.2,010020000,事業所数　前年比 （％）,2000000000,2000年
-7.4,010020000,事業所数　前年比 （％）,2001000000,2001年
-7.3,010020000,事業所数　前年比 （％）,2002000000,2002年
1.1,010020000,事業所数　前年比 （％）,2003000000,2003年
-7.8,010020000,事業所数　前年比 （％）,2004000000,2004年
2.1,010020000,事業所数　前年比 （％）,2005000000,2005年
-6.6,010020000,事業所数　前年比 （％）,2006000000,2006年
-5.9,010020000,事業所数　前年比 （％）,2007000000,2007年
1.8,010020000,事業所数　前年比 （％）,2008000000,2008年
9377750,020010000,従業者数　実数 （人）,1999000000,1999年
9183833,020010000,従業者数　実数 （人）,2000000000,2000年
8866220,020010000,従業者数　実数 （人）,2001000000,2001年
8323589,020010000,従業者数　実数 （人）,2002000000,2002年
8226302,020010000,従業者数　実数 （人）,2003000000,2003年
8115743,020010000,従業者数　実数 （人）,2004000000,2004年
8156992,020010000,従業者数　実数 （人）,2005000000,2005年
8225442,020010000,従業者数　実数 （人）,2006000000,2006年
8518545,020010000,従業者数　実数 （人）,2007000000,2007年
8329065,020010000,従業者数　実数 （人）,2008000000,2008年
-4.7,020020000,従業者数　前年比 （％）,1999000000,1999年
-2.1,020020000,従業者数　前年比 （％）,2000000000,2000年
-3.5,020020000,従業者数　前年比 （％）,2001000000,2001年
-4.9,020020000,従業者数　前年比 （％）,2002000000,2002年
-1.2,020020000,従業者数　前年比 （％）,2003000000,2003年
-1.3,020020000,従業者数　前年比 （％）,2004000000,2004年
0.5,020020000,従業者数　前年比 （％）,2005000000,2005年
0.8,020020000,従業者数　前年比 （％）,2006000000,2006年
0.1,020020000,従業者数　前年比 （％）,2007000000,2007年
-2.2,020020000,従業者数　前年比 （％）,2008000000,2008年
42592831,030010000,現金給与総額　金額 （百万円）,1999000000,1999年
41728759,030010000,現金給与総額　金額 （百万円）,2000000000,2000年
40264898,030010000,現金給与総額　金額 （百万円）,2001000000,2001年
37108782,030010000,現金給与総額　金額 （百万円）,2002000000,2002年
35636118,030010000,現金給与総額　金額 （百万円）,2003000000,2003年
35487217,030010000,現金給与総額　金額 （百万円）,2004000000,2004年
35722578,030010000,現金給与総額　金額 （百万円）,2005000000,2005年
36236436,030010000,現金給与総額　金額 （百万円）,2006000000,2006年
37685319,030010000,現金給与総額　金額 （百万円）,2007000000,2007年
37126982,030010000,現金給与総額　金額 （百万円）,2008000000,2008年
-5,030020000,現金給与総額　前年比 （％）,1999000000,1999年
-2,030020000,現金給与総額　前年比 （％）,2000000000,2000年
-3.5,030020000,現金給与総額　前年比 （％）,2001000000,2001年
-5.6,030020000,現金給与総額　前年比 （％）,2002000000,2002年
-4,030020000,現金給与総額　前年比 （％）,2003000000,2003年
-0.4,030020000,現金給与総額　前年比 （％）,2004000000,2004年
0.7,030020000,現金給与総額　前年比 （％）,2005000000,2005年
1.4,030020000,現金給与総額　前年比 （％）,2006000000,2006年
1.2,030020000,現金給与総額　前年比 （％）,2007000000,2007年
-1.5,030020000,現金給与総額　前年比 （％）,2008000000,2008年
161996953,040010000,原材料使用額等　金額 （百万円）,1999000000,1999年
169733006,040010000,原材料使用額等　金額 （百万円）,2000000000,2000年
162885540,040010000,原材料使用額等　金額 （百万円）,2001000000,2001年
152082143,040010000,原材料使用額等　金額 （百万円）,2002000000,2002年
156366867,040010000,原材料使用額等　金額 （百万円）,2003000000,2003年
164592364,040010000,原材料使用額等　金額 （百万円）,2004000000,2004年
174760879,040010000,原材料使用額等　金額 （百万円）,2005000000,2005年
191033327,040010000,原材料使用額等　金額 （百万円）,2006000000,2006年
211083949,040010000,原材料使用額等　金額 （百万円）,2007000000,2007年
216223265,040010000,原材料使用額等　金額 （百万円）,2008000000,2008年
-5.8,040020000,原材料使用額等　前年比 （％）,1999000000,1999年
4.8,040020000,原材料使用額等　前年比 （％）,2000000000,2000年
-4,040020000,原材料使用額等　前年比 （％）,2001000000,2001年
-5.7,040020000,原材料使用額等　前年比 （％）,2002000000,2002年
2.8,040020000,原材料使用額等　前年比 （％）,2003000000,2003年
5.3,040020000,原材料使用額等　前年比 （％）,2004000000,2004年
6.2,040020000,原材料使用額等　前年比 （％）,2005000000,2005年
9.3,040020000,原材料使用額等　前年比 （％）,2006000000,2006年
-,040020000,原材料使用額等　前年比 （％）,2007000000,2007年
2.4,040020000,原材料使用額等　前年比 （％）,2008000000,2008年
291449554,050010000,製造品出荷額等　金額 （百万円）,1999000000,1999年
300477604,050010000,製造品出荷額等　金額 （百万円）,2000000000,2000年
286667406,050010000,製造品出荷額等　金額 （百万円）,2001000000,2001年
269361805,050010000,製造品出荷額等　金額 （百万円）,2002000000,2002年
273409438,050010000,製造品出荷額等　金額 （百万円）,2003000000,2003年
283529598,050010000,製造品出荷額等　金額 （百万円）,2004000000,2004年
295345543,050010000,製造品出荷額等　金額 （百万円）,2005000000,2005年
314834621,050010000,製造品出荷額等　金額 （百万円）,2006000000,2006年
336756635,050010000,製造品出荷額等　金額 （百万円）,2007000000,2007年
334016041,050010000,製造品出荷額等　金額 （百万円）,2008000000,2008年
-4.7,050020000,製造品出荷額等　前年比 （％）,1999000000,1999年
3.1,050020000,製造品出荷額等　前年比 （％）,2000000000,2000年
-4.6,050020000,製造品出荷額等　前年比 （％）,2001000000,2001年
-4.4,050020000,製造品出荷額等　前年比 （％）,2002000000,2002年
1.5,050020000,製造品出荷額等　前年比 （％）,2003000000,2003年
3.7,050020000,製造品出荷額等　前年比 （％）,2004000000,2004年
4.2,050020000,製造品出荷額等　前年比 （％）,2005000000,2005年
6.6,050020000,製造品出荷額等　前年比 （％）,2006000000,2006年
-,050020000,製造品出荷額等　前年比 （％）,2007000000,2007年
-0.8,050020000,製造品出荷額等　前年比 （％）,2008000000,2008年
107859559,060010000,付加価値額　金額 （百万円）,1999000000,1999年
110242635,060010000,付加価値額　金額 （百万円）,2000000000,2000年
103305132,060010000,付加価値額　金額 （百万円）,2001000000,2001年
97458726,060010000,付加価値額　金額 （百万円）,2002000000,2002年
98551522,060010000,付加価値額　金額 （百万円）,2003000000,2003年
101246663,060010000,付加価値額　金額 （百万円）,2004000000,2004年
103966838,060010000,付加価値額　金額 （百万円）,2005000000,2005年
107598153,060010000,付加価値額　金額 （百万円）,2006000000,2006年
108656444,060010000,付加価値額　金額 （百万円）,2007000000,2007年
100852400,060010000,付加価値額　金額 （百万円）,2008000000,2008年
-4.7,060020000,付加価値額　前年比 （％）,1999000000,1999年
2.2,060020000,付加価値額　前年比 （％）,2000000000,2000年
-6.3,060020000,付加価値額　前年比 （％）,2001000000,2001年
-2.9,060020000,付加価値額　前年比 （％）,2002000000,2002年
1.1,060020000,付加価値額　前年比 （％）,2003000000,2003年
2.7,060020000,付加価値額　前年比 （％）,2004000000,2004年
2.7,060020000,付加価値額　前年比 （％）,2005000000,2005年
3.5,060020000,付加価値額　前年比 （％）,2006000000,2006年
-,060020000,付加価値額　前年比 （％）,2007000000,2007年
-7.2,060020000,付加価値額　前年比 （％）,2008000000,2008年
11089230,110010000,有形固定資産投資総額　金額 （百万円）,1999000000,1999年
11325748,110010000,有形固定資産投資総額　金額 （百万円）,2000000000,2000年
11845227,110010000,有形固定資産投資総額　金額 （百万円）,2001000000,2001年
9508008,110010000,有形固定資産投資総額　金額 （百万円）,2002000000,2002年
8918418,110010000,有形固定資産投資総額　金額 （百万円）,2003000000,2003年
10340831,110010000,有形固定資産投資総額　金額 （百万円）,2004000000,2004年
11728278,110010000,有形固定資産投資総額　金額 （百万円）,2005000000,2005年
13096100,110010000,有形固定資産投資総額　金額 （百万円）,2006000000,2006年
14020169,110010000,有形固定資産投資総額　金額 （百万円）,2007000000,2007年
13704950,110010000,有形固定資産投資総額　金額 （百万円）,2008000000,2008年
-16.9,110020000,有形固定資産投資総額　前年比 （％）,1999000000,1999年
2.1,110020000,有形固定資産投資総額　前年比 （％）,2000000000,2000年
4.6,110020000,有形固定資産投資総額　前年比 （％）,2001000000,2001年
-18.8,110020000,有形固定資産投資総額　前年比 （％）,2002000000,2002年
-6.2,110020000,有形固定資産投資総額　前年比 （％）,2003000000,2003年
15.9,110020000,有形固定資産投資総額　前年比 （％）,2004000000,2004年
13.4,110020000,有形固定資産投資総額　前年比 （％）,2005000000,2005年
11.7,110020000,有形固定資産投資総額　前年比 （％）,2006000000,2006年
5.4,110020000,有形固定資産投資総額　前年比 （％）,2007000000,2007年
-2.2,110020000,有形固定資産投資総額　前年比 （％）,2008000000,2008年
