value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label
9792,20,１事業所当たり金額,10,製造業,0010,総数,010,売上高,2018000000,2018年
9345,20,１事業所当たり金額,10,製造業,0010,総数,010,売上高,2017000000,2017年
10461,20,１事業所当たり金額,10,製造業,0010,総数,010,売上高,2016000000,2016年
9994,20,１事業所当たり金額,10,製造業,0010,総数,010,売上高,2015000000,2015年
9806,20,１事業所当たり金額,10,製造業,0010,総数,010,売上高,2014000000,2014年
9455,20,１事業所当たり金額,10,製造業,0010,総数,010,売上高,2013000000,2013年
9403,20,１事業所当たり金額,10,製造業,0010,総数,010,売上高,2012000000,2012年
10572,20,１事業所当たり金額,10,製造業,0010,総数,010,売上高,2011000000,2011年
8799,20,１事業所当たり金額,10,製造業,0010,総数,010,売上高,2010000000,2010年
9030,20,１事業所当たり金額,10,製造業,0010,総数,010,売上高,2009000000,2009年
10551,20,１事業所当たり金額,10,製造業,0010,総数,010,売上高,2008000000,2008年
3107,20,１事業所当たり金額,10,製造業,0010,総数,020,売上原価,2018000000,2018年
2896,20,１事業所当たり金額,10,製造業,0010,総数,020,売上原価,2017000000,2017年
3812,20,１事業所当たり金額,10,製造業,0010,総数,020,売上原価,2016000000,2016年
3197,20,１事業所当たり金額,10,製造業,0010,総数,020,売上原価,2015000000,2015年
3338,20,１事業所当たり金額,10,製造業,0010,総数,020,売上原価,2014000000,2014年
3106,20,１事業所当たり金額,10,製造業,0010,総数,020,売上原価,2013000000,2013年
3032,20,１事業所当たり金額,10,製造業,0010,総数,020,売上原価,2012000000,2012年
3866,20,１事業所当たり金額,10,製造業,0010,総数,020,売上原価,2011000000,2011年
2633,20,１事業所当たり金額,10,製造業,0010,総数,020,売上原価,2010000000,2010年
3069,20,１事業所当たり金額,10,製造業,0010,総数,020,売上原価,2009000000,2009年
3102,20,１事業所当たり金額,10,製造業,0010,総数,020,売上原価,2008000000,2008年
580,20,１事業所当たり金額,10,製造業,0010,総数,030,売上原価 期首棚卸高,2018000000,2018年
597,20,１事業所当たり金額,10,製造業,0010,総数,030,売上原価 期首棚卸高,2017000000,2017年
736,20,１事業所当たり金額,10,製造業,0010,総数,030,売上原価 期首棚卸高,2016000000,2016年
599,20,１事業所当たり金額,10,製造業,0010,総数,030,売上原価 期首棚卸高,2015000000,2015年
651,20,１事業所当たり金額,10,製造業,0010,総数,030,売上原価 期首棚卸高,2014000000,2014年
625,20,１事業所当たり金額,10,製造業,0010,総数,030,売上原価 期首棚卸高,2013000000,2013年
858,20,１事業所当たり金額,10,製造業,0010,総数,030,売上原価 期首棚卸高,2012000000,2012年
808,20,１事業所当たり金額,10,製造業,0010,総数,030,売上原価 期首棚卸高,2011000000,2011年
721,20,１事業所当たり金額,10,製造業,0010,総数,030,売上原価 期首棚卸高,2010000000,2010年
615,20,１事業所当たり金額,10,製造業,0010,総数,030,売上原価 期首棚卸高,2009000000,2009年
659,20,１事業所当たり金額,10,製造業,0010,総数,030,売上原価 期首棚卸高,2008000000,2008年
3090,20,１事業所当たり金額,10,製造業,0010,総数,040,売上原価 仕入高,2018000000,2018年
2859,20,１事業所当たり金額,10,製造業,0010,総数,040,売上原価 仕入高,2017000000,2017年
3819,20,１事業所当たり金額,10,製造業,0010,総数,040,売上原価 仕入高,2016000000,2016年
3150,20,１事業所当たり金額,10,製造業,0010,総数,040,売上原価 仕入高,2015000000,2015年
3301,20,１事業所当たり金額,10,製造業,0010,総数,040,売上原価 仕入高,2014000000,2014年
3110,20,１事業所当たり金額,10,製造業,0010,総数,040,売上原価 仕入高,2013000000,2013年
3021,20,１事業所当たり金額,10,製造業,0010,総数,040,売上原価 仕入高,2012000000,2012年
3892,20,１事業所当たり金額,10,製造業,0010,総数,040,売上原価 仕入高,2011000000,2011年
2627,20,１事業所当たり金額,10,製造業,0010,総数,040,売上原価 仕入高,2010000000,2010年
3050,20,１事業所当たり金額,10,製造業,0010,総数,040,売上原価 仕入高,2009000000,2009年
3092,20,１事業所当たり金額,10,製造業,0010,総数,040,売上原価 仕入高,2008000000,2008年
564,20,１事業所当たり金額,10,製造業,0010,総数,050,売上原価 期末棚卸高,2018000000,2018年
561,20,１事業所当たり金額,10,製造業,0010,総数,050,売上原価 期末棚卸高,2017000000,2017年
742,20,１事業所当たり金額,10,製造業,0010,総数,050,売上原価 期末棚卸高,2016000000,2016年
552,20,１事業所当たり金額,10,製造業,0010,総数,050,売上原価 期末棚卸高,2015000000,2015年
614,20,１事業所当たり金額,10,製造業,0010,総数,050,売上原価 期末棚卸高,2014000000,2014年
630,20,１事業所当たり金額,10,製造業,0010,総数,050,売上原価 期末棚卸高,2013000000,2013年
847,20,１事業所当たり金額,10,製造業,0010,総数,050,売上原価 期末棚卸高,2012000000,2012年
835,20,１事業所当たり金額,10,製造業,0010,総数,050,売上原価 期末棚卸高,2011000000,2011年
715,20,１事業所当たり金額,10,製造業,0010,総数,050,売上原価 期末棚卸高,2010000000,2010年
596,20,１事業所当たり金額,10,製造業,0010,総数,050,売上原価 期末棚卸高,2009000000,2009年
649,20,１事業所当たり金額,10,製造業,0010,総数,050,売上原価 期末棚卸高,2008000000,2008年
6685,20,１事業所当たり金額,10,製造業,0010,総数,060,売上総利益,2018000000,2018年
6449,20,１事業所当たり金額,10,製造業,0010,総数,060,売上総利益,2017000000,2017年
6648,20,１事業所当たり金額,10,製造業,0010,総数,060,売上総利益,2016000000,2016年
6797,20,１事業所当たり金額,10,製造業,0010,総数,060,売上総利益,2015000000,2015年
6468,20,１事業所当たり金額,10,製造業,0010,総数,060,売上総利益,2014000000,2014年
6350,20,１事業所当たり金額,10,製造業,0010,総数,060,売上総利益,2013000000,2013年
6370,20,１事業所当たり金額,10,製造業,0010,総数,060,売上総利益,2012000000,2012年
6706,20,１事業所当たり金額,10,製造業,0010,総数,060,売上総利益,2011000000,2011年
6165,20,１事業所当たり金額,10,製造業,0010,総数,060,売上総利益,2010000000,2010年
5962,20,１事業所当たり金額,10,製造業,0010,総数,060,売上総利益,2009000000,2009年
7450,20,１事業所当たり金額,10,製造業,0010,総数,060,売上総利益,2008000000,2008年
4183,20,１事業所当たり金額,10,製造業,0010,総数,070,営業費,2018000000,2018年
4156,20,１事業所当たり金額,10,製造業,0010,総数,070,営業費,2017000000,2017年
4272,20,１事業所当たり金額,10,製造業,0010,総数,070,営業費,2016000000,2016年
4231,20,１事業所当たり金額,10,製造業,0010,総数,070,営業費,2015000000,2015年
4361,20,１事業所当たり金額,10,製造業,0010,総数,070,営業費,2014000000,2014年
4051,20,１事業所当たり金額,10,製造業,0010,総数,070,営業費,2013000000,2013年
4070,20,１事業所当たり金額,10,製造業,0010,総数,070,営業費,2012000000,2012年
4559,20,１事業所当たり金額,10,製造業,0010,総数,070,営業費,2011000000,2011年
4132,20,１事業所当たり金額,10,製造業,0010,総数,070,営業費,2010000000,2010年
4043,20,１事業所当たり金額,10,製造業,0010,総数,070,営業費,2009000000,2009年
4754,20,１事業所当たり金額,10,製造業,0010,総数,070,営業費,2008000000,2008年
913,20,１事業所当たり金額,10,製造業,0010,総数,080,営業費 給料賃金,2018000000,2018年
863,20,１事業所当たり金額,10,製造業,0010,総数,080,営業費 給料賃金,2017000000,2017年
938,20,１事業所当たり金額,10,製造業,0010,総数,080,営業費 給料賃金,2016000000,2016年
898,20,１事業所当たり金額,10,製造業,0010,総数,080,営業費 給料賃金,2015000000,2015年
834,20,１事業所当たり金額,10,製造業,0010,総数,080,営業費 給料賃金,2014000000,2014年
826,20,１事業所当たり金額,10,製造業,0010,総数,080,営業費 給料賃金,2013000000,2013年
933,20,１事業所当たり金額,10,製造業,0010,総数,080,営業費 給料賃金,2012000000,2012年
1032,20,１事業所当たり金額,10,製造業,0010,総数,080,営業費 給料賃金,2011000000,2011年
1104,20,１事業所当たり金額,10,製造業,0010,総数,080,営業費 給料賃金,2010000000,2010年
1021,20,１事業所当たり金額,10,製造業,0010,総数,080,営業費 給料賃金,2009000000,2009年
1100,20,１事業所当たり金額,10,製造業,0010,総数,080,営業費 給料賃金,2008000000,2008年
876,20,１事業所当たり金額,10,製造業,0010,総数,090,営業費 給料賃金 うち常用雇用者,2018000000,2018年
843,20,１事業所当たり金額,10,製造業,0010,総数,090,営業費 給料賃金 うち常用雇用者,2017000000,2017年
921,20,１事業所当たり金額,10,製造業,0010,総数,090,営業費 給料賃金 うち常用雇用者,2016000000,2016年
866,20,１事業所当たり金額,10,製造業,0010,総数,090,営業費 給料賃金 うち常用雇用者,2015000000,2015年
