value,cat01,cat01_label,cat02,cat02_label,time,time_label
89242363,006000,転炉LD,000000,合計,19000000,平成19年
90547888,006000,転炉LD,000000,合計,19010000,平成19年度
89238291,006000,転炉LD,000000,合計,20000000,平成20年
20217484,006000,転炉LD,000000,合計,20001012,平成20年 10 ～ 12月
6670385,006000,転炉LD,000000,合計,20001111,平成20年11月
5909451,006000,転炉LD,000000,合計,20001212,平成20年12月
79793315,006000,転炉LD,000000,合計,20010000,平成20年度
68337358,006000,転炉LD,000000,合計,21000000,平成21年
5086550,006000,転炉LD,000000,合計,21000101,平成21年1月
13715414,006000,転炉LD,000000,合計,21000103,平成21年 1 ～ 3 月
4175996,006000,転炉LD,000000,合計,21000202,平成21年2月
4452868,006000,転炉LD,000000,合計,21000303,平成21年3月
4235847,006000,転炉LD,000000,合計,21000404,平成21年4月
14277934,006000,転炉LD,000000,合計,21000406,平成21年 4 ～ 6 月
4840798,006000,転炉LD,000000,合計,21000505,平成21年5月
5201289,006000,転炉LD,000000,合計,21000606,平成21年6月
6015918,006000,転炉LD,000000,合計,21000707,平成21年7月
19060809,006000,転炉LD,000000,合計,21000709,平成21年 7 ～ 9 月
6603383,006000,転炉LD,000000,合計,21000808,平成21年8月
6441508,006000,転炉LD,000000,合計,21000909,平成21年9月
6978680,006000,転炉LD,000000,合計,21001010,平成21年10月
21283201,006000,転炉LD,000000,合計,21001012,平成21年 10 ～ 12月
7044097,006000,転炉LD,000000,合計,21001111,平成21年11月
7260424,006000,転炉LD,000000,合計,21001212,平成21年12月
7114275,006000,転炉LD,000000,合計,22000101,平成22年1月
39.9,006000,転炉LD,000000,合計,50000000,前年同月比 (%)
71540629,006000,転炉LD,001000,普通鋼,19000000,平成19年
72637480,006000,転炉LD,001000,普通鋼,19010000,平成19年度
71151419,006000,転炉LD,001000,普通鋼,20000000,平成20年
16118402,006000,転炉LD,001000,普通鋼,20001012,平成20年 10 ～ 12月
5301537,006000,転炉LD,001000,普通鋼,20001111,平成20年11月
4762920,006000,転炉LD,001000,普通鋼,20001212,平成20年12月
64222980,006000,転炉LD,001000,普通鋼,20010000,平成20年度
57028592,006000,転炉LD,001000,普通鋼,21000000,平成21年
4185642,006000,転炉LD,001000,普通鋼,21000101,平成21年1月
11464602,006000,転炉LD,001000,普通鋼,21000103,平成21年 1 ～ 3 月
3495499,006000,転炉LD,001000,普通鋼,21000202,平成21年2月
3783461,006000,転炉LD,001000,普通鋼,21000303,平成21年3月
3534615,006000,転炉LD,001000,普通鋼,21000404,平成21年4月
12063582,006000,転炉LD,001000,普通鋼,21000406,平成21年 4 ～ 6 月
4109242,006000,転炉LD,001000,普通鋼,21000505,平成21年5月
4419725,006000,転炉LD,001000,普通鋼,21000606,平成21年6月
5072015,006000,転炉LD,001000,普通鋼,21000707,平成21年7月
16058610,006000,転炉LD,001000,普通鋼,21000709,平成21年 7 ～ 9 月
5552951,006000,転炉LD,001000,普通鋼,21000808,平成21年8月
5433644,006000,転炉LD,001000,普通鋼,21000909,平成21年9月
5765743,006000,転炉LD,001000,普通鋼,21001010,平成21年10月
17441798,006000,転炉LD,001000,普通鋼,21001012,平成21年 10 ～ 12月
5770473,006000,転炉LD,001000,普通鋼,21001111,平成21年11月
5905582,006000,転炉LD,001000,普通鋼,21001212,平成21年12月
5823280,006000,転炉LD,001000,普通鋼,22000101,平成22年1月
39.1,006000,転炉LD,001000,普通鋼,50000000,前年同月比 (%)
17701734,006000,転炉LD,002000,特殊鋼,19000000,平成19年
17910408,006000,転炉LD,002000,特殊鋼,19010000,平成19年度
18086872,006000,転炉LD,002000,特殊鋼,20000000,平成20年
4099082,006000,転炉LD,002000,特殊鋼,20001012,平成20年 10 ～ 12月
1368848,006000,転炉LD,002000,特殊鋼,20001111,平成20年11月
1146531,006000,転炉LD,002000,特殊鋼,20001212,平成20年12月
15570335,006000,転炉LD,002000,特殊鋼,20010000,平成20年度
11308766,006000,転炉LD,002000,特殊鋼,21000000,平成21年
900908,006000,転炉LD,002000,特殊鋼,21000101,平成21年1月
2250812,006000,転炉LD,002000,特殊鋼,21000103,平成21年 1 ～ 3 月
680497,006000,転炉LD,002000,特殊鋼,21000202,平成21年2月
669407,006000,転炉LD,002000,特殊鋼,21000303,平成21年3月
701232,006000,転炉LD,002000,特殊鋼,21000404,平成21年4月
2214352,006000,転炉LD,002000,特殊鋼,21000406,平成21年 4 ～ 6 月
731556,006000,転炉LD,002000,特殊鋼,21000505,平成21年5月
781564,006000,転炉LD,002000,特殊鋼,21000606,平成21年6月
943903,006000,転炉LD,002000,特殊鋼,21000707,平成21年7月
3002199,006000,転炉LD,002000,特殊鋼,21000709,平成21年 7 ～ 9 月
1050432,006000,転炉LD,002000,特殊鋼,21000808,平成21年8月
1007864,006000,転炉LD,002000,特殊鋼,21000909,平成21年9月
1212937,006000,転炉LD,002000,特殊鋼,21001010,平成21年10月
3841403,006000,転炉LD,002000,特殊鋼,21001012,平成21年 10 ～ 12月
1273624,006000,転炉LD,002000,特殊鋼,21001111,平成21年11月
1354842,006000,転炉LD,002000,特殊鋼,21001212,平成21年12月
1290995,006000,転炉LD,002000,特殊鋼,22000101,平成22年1月
43.3,006000,転炉LD,002000,特殊鋼,50000000,前年同月比 (%)
89219484,006000,転炉LD,003000,圧延用鋼塊　計,19000000,平成19年
90526514,006000,転炉LD,003000,圧延用鋼塊　計,19010000,平成19年度
89220201,006000,転炉LD,003000,圧延用鋼塊　計,20000000,平成20年
20213106,006000,転炉LD,003000,圧延用鋼塊　計,20001012,平成20年 10 ～ 12月
6668833,006000,転炉LD,003000,圧延用鋼塊　計,20001111,平成20年11月
5907899,006000,転炉LD,003000,圧延用鋼塊　計,20001212,平成20年12月
79775343,006000,転炉LD,003000,圧延用鋼塊　計,20010000,平成20年度
68325469,006000,転炉LD,003000,圧延用鋼塊　計,21000000,平成21年
5085278,006000,転炉LD,003000,圧延用鋼塊　計,21000101,平成21年1月
13711038,006000,転炉LD,003000,圧延用鋼塊　計,21000103,平成21年 1 ～ 3 月
4174599,006000,転炉LD,003000,圧延用鋼塊　計,21000202,平成21年2月
4451161,006000,転炉LD,003000,圧延用鋼塊　計,21000303,平成21年3月
4234450,006000,転炉LD,003000,圧延用鋼塊　計,21000404,平成21年4月
14274054,006000,転炉LD,003000,圧延用鋼塊　計,21000406,平成21年 4 ～ 6 月
4839712,006000,転炉LD,003000,圧延用鋼塊　計,21000505,平成21年5月
5199892,006000,転炉LD,003000,圧延用鋼塊　計,21000606,平成21年6月
6014676,006000,転炉LD,003000,圧延用鋼塊　計,21000707,平成21年7月
19057828,006000,転炉LD,003000,圧延用鋼塊　計,21000709,平成21年 7 ～ 9 月
6602452,006000,転炉LD,003000,圧延用鋼塊　計,21000808,平成21年8月
6440700,006000,転炉LD,003000,圧延用鋼塊　計,21000909,平成21年9月
6978338,006000,転炉LD,003000,圧延用鋼塊　計,21001010,平成21年10月
21282549,006000,転炉LD,003000,圧延用鋼塊　計,21001012,平成21年 10 ～ 12月
7043942,006000,転炉LD,003000,圧延用鋼塊　計,21001111,平成21年11月
7260269,006000,転炉LD,003000,圧延用鋼塊　計,21001212,平成21年12月
7114275,006000,転炉LD,003000,圧延用鋼塊　計,22000101,平成22年1月
39.9,006000,転炉LD,003000,圧延用鋼塊　計,50000000,前年同月比 (%)
71520958,006000,転炉LD,004000,圧延用鋼塊　普通鋼,19000000,平成19年
72618429,006000,転炉LD,004000,圧延用鋼塊　普通鋼,19010000,平成19年度
71133457,006000,転炉LD,004000,圧延用鋼塊　普通鋼,20000000,平成20年
16114056,006000,転炉LD,004000,圧延用鋼塊　普通鋼,20001012,平成20年 10 ～ 12月
5299985,006000,転炉LD,004000,圧延用鋼塊　普通鋼,20001111,平成20年11月
4761368,006000,転炉LD,004000,圧延用鋼塊　普通鋼,20001212,平成20年12月
64205136,006000,転炉LD,004000,圧延用鋼塊　普通鋼,20010000,平成20年度
57016799,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21000000,平成21年
4184402,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21000101,平成21年1月
11460258,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21000103,平成21年 1 ～ 3 月
3494102,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21000202,平成21年2月
3781754,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21000303,平成21年3月
3533218,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21000404,平成21年4月
12059702,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21000406,平成21年 4 ～ 6 月
4108156,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21000505,平成21年5月
4418328,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21000606,平成21年6月
5070773,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21000707,平成21年7月
16055661,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21000709,平成21年 7 ～ 9 月
5552020,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21000808,平成21年8月
5432868,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21000909,平成21年9月
5765433,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21001010,平成21年10月
17441178,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21001012,平成21年 10 ～ 12月
5770318,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21001111,平成21年11月
5905427,006000,転炉LD,004000,圧延用鋼塊　普通鋼,21001212,平成21年12月
5823280,006000,転炉LD,004000,圧延用鋼塊　普通鋼,22000101,平成22年1月
39.2,006000,転炉LD,004000,圧延用鋼塊　普通鋼,50000000,前年同月比 (%)
17698526,006000,転炉LD,005000,圧延用鋼塊　特殊鋼,19000000,平成19年
17908085,006000,転炉LD,005000,圧延用鋼塊　特殊鋼,19010000,平成19年度
18086744,006000,転炉LD,005000,圧延用鋼塊　特殊鋼,20000000,平成20年
4099050,006000,転炉LD,005000,圧延用鋼塊　特殊鋼,20001012,平成20年 10 ～ 12月
1368848,006000,転炉LD,005000,圧延用鋼塊　特殊鋼,20001111,平成20年11月
1146531,006000,転炉LD,005000,圧延用鋼塊　特殊鋼,20001212,平成20年12月
15570207,006000,転炉LD,005000,圧延用鋼塊　特殊鋼,20010000,平成20年度
11308670,006000,転炉LD,005000,圧延用鋼塊　特殊鋼,21000000,平成21年
900876,006000,転炉LD,005000,圧延用鋼塊　特殊鋼,21000101,平成21年1月
2250780,006000,転炉LD,005000,圧延用鋼塊　特殊鋼,21000103,平成21年 1 ～ 3 月
680497,006000,転炉LD,005000,圧延用鋼塊　特殊鋼,21000202,平成21年2月
