value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label
216223264.5,040000000,原材料使用額等,02010,合計,020010000,金額 （百万円）,2008000000,2008年
2.4,040000000,原材料使用額等,02010,合計,030010000,前年比 （％）,2008000000,2008年
100,040000000,原材料使用額等,02010,合計,050010000,構成比 （％）,2008000000,2008年
4346845.7,040000000,原材料使用額等,02020,４人～９人,020010000,金額 （百万円）,2008000000,2008年
3.4,040000000,原材料使用額等,02020,４人～９人,030010000,前年比 （％）,2008000000,2008年
2,040000000,原材料使用額等,02020,４人～９人,050010000,構成比 （％）,2008000000,2008年
7690229.4,040000000,原材料使用額等,02030,１０人～１９人,020010000,金額 （百万円）,2008000000,2008年
1.4,040000000,原材料使用額等,02030,１０人～１９人,030010000,前年比 （％）,2008000000,2008年
3.6,040000000,原材料使用額等,02030,１０人～１９人,050010000,構成比 （％）,2008000000,2008年
8865846.5,040000000,原材料使用額等,02040,２０人～２９人,020010000,金額 （百万円）,2008000000,2008年
4.4,040000000,原材料使用額等,02040,２０人～２９人,030010000,前年比 （％）,2008000000,2008年
4.1,040000000,原材料使用額等,02040,２０人～２９人,050010000,構成比 （％）,2008000000,2008年
10110930.7,040000000,原材料使用額等,02050,３０人～４９人,020010000,金額 （百万円）,2008000000,2008年
2.3,040000000,原材料使用額等,02050,３０人～４９人,030010000,前年比 （％）,2008000000,2008年
4.7,040000000,原材料使用額等,02050,３０人～４９人,050010000,構成比 （％）,2008000000,2008年
21227499.4,040000000,原材料使用額等,02060,５０人～９９人,020010000,金額 （百万円）,2008000000,2008年
1.6,040000000,原材料使用額等,02060,５０人～９９人,030010000,前年比 （％）,2008000000,2008年
9.8,040000000,原材料使用額等,02060,５０人～９９人,050010000,構成比 （％）,2008000000,2008年
25586323.5,040000000,原材料使用額等,02070,１００人～１９９人,020010000,金額 （百万円）,2008000000,2008年
0.8,040000000,原材料使用額等,02070,１００人～１９９人,030010000,前年比 （％）,2008000000,2008年
