value,cat01,cat01_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
23204486,100,売上（収入）金額,100,計,100,合計,2016100000,2016年度,百万円
23456366,100,売上（収入）金額,100,計,100,合計,2015100000,2015年度,百万円
23788657,100,売上（収入）金額,100,計,100,合計,2014100000,2014年度,百万円
2326752,100,売上（収入）金額,100,計,110,建設業,2016100000,2016年度,百万円
2377122,100,売上（収入）金額,100,計,110,建設業,2015100000,2015年度,百万円
2490031,100,売上（収入）金額,100,計,110,建設業,2014100000,2014年度,百万円
1847306,100,売上（収入）金額,100,計,120,製造業,2016100000,2016年度,百万円
1675135,100,売上（収入）金額,100,計,120,製造業,2015100000,2015年度,百万円
1793620,100,売上（収入）金額,100,計,120,製造業,2014100000,2014年度,百万円
22752,100,売上（収入）金額,100,計,130,情報通信業,2016100000,2016年度,百万円
15020,100,売上（収入）金額,100,計,130,情報通信業,2015100000,2015年度,百万円
18325,100,売上（収入）金額,100,計,130,情報通信業,2014100000,2014年度,百万円
119660,100,売上（収入）金額,100,計,140,運輸業，郵便業,2016100000,2016年度,百万円
110211,100,売上（収入）金額,100,計,140,運輸業，郵便業,2015100000,2015年度,百万円
117186,100,売上（収入）金額,100,計,140,運輸業，郵便業,2014100000,2014年度,百万円
1725314,100,売上（収入）金額,100,計,150,卸売業,2016100000,2016年度,百万円
1523899,100,売上（収入）金額,100,計,150,卸売業,2015100000,2015年度,百万円
1378630,100,売上（収入）金額,100,計,150,卸売業,2014100000,2014年度,百万円
6965192,100,売上（収入）金額,100,計,160,小売業,2016100000,2016年度,百万円
7597718,100,売上（収入）金額,100,計,160,小売業,2015100000,2015年度,百万円
7486420,100,売上（収入）金額,100,計,160,小売業,2014100000,2014年度,百万円
1320787,100,売上（収入）金額,100,計,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
1344668,100,売上（収入）金額,100,計,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
1378296,100,売上（収入）金額,100,計,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
2061816,100,売上（収入）金額,100,計,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
2522065,100,売上（収入）金額,100,計,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
2354297,100,売上（収入）金額,100,計,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
4022093,100,売上（収入）金額,100,計,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
3620410,100,売上（収入）金額,100,計,190,宿泊業，飲食サービス業,2015100000,2015年度,百万円
