value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
492572812,100,売上高,100,売上高の内訳（金額）,100,計,100,合計,2016100000,2016年度,百万円
485198660,100,売上高,100,売上高の内訳（金額）,100,計,100,合計,2015100000,2015年度,百万円
493029099,100,売上高,100,売上高の内訳（金額）,100,計,100,合計,2014100000,2014年度,百万円
64349684,100,売上高,100,売上高の内訳（金額）,100,計,110,建設業,2016100000,2016年度,百万円
70625639,100,売上高,100,売上高の内訳（金額）,100,計,110,建設業,2015100000,2015年度,百万円
69842561,100,売上高,100,売上高の内訳（金額）,100,計,110,建設業,2014100000,2014年度,百万円
131962487,100,売上高,100,売上高の内訳（金額）,100,計,120,製造業,2016100000,2016年度,百万円
125812954,100,売上高,100,売上高の内訳（金額）,100,計,120,製造業,2015100000,2015年度,百万円
122966921,100,売上高,100,売上高の内訳（金額）,100,計,120,製造業,2014100000,2014年度,百万円
9261810,100,売上高,100,売上高の内訳（金額）,100,計,130,情報通信業,2016100000,2016年度,百万円
9734312,100,売上高,100,売上高の内訳（金額）,100,計,130,情報通信業,2015100000,2015年度,百万円
8307576,100,売上高,100,売上高の内訳（金額）,100,計,130,情報通信業,2014100000,2014年度,百万円
24882350,100,売上高,100,売上高の内訳（金額）,100,計,140,運輸業，郵便業,2016100000,2016年度,百万円
23564313,100,売上高,100,売上高の内訳（金額）,100,計,140,運輸業，郵便業,2015100000,2015年度,百万円
23168834,100,売上高,100,売上高の内訳（金額）,100,計,140,運輸業，郵便業,2014100000,2014年度,百万円
109326841,100,売上高,100,売上高の内訳（金額）,100,計,150,卸売業,2016100000,2016年度,百万円
111754368,100,売上高,100,売上高の内訳（金額）,100,計,150,卸売業,2015100000,2015年度,百万円
118226547,100,売上高,100,売上高の内訳（金額）,100,計,150,卸売業,2014100000,2014年度,百万円
71843027,100,売上高,100,売上高の内訳（金額）,100,計,160,小売業,2016100000,2016年度,百万円
63166018,100,売上高,100,売上高の内訳（金額）,100,計,160,小売業,2015100000,2015年度,百万円
64302238,100,売上高,100,売上高の内訳（金額）,100,計,160,小売業,2014100000,2014年度,百万円
18726174,100,売上高,100,売上高の内訳（金額）,100,計,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
19715464,100,売上高,100,売上高の内訳（金額）,100,計,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
23698504,100,売上高,100,売上高の内訳（金額）,100,計,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
9907733,100,売上高,100,売上高の内訳（金額）,100,計,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
10780955,100,売上高,100,売上高の内訳（金額）,100,計,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
10511692,100,売上高,100,売上高の内訳（金額）,100,計,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
12882033,100,売上高,100,売上高の内訳（金額）,100,計,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
12972488,100,売上高,100,売上高の内訳（金額）,100,計,190,宿泊業，飲食サービス業,2015100000,2015年度,百万円
13420213,100,売上高,100,売上高の内訳（金額）,100,計,190,宿泊業，飲食サービス業,2014100000,2014年度,百万円
21008173,100,売上高,100,売上高の内訳（金額）,100,計,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
20827347,100,売上高,100,売上高の内訳（金額）,100,計,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
21627140,100,売上高,100,売上高の内訳（金額）,100,計,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
18422500,100,売上高,100,売上高の内訳（金額）,100,計,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
16244803,100,売上高,100,売上高の内訳（金額）,100,計,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
16956873,100,売上高,100,売上高の内訳（金額）,100,計,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
1775081,100,売上高,100,売上高の内訳（金額）,110,500万円以下,100,合計,2016100000,2016年度,百万円
1757664,100,売上高,100,売上高の内訳（金額）,110,500万円以下,100,合計,2015100000,2015年度,百万円
1800710,100,売上高,100,売上高の内訳（金額）,110,500万円以下,100,合計,2014100000,2014年度,百万円
92479,100,売上高,100,売上高の内訳（金額）,110,500万円以下,110,建設業,2016100000,2016年度,百万円
93925,100,売上高,100,売上高の内訳（金額）,110,500万円以下,110,建設業,2015100000,2015年度,百万円
78724,100,売上高,100,売上高の内訳（金額）,110,500万円以下,110,建設業,2014100000,2014年度,百万円
166970,100,売上高,100,売上高の内訳（金額）,110,500万円以下,120,製造業,2016100000,2016年度,百万円
157752,100,売上高,100,売上高の内訳（金額）,110,500万円以下,120,製造業,2015100000,2015年度,百万円
164500,100,売上高,100,売上高の内訳（金額）,110,500万円以下,120,製造業,2014100000,2014年度,百万円
7319,100,売上高,100,売上高の内訳（金額）,110,500万円以下,130,情報通信業,2016100000,2016年度,百万円
9524,100,売上高,100,売上高の内訳（金額）,110,500万円以下,130,情報通信業,2015100000,2015年度,百万円
10067,100,売上高,100,売上高の内訳（金額）,110,500万円以下,130,情報通信業,2014100000,2014年度,百万円
26095,100,売上高,100,売上高の内訳（金額）,110,500万円以下,140,運輸業，郵便業,2016100000,2016年度,百万円
28650,100,売上高,100,売上高の内訳（金額）,110,500万円以下,140,運輸業，郵便業,2015100000,2015年度,百万円
30645,100,売上高,100,売上高の内訳（金額）,110,500万円以下,140,運輸業，郵便業,2014100000,2014年度,百万円
33427,100,売上高,100,売上高の内訳（金額）,110,500万円以下,150,卸売業,2016100000,2016年度,百万円
23048,100,売上高,100,売上高の内訳（金額）,110,500万円以下,150,卸売業,2015100000,2015年度,百万円
21163,100,売上高,100,売上高の内訳（金額）,110,500万円以下,150,卸売業,2014100000,2014年度,百万円
433962,100,売上高,100,売上高の内訳（金額）,110,500万円以下,160,小売業,2016100000,2016年度,百万円
383509,100,売上高,100,売上高の内訳（金額）,110,500万円以下,160,小売業,2015100000,2015年度,百万円
385579,100,売上高,100,売上高の内訳（金額）,110,500万円以下,160,小売業,2014100000,2014年度,百万円
197890,100,売上高,100,売上高の内訳（金額）,110,500万円以下,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
210653,100,売上高,100,売上高の内訳（金額）,110,500万円以下,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
221403,100,売上高,100,売上高の内訳（金額）,110,500万円以下,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
67647,100,売上高,100,売上高の内訳（金額）,110,500万円以下,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
64914,100,売上高,100,売上高の内訳（金額）,110,500万円以下,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
75257,100,売上高,100,売上高の内訳（金額）,110,500万円以下,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
266308,100,売上高,100,売上高の内訳（金額）,110,500万円以下,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
302780,100,売上高,100,売上高の内訳（金額）,110,500万円以下,190,宿泊業，飲食サービス業,2015100000,2015年度,百万円
294723,100,売上高,100,売上高の内訳（金額）,110,500万円以下,190,宿泊業，飲食サービス業,2014100000,2014年度,百万円
432377,100,売上高,100,売上高の内訳（金額）,110,500万円以下,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
439391,100,売上高,100,売上高の内訳（金額）,110,500万円以下,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
472309,100,売上高,100,売上高の内訳（金額）,110,500万円以下,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
50606,100,売上高,100,売上高の内訳（金額）,110,500万円以下,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
43518,100,売上高,100,売上高の内訳（金額）,110,500万円以下,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
46340,100,売上高,100,売上高の内訳（金額）,110,500万円以下,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
3761502,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,100,合計,2016100000,2016年度,百万円
3944013,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,100,合計,2015100000,2015年度,百万円
3920625,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,100,合計,2014100000,2014年度,百万円
303537,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,110,建設業,2016100000,2016年度,百万円
256235,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,110,建設業,2015100000,2015年度,百万円
326975,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,110,建設業,2014100000,2014年度,百万円
344765,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,120,製造業,2016100000,2016年度,百万円
399023,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,120,製造業,2015100000,2015年度,百万円
378945,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,120,製造業,2014100000,2014年度,百万円
29592,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,130,情報通信業,2016100000,2016年度,百万円
30074,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,130,情報通信業,2015100000,2015年度,百万円
29185,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,130,情報通信業,2014100000,2014年度,百万円
26996,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,140,運輸業，郵便業,2016100000,2016年度,百万円
27016,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,140,運輸業，郵便業,2015100000,2015年度,百万円
34819,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,140,運輸業，郵便業,2014100000,2014年度,百万円
89013,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,150,卸売業,2016100000,2016年度,百万円
94760,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,150,卸売業,2015100000,2015年度,百万円
105475,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,150,卸売業,2014100000,2014年度,百万円
861873,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,160,小売業,2016100000,2016年度,百万円
870563,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,160,小売業,2015100000,2015年度,百万円
755118,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,160,小売業,2014100000,2014年度,百万円
380029,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
386484,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
381204,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
200571,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
192684,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
203755,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
896657,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
1027351,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,190,宿泊業，飲食サービス業,2015100000,2015年度,百万円
1008203,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,190,宿泊業，飲食サービス業,2014100000,2014年度,百万円
474623,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
498167,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
546788,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
153846,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
161655,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
150155,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
13153597,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,100,合計,2016100000,2016年度,百万円
12211152,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,100,合計,2015100000,2015年度,百万円
13113217,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,100,合計,2014100000,2014年度,百万円
1360081,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,110,建設業,2016100000,2016年度,百万円
1720519,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,110,建設業,2015100000,2015年度,百万円
1804834,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,110,建設業,2014100000,2014年度,百万円
1602171,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,120,製造業,2016100000,2016年度,百万円
1500128,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,120,製造業,2015100000,2015年度,百万円
1583343,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,120,製造業,2014100000,2014年度,百万円
117806,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,130,情報通信業,2016100000,2016年度,百万円
137693,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,130,情報通信業,2015100000,2015年度,百万円
140313,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,130,情報通信業,2014100000,2014年度,百万円
100341,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,140,運輸業，郵便業,2016100000,2016年度,百万円
115832,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,140,運輸業，郵便業,2015100000,2015年度,百万円
118118,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,140,運輸業，郵便業,2014100000,2014年度,百万円
745165,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,150,卸売業,2016100000,2016年度,百万円
642847,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,150,卸売業,2015100000,2015年度,百万円
638991,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,150,卸売業,2014100000,2014年度,百万円
3210600,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,160,小売業,2016100000,2016年度,百万円
2436206,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,160,小売業,2015100000,2015年度,百万円
2774684,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,160,小売業,2014100000,2014年度,百万円
1251678,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
1293095,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
1352791,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
882057,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
962048,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
940143,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
2384557,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
1916577,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,190,宿泊業，飲食サービス業,2015100000,2015年度,百万円
2202467,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,190,宿泊業，飲食サービス業,2014100000,2014年度,百万円
801686,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
797824,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
795967,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
697456,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
688382,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
761567,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
10932726,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,100,合計,2016100000,2016年度,百万円
11442018,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,100,合計,2015100000,2015年度,百万円
11078655,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,100,合計,2014100000,2014年度,百万円
2041776,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,110,建設業,2016100000,2016年度,百万円
1968782,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,110,建設業,2015100000,2015年度,百万円
1791993,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,110,建設業,2014100000,2014年度,百万円
1593485,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,120,製造業,2016100000,2016年度,百万円
1670729,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,120,製造業,2015100000,2015年度,百万円
1806744,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,120,製造業,2014100000,2014年度,百万円
