value,cat01,cat01_label,cat02,cat02_label
7755,0001000,研究開発　企業数,0001000,平成18年度
7809,0001000,研究開発　企業数,0002000,平成19年度
7830,0001000,研究開発　企業数,0003000,平成20年度
8068,0001000,研究開発　企業数,0004000,平成21年度
8378,0001000,研究開発　企業数,0005000,平成22年度
8378,0001000,研究開発　企業数,0006000,総合計
8226,0001000,研究開発　企業数,0007000,合計
7,0001000,研究開発　企業数,0008000,鉱業、採石業、砂利採取業
6296,0001000,研究開発　企業数,0009000,製造業
680,0001000,研究開発　企業数,0010000,090　食料品製造業
104,0001000,研究開発　企業数,0011000,091　畜産食料品製造業
76,0001000,研究開発　企業数,0012000,092　水産食料品製造業
19,0001000,研究開発　企業数,0013000,093　精穀・製粉業
481,0001000,研究開発　企業数,0014000,099　その他の食料品製造業
119,0001000,研究開発　企業数,0015000,100　飲料・たばこ・飼料製造業
85,0001000,研究開発　企業数,0016000,101　清涼飲料・酒類・茶・たばこ製造業
34,0001000,研究開発　企業数,0017000,102　飼料・有機質肥料製造業
148,0001000,研究開発　企業数,0018000,110　繊維工業
24,0001000,研究開発　企業数,0019000,111　製糸，紡績，ねん糸等製造業
26,0001000,研究開発　企業数,0020000,112　織物・ニット生地製造業
26,0001000,研究開発　企業数,0021000,113　染色整理業
26,0001000,研究開発　企業数,0022000,114　その他の繊維工業
19,0001000,研究開発　企業数,0023000,115　織物・ニット製衣服製造業
27,0001000,研究開発　企業数,0024000,119　身の回り品・その他の繊維製品製造業
35,0001000,研究開発　企業数,0025000,120　木材・木製品製造業（家具を除く）
31,0001000,研究開発　企業数,0026000,121　製材・合板製造業
4,0001000,研究開発　企業数,0027000,129　その他の木製品製造業（家具を除く）
64,0001000,研究開発　企業数,0028000,130　家具・装備品製造業
105,0001000,研究開発　企業数,0029000,140　パルプ・紙・紙加工品製造業
38,0001000,研究開発　企業数,0030000,141　パルプ・紙製造業
67,0001000,研究開発　企業数,0031000,142　紙加工品製造業
83,0001000,研究開発　企業数,0032000,150　印刷・同関連業
740,0001000,研究開発　企業数,0033000,160　化学工業
78,0001000,研究開発　企業数,0034000,161　化学肥料・無機化学工業製品製造業
141,0001000,研究開発　企業数,0035000,162　有機化学工業製品製造業
106,0001000,研究開発　企業数,0036000,163　油脂加工製品等（注）
189,0001000,研究開発　企業数,0037000,164　医薬品製造業
226,0001000,研究開発　企業数,0038000,169　その他の化学工業製品製造業
36,0001000,研究開発　企業数,0039000,170　石油製品・石炭製品製造業
11,0001000,研究開発　企業数,0040000,171　石油精製業
25,0001000,研究開発　企業数,0041000,179　その他の石油製品・石炭製品製造業
331,0001000,研究開発　企業数,0042000,180　プラスチック製品製造業
80,0001000,研究開発　企業数,0043000,190　ゴム製品製造業
