value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
-,480,売上高（１企業当たり）,0,全産業,0,総数,00000,全国,2019000000,2019年,％（前年比）
0.3,480,売上高（１企業当たり）,0,全産業,0,総数,00000,全国,2020000000,2020年,％（前年比）
-4.5,480,売上高（１企業当たり）,0,全産業,0,総数,00000,全国,2021000000,2021年,％（前年比）
1.3,480,売上高（１企業当たり）,0,全産業,0,総数,00000,全国,2022000000,2022年,％（前年比）
2.3,480,売上高（１企業当たり）,0,全産業,0,総数,00000,全国,2023000000,2023年,％（前年比）
3.7,480,売上高（１企業当たり）,0,全産業,0,総数,00000,全国,2024000000,2024年,％（前年比）
1.6,480,売上高（１企業当たり）,0,全産業,0,総数,00000,全国,2025000000,2025年,％（前年比）
-,480,売上高（１企業当たり）,0,全産業,1,第１階級,00000,全国,2019000000,2019年,％（前年比）
-4.3,480,売上高（１企業当たり）,0,全産業,1,第１階級,00000,全国,2020000000,2020年,％（前年比）
-7.1,480,売上高（１企業当たり）,0,全産業,1,第１階級,00000,全国,2021000000,2021年,％（前年比）
-6.7,480,売上高（１企業当たり）,0,全産業,1,第１階級,00000,全国,2022000000,2022年,％（前年比）
6.4,480,売上高（１企業当たり）,0,全産業,1,第１階級,00000,全国,2023000000,2023年,％（前年比）
-2.6,480,売上高（１企業当たり）,0,全産業,1,第１階級,00000,全国,2024000000,2024年,％（前年比）
2.7,480,売上高（１企業当たり）,0,全産業,1,第１階級,00000,全国,2025000000,2025年,％（前年比）
-,480,売上高（１企業当たり）,0,全産業,2,第２階級,00000,全国,2019000000,2019年,％（前年比）
-4.7,480,売上高（１企業当たり）,0,全産業,2,第２階級,00000,全国,2020000000,2020年,％（前年比）
-3.5,480,売上高（１企業当たり）,0,全産業,2,第２階級,00000,全国,2021000000,2021年,％（前年比）
-6.2,480,売上高（１企業当たり）,0,全産業,2,第２階級,00000,全国,2022000000,2022年,％（前年比）
6.8,480,売上高（１企業当たり）,0,全産業,2,第２階級,00000,全国,2023000000,2023年,％（前年比）
-2.4,480,売上高（１企業当たり）,0,全産業,2,第２階級,00000,全国,2024000000,2024年,％（前年比）
4.3,480,売上高（１企業当たり）,0,全産業,2,第２階級,00000,全国,2025000000,2025年,％（前年比）
-,480,売上高（１企業当たり）,0,全産業,3,第３階級,00000,全国,2019000000,2019年,％（前年比）
-3.3,480,売上高（１企業当たり）,0,全産業,3,第３階級,00000,全国,2020000000,2020年,％（前年比）
-3.7,480,売上高（１企業当たり）,0,全産業,3,第３階級,00000,全国,2021000000,2021年,％（前年比）
-2.4,480,売上高（１企業当たり）,0,全産業,3,第３階級,00000,全国,2022000000,2022年,％（前年比）
2.9,480,売上高（１企業当たり）,0,全産業,3,第３階級,00000,全国,2023000000,2023年,％（前年比）
-0.3,480,売上高（１企業当たり）,0,全産業,3,第３階級,00000,全国,2024000000,2024年,％（前年比）
2.5,480,売上高（１企業当たり）,0,全産業,3,第３階級,00000,全国,2025000000,2025年,％（前年比）
-,480,売上高（１企業当たり）,0,全産業,4,第４階級,00000,全国,2019000000,2019年,％（前年比）
-2.7,480,売上高（１企業当たり）,0,全産業,4,第４階級,00000,全国,2020000000,2020年,％（前年比）
-3.9,480,売上高（１企業当たり）,0,全産業,4,第４階級,00000,全国,2021000000,2021年,％（前年比）
2.5,480,売上高（１企業当たり）,0,全産業,4,第４階級,00000,全国,2022000000,2022年,％（前年比）
-1.2,480,売上高（１企業当たり）,0,全産業,4,第４階級,00000,全国,2023000000,2023年,％（前年比）
1.7,480,売上高（１企業当たり）,0,全産業,4,第４階級,00000,全国,2024000000,2024年,％（前年比）
2.2,480,売上高（１企業当たり）,0,全産業,4,第４階級,00000,全国,2025000000,2025年,％（前年比）
-,480,売上高（１企業当たり）,0,全産業,5,第５階級,00000,全国,2019000000,2019年,％（前年比）
1.9,480,売上高（１企業当たり）,0,全産業,5,第５階級,00000,全国,2020000000,2020年,％（前年比）
-4.8,480,売上高（１企業当たり）,0,全産業,5,第５階級,00000,全国,2021000000,2021年,％（前年比）
2.0,480,売上高（１企業当たり）,0,全産業,5,第５階級,00000,全国,2022000000,2022年,％（前年比）
2.7,480,売上高（１企業当たり）,0,全産業,5,第５階級,00000,全国,2023000000,2023年,％（前年比）
5.1,480,売上高（１企業当たり）,0,全産業,5,第５階級,00000,全国,2024000000,2024年,％（前年比）
1.3,480,売上高（１企業当たり）,0,全産業,5,第５階級,00000,全国,2025000000,2025年,％（前年比）
-,480,売上高（１企業当たり）,1,建設業,0,総数,00000,全国,2019000000,2019年,％（前年比）
0.9,480,売上高（１企業当たり）,1,建設業,0,総数,00000,全国,2020000000,2020年,％（前年比）
-2.6,480,売上高（１企業当たり）,1,建設業,0,総数,00000,全国,2021000000,2021年,％（前年比）
-1.5,480,売上高（１企業当たり）,1,建設業,0,総数,00000,全国,2022000000,2022年,％（前年比）
1.0,480,売上高（１企業当たり）,1,建設業,0,総数,00000,全国,2023000000,2023年,％（前年比）
3.0,480,売上高（１企業当たり）,1,建設業,0,総数,00000,全国,2024000000,2024年,％（前年比）
-2.1,480,売上高（１企業当たり）,1,建設業,0,総数,00000,全国,2025000000,2025年,％（前年比）
-,480,売上高（１企業当たり）,1,建設業,1,第１階級,00000,全国,2019000000,2019年,％（前年比）
-2.7,480,売上高（１企業当たり）,1,建設業,1,第１階級,00000,全国,2020000000,2020年,％（前年比）
-1.7,480,売上高（１企業当たり）,1,建設業,1,第１階級,00000,全国,2021000000,2021年,％（前年比）
-16.4,480,売上高（１企業当たり）,1,建設業,1,第１階級,00000,全国,2022000000,2022年,％（前年比）
7.7,480,売上高（１企業当たり）,1,建設業,1,第１階級,00000,全国,2023000000,2023年,％（前年比）
4.2,480,売上高（１企業当たり）,1,建設業,1,第１階級,00000,全国,2024000000,2024年,％（前年比）
-15.4,480,売上高（１企業当たり）,1,建設業,1,第１階級,00000,全国,2025000000,2025年,％（前年比）
-,480,売上高（１企業当たり）,1,建設業,2,第２階級,00000,全国,2019000000,2019年,％（前年比）
-2.4,480,売上高（１企業当たり）,1,建設業,2,第２階級,00000,全国,2020000000,2020年,％（前年比）
