value,cat01,cat01_label,area,area_label
22878,0000000000,計【計】,00000,全国
1371,0000000000,計【計】,01000,北海道
380,0000000000,計【計】,02000,青森県
437,0000000000,計【計】,03000,岩手県
465,0000000000,計【計】,04000,宮城県
290,0000000000,計【計】,05000,秋田県
352,0000000000,計【計】,06000,山形県
555,0000000000,計【計】,07000,福島県
580,0000000000,計【計】,08000,茨城県
421,0000000000,計【計】,09000,栃木県
349,0000000000,計【計】,10000,群馬県
831,0000000000,計【計】,11000,埼玉県
864,0000000000,計【計】,12000,千葉県
1387,0000000000,計【計】,13000,東京都
900,0000000000,計【計】,14000,神奈川県
575,0000000000,計【計】,15000,新潟県
211,0000000000,計【計】,16000,富山県
238,0000000000,計【計】,17000,石川県
215,0000000000,計【計】,18000,福井県
219,0000000000,計【計】,19000,山梨県
402,0000000000,計【計】,20000,長野県
394,0000000000,計【計】,21000,岐阜県
546,0000000000,計【計】,22000,静岡県
985,0000000000,計【計】,23000,愛知県
440,0000000000,計【計】,24000,三重県
237,0000000000,計【計】,25000,滋賀県
450,0000000000,計【計】,26000,京都府
1048,0000000000,計【計】,27000,大阪府
834,0000000000,計【計】,28000,兵庫県
231,0000000000,計【計】,29000,奈良県
311,0000000000,計【計】,30000,和歌山県
169,0000000000,計【計】,31000,鳥取県
263,0000000000,計【計】,32000,島根県
437,0000000000,計【計】,33000,岡山県
607,0000000000,計【計】,34000,広島県
355,0000000000,計【計】,35000,山口県
274,0000000000,計【計】,36000,徳島県
201,0000000000,計【計】,37000,香川県
364,0000000000,計【計】,38000,愛媛県
310,0000000000,計【計】,39000,高知県
781,0000000000,計【計】,40000,福岡県
194,0000000000,計【計】,41000,佐賀県
412,0000000000,計【計】,42000,長崎県
460,0000000000,計【計】,43000,熊本県
363,0000000000,計【計】,44000,大分県
280,0000000000,計【計】,45000,宮崎県
606,0000000000,計【計】,46000,鹿児島県
284,0000000000,計【計】,47000,沖縄県
22533,0000001000,計【本校】,00000,全国
1367,0000001000,計【本校】,01000,北海道
379,0000001000,計【本校】,02000,青森県
434,0000001000,計【本校】,03000,岩手県
451,0000001000,計【本校】,04000,宮城県
288,0000001000,計【本校】,05000,秋田県
336,0000001000,計【本校】,06000,山形県
535,0000001000,計【本校】,07000,福島県
580,0000001000,計【本校】,08000,茨城県
420,0000001000,計【本校】,09000,栃木県
343,0000001000,計【本校】,10000,群馬県
826,0000001000,計【本校】,11000,埼玉県
858,0000001000,計【本校】,12000,千葉県
1386,0000001000,計【本校】,13000,東京都
898,0000001000,計【本校】,14000,神奈川県
570,0000001000,計【本校】,15000,新潟県
209,0000001000,計【本校】,16000,富山県
233,0000001000,計【本校】,17000,石川県
212,0000001000,計【本校】,18000,福井県
209,0000001000,計【本校】,19000,山梨県
398,0000001000,計【本校】,20000,長野県
393,0000001000,計【本校】,21000,岐阜県
540,0000001000,計【本校】,22000,静岡県
981,0000001000,計【本校】,23000,愛知県
428,0000001000,計【本校】,24000,三重県
233,0000001000,計【本校】,25000,滋賀県
445,0000001000,計【本校】,26000,京都府
1042,0000001000,計【本校】,27000,大阪府
829,0000001000,計【本校】,28000,兵庫県
231,0000001000,計【本校】,29000,奈良県
294,0000001000,計【本校】,30000,和歌山県
153,0000001000,計【本校】,31000,鳥取県
256,0000001000,計【本校】,32000,島根県
429,0000001000,計【本校】,33000,岡山県
604,0000001000,計【本校】,34000,広島県
350,0000001000,計【本校】,35000,山口県
266,0000001000,計【本校】,36000,徳島県
196,0000001000,計【本校】,37000,香川県
361,0000001000,計【本校】,38000,愛媛県
306,0000001000,計【本校】,39000,高知県
772,0000001000,計【本校】,40000,福岡県
176,0000001000,計【本校】,41000,佐賀県
382,0000001000,計【本校】,42000,長崎県
438,0000001000,計【本校】,43000,熊本県
348,0000001000,計【本校】,44000,大分県
272,0000001000,計【本校】,45000,宮崎県
597,0000001000,計【本校】,46000,鹿児島県
279,0000001000,計【本校】,47000,沖縄県
345,0000002000,計【分校】,00000,全国
4,0000002000,計【分校】,01000,北海道
1,0000002000,計【分校】,02000,青森県
3,0000002000,計【分校】,03000,岩手県
14,0000002000,計【分校】,04000,宮城県
2,0000002000,計【分校】,05000,秋田県
16,0000002000,計【分校】,06000,山形県
20,0000002000,計【分校】,07000,福島県
0,0000002000,計【分校】,08000,茨城県
1,0000002000,計【分校】,09000,栃木県
6,0000002000,計【分校】,10000,群馬県
5,0000002000,計【分校】,11000,埼玉県
6,0000002000,計【分校】,12000,千葉県
1,0000002000,計【分校】,13000,東京都
2,0000002000,計【分校】,14000,神奈川県
5,0000002000,計【分校】,15000,新潟県
2,0000002000,計【分校】,16000,富山県
5,0000002000,計【分校】,17000,石川県
3,0000002000,計【分校】,18000,福井県
10,0000002000,計【分校】,19000,山梨県
4,0000002000,計【分校】,20000,長野県
1,0000002000,計【分校】,21000,岐阜県
6,0000002000,計【分校】,22000,静岡県
4,0000002000,計【分校】,23000,愛知県
12,0000002000,計【分校】,24000,三重県
4,0000002000,計【分校】,25000,滋賀県
5,0000002000,計【分校】,26000,京都府
6,0000002000,計【分校】,27000,大阪府
5,0000002000,計【分校】,28000,兵庫県
0,0000002000,計【分校】,29000,奈良県
17,0000002000,計【分校】,30000,和歌山県
16,0000002000,計【分校】,31000,鳥取県
7,0000002000,計【分校】,32000,島根県
8,0000002000,計【分校】,33000,岡山県
3,0000002000,計【分校】,34000,広島県
5,0000002000,計【分校】,35000,山口県
8,0000002000,計【分校】,36000,徳島県
5,0000002000,計【分校】,37000,香川県
3,0000002000,計【分校】,38000,愛媛県
4,0000002000,計【分校】,39000,高知県
9,0000002000,計【分校】,40000,福岡県
18,0000002000,計【分校】,41000,佐賀県
30,0000002000,計【分校】,42000,長崎県
22,0000002000,計【分校】,43000,熊本県
15,0000002000,計【分校】,44000,大分県
8,0000002000,計【分校】,45000,宮崎県
9,0000002000,計【分校】,46000,鹿児島県
5,0000002000,計【分校】,47000,沖縄県
73,0000003000,国立【本校】,00000,全国
4,0000003000,国立【本校】,01000,北海道
1,0000003000,国立【本校】,02000,青森県
1,0000003000,国立【本校】,03000,岩手県
1,0000003000,国立【本校】,04000,宮城県
1,0000003000,国立【本校】,05000,秋田県
1,0000003000,国立【本校】,06000,山形県
1,0000003000,国立【本校】,07000,福島県
1,0000003000,国立【本校】,08000,茨城県
1,0000003000,国立【本校】,09000,栃木県
1,0000003000,国立【本校】,10000,群馬県
1,0000003000,国立【本校】,11000,埼玉県
1,0000003000,国立【本校】,12000,千葉県
6,0000003000,国立【本校】,13000,東京都
2,0000003000,国立【本校】,14000,神奈川県
3,0000003000,国立【本校】,15000,新潟県
1,0000003000,国立【本校】,16000,富山県
1,0000003000,国立【本校】,17000,石川県
1,0000003000,国立【本校】,18000,福井県
1,0000003000,国立【本校】,19000,山梨県
2,0000003000,国立【本校】,20000,長野県
1,0000003000,国立【本校】,21000,岐阜県
2,0000003000,国立【本校】,22000,静岡県
2,0000003000,国立【本校】,23000,愛知県
1,0000003000,国立【本校】,24000,三重県
1,0000003000,国立【本校】,25000,滋賀県
2,0000003000,国立【本校】,26000,京都府
3,0000003000,国立【本校】,27000,大阪府
3,0000003000,国立【本校】,28000,兵庫県
2,0000003000,国立【本校】,29000,奈良県
1,0000003000,国立【本校】,30000,和歌山県
1,0000003000,国立【本校】,31000,鳥取県
1,0000003000,国立【本校】,32000,島根県
1,0000003000,国立【本校】,33000,岡山県
3,0000003000,国立【本校】,34000,広島県
2,0000003000,国立【本校】,35000,山口県
1,0000003000,国立【本校】,36000,徳島県
2,0000003000,国立【本校】,37000,香川県
1,0000003000,国立【本校】,38000,愛媛県
1,0000003000,国立【本校】,39000,高知県
3,0000003000,国立【本校】,40000,福岡県
1,0000003000,国立【本校】,41000,佐賀県
1,0000003000,国立【本校】,42000,長崎県
1,0000003000,国立【本校】,43000,熊本県
1,0000003000,国立【本校】,44000,大分県
1,0000003000,国立【本校】,45000,宮崎県
1,0000003000,国立【本校】,46000,鹿児島県
1,0000003000,国立【本校】,47000,沖縄県
22607,0000004000,公立【計】（計）,00000,全国
1365,0000004000,公立【計】（計）,01000,北海道
378,0000004000,公立【計】（計）,02000,青森県
435,0000004000,公立【計】（計）,03000,岩手県
460,0000004000,公立【計】（計）,04000,宮城県
289,0000004000,公立【計】（計）,05000,秋田県
351,0000004000,公立【計】（計）,06000,山形県
551,0000004000,公立【計】（計）,07000,福島県
577,0000004000,公立【計】（計）,08000,茨城県
419,0000004000,公立【計】（計）,09000,栃木県
346,0000004000,公立【計】（計）,10000,群馬県
826,0000004000,公立【計】（計）,11000,埼玉県
855,0000004000,公立【計】（計）,12000,千葉県
1329,0000004000,公立【計】（計）,13000,東京都
870,0000004000,公立【計】（計）,14000,神奈川県
572,0000004000,公立【計】（計）,15000,新潟県
210,0000004000,公立【計】（計）,16000,富山県
236,0000004000,公立【計】（計）,17000,石川県
213,0000004000,公立【計】（計）,18000,福井県
216,0000004000,公立【計】（計）,19000,山梨県
397,0000004000,公立【計】（計）,20000,長野県
392,0000004000,公立【計】（計）,21000,岐阜県
540,0000004000,公立【計】（計）,22000,静岡県
982,0000004000,公立【計】（計）,23000,愛知県
437,0000004000,公立【計】（計）,24000,三重県
235,0000004000,公立【計】（計）,25000,滋賀県
439,0000004000,公立【計】（計）,26000,京都府
1029,0000004000,公立【計】（計）,27000,大阪府
822,0000004000,公立【計】（計）,28000,兵庫県
225,0000004000,公立【計】（計）,29000,奈良県
308,0000004000,公立【計】（計）,30000,和歌山県
168,0000004000,公立【計】（計）,31000,鳥取県
262,0000004000,公立【計】（計）,32000,島根県
433,0000004000,公立【計】（計）,33000,岡山県
597,0000004000,公立【計】（計）,34000,広島県
352,0000004000,公立【計】（計）,35000,山口県
271,0000004000,公立【計】（計）,36000,徳島県
199,0000004000,公立【計】（計）,37000,香川県
363,0000004000,公立【計】（計）,38000,愛媛県
308,0000004000,公立【計】（計）,39000,高知県
771,0000004000,公立【計】（計）,40000,福岡県
193,0000004000,公立【計】（計）,41000,佐賀県
406,0000004000,公立【計】（計）,42000,長崎県
459,0000004000,公立【計】（計）,43000,熊本県
361,0000004000,公立【計】（計）,44000,大分県
278,0000004000,公立【計】（計）,45000,宮崎県
602,0000004000,公立【計】（計）,46000,鹿児島県
