value,cat01,cat01_label,cat02,cat02_label,area,area_label
52861,0000000020,計（高等・専門・一般課程）,0000000010,計,00000,計
2885,0000000020,計（高等・専門・一般課程）,0000000010,計,01100,札幌市
2053,0000000020,計（高等・専門・一般課程）,0000000010,計,04100,仙台市
2161,0000000020,計（高等・専門・一般課程）,0000000010,計,11100,さいたま市
1622,0000000020,計（高等・専門・一般課程）,0000000010,計,12100,千葉市
11961,0000000020,計（高等・専門・一般課程）,0000000010,計,13100,東京（23区）
4558,0000000020,計（高等・専門・一般課程）,0000000010,計,14100,横浜市
1340,0000000020,計（高等・専門・一般課程）,0000000010,計,14130,川崎市
1569,0000000020,計（高等・専門・一般課程）,0000000010,計,15100,新潟市
1438,0000000020,計（高等・専門・一般課程）,0000000010,計,22100,静岡市
1498,0000000020,計（高等・専門・一般課程）,0000000010,計,22130,浜松市
3735,0000000020,計（高等・専門・一般課程）,0000000010,計,23100,名古屋市
2874,0000000020,計（高等・専門・一般課程）,0000000010,計,26100,京都市
4958,0000000020,計（高等・専門・一般課程）,0000000010,計,27100,大阪市
1234,0000000020,計（高等・専門・一般課程）,0000000010,計,27140,堺市
2808,0000000020,計（高等・専門・一般課程）,0000000010,計,28100,神戸市
2072,0000000020,計（高等・専門・一般課程）,0000000010,計,34100,広島市
1776,0000000020,計（高等・専門・一般課程）,0000000010,計,40100,北九州市
2319,0000000020,計（高等・専門・一般課程）,0000000010,計,40130,福岡市
30183,0000000020,計（高等・専門・一般課程）,0000000020,公立,00000,計
2040,0000000020,計（高等・専門・一般課程）,0000000020,公立,01100,札幌市
1122,0000000020,計（高等・専門・一般課程）,0000000020,公立,04100,仙台市
1357,0000000020,計（高等・専門・一般課程）,0000000020,公立,11100,さいたま市
1213,0000000020,計（高等・専門・一般課程）,0000000020,公立,12100,千葉市
4847,0000000020,計（高等・専門・一般課程）,0000000020,公立,13100,東京（23区）
2900,0000000020,計（高等・専門・一般課程）,0000000020,公立,14100,横浜市
1024,0000000020,計（高等・専門・一般課程）,0000000020,公立,14130,川崎市
1118,0000000020,計（高等・専門・一般課程）,0000000020,公立,15100,新潟市
884,0000000020,計（高等・専門・一般課程）,0000000020,公立,22100,静岡市
1106,0000000020,計（高等・専門・一般課程）,0000000020,公立,22130,浜松市
1984,0000000020,計（高等・専門・一般課程）,0000000020,公立,23100,名古屋市
1544,0000000020,計（高等・専門・一般課程）,0000000020,公立,26100,京都市
2958,0000000020,計（高等・専門・一般課程）,0000000020,公立,27100,大阪市
961,0000000020,計（高等・専門・一般課程）,0000000020,公立,27140,堺市
1634,0000000020,計（高等・専門・一般課程）,0000000020,公立,28100,神戸市
1289,0000000020,計（高等・専門・一般課程）,0000000020,公立,34100,広島市
1040,0000000020,計（高等・専門・一般課程）,0000000020,公立,40100,北九州市
1162,0000000020,計（高等・専門・一般課程）,0000000020,公立,40130,福岡市
22287,0000000020,計（高等・専門・一般課程）,0000000030,私立,00000,計
845,0000000020,計（高等・専門・一般課程）,0000000030,私立,01100,札幌市
931,0000000020,計（高等・専門・一般課程）,0000000030,私立,04100,仙台市
804,0000000020,計（高等・専門・一般課程）,0000000030,私立,11100,さいたま市
409,0000000020,計（高等・専門・一般課程）,0000000030,私立,12100,千葉市
6908,0000000020,計（高等・専門・一般課程）,0000000030,私立,13100,東京（23区）
1658,0000000020,計（高等・専門・一般課程）,0000000030,私立,14100,横浜市
316,0000000020,計（高等・専門・一般課程）,0000000030,私立,14130,川崎市
451,0000000020,計（高等・専門・一般課程）,0000000030,私立,15100,新潟市
554,0000000020,計（高等・専門・一般課程）,0000000030,私立,22100,静岡市
392,0000000020,計（高等・専門・一般課程）,0000000030,私立,22130,浜松市
1725,0000000020,計（高等・専門・一般課程）,0000000030,私立,23100,名古屋市
1294,0000000020,計（高等・専門・一般課程）,0000000030,私立,26100,京都市
1922,0000000020,計（高等・専門・一般課程）,0000000030,私立,27100,大阪市
273,0000000020,計（高等・専門・一般課程）,0000000030,私立,27140,堺市
1174,0000000020,計（高等・専門・一般課程）,0000000030,私立,28100,神戸市
738,0000000020,計（高等・専門・一般課程）,0000000030,私立,34100,広島市
736,0000000020,計（高等・専門・一般課程）,0000000030,私立,40100,北九州市
1157,0000000020,計（高等・専門・一般課程）,0000000030,私立,40130,福岡市
3864,0000000030,全日制,0000000010,計,00000,計
275,0000000030,全日制,0000000010,計,01100,札幌市
81,0000000030,全日制,0000000010,計,04100,仙台市
163,0000000030,全日制,0000000010,計,11100,さいたま市
81,0000000030,全日制,0000000010,計,12100,千葉市
1132,0000000030,全日制,0000000010,計,13100,東京（23区）
231,0000000030,全日制,0000000010,計,14100,横浜市
147,0000000030,全日制,0000000010,計,14130,川崎市
81,0000000030,全日制,0000000010,計,15100,新潟市
111,0000000030,全日制,0000000010,計,22100,静岡市
80,0000000030,全日制,0000000010,計,22130,浜松市
181,0000000030,全日制,0000000010,計,23100,名古屋市
216,0000000030,全日制,0000000010,計,26100,京都市
494,0000000030,全日制,0000000010,計,27100,大阪市
114,0000000030,全日制,0000000010,計,27140,堺市
220,0000000030,全日制,0000000010,計,28100,神戸市
71,0000000030,全日制,0000000010,計,34100,広島市
98,0000000030,全日制,0000000010,計,40100,北九州市
88,0000000030,全日制,0000000010,計,40130,福岡市
3790,0000000030,全日制,0000000020,公立,00000,計
275,0000000030,全日制,0000000020,公立,01100,札幌市
81,0000000030,全日制,0000000020,公立,04100,仙台市
163,0000000030,全日制,0000000020,公立,11100,さいたま市
81,0000000030,全日制,0000000020,公立,12100,千葉市
1065,0000000030,全日制,0000000020,公立,13100,東京（23区）
231,0000000030,全日制,0000000020,公立,14100,横浜市
147,0000000030,全日制,0000000020,公立,14130,川崎市
81,0000000030,全日制,0000000020,公立,15100,新潟市
111,0000000030,全日制,0000000020,公立,22100,静岡市
80,0000000030,全日制,0000000020,公立,22130,浜松市
181,0000000030,全日制,0000000020,公立,23100,名古屋市
209,0000000030,全日制,0000000020,公立,26100,京都市
494,0000000030,全日制,0000000020,公立,27100,大阪市
114,0000000030,全日制,0000000020,公立,27140,堺市
220,0000000030,全日制,0000000020,公立,28100,神戸市
71,0000000030,全日制,0000000020,公立,34100,広島市
98,0000000030,全日制,0000000020,公立,40100,北九州市
88,0000000030,全日制,0000000020,公立,40130,福岡市
74,0000000030,全日制,0000000030,私立,00000,計
0,0000000030,全日制,0000000030,私立,01100,札幌市
0,0000000030,全日制,0000000030,私立,04100,仙台市
0,0000000030,全日制,0000000030,私立,11100,さいたま市
0,0000000030,全日制,0000000030,私立,12100,千葉市
