value,tab,tab_label,cat01,cat01_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
73151,0000000240,児童数（特別支援学級）,00000,計,00000,計,010,計,00000,全国,2006000000,2006年,人
42085,0000000240,児童数（特別支援学級）,00000,計,00000,計,020,知的障害,00000,全国,2006000000,2006年,人
3024,0000000240,児童数（特別支援学級）,00000,計,00000,計,030,肢体不自由,00000,全国,2006000000,2006年,人
1279,0000000240,児童数（特別支援学級）,00000,計,00000,計,040,病弱・身体虚弱,00000,全国,2006000000,2006年,人
252,0000000240,児童数（特別支援学級）,00000,計,00000,計,050,弱視,00000,全国,2006000000,2006年,人
822,0000000240,児童数（特別支援学級）,00000,計,00000,計,060,難聴,00000,全国,2006000000,2006年,人
1150,0000000240,児童数（特別支援学級）,00000,計,00000,計,070,言語障害,00000,全国,2006000000,2006年,人
24539,0000000240,児童数（特別支援学級）,00000,計,00000,計,080,情緒障害,00000,全国,2006000000,2006年,人
104,0000000240,児童数（特別支援学級）,00000,計,01000,国立,010,計,00000,全国,2006000000,2006年,人
104,0000000240,児童数（特別支援学級）,00000,計,01000,国立,020,知的障害,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,00000,計,01000,国立,030,肢体不自由,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,00000,計,01000,国立,040,病弱・身体虚弱,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,00000,計,01000,国立,050,弱視,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,00000,計,01000,国立,060,難聴,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,00000,計,01000,国立,070,言語障害,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,00000,計,01000,国立,080,情緒障害,00000,全国,2006000000,2006年,人
72872,0000000240,児童数（特別支援学級）,00000,計,02000,公立,010,計,00000,全国,2006000000,2006年,人
41981,0000000240,児童数（特別支援学級）,00000,計,02000,公立,020,知的障害,00000,全国,2006000000,2006年,人
3024,0000000240,児童数（特別支援学級）,00000,計,02000,公立,030,肢体不自由,00000,全国,2006000000,2006年,人
1279,0000000240,児童数（特別支援学級）,00000,計,02000,公立,040,病弱・身体虚弱,00000,全国,2006000000,2006年,人
252,0000000240,児童数（特別支援学級）,00000,計,02000,公立,050,弱視,00000,全国,2006000000,2006年,人
822,0000000240,児童数（特別支援学級）,00000,計,02000,公立,060,難聴,00000,全国,2006000000,2006年,人
1150,0000000240,児童数（特別支援学級）,00000,計,02000,公立,070,言語障害,00000,全国,2006000000,2006年,人
24364,0000000240,児童数（特別支援学級）,00000,計,02000,公立,080,情緒障害,00000,全国,2006000000,2006年,人
175,0000000240,児童数（特別支援学級）,00000,計,03000,私立,010,計,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,00000,計,03000,私立,020,知的障害,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,00000,計,03000,私立,030,肢体不自由,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,00000,計,03000,私立,040,病弱・身体虚弱,00000,全国,2006000000,2006年,人
