value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
59053,0000000270,児童数（長期欠席）,0000000010,計,00000,計,00000,全国,2006000000,2006年,人
2434,0000000270,児童数（長期欠席）,0000000010,計,00000,計,01000,北海道,2006000000,2006年,人
359,0000000270,児童数（長期欠席）,0000000010,計,00000,計,02000,青森県,2006000000,2006年,人
331,0000000270,児童数（長期欠席）,0000000010,計,00000,計,03000,岩手県,2006000000,2006年,人
1089,0000000270,児童数（長期欠席）,0000000010,計,00000,計,04000,宮城県,2006000000,2006年,人
369,0000000270,児童数（長期欠席）,0000000010,計,00000,計,05000,秋田県,2006000000,2006年,人
311,0000000270,児童数（長期欠席）,0000000010,計,00000,計,06000,山形県,2006000000,2006年,人
936,0000000270,児童数（長期欠席）,0000000010,計,00000,計,07000,福島県,2006000000,2006年,人
1697,0000000270,児童数（長期欠席）,0000000010,計,00000,計,08000,茨城県,2006000000,2006年,人
1096,0000000270,児童数（長期欠席）,0000000010,計,00000,計,09000,栃木県,2006000000,2006年,人
791,0000000270,児童数（長期欠席）,0000000010,計,00000,計,10000,群馬県,2006000000,2006年,人
2522,0000000270,児童数（長期欠席）,0000000010,計,00000,計,11000,埼玉県,2006000000,2006年,人
3271,0000000270,児童数（長期欠席）,0000000010,計,00000,計,12000,千葉県,2006000000,2006年,人
4226,0000000270,児童数（長期欠席）,0000000010,計,00000,計,13000,東京都,2006000000,2006年,人
4560,0000000270,児童数（長期欠席）,0000000010,計,00000,計,14000,神奈川県,2006000000,2006年,人
743,0000000270,児童数（長期欠席）,0000000010,計,00000,計,15000,新潟県,2006000000,2006年,人
426,0000000270,児童数（長期欠席）,0000000010,計,00000,計,16000,富山県,2006000000,2006年,人
340,0000000270,児童数（長期欠席）,0000000010,計,00000,計,17000,石川県,2006000000,2006年,人
305,0000000270,児童数（長期欠席）,0000000010,計,00000,計,18000,福井県,2006000000,2006年,人
500,0000000270,児童数（長期欠席）,0000000010,計,00000,計,19000,山梨県,2006000000,2006年,人
1279,0000000270,児童数（長期欠席）,0000000010,計,00000,計,20000,長野県,2006000000,2006年,人
871,0000000270,児童数（長期欠席）,0000000010,計,00000,計,21000,岐阜県,2006000000,2006年,人
1433,0000000270,児童数（長期欠席）,0000000010,計,00000,計,22000,静岡県,2006000000,2006年,人
3355,0000000270,児童数（長期欠席）,0000000010,計,00000,計,23000,愛知県,2006000000,2006年,人
767,0000000270,児童数（長期欠席）,0000000010,計,00000,計,24000,三重県,2006000000,2006年,人
1008,0000000270,児童数（長期欠席）,0000000010,計,00000,計,25000,滋賀県,2006000000,2006年,人
1461,0000000270,児童数（長期欠席）,0000000010,計,00000,計,26000,京都府,2006000000,2006年,人
6089,0000000270,児童数（長期欠席）,0000000010,計,00000,計,27000,大阪府,2006000000,2006年,人
2850,0000000270,児童数（長期欠席）,0000000010,計,00000,計,28000,兵庫県,2006000000,2006年,人
872,0000000270,児童数（長期欠席）,0000000010,計,00000,計,29000,奈良県,2006000000,2006年,人
625,0000000270,児童数（長期欠席）,0000000010,計,00000,計,30000,和歌山県,2006000000,2006年,人
334,0000000270,児童数（長期欠席）,0000000010,計,00000,計,31000,鳥取県,2006000000,2006年,人
297,0000000270,児童数（長期欠席）,0000000010,計,00000,計,32000,島根県,2006000000,2006年,人
1335,0000000270,児童数（長期欠席）,0000000010,計,00000,計,33000,岡山県,2006000000,2006年,人
1405,0000000270,児童数（長期欠席）,0000000010,計,00000,計,34000,広島県,2006000000,2006年,人
525,0000000270,児童数（長期欠席）,0000000010,計,00000,計,35000,山口県,2006000000,2006年,人
445,0000000270,児童数（長期欠席）,0000000010,計,00000,計,36000,徳島県,2006000000,2006年,人
435,0000000270,児童数（長期欠席）,0000000010,計,00000,計,37000,香川県,2006000000,2006年,人
587,0000000270,児童数（長期欠席）,0000000010,計,00000,計,38000,愛媛県,2006000000,2006年,人
424,0000000270,児童数（長期欠席）,0000000010,計,00000,計,39000,高知県,2006000000,2006年,人
2411,0000000270,児童数（長期欠席）,0000000010,計,00000,計,40000,福岡県,2006000000,2006年,人
424,0000000270,児童数（長期欠席）,0000000010,計,00000,計,41000,佐賀県,2006000000,2006年,人
637,0000000270,児童数（長期欠席）,0000000010,計,00000,計,42000,長崎県,2006000000,2006年,人
450,0000000270,児童数（長期欠席）,0000000010,計,00000,計,43000,熊本県,2006000000,2006年,人
473,0000000270,児童数（長期欠席）,0000000010,計,00000,計,44000,大分県,2006000000,2006年,人
373,0000000270,児童数（長期欠席）,0000000010,計,00000,計,45000,宮崎県,2006000000,2006年,人
727,0000000270,児童数（長期欠席）,0000000010,計,00000,計,46000,鹿児島県,2006000000,2006年,人
855,0000000270,児童数（長期欠席）,0000000010,計,00000,計,47000,沖縄県,2006000000,2006年,人
120,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,00000,全国,2006000000,2006年,人
5,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,01000,北海道,2006000000,2006年,人
0,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,02000,青森県,2006000000,2006年,人
0,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,03000,岩手県,2006000000,2006年,人
2,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,04000,宮城県,2006000000,2006年,人
6,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,05000,秋田県,2006000000,2006年,人
0,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,06000,山形県,2006000000,2006年,人
2,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,07000,福島県,2006000000,2006年,人
0,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,08000,茨城県,2006000000,2006年,人
2,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,09000,栃木県,2006000000,2006年,人
4,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,10000,群馬県,2006000000,2006年,人
1,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,11000,埼玉県,2006000000,2006年,人
1,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,12000,千葉県,2006000000,2006年,人
2,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,13000,東京都,2006000000,2006年,人
4,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,14000,神奈川県,2006000000,2006年,人
3,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,15000,新潟県,2006000000,2006年,人
3,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,16000,富山県,2006000000,2006年,人
0,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,17000,石川県,2006000000,2006年,人
1,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,18000,福井県,2006000000,2006年,人
4,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,19000,山梨県,2006000000,2006年,人
7,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,20000,長野県,2006000000,2006年,人
1,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,21000,岐阜県,2006000000,2006年,人
3,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,22000,静岡県,2006000000,2006年,人
16,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,23000,愛知県,2006000000,2006年,人
4,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,24000,三重県,2006000000,2006年,人
3,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,25000,滋賀県,2006000000,2006年,人
2,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,26000,京都府,2006000000,2006年,人
6,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,27000,大阪府,2006000000,2006年,人
12,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,28000,兵庫県,2006000000,2006年,人
3,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,29000,奈良県,2006000000,2006年,人
2,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,30000,和歌山県,2006000000,2006年,人
2,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,31000,鳥取県,2006000000,2006年,人
1,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,32000,島根県,2006000000,2006年,人
1,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,33000,岡山県,2006000000,2006年,人
2,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,34000,広島県,2006000000,2006年,人
0,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,35000,山口県,2006000000,2006年,人
4,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,36000,徳島県,2006000000,2006年,人
0,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,37000,香川県,2006000000,2006年,人
4,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,38000,愛媛県,2006000000,2006年,人
1,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,39000,高知県,2006000000,2006年,人
2,0000000270,児童数（長期欠席）,0000000010,計,01000,国立,40000,福岡県,2006000000,2006年,人
