value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
22878,0000000800,学校数・学級数・児童生徒数・教職員数,06690,小学校-計,010,学校数-計,00000,全国,2006000000,2006年
22533,0000000800,学校数・学級数・児童生徒数・教職員数,06690,小学校-計,020,学校数-本校,00000,全国,2006000000,2006年
345,0000000800,学校数・学級数・児童生徒数・教職員数,06690,小学校-計,030,学校数-分校,00000,全国,2006000000,2006年
277525,0000000800,学校数・学級数・児童生徒数・教職員数,06690,小学校-計,040,学級数,00000,全国,2006000000,2006年
7187417,0000000800,学校数・学級数・児童生徒数・教職員数,06690,小学校-計,080,児童生徒数-計,00000,全国,2006000000,2006年
3675484,0000000800,学校数・学級数・児童生徒数・教職員数,06690,小学校-計,090,児童生徒数-男,00000,全国,2006000000,2006年
3511933,0000000800,学校数・学級数・児童生徒数・教職員数,06690,小学校-計,100,児童生徒数-女,00000,全国,2006000000,2006年
417858,0000000800,学校数・学級数・児童生徒数・教職員数,06690,小学校-計,170,教員数（本務者）-計,00000,全国,2006000000,2006年
155907,0000000800,学校数・学級数・児童生徒数・教職員数,06690,小学校-計,180,教員数（本務者）-男,00000,全国,2006000000,2006年
261951,0000000800,学校数・学級数・児童生徒数・教職員数,06690,小学校-計,190,教員数（本務者）-女,00000,全国,2006000000,2006年
21474,0000000800,学校数・学級数・児童生徒数・教職員数,06690,小学校-計,195,教員数（兼務者）,00000,全国,2006000000,2006年
87250,0000000800,学校数・学級数・児童生徒数・教職員数,06690,小学校-計,200,職員数（本務者）,00000,全国,2006000000,2006年
73,0000000800,学校数・学級数・児童生徒数・教職員数,06700,小学校-国立,010,学校数-計,00000,全国,2006000000,2006年
73,0000000800,学校数・学級数・児童生徒数・教職員数,06700,小学校-国立,020,学校数-本校,00000,全国,2006000000,2006年
0,0000000800,学校数・学級数・児童生徒数・教職員数,06700,小学校-国立,030,学校数-分校,00000,全国,2006000000,2006年
1279,0000000800,学校数・学級数・児童生徒数・教職員数,06700,小学校-国立,040,学級数,00000,全国,2006000000,2006年
46484,0000000800,学校数・学級数・児童生徒数・教職員数,06700,小学校-国立,080,児童生徒数-計,00000,全国,2006000000,2006年
23176,0000000800,学校数・学級数・児童生徒数・教職員数,06700,小学校-国立,090,児童生徒数-男,00000,全国,2006000000,2006年
23308,0000000800,学校数・学級数・児童生徒数・教職員数,06700,小学校-国立,100,児童生徒数-女,00000,全国,2006000000,2006年
1758,0000000800,学校数・学級数・児童生徒数・教職員数,06700,小学校-国立,170,教員数（本務者）-計,00000,全国,2006000000,2006年
1221,0000000800,学校数・学級数・児童生徒数・教職員数,06700,小学校-国立,180,教員数（本務者）-男,00000,全国,2006000000,2006年
537,0000000800,学校数・学級数・児童生徒数・教職員数,06700,小学校-国立,190,教員数（本務者）-女,00000,全国,2006000000,2006年
444,0000000800,学校数・学級数・児童生徒数・教職員数,06700,小学校-国立,195,教員数（兼務者）,00000,全国,2006000000,2006年
363,0000000800,学校数・学級数・児童生徒数・教職員数,06700,小学校-国立,200,職員数（本務者）,00000,全国,2006000000,2006年
22607,0000000800,学校数・学級数・児童生徒数・教職員数,06800,小学校-公立,010,学校数-計,00000,全国,2006000000,2006年
22262,0000000800,学校数・学級数・児童生徒数・教職員数,06800,小学校-公立,020,学校数-本校,00000,全国,2006000000,2006年
345,0000000800,学校数・学級数・児童生徒数・教職員数,06800,小学校-公立,030,学校数-分校,00000,全国,2006000000,2006年
274019,0000000800,学校数・学級数・児童生徒数・教職員数,06800,小学校-公立,040,学級数,00000,全国,2006000000,2006年
7067863,0000000800,学校数・学級数・児童生徒数・教職員数,06800,小学校-公立,080,児童生徒数-計,00000,全国,2006000000,2006年
3622743,0000000800,学校数・学級数・児童生徒数・教職員数,06800,小学校-公立,090,児童生徒数-男,00000,全国,2006000000,2006年
3445120,0000000800,学校数・学級数・児童生徒数・教職員数,06800,小学校-公立,100,児童生徒数-女,00000,全国,2006000000,2006年
