value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
9648,000,男女計,000,総数,203,15～19歳,000,総数,00000,全国,1987000000,1987年,千人
8895,000,男女計,000,総数,203,15～19歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
13,000,男女計,000,総数,203,15～19歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
22,000,男女計,000,総数,203,15～19歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
8839,000,男女計,000,総数,203,15～19歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
21,000,男女計,000,総数,203,15～19歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
753,000,男女計,000,総数,203,15～19歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
8320,000,男女計,000,総数,204,20～24歳,000,総数,00000,全国,1987000000,1987年,千人
6519,000,男女計,000,総数,204,20～24歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
305,000,男女計,000,総数,204,20～24歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
490,000,男女計,000,総数,204,20～24歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
5691,000,男女計,000,総数,204,20～24歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
32,000,男女計,000,総数,204,20～24歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
1800,000,男女計,000,総数,204,20～24歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
7785,000,男女計,000,総数,205,25～29歳,000,総数,00000,全国,1987000000,1987年,千人
6758,000,男女計,000,総数,205,25～29歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
1276,000,男女計,000,総数,205,25～29歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
1879,000,男女計,000,総数,205,25～29歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
3589,000,男女計,000,総数,205,25～29歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
14,000,男女計,000,総数,205,25～29歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
1027,000,男女計,000,総数,205,25～29歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
8223,000,男女計,000,総数,206,30～34歳,000,総数,00000,全国,1987000000,1987年,千人
7659,000,男女計,000,総数,206,30～34歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
2447,000,男女計,000,総数,206,30～34歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
2805,000,男女計,000,総数,206,30～34歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
2400,000,男女計,000,総数,206,30～34歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
7,000,男女計,000,総数,206,30～34歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
564,000,男女計,000,総数,206,30～34歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
10886,000,男女計,000,総数,207,35～39歳,000,総数,00000,全国,1987000000,1987年,千人
10309,000,男女計,000,総数,207,35～39歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
4143,000,男女計,000,総数,207,35～39歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
4148,000,男女計,000,総数,207,35～39歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
2008,000,男女計,000,総数,207,35～39歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
10,000,男女計,000,総数,207,35～39歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
577,000,男女計,000,総数,207,35～39歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
9038,000,男女計,000,総数,208,40～44歳,000,総数,00000,全国,1987000000,1987年,千人
8595,000,男女計,000,総数,208,40～44歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
3995,000,男女計,000,総数,208,40～44歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
3644,000,男女計,000,総数,208,40～44歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
950,000,男女計,000,総数,208,40～44歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
6,000,男女計,000,総数,208,40～44歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
444,000,男女計,000,総数,208,40～44歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
8610,000,男女計,000,総数,209,45～49歳,000,総数,00000,全国,1987000000,1987年,千人
8154,000,男女計,000,総数,209,45～49歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
4056,000,男女計,000,総数,209,45～49歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
3545,000,男女計,000,総数,209,45～49歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
544,000,男女計,000,総数,209,45～49歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
9,000,男女計,000,総数,209,45～49歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
456,000,男女計,000,総数,209,45～49歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
8138,000,男女計,000,総数,210,50～54歳,000,総数,00000,全国,1987000000,1987年,千人
7648,000,男女計,000,総数,210,50～54歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
3946,000,男女計,000,総数,210,50～54歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
3323,000,男女計,000,総数,210,50～54歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
370,000,男女計,000,総数,210,50～54歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
9,000,男女計,000,総数,210,50～54歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
490,000,男女計,000,総数,210,50～54歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
7331,000,男女計,000,総数,211,55～59歳,000,総数,00000,全国,1987000000,1987年,千人
6800,000,男女計,000,総数,211,55～59歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
3557,000,男女計,000,総数,211,55～59歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
2836,000,男女計,000,総数,211,55～59歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
399,000,男女計,000,総数,211,55～59歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
9,000,男女計,000,総数,211,55～59歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
531,000,男女計,000,総数,211,55～59歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
6036,000,男女計,000,総数,212,60～64歳,000,総数,00000,全国,1987000000,1987年,千人
5501,000,男女計,000,総数,212,60～64歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
2703,000,男女計,000,総数,212,60～64歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
2113,000,男女計,000,総数,212,60～64歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
679,000,男女計,000,総数,212,60～64歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
7,000,男女計,000,総数,212,60～64歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
535,000,男女計,000,総数,212,60～64歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
4425,000,男女計,000,総数,213,65～69歳,000,総数,00000,全国,1987000000,1987年,千人
3907,000,男女計,000,総数,213,65～69歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
1736,000,男女計,000,総数,213,65～69歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
1263,000,男女計,000,総数,213,65～69歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
902,000,男女計,000,総数,213,65～69歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
6,000,男女計,000,総数,213,65～69歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
519,000,男女計,000,総数,213,65～69歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
3669,000,男女計,000,総数,214,70～74歳,000,総数,00000,全国,1987000000,1987年,千人
3156,000,男女計,000,総数,214,70～74歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
1325,000,男女計,000,総数,214,70～74歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
678,000,男女計,000,総数,214,70～74歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
1148,000,男女計,000,総数,214,70～74歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
6,000,男女計,000,総数,214,70～74歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
512,000,男女計,000,総数,214,70～74歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
97337,000,男女計,000,総数,515,15歳以上,000,総数,00000,全国,1987000000,1987年,千人
88211,000,男女計,000,総数,515,15歳以上,001,　一般世帯,00000,全国,1987000000,1987年,千人
30766,000,男女計,000,総数,515,15歳以上,002,　　世帯主,00000,全国,1987000000,1987年,千人
27116,000,男女計,000,総数,515,15歳以上,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
30181,000,男女計,000,総数,515,15歳以上,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
148,000,男女計,000,総数,515,15歳以上,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
9126,000,男女計,000,総数,515,15歳以上,006,　単身世帯,00000,全国,1987000000,1987年,千人
5227,000,男女計,000,総数,575,75歳以上,000,総数,00000,全国,1987000000,1987年,千人
4309,000,男女計,000,総数,575,75歳以上,001,　一般世帯,00000,全国,1987000000,1987年,千人
1264,000,男女計,000,総数,575,75歳以上,002,　　世帯主,00000,全国,1987000000,1987年,千人
369,000,男女計,000,総数,575,75歳以上,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
2663,000,男女計,000,総数,575,75歳以上,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
12,000,男女計,000,総数,575,75歳以上,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
918,000,男女計,000,総数,575,75歳以上,006,　単身世帯,00000,全国,1987000000,1987年,千人
1621,000,男女計,001,　有業者,203,15～19歳,000,総数,00000,全国,1987000000,1987年,千人
1304,000,男女計,001,　有業者,203,15～19歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
9,000,男女計,001,　有業者,203,15～19歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
6,000,男女計,001,　有業者,203,15～19歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
