value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
43.2,000,男女計,000,総数,000,平均年齢,00000,全国,1987000000,1987年,歳
41.8,000,男女計,001,　有業者,000,平均年齢,00000,全国,1987000000,1987年,歳
41.2,000,男女計,002,　　仕事が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
44.6,000,男女計,003,　　仕事が従な者,000,平均年齢,00000,全国,1987000000,1987年,歳
46.5,000,男女計,004,　　　家事が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
20.0,000,男女計,005,　　　通学が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
50.2,000,男女計,006,　　　家事・通学以外が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
45.5,000,男女計,007,　無業者,000,平均年齢,00000,全国,1987000000,1987年,歳
49.2,000,男女計,008,　　家事をしている者,000,平均年齢,00000,全国,1987000000,1987年,歳
17.4,000,男女計,009,　　通学している者,000,平均年齢,00000,全国,1987000000,1987年,歳
65.0,000,男女計,010,　　その他,000,平均年齢,00000,全国,1987000000,1987年,歳
42.0,001,　男,000,総数,000,平均年齢,00000,全国,1987000000,1987年,歳
42.0,001,　男,001,　有業者,000,平均年齢,00000,全国,1987000000,1987年,歳
42.1,001,　男,002,　　仕事が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
37.5,001,　男,003,　　仕事が従な者,000,平均年齢,00000,全国,1987000000,1987年,歳
63.0,001,　男,004,　　　家事が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
20.3,001,　男,005,　　　通学が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
55.5,001,　男,006,　　　家事・通学以外が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
42.2,001,　男,007,　無業者,000,平均年齢,00000,全国,1987000000,1987年,歳
66.1,001,　男,008,　　家事をしている者,000,平均年齢,00000,全国,1987000000,1987年,歳
17.7,001,　男,009,　　通学している者,000,平均年齢,00000,全国,1987000000,1987年,歳
62.3,001,　男,010,　　その他,000,平均年齢,00000,全国,1987000000,1987年,歳
44.2,002,　女,000,総数,000,平均年齢,00000,全国,1987000000,1987年,歳
41.4,002,　女,001,　有業者,000,平均年齢,00000,全国,1987000000,1987年,歳
39.2,002,　女,002,　　仕事が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
45.3,002,　女,003,　　仕事が従な者,000,平均年齢,00000,全国,1987000000,1987年,歳
46.1,002,　女,004,　　　家事が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
19.5,002,　女,005,　　　通学が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
46.9,002,　女,006,　　　家事・通学以外が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
46.8,002,　女,007,　無業者,000,平均年齢,00000,全国,1987000000,1987年,歳
48.9,002,　女,008,　　家事をしている者,000,平均年齢,00000,全国,1987000000,1987年,歳
17.2,002,　女,009,　　通学している者,000,平均年齢,00000,全国,1987000000,1987年,歳
68.8,002,　女,010,　　その他,000,平均年齢,00000,全国,1987000000,1987年,歳
45.9,003,うち女子有配偶者,000,総数,000,平均年齢,00000,全国,1987000000,1987年,歳
44.7,003,うち女子有配偶者,001,　有業者,000,平均年齢,00000,全国,1987000000,1987年,歳
44.2,003,うち女子有配偶者,002,　　仕事が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
45.2,003,うち女子有配偶者,003,　　仕事が従な者,000,平均年齢,00000,全国,1987000000,1987年,歳
45.2,003,うち女子有配偶者,004,　　　家事が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
27.7,003,うち女子有配偶者,005,　　　通学が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
47.1,003,うち女子有配偶者,006,　　　家事・通学以外が主な者,000,平均年齢,00000,全国,1987000000,1987年,歳
47.2,003,うち女子有配偶者,007,　無業者,000,平均年齢,00000,全国,1987000000,1987年,歳
45.8,003,うち女子有配偶者,008,　　家事をしている者,000,平均年齢,00000,全国,1987000000,1987年,歳
27.3,003,うち女子有配偶者,009,　　通学している者,000,平均年齢,00000,全国,1987000000,1987年,歳
67.3,003,うち女子有配偶者,010,　　その他,000,平均年齢,00000,全国,1987000000,1987年,歳
