value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
6674000,001,人口,000,総数,000,総数,000,総数,000,総数,00000,全国,2007000000,2007年,人
2943300,001,人口,000,総数,000,総数,000,総数,001,　男,00000,全国,2007000000,2007年,人
3730700,001,人口,000,総数,000,総数,000,総数,002,　女,00000,全国,2007000000,2007年,人
1286900,001,人口,000,総数,000,総数,001,　15～24歳,000,総数,00000,全国,2007000000,2007年,人
593800,001,人口,000,総数,000,総数,001,　15～24歳,001,　男,00000,全国,2007000000,2007年,人
693100,001,人口,000,総数,000,総数,001,　15～24歳,002,　女,00000,全国,2007000000,2007年,人
1866000,001,人口,000,総数,000,総数,002,　25～34歳,000,総数,00000,全国,2007000000,2007年,人
727000,001,人口,000,総数,000,総数,002,　25～34歳,001,　男,00000,全国,2007000000,2007年,人
1139000,001,人口,000,総数,000,総数,002,　25～34歳,002,　女,00000,全国,2007000000,2007年,人
1155700,001,人口,000,総数,000,総数,003,　35～44歳,000,総数,00000,全国,2007000000,2007年,人
409400,001,人口,000,総数,000,総数,003,　35～44歳,001,　男,00000,全国,2007000000,2007年,人
746300,001,人口,000,総数,000,総数,003,　35～44歳,002,　女,00000,全国,2007000000,2007年,人
762600,001,人口,000,総数,000,総数,004,　45～54歳,000,総数,00000,全国,2007000000,2007年,人
276900,001,人口,000,総数,000,総数,004,　45～54歳,001,　男,00000,全国,2007000000,2007年,人
485700,001,人口,000,総数,000,総数,004,　45～54歳,002,　女,00000,全国,2007000000,2007年,人
1075700,001,人口,000,総数,000,総数,005,　55～64歳,000,総数,00000,全国,2007000000,2007年,人
600000,001,人口,000,総数,000,総数,005,　55～64歳,001,　男,00000,全国,2007000000,2007年,人
475800,001,人口,000,総数,000,総数,005,　55～64歳,002,　女,00000,全国,2007000000,2007年,人
527100,001,人口,000,総数,000,総数,006,　65歳以上,000,総数,00000,全国,2007000000,2007年,人
336300,001,人口,000,総数,000,総数,006,　65歳以上,001,　男,00000,全国,2007000000,2007年,人
190800,001,人口,000,総数,000,総数,006,　65歳以上,002,　女,00000,全国,2007000000,2007年,人
3356600,001,人口,000,総数,001,　有業者,000,総数,000,総数,00000,全国,2007000000,2007年,人
1622300,001,人口,000,総数,001,　有業者,000,総数,001,　男,00000,全国,2007000000,2007年,人
1734300,001,人口,000,総数,001,　有業者,000,総数,002,　女,00000,全国,2007000000,2007年,人
701300,001,人口,000,総数,001,　有業者,001,　15～24歳,000,総数,00000,全国,2007000000,2007年,人
321400,001,人口,000,総数,001,　有業者,001,　15～24歳,001,　男,00000,全国,2007000000,2007年,人
379800,001,人口,000,総数,001,　有業者,001,　15～24歳,002,　女,00000,全国,2007000000,2007年,人
1067900,001,人口,000,総数,001,　有業者,002,　25～34歳,000,総数,00000,全国,2007000000,2007年,人
511600,001,人口,000,総数,001,　有業者,002,　25～34歳,001,　男,00000,全国,2007000000,2007年,人
556400,001,人口,000,総数,001,　有業者,002,　25～34歳,002,　女,00000,全国,2007000000,2007年,人
