value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label,unit
100000,100,生存数(lx),100000,0週,10,男,2024000000,2024年,人
100000,100,生存数(lx),100000,0週,10,男,2023000000,2023年,人
100000,100,生存数(lx),100000,0週,10,男,2022000000,2022年,人
100000,100,生存数(lx),100000,0週,10,男,2021000000,2021年,人
100000,100,生存数(lx),100000,0週,10,男,2020000000,2020年,人
100000,100,生存数(lx),100000,0週,10,男,2019000000,2019年,人
100000,100,生存数(lx),100000,0週,10,男,2018000000,2018年,人
100000,100,生存数(lx),100000,0週,10,男,2017000000,2017年,人
100000,100,生存数(lx),100000,0週,10,男,2016000000,2016年,人
100000,100,生存数(lx),100000,0週,10,男,2015000000,2015年,人
100000,100,生存数(lx),100000,0週,10,男,2014000000,2014年,人
100000,100,生存数(lx),100000,0週,10,男,2013000000,2013年,人
100000,100,生存数(lx),100000,0週,10,男,2012000000,2012年,人
100000,100,生存数(lx),100000,0週,10,男,2011000000,2011年,人
100000,100,生存数(lx),100000,0週,10,男,2010000000,2010年,人
100000,100,生存数(lx),100000,0週,10,男,2009000000,2009年,人
100000,100,生存数(lx),100000,0週,10,男,2008000000,2008年,人
100000,100,生存数(lx),100000,0週,10,男,2007000000,2007年,人
100000,100,生存数(lx),100000,0週,20,女,2024000000,2024年,人
100000,100,生存数(lx),100000,0週,20,女,2023000000,2023年,人
100000,100,生存数(lx),100000,0週,20,女,2022000000,2022年,人
100000,100,生存数(lx),100000,0週,20,女,2021000000,2021年,人
100000,100,生存数(lx),100000,0週,20,女,2020000000,2020年,人
100000,100,生存数(lx),100000,0週,20,女,2019000000,2019年,人
100000,100,生存数(lx),100000,0週,20,女,2018000000,2018年,人
100000,100,生存数(lx),100000,0週,20,女,2017000000,2017年,人
100000,100,生存数(lx),100000,0週,20,女,2016000000,2016年,人
100000,100,生存数(lx),100000,0週,20,女,2015000000,2015年,人
100000,100,生存数(lx),100000,0週,20,女,2014000000,2014年,人
100000,100,生存数(lx),100000,0週,20,女,2013000000,2013年,人
100000,100,生存数(lx),100000,0週,20,女,2012000000,2012年,人
100000,100,生存数(lx),100000,0週,20,女,2011000000,2011年,人
100000,100,生存数(lx),100000,0週,20,女,2010000000,2010年,人
100000,100,生存数(lx),100000,0週,20,女,2009000000,2009年,人
100000,100,生存数(lx),100000,0週,20,女,2008000000,2008年,人
100000,100,生存数(lx),100000,0週,20,女,2007000000,2007年,人
99926,100,生存数(lx),100001,1週,10,男,2024000000,2024年,人
99935,100,生存数(lx),100001,1週,10,男,2023000000,2023年,人
99936,100,生存数(lx),100001,1週,10,男,2022000000,2022年,人
99937,100,生存数(lx),100001,1週,10,男,2021000000,2021年,人
99933,100,生存数(lx),100001,1週,10,男,2020000000,2020年,人
99927,100,生存数(lx),100001,1週,10,男,2019000000,2019年,人
99931,100,生存数(lx),100001,1週,10,男,2018000000,2018年,人
99928,100,生存数(lx),100001,1週,10,男,2017000000,2017年,人
99931,100,生存数(lx),100001,1週,10,男,2016000000,2016年,人
99931,100,生存数(lx),100001,1週,10,男,2015000000,2015年,人
99928,100,生存数(lx),100001,1週,10,男,2014000000,2014年,人
99921,100,生存数(lx),100001,1週,10,男,2013000000,2013年,人
99923,100,生存数(lx),100001,1週,10,男,2012000000,2012年,人
99922,100,生存数(lx),100001,1週,10,男,2011000000,2011年,人
99908,100,生存数(lx),100001,1週,10,男,2010000000,2010年,人
99909,100,生存数(lx),100001,1週,10,男,2009000000,2009年,人
99910,100,生存数(lx),100001,1週,10,男,2008000000,2008年,人
99901,100,生存数(lx),100001,1週,10,男,2007000000,2007年,人
99933,100,生存数(lx),100001,1週,20,女,2024000000,2024年,人
99939,100,生存数(lx),100001,1週,20,女,2023000000,2023年,人
99944,100,生存数(lx),100001,1週,20,女,2022000000,2022年,人
99939,100,生存数(lx),100001,1週,20,女,2021000000,2021年,人
99936,100,生存数(lx),100001,1週,20,女,2020000000,2020年,人
99940,100,生存数(lx),100001,1週,20,女,2019000000,2019年,人
99935,100,生存数(lx),100001,1週,20,女,2018000000,2018年,人
99940,100,生存数(lx),100001,1週,20,女,2017000000,2017年,人
99931,100,生存数(lx),100001,1週,20,女,2016000000,2016年,人
99937,100,生存数(lx),100001,1週,20,女,2015000000,2015年,人
99931,100,生存数(lx),100001,1週,20,女,2014000000,2014年,人
99933,100,生存数(lx),100001,1週,20,女,2013000000,2013年,人
99925,100,生存数(lx),100001,1週,20,女,2012000000,2012年,人
99921,100,生存数(lx),100001,1週,20,女,2011000000,2011年,人
99929,100,生存数(lx),100001,1週,20,女,2010000000,2010年,人
99928,100,生存数(lx),100001,1週,20,女,2009000000,2009年,人
99913,100,生存数(lx),100001,1週,20,女,2008000000,2008年,人
99906,100,生存数(lx),100001,1週,20,女,2007000000,2007年,人
99916,100,生存数(lx),100002,2週,10,男,2024000000,2024年,人
99928,100,生存数(lx),100002,2週,10,男,2023000000,2023年,人
99928,100,生存数(lx),100002,2週,10,男,2022000000,2022年,人
99927,100,生存数(lx),100002,2週,10,男,2021000000,2021年,人
99928,100,生存数(lx),100002,2週,10,男,2020000000,2020年,人
99915,100,生存数(lx),100002,2週,10,男,2019000000,2019年,人
99924,100,生存数(lx),100002,2週,10,男,2018000000,2018年,人
99918,100,生存数(lx),100002,2週,10,男,2017000000,2017年,人
99921,100,生存数(lx),100002,2週,10,男,2016000000,2016年,人
99920,100,生存数(lx),100002,2週,10,男,2015000000,2015年,人
99916,100,生存数(lx),100002,2週,10,男,2014000000,2014年,人
99910,100,生存数(lx),100002,2週,10,男,2013000000,2013年,人
99912,100,生存数(lx),100002,2週,10,男,2012000000,2012年,人
99908,100,生存数(lx),100002,2週,10,男,2011000000,2011年,人
99897,100,生存数(lx),100002,2週,10,男,2010000000,2010年,人
99893,100,生存数(lx),100002,2週,10,男,2009000000,2009年,人
99894,100,生存数(lx),100002,2週,10,男,2008000000,2008年,人
99884,100,生存数(lx),100002,2週,10,男,2007000000,2007年,人
99924,100,生存数(lx),100002,2週,20,女,2024000000,2024年,人
99932,100,生存数(lx),100002,2週,20,女,2023000000,2023年,人
99936,100,生存数(lx),100002,2週,20,女,2022000000,2022年,人
99933,100,生存数(lx),100002,2週,20,女,2021000000,2021年,人
99927,100,生存数(lx),100002,2週,20,女,2020000000,2020年,人
99934,100,生存数(lx),100002,2週,20,女,2019000000,2019年,人
99929,100,生存数(lx),100002,2週,20,女,2018000000,2018年,人
99933,100,生存数(lx),100002,2週,20,女,2017000000,2017年,人
99921,100,生存数(lx),100002,2週,20,女,2016000000,2016年,人
99925,100,生存数(lx),100002,2週,20,女,2015000000,2015年,人
99922,100,生存数(lx),100002,2週,20,女,2014000000,2014年,人
99924,100,生存数(lx),100002,2週,20,女,2013000000,2013年,人
99916,100,生存数(lx),100002,2週,20,女,2012000000,2012年,人
99906,100,生存数(lx),100002,2週,20,女,2011000000,2011年,人
