value,cat01,cat01_label,cat02,cat02_label
5773811,00070100,消費者・販売業者向販売,00070100,ガソリン　計
766710,00070100,消費者・販売業者向販売,00070200,自動車用　高級
5001337,00070100,消費者・販売業者向販売,00070300,自動車用　並級
5764,00070100,消費者・販売業者向販売,00070400,その他用
3794114,00070100,消費者・販売業者向販売,00070500,ナフサ　計
3785679,00070100,消費者・販売業者向販売,00070600,石油化学用
8435,00070100,消費者・販売業者向販売,00070700,その他用
215375,00070100,消費者・販売業者向販売,00070800,潤滑油　計
38571,00070100,消費者・販売業者向販売,00070900,ガソリンエンジン油
23662,00070100,消費者・販売業者向販売,00071000,ディーゼルエンジン油
16422,00070100,消費者・販売業者向販売,00071100,その他車両用
16945,00070100,消費者・販売業者向販売,00071200,船舶用エンジン油
38558,00070100,消費者・販売業者向販売,00071300,機械油
12469,00070100,消費者・販売業者向販売,00071400,金属加工油
5352,00070100,消費者・販売業者向販売,00071500,電気絶縁油
44343,00070100,消費者・販売業者向販売,00071600,その他特定用途向け
19053,00070100,消費者・販売業者向販売,00071700,その他
1064274,00070200,在庫,00070100,ガソリン　計
225745,00070200,在庫,00070200,自動車用　高級
833261,00070200,在庫,00070300,自動車用　並級
5268,00070200,在庫,00070400,その他用
504810,00070200,在庫,00070500,ナフサ　計
504796,00070200,在庫,00070600,石油化学用
14,00070200,在庫,00070700,その他用
165922,00070200,在庫,00070800,潤滑油　計
22081,00070200,在庫,00070900,ガソリンエンジン油
10468,00070200,在庫,00071000,ディーゼルエンジン油
13992,00070200,在庫,00071100,その他車両用
12685,00070200,在庫,00071200,船舶用エンジン油
21029,00070200,在庫,00071300,機械油
11628,00070200,在庫,00071400,金属加工油
2233,00070200,在庫,00071500,電気絶縁油
48094,00070200,在庫,00071600,その他特定用途向け
23712,00070200,在庫,00071700,その他
