value,tab,tab_label,cat01,cat01_label,time,time_label,unit
16150605,550,販売量,100,燃料油,2024000303,2024年3月,kl
16019084,550,販売量,100,燃料油,2024000202,2024年2月,kl
15940779,550,販売量,100,燃料油,2024000101,2024年1月,kl
17712765,550,販売量,100,燃料油,2023001212,2023年12月,kl
15577300,550,販売量,100,燃料油,2023001111,2023年11月,kl
15022282,550,販売量,100,燃料油,2023001010,2023年10月,kl
14318027,550,販売量,100,燃料油,2023000909,2023年9月,kl
14989814,550,販売量,100,燃料油,2023000808,2023年8月,kl
14415751,550,販売量,100,燃料油,2023000707,2023年7月,kl
13649471,550,販売量,100,燃料油,2023000606,2023年6月,kl
14010977,550,販売量,100,燃料油,2023000505,2023年5月,kl
14487871,550,販売量,100,燃料油,2023000404,2023年4月,kl
16765195,550,販売量,100,燃料油,2023000303,2023年3月,kl
16376953,550,販売量,100,燃料油,2023000202,2023年2月,kl
17411485,550,販売量,100,燃料油,2023000101,2023年1月,kl
18644613,550,販売量,100,燃料油,2022001212,2022年12月,kl
16024610,550,販売量,100,燃料油,2022001111,2022年11月,kl
15599944,550,販売量,100,燃料油,2022001010,2022年10月,kl
14601504,550,販売量,100,燃料油,2022000909,2022年9月,kl
15820549,550,販売量,100,燃料油,2022000808,2022年8月,kl
15240821,550,販売量,100,燃料油,2022000707,2022年7月,kl
14280279,550,販売量,100,燃料油,2022000606,2022年6月,kl
14478981,550,販売量,100,燃料油,2022000505,2022年5月,kl
14636229,550,販売量,100,燃料油,2022000404,2022年4月,kl
17011668,550,販売量,100,燃料油,2022000303,2022年3月,kl
16680715,550,販売量,100,燃料油,2022000202,2022年2月,kl
18592213,550,販売量,100,燃料油,2022000101,2022年1月,kl
20105588,550,販売量,100,燃料油,2021001212,2021年12月,kl
16092645,550,販売量,100,燃料油,2021001111,2021年11月,kl
16502990,550,販売量,100,燃料油,2021001010,2021年10月,kl
14673073,550,販売量,100,燃料油,2021000909,2021年9月,kl
14585643,550,販売量,100,燃料油,2021000808,2021年8月,kl
14349207,550,販売量,100,燃料油,2021000707,2021年7月,kl
14002665,550,販売量,100,燃料油,2021000606,2021年6月,kl
13722127,550,販売量,100,燃料油,2021000505,2021年5月,kl
14979801,550,販売量,100,燃料油,2021000404,2021年4月,kl
17013449,550,販売量,100,燃料油,2021000303,2021年3月,kl
16416866,550,販売量,100,燃料油,2021000202,2021年2月,kl
17182823,550,販売量,100,燃料油,2021000101,2021年1月,kl
18566846,550,販売量,100,燃料油,2020001212,2020年12月,kl
16021764,550,販売量,100,燃料油,2020001111,2020年11月,kl
15247704,550,販売量,100,燃料油,2020001010,2020年10月,kl
14160181,550,販売量,100,燃料油,2020000909,2020年9月,kl
14548428,550,販売量,100,燃料油,2020000808,2020年8月,kl
14087594,550,販売量,100,燃料油,2020000707,2020年7月,kl
13269825,550,販売量,100,燃料油,2020000606,2020年6月,kl
12826230,550,販売量,100,燃料油,2020000505,2020年5月,kl
14213257,550,販売量,100,燃料油,2020000404,2020年4月,kl
16079872,550,販売量,100,燃料油,2020000303,2020年3月,kl
17108047,550,販売量,100,燃料油,2020000202,2020年2月,kl
17071566,550,販売量,100,燃料油,2020000101,2020年1月,kl
19246554,550,販売量,100,燃料油,2019001212,2019年12月,kl
16792852,550,販売量,100,燃料油,2019001111,2019年11月,kl
15625930,550,販売量,100,燃料油,2019001010,2019年10月,kl
16015339,550,販売量,100,燃料油,2019000909,2019年9月,kl
16350278,550,販売量,100,燃料油,2019000808,2019年8月,kl
15666220,550,販売量,100,燃料油,2019000707,2019年7月,kl
14662691,550,販売量,100,燃料油,2019000606,2019年6月,kl
14705793,550,販売量,100,燃料油,2019000505,2019年5月,kl
16205238,550,販売量,100,燃料油,2019000404,2019年4月,kl
17708081,550,販売量,100,燃料油,2019000303,2019年3月,kl
17712670,550,販売量,100,燃料油,2019000202,2019年2月,kl
18851036,550,販売量,100,燃料油,2019000101,2019年1月,kl
19786435,550,販売量,100,燃料油,2018001212,2018年12月,kl
17366583,550,販売量,100,燃料油,2018001111,2018年11月,kl
16773823,550,販売量,100,燃料油,2018001010,2018年10月,kl
15892504,550,販売量,100,燃料油,2018000909,2018年9月,kl
16938403,550,販売量,100,燃料油,2018000808,2018年8月,kl
16342397,550,販売量,100,燃料油,2018000707,2018年7月,kl
14476221,550,販売量,100,燃料油,2018000606,2018年6月,kl
15739781,550,販売量,100,燃料油,2018000505,2018年5月,kl
16093208,550,販売量,100,燃料油,2018000404,2018年4月,kl
18486833,550,販売量,100,燃料油,2018000303,2018年3月,kl
19250095,550,販売量,100,燃料油,2018000202,2018年2月,kl
19818480,550,販売量,100,燃料油,2018000101,2018年1月,kl
