value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label,unit
5519,100,企業数,110,情報通信業,100,計,100,売上高,2017100000,2017年度,社
5474,100,企業数,110,情報通信業,100,計,100,売上高,2016100000,2016年度,社
5519,100,企業数,110,情報通信業,100,計,100,売上高,2015100000,2015年度,社
5639,100,企業数,110,情報通信業,100,計,100,売上高,2014100000,2014年度,社
5496,100,企業数,110,情報通信業,100,計,100,売上高,2013100000,2013年度,社
5592,100,企業数,110,情報通信業,100,計,100,売上高,2012100000,2012年度,社
5093,100,企業数,110,情報通信業,100,計,100,売上高,2011100000,2011年度,社
4977,100,企業数,110,情報通信業,100,計,100,売上高,2010100000,2010年度,社
5396,100,企業数,110,情報通信業,100,計,110,経常利益,2017100000,2017年度,社
5474,100,企業数,110,情報通信業,100,計,110,経常利益,2016100000,2016年度,社
5519,100,企業数,110,情報通信業,100,計,110,経常利益,2015100000,2015年度,社
5639,100,企業数,110,情報通信業,100,計,110,経常利益,2014100000,2014年度,社
5496,100,企業数,110,情報通信業,100,計,110,経常利益,2013100000,2013年度,社
5592,100,企業数,110,情報通信業,100,計,110,経常利益,2012100000,2012年度,社
5093,100,企業数,110,情報通信業,100,計,110,経常利益,2011100000,2011年度,社
4977,100,企業数,110,情報通信業,100,計,110,経常利益,2010100000,2010年度,社
5519,100,企業数,110,情報通信業,100,計,120,付加価値,2017100000,2017年度,社
5474,100,企業数,110,情報通信業,100,計,120,付加価値,2016100000,2016年度,社
5519,100,企業数,110,情報通信業,100,計,120,付加価値,2015100000,2015年度,社
5639,100,企業数,110,情報通信業,100,計,120,付加価値,2014100000,2014年度,社
5496,100,企業数,110,情報通信業,100,計,120,付加価値,2013100000,2013年度,社
5592,100,企業数,110,情報通信業,100,計,120,付加価値,2012100000,2012年度,社
5093,100,企業数,110,情報通信業,100,計,120,付加価値,2011100000,2011年度,社
4977,100,企業数,110,情報通信業,100,計,120,付加価値,2010100000,2010年度,社
1849,100,企業数,110,情報通信業,120,49人以下,100,売上高,2017100000,2017年度,社
1898,100,企業数,110,情報通信業,120,49人以下,100,売上高,2016100000,2016年度,社
1949,100,企業数,110,情報通信業,120,49人以下,100,売上高,2015100000,2015年度,社
2062,100,企業数,110,情報通信業,120,49人以下,100,売上高,2014100000,2014年度,社
2039,100,企業数,110,情報通信業,120,49人以下,100,売上高,2013100000,2013年度,社
2146,100,企業数,110,情報通信業,120,49人以下,100,売上高,2012100000,2012年度,社
1804,100,企業数,110,情報通信業,120,49人以下,100,売上高,2011100000,2011年度,社
1985,100,企業数,110,情報通信業,120,49人以下,100,売上高,2010100000,2010年度,社
1750,100,企業数,110,情報通信業,120,49人以下,110,経常利益,2017100000,2017年度,社
1898,100,企業数,110,情報通信業,120,49人以下,110,経常利益,2016100000,2016年度,社
1949,100,企業数,110,情報通信業,120,49人以下,110,経常利益,2015100000,2015年度,社
2062,100,企業数,110,情報通信業,120,49人以下,110,経常利益,2014100000,2014年度,社
2039,100,企業数,110,情報通信業,120,49人以下,110,経常利益,2013100000,2013年度,社
2146,100,企業数,110,情報通信業,120,49人以下,110,経常利益,2012100000,2012年度,社
1804,100,企業数,110,情報通信業,120,49人以下,110,経常利益,2011100000,2011年度,社
1985,100,企業数,110,情報通信業,120,49人以下,110,経常利益,2010100000,2010年度,社
1849,100,企業数,110,情報通信業,120,49人以下,120,付加価値,2017100000,2017年度,社
1898,100,企業数,110,情報通信業,120,49人以下,120,付加価値,2016100000,2016年度,社
1949,100,企業数,110,情報通信業,120,49人以下,120,付加価値,2015100000,2015年度,社
2062,100,企業数,110,情報通信業,120,49人以下,120,付加価値,2014100000,2014年度,社
2039,100,企業数,110,情報通信業,120,49人以下,120,付加価値,2013100000,2013年度,社
2146,100,企業数,110,情報通信業,120,49人以下,120,付加価値,2012100000,2012年度,社
1804,100,企業数,110,情報通信業,120,49人以下,120,付加価値,2011100000,2011年度,社
1985,100,企業数,110,情報通信業,120,49人以下,120,付加価値,2010100000,2010年度,社
1230,100,企業数,110,情報通信業,200,50人～99人,100,売上高,2017100000,2017年度,社
1230,100,企業数,110,情報通信業,200,50人～99人,100,売上高,2016100000,2016年度,社
1220,100,企業数,110,情報通信業,200,50人～99人,100,売上高,2015100000,2015年度,社
1239,100,企業数,110,情報通信業,200,50人～99人,100,売上高,2014100000,2014年度,社
1255,100,企業数,110,情報通信業,200,50人～99人,100,売上高,2013100000,2013年度,社
1246,100,企業数,110,情報通信業,200,50人～99人,100,売上高,2012100000,2012年度,社
1132,100,企業数,110,情報通信業,200,50人～99人,100,売上高,2011100000,2011年度,社
1131,100,企業数,110,情報通信業,200,50人～99人,100,売上高,2010100000,2010年度,社
1212,100,企業数,110,情報通信業,200,50人～99人,110,経常利益,2017100000,2017年度,社
1230,100,企業数,110,情報通信業,200,50人～99人,110,経常利益,2016100000,2016年度,社
1220,100,企業数,110,情報通信業,200,50人～99人,110,経常利益,2015100000,2015年度,社
1239,100,企業数,110,情報通信業,200,50人～99人,110,経常利益,2014100000,2014年度,社
1255,100,企業数,110,情報通信業,200,50人～99人,110,経常利益,2013100000,2013年度,社
1246,100,企業数,110,情報通信業,200,50人～99人,110,経常利益,2012100000,2012年度,社
1132,100,企業数,110,情報通信業,200,50人～99人,110,経常利益,2011100000,2011年度,社
1131,100,企業数,110,情報通信業,200,50人～99人,110,経常利益,2010100000,2010年度,社
1230,100,企業数,110,情報通信業,200,50人～99人,120,付加価値,2017100000,2017年度,社
1230,100,企業数,110,情報通信業,200,50人～99人,120,付加価値,2016100000,2016年度,社
1220,100,企業数,110,情報通信業,200,50人～99人,120,付加価値,2015100000,2015年度,社
1239,100,企業数,110,情報通信業,200,50人～99人,120,付加価値,2014100000,2014年度,社
1255,100,企業数,110,情報通信業,200,50人～99人,120,付加価値,2013100000,2013年度,社
1246,100,企業数,110,情報通信業,200,50人～99人,120,付加価値,2012100000,2012年度,社
1132,100,企業数,110,情報通信業,200,50人～99人,120,付加価値,2011100000,2011年度,社
1131,100,企業数,110,情報通信業,200,50人～99人,120,付加価値,2010100000,2010年度,社
1076,100,企業数,110,情報通信業,210,100人～199人,100,売上高,2017100000,2017年度,社
1010,100,企業数,110,情報通信業,210,100人～199人,100,売上高,2016100000,2016年度,社
1017,100,企業数,110,情報通信業,210,100人～199人,100,売上高,2015100000,2015年度,社
984,100,企業数,110,情報通信業,210,100人～199人,100,売上高,2014100000,2014年度,社
945,100,企業数,110,情報通信業,210,100人～199人,100,売上高,2013100000,2013年度,社
927,100,企業数,110,情報通信業,210,100人～199人,100,売上高,2012100000,2012年度,社
906,100,企業数,110,情報通信業,210,100人～199人,100,売上高,2011100000,2011年度,社
826,100,企業数,110,情報通信業,210,100人～199人,100,売上高,2010100000,2010年度,社
1073,100,企業数,110,情報通信業,210,100人～199人,110,経常利益,2017100000,2017年度,社
1010,100,企業数,110,情報通信業,210,100人～199人,110,経常利益,2016100000,2016年度,社
1017,100,企業数,110,情報通信業,210,100人～199人,110,経常利益,2015100000,2015年度,社
984,100,企業数,110,情報通信業,210,100人～199人,110,経常利益,2014100000,2014年度,社
945,100,企業数,110,情報通信業,210,100人～199人,110,経常利益,2013100000,2013年度,社
927,100,企業数,110,情報通信業,210,100人～199人,110,経常利益,2012100000,2012年度,社
906,100,企業数,110,情報通信業,210,100人～199人,110,経常利益,2011100000,2011年度,社
826,100,企業数,110,情報通信業,210,100人～199人,110,経常利益,2010100000,2010年度,社
1076,100,企業数,110,情報通信業,210,100人～199人,120,付加価値,2017100000,2017年度,社
1010,100,企業数,110,情報通信業,210,100人～199人,120,付加価値,2016100000,2016年度,社
1017,100,企業数,110,情報通信業,210,100人～199人,120,付加価値,2015100000,2015年度,社
984,100,企業数,110,情報通信業,210,100人～199人,120,付加価値,2014100000,2014年度,社
945,100,企業数,110,情報通信業,210,100人～199人,120,付加価値,2013100000,2013年度,社
927,100,企業数,110,情報通信業,210,100人～199人,120,付加価値,2012100000,2012年度,社
906,100,企業数,110,情報通信業,210,100人～199人,120,付加価値,2011100000,2011年度,社
826,100,企業数,110,情報通信業,210,100人～199人,120,付加価値,2010100000,2010年度,社
456,100,企業数,110,情報通信業,230,200人～299人,100,売上高,2017100000,2017年度,社
440,100,企業数,110,情報通信業,230,200人～299人,100,売上高,2016100000,2016年度,社
428,100,企業数,110,情報通信業,230,200人～299人,100,売上高,2015100000,2015年度,社
441,100,企業数,110,情報通信業,230,200人～299人,100,売上高,2014100000,2014年度,社
418,100,企業数,110,情報通信業,230,200人～299人,100,売上高,2013100000,2013年度,社
406,100,企業数,110,情報通信業,230,200人～299人,100,売上高,2012100000,2012年度,社
424,100,企業数,110,情報通信業,230,200人～299人,100,売上高,2011100000,2011年度,社
355,100,企業数,110,情報通信業,230,200人～299人,100,売上高,2010100000,2010年度,社
455,100,企業数,110,情報通信業,230,200人～299人,110,経常利益,2017100000,2017年度,社
440,100,企業数,110,情報通信業,230,200人～299人,110,経常利益,2016100000,2016年度,社
428,100,企業数,110,情報通信業,230,200人～299人,110,経常利益,2015100000,2015年度,社
441,100,企業数,110,情報通信業,230,200人～299人,110,経常利益,2014100000,2014年度,社
418,100,企業数,110,情報通信業,230,200人～299人,110,経常利益,2013100000,2013年度,社
406,100,企業数,110,情報通信業,230,200人～299人,110,経常利益,2012100000,2012年度,社
424,100,企業数,110,情報通信業,230,200人～299人,110,経常利益,2011100000,2011年度,社
355,100,企業数,110,情報通信業,230,200人～299人,110,経常利益,2010100000,2010年度,社
456,100,企業数,110,情報通信業,230,200人～299人,120,付加価値,2017100000,2017年度,社
440,100,企業数,110,情報通信業,230,200人～299人,120,付加価値,2016100000,2016年度,社
428,100,企業数,110,情報通信業,230,200人～299人,120,付加価値,2015100000,2015年度,社
441,100,企業数,110,情報通信業,230,200人～299人,120,付加価値,2014100000,2014年度,社
418,100,企業数,110,情報通信業,230,200人～299人,120,付加価値,2013100000,2013年度,社
406,100,企業数,110,情報通信業,230,200人～299人,120,付加価値,2012100000,2012年度,社
424,100,企業数,110,情報通信業,230,200人～299人,120,付加価値,2011100000,2011年度,社
355,100,企業数,110,情報通信業,230,200人～299人,120,付加価値,2010100000,2010年度,社
338,100,企業数,110,情報通信業,240,300人～499人,100,売上高,2017100000,2017年度,社
335,100,企業数,110,情報通信業,240,300人～499人,100,売上高,2016100000,2016年度,社
