value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
5519,610,企業数、金額,100,企業数,100,計,00000,全国,2017100000,2017年度,社
5474,610,企業数、金額,100,企業数,100,計,00000,全国,2016100000,2016年度,社
5519,610,企業数、金額,100,企業数,100,計,00000,全国,2015100000,2015年度,社
5639,610,企業数、金額,100,企業数,100,計,00000,全国,2014100000,2014年度,社
5496,610,企業数、金額,100,企業数,100,計,00000,全国,2013100000,2013年度,社
5592,610,企業数、金額,100,企業数,100,計,00000,全国,2012100000,2012年度,社
5093,610,企業数、金額,100,企業数,100,計,00000,全国,2011100000,2011年度,社
4977,610,企業数、金額,100,企業数,100,計,00000,全国,2010100000,2010年度,社
143,610,企業数、金額,100,企業数,100,計,01000,北海道,2017100000,2017年度,社
149,610,企業数、金額,100,企業数,100,計,01000,北海道,2016100000,2016年度,社
151,610,企業数、金額,100,企業数,100,計,01000,北海道,2015100000,2015年度,社
163,610,企業数、金額,100,企業数,100,計,01000,北海道,2014100000,2014年度,社
147,610,企業数、金額,100,企業数,100,計,01000,北海道,2013100000,2013年度,社
142,610,企業数、金額,100,企業数,100,計,01000,北海道,2012100000,2012年度,社
144,610,企業数、金額,100,企業数,100,計,01000,北海道,2011100000,2011年度,社
157,610,企業数、金額,100,企業数,100,計,01000,北海道,2010100000,2010年度,社
30,610,企業数、金額,100,企業数,100,計,02000,青森県,2017100000,2017年度,社
29,610,企業数、金額,100,企業数,100,計,02000,青森県,2016100000,2016年度,社
28,610,企業数、金額,100,企業数,100,計,02000,青森県,2015100000,2015年度,社
29,610,企業数、金額,100,企業数,100,計,02000,青森県,2014100000,2014年度,社
31,610,企業数、金額,100,企業数,100,計,02000,青森県,2013100000,2013年度,社
26,610,企業数、金額,100,企業数,100,計,02000,青森県,2012100000,2012年度,社
26,610,企業数、金額,100,企業数,100,計,02000,青森県,2011100000,2011年度,社
25,610,企業数、金額,100,企業数,100,計,02000,青森県,2010100000,2010年度,社
36,610,企業数、金額,100,企業数,100,計,03000,岩手県,2017100000,2017年度,社
37,610,企業数、金額,100,企業数,100,計,03000,岩手県,2016100000,2016年度,社
35,610,企業数、金額,100,企業数,100,計,03000,岩手県,2015100000,2015年度,社
41,610,企業数、金額,100,企業数,100,計,03000,岩手県,2014100000,2014年度,社
34,610,企業数、金額,100,企業数,100,計,03000,岩手県,2013100000,2013年度,社
35,610,企業数、金額,100,企業数,100,計,03000,岩手県,2012100000,2012年度,社
17,610,企業数、金額,100,企業数,100,計,03000,岩手県,2011100000,2011年度,社
33,610,企業数、金額,100,企業数,100,計,03000,岩手県,2010100000,2010年度,社
51,610,企業数、金額,100,企業数,100,計,04000,宮城県,2017100000,2017年度,社
54,610,企業数、金額,100,企業数,100,計,04000,宮城県,2016100000,2016年度,社
54,610,企業数、金額,100,企業数,100,計,04000,宮城県,2015100000,2015年度,社
56,610,企業数、金額,100,企業数,100,計,04000,宮城県,2014100000,2014年度,社
58,610,企業数、金額,100,企業数,100,計,04000,宮城県,2013100000,2013年度,社
57,610,企業数、金額,100,企業数,100,計,04000,宮城県,2012100000,2012年度,社
33,610,企業数、金額,100,企業数,100,計,04000,宮城県,2011100000,2011年度,社
57,610,企業数、金額,100,企業数,100,計,04000,宮城県,2010100000,2010年度,社
16,610,企業数、金額,100,企業数,100,計,05000,秋田県,2017100000,2017年度,社
16,610,企業数、金額,100,企業数,100,計,05000,秋田県,2016100000,2016年度,社
15,610,企業数、金額,100,企業数,100,計,05000,秋田県,2015100000,2015年度,社
19,610,企業数、金額,100,企業数,100,計,05000,秋田県,2014100000,2014年度,社
20,610,企業数、金額,100,企業数,100,計,05000,秋田県,2013100000,2013年度,社
22,610,企業数、金額,100,企業数,100,計,05000,秋田県,2012100000,2012年度,社
17,610,企業数、金額,100,企業数,100,計,05000,秋田県,2011100000,2011年度,社
17,610,企業数、金額,100,企業数,100,計,05000,秋田県,2010100000,2010年度,社
27,610,企業数、金額,100,企業数,100,計,06000,山形県,2017100000,2017年度,社
29,610,企業数、金額,100,企業数,100,計,06000,山形県,2016100000,2016年度,社
30,610,企業数、金額,100,企業数,100,計,06000,山形県,2015100000,2015年度,社
29,610,企業数、金額,100,企業数,100,計,06000,山形県,2014100000,2014年度,社
28,610,企業数、金額,100,企業数,100,計,06000,山形県,2013100000,2013年度,社
33,610,企業数、金額,100,企業数,100,計,06000,山形県,2012100000,2012年度,社
30,610,企業数、金額,100,企業数,100,計,06000,山形県,2011100000,2011年度,社
27,610,企業数、金額,100,企業数,100,計,06000,山形県,2010100000,2010年度,社
27,610,企業数、金額,100,企業数,100,計,07000,福島県,2017100000,2017年度,社
27,610,企業数、金額,100,企業数,100,計,07000,福島県,2016100000,2016年度,社
27,610,企業数、金額,100,企業数,100,計,07000,福島県,2015100000,2015年度,社
30,610,企業数、金額,100,企業数,100,計,07000,福島県,2014100000,2014年度,社
31,610,企業数、金額,100,企業数,100,計,07000,福島県,2013100000,2013年度,社
31,610,企業数、金額,100,企業数,100,計,07000,福島県,2012100000,2012年度,社
16,610,企業数、金額,100,企業数,100,計,07000,福島県,2011100000,2011年度,社
36,610,企業数、金額,100,企業数,100,計,07000,福島県,2010100000,2010年度,社
43,610,企業数、金額,100,企業数,100,計,08000,茨城県,2017100000,2017年度,社
44,610,企業数、金額,100,企業数,100,計,08000,茨城県,2016100000,2016年度,社
41,610,企業数、金額,100,企業数,100,計,08000,茨城県,2015100000,2015年度,社
40,610,企業数、金額,100,企業数,100,計,08000,茨城県,2014100000,2014年度,社
43,610,企業数、金額,100,企業数,100,計,08000,茨城県,2013100000,2013年度,社
42,610,企業数、金額,100,企業数,100,計,08000,茨城県,2012100000,2012年度,社
27,610,企業数、金額,100,企業数,100,計,08000,茨城県,2011100000,2011年度,社
35,610,企業数、金額,100,企業数,100,計,08000,茨城県,2010100000,2010年度,社
25,610,企業数、金額,100,企業数,100,計,09000,栃木県,2017100000,2017年度,社
22,610,企業数、金額,100,企業数,100,計,09000,栃木県,2016100000,2016年度,社
26,610,企業数、金額,100,企業数,100,計,09000,栃木県,2015100000,2015年度,社
27,610,企業数、金額,100,企業数,100,計,09000,栃木県,2014100000,2014年度,社
25,610,企業数、金額,100,企業数,100,計,09000,栃木県,2013100000,2013年度,社
26,610,企業数、金額,100,企業数,100,計,09000,栃木県,2012100000,2012年度,社
12,610,企業数、金額,100,企業数,100,計,09000,栃木県,2011100000,2011年度,社
20,610,企業数、金額,100,企業数,100,計,09000,栃木県,2010100000,2010年度,社
29,610,企業数、金額,100,企業数,100,計,10000,群馬県,2017100000,2017年度,社
31,610,企業数、金額,100,企業数,100,計,10000,群馬県,2016100000,2016年度,社
28,610,企業数、金額,100,企業数,100,計,10000,群馬県,2015100000,2015年度,社
33,610,企業数、金額,100,企業数,100,計,10000,群馬県,2014100000,2014年度,社
34,610,企業数、金額,100,企業数,100,計,10000,群馬県,2013100000,2013年度,社
37,610,企業数、金額,100,企業数,100,計,10000,群馬県,2012100000,2012年度,社
33,610,企業数、金額,100,企業数,100,計,10000,群馬県,2011100000,2011年度,社
31,610,企業数、金額,100,企業数,100,計,10000,群馬県,2010100000,2010年度,社
54,610,企業数、金額,100,企業数,100,計,11000,埼玉県,2017100000,2017年度,社
50,610,企業数、金額,100,企業数,100,計,11000,埼玉県,2016100000,2016年度,社
61,610,企業数、金額,100,企業数,100,計,11000,埼玉県,2015100000,2015年度,社
62,610,企業数、金額,100,企業数,100,計,11000,埼玉県,2014100000,2014年度,社
58,610,企業数、金額,100,企業数,100,計,11000,埼玉県,2013100000,2013年度,社
59,610,企業数、金額,100,企業数,100,計,11000,埼玉県,2012100000,2012年度,社
63,610,企業数、金額,100,企業数,100,計,11000,埼玉県,2011100000,2011年度,社
59,610,企業数、金額,100,企業数,100,計,11000,埼玉県,2010100000,2010年度,社
76,610,企業数、金額,100,企業数,100,計,12000,千葉県,2017100000,2017年度,社
71,610,企業数、金額,100,企業数,100,計,12000,千葉県,2016100000,2016年度,社
66,610,企業数、金額,100,企業数,100,計,12000,千葉県,2015100000,2015年度,社
73,610,企業数、金額,100,企業数,100,計,12000,千葉県,2014100000,2014年度,社
65,610,企業数、金額,100,企業数,100,計,12000,千葉県,2013100000,2013年度,社
63,610,企業数、金額,100,企業数,100,計,12000,千葉県,2012100000,2012年度,社
55,610,企業数、金額,100,企業数,100,計,12000,千葉県,2011100000,2011年度,社
54,610,企業数、金額,100,企業数,100,計,12000,千葉県,2010100000,2010年度,社
2899,610,企業数、金額,100,企業数,100,計,13000,東京都,2017100000,2017年度,社
2867,610,企業数、金額,100,企業数,100,計,13000,東京都,2016100000,2016年度,社
2843,610,企業数、金額,100,企業数,100,計,13000,東京都,2015100000,2015年度,社
2849,610,企業数、金額,100,企業数,100,計,13000,東京都,2014100000,2014年度,社
2828,610,企業数、金額,100,企業数,100,計,13000,東京都,2013100000,2013年度,社
2880,610,企業数、金額,100,企業数,100,計,13000,東京都,2012100000,2012年度,社
2620,610,企業数、金額,100,企業数,100,計,13000,東京都,2011100000,2011年度,社
2519,610,企業数、金額,100,企業数,100,計,13000,東京都,2010100000,2010年度,社
258,610,企業数、金額,100,企業数,100,計,14000,神奈川県,2017100000,2017年度,社
263,610,企業数、金額,100,企業数,100,計,14000,神奈川県,2016100000,2016年度,社
265,610,企業数、金額,100,企業数,100,計,14000,神奈川県,2015100000,2015年度,社
271,610,企業数、金額,100,企業数,100,計,14000,神奈川県,2014100000,2014年度,社
274,610,企業数、金額,100,企業数,100,計,14000,神奈川県,2013100000,2013年度,社
277,610,企業数、金額,100,企業数,100,計,14000,神奈川県,2012100000,2012年度,社
258,610,企業数、金額,100,企業数,100,計,14000,神奈川県,2011100000,2011年度,社
234,610,企業数、金額,100,企業数,100,計,14000,神奈川県,2010100000,2010年度,社
57,610,企業数、金額,100,企業数,100,計,15000,新潟県,2017100000,2017年度,社
55,610,企業数、金額,100,企業数,100,計,15000,新潟県,2016100000,2016年度,社
60,610,企業数、金額,100,企業数,100,計,15000,新潟県,2015100000,2015年度,社
58,610,企業数、金額,100,企業数,100,計,15000,新潟県,2014100000,2014年度,社
58,610,企業数、金額,100,企業数,100,計,15000,新潟県,2013100000,2013年度,社
58,610,企業数、金額,100,企業数,100,計,15000,新潟県,2012100000,2012年度,社
58,610,企業数、金額,100,企業数,100,計,15000,新潟県,2011100000,2011年度,社
59,610,企業数、金額,100,企業数,100,計,15000,新潟県,2010100000,2010年度,社
49,610,企業数、金額,100,企業数,100,計,16000,富山県,2017100000,2017年度,社
45,610,企業数、金額,100,企業数,100,計,16000,富山県,2016100000,2016年度,社
47,610,企業数、金額,100,企業数,100,計,16000,富山県,2015100000,2015年度,社
48,610,企業数、金額,100,企業数,100,計,16000,富山県,2014100000,2014年度,社
42,610,企業数、金額,100,企業数,100,計,16000,富山県,2013100000,2013年度,社
44,610,企業数、金額,100,企業数,100,計,16000,富山県,2012100000,2012年度,社
42,610,企業数、金額,100,企業数,100,計,16000,富山県,2011100000,2011年度,社
35,610,企業数、金額,100,企業数,100,計,16000,富山県,2010100000,2010年度,社
48,610,企業数、金額,100,企業数,100,計,17000,石川県,2017100000,2017年度,社
49,610,企業数、金額,100,企業数,100,計,17000,石川県,2016100000,2016年度,社
49,610,企業数、金額,100,企業数,100,計,17000,石川県,2015100000,2015年度,社
56,610,企業数、金額,100,企業数,100,計,17000,石川県,2014100000,2014年度,社
52,610,企業数、金額,100,企業数,100,計,17000,石川県,2013100000,2013年度,社
51,610,企業数、金額,100,企業数,100,計,17000,石川県,2012100000,2012年度,社
46,610,企業数、金額,100,企業数,100,計,17000,石川県,2011100000,2011年度,社
51,610,企業数、金額,100,企業数,100,計,17000,石川県,2010100000,2010年度,社
30,610,企業数、金額,100,企業数,100,計,18000,福井県,2017100000,2017年度,社
30,610,企業数、金額,100,企業数,100,計,18000,福井県,2016100000,2016年度,社
35,610,企業数、金額,100,企業数,100,計,18000,福井県,2015100000,2015年度,社
35,610,企業数、金額,100,企業数,100,計,18000,福井県,2014100000,2014年度,社
32,610,企業数、金額,100,企業数,100,計,18000,福井県,2013100000,2013年度,社
35,610,企業数、金額,100,企業数,100,計,18000,福井県,2012100000,2012年度,社
34,610,企業数、金額,100,企業数,100,計,18000,福井県,2011100000,2011年度,社
29,610,企業数、金額,100,企業数,100,計,18000,福井県,2010100000,2010年度,社
26,610,企業数、金額,100,企業数,100,計,19000,山梨県,2017100000,2017年度,社
27,610,企業数、金額,100,企業数,100,計,19000,山梨県,2016100000,2016年度,社
29,610,企業数、金額,100,企業数,100,計,19000,山梨県,2015100000,2015年度,社
30,610,企業数、金額,100,企業数,100,計,19000,山梨県,2014100000,2014年度,社
28,610,企業数、金額,100,企業数,100,計,19000,山梨県,2013100000,2013年度,社
34,610,企業数、金額,100,企業数,100,計,19000,山梨県,2012100000,2012年度,社
30,610,企業数、金額,100,企業数,100,計,19000,山梨県,2011100000,2011年度,社
27,610,企業数、金額,100,企業数,100,計,19000,山梨県,2010100000,2010年度,社
58,610,企業数、金額,100,企業数,100,計,20000,長野県,2017100000,2017年度,社
61,610,企業数、金額,100,企業数,100,計,20000,長野県,2016100000,2016年度,社
60,610,企業数、金額,100,企業数,100,計,20000,長野県,2015100000,2015年度,社
66,610,企業数、金額,100,企業数,100,計,20000,長野県,2014100000,2014年度,社
60,610,企業数、金額,100,企業数,100,計,20000,長野県,2013100000,2013年度,社
60,610,企業数、金額,100,企業数,100,計,20000,長野県,2012100000,2012年度,社
63,610,企業数、金額,100,企業数,100,計,20000,長野県,2011100000,2011年度,社
61,610,企業数、金額,100,企業数,100,計,20000,長野県,2010100000,2010年度,社
38,610,企業数、金額,100,企業数,100,計,21000,岐阜県,2017100000,2017年度,社
38,610,企業数、金額,100,企業数,100,計,21000,岐阜県,2016100000,2016年度,社
39,610,企業数、金額,100,企業数,100,計,21000,岐阜県,2015100000,2015年度,社
42,610,企業数、金額,100,企業数,100,計,21000,岐阜県,2014100000,2014年度,社
37,610,企業数、金額,100,企業数,100,計,21000,岐阜県,2013100000,2013年度,社
40,610,企業数、金額,100,企業数,100,計,21000,岐阜県,2012100000,2012年度,社
38,610,企業数、金額,100,企業数,100,計,21000,岐阜県,2011100000,2011年度,社
34,610,企業数、金額,100,企業数,100,計,21000,岐阜県,2010100000,2010年度,社
81,610,企業数、金額,100,企業数,100,計,22000,静岡県,2017100000,2017年度,社
83,610,企業数、金額,100,企業数,100,計,22000,静岡県,2016100000,2016年度,社
84,610,企業数、金額,100,企業数,100,計,22000,静岡県,2015100000,2015年度,社
87,610,企業数、金額,100,企業数,100,計,22000,静岡県,2014100000,2014年度,社
83,610,企業数、金額,100,企業数,100,計,22000,静岡県,2013100000,2013年度,社
85,610,企業数、金額,100,企業数,100,計,22000,静岡県,2012100000,2012年度,社
83,610,企業数、金額,100,企業数,100,計,22000,静岡県,2011100000,2011年度,社
74,610,企業数、金額,100,企業数,100,計,22000,静岡県,2010100000,2010年度,社
211,610,企業数、金額,100,企業数,100,計,23000,愛知県,2017100000,2017年度,社
207,610,企業数、金額,100,企業数,100,計,23000,愛知県,2016100000,2016年度,社
205,610,企業数、金額,100,企業数,100,計,23000,愛知県,2015100000,2015年度,社
214,610,企業数、金額,100,企業数,100,計,23000,愛知県,2014100000,2014年度,社
208,610,企業数、金額,100,企業数,100,計,23000,愛知県,2013100000,2013年度,社
200,610,企業数、金額,100,企業数,100,計,23000,愛知県,2012100000,2012年度,社
195,610,企業数、金額,100,企業数,100,計,23000,愛知県,2011100000,2011年度,社
180,610,企業数、金額,100,企業数,100,計,23000,愛知県,2010100000,2010年度,社
32,610,企業数、金額,100,企業数,100,計,24000,三重県,2017100000,2017年度,社
32,610,企業数、金額,100,企業数,100,計,24000,三重県,2016100000,2016年度,社
34,610,企業数、金額,100,企業数,100,計,24000,三重県,2015100000,2015年度,社
36,610,企業数、金額,100,企業数,100,計,24000,三重県,2014100000,2014年度,社
34,610,企業数、金額,100,企業数,100,計,24000,三重県,2013100000,2013年度,社
38,610,企業数、金額,100,企業数,100,計,24000,三重県,2012100000,2012年度,社
35,610,企業数、金額,100,企業数,100,計,24000,三重県,2011100000,2011年度,社
33,610,企業数、金額,100,企業数,100,計,24000,三重県,2010100000,2010年度,社
14,610,企業数、金額,100,企業数,100,計,25000,滋賀県,2017100000,2017年度,社
15,610,企業数、金額,100,企業数,100,計,25000,滋賀県,2016100000,2016年度,社
17,610,企業数、金額,100,企業数,100,計,25000,滋賀県,2015100000,2015年度,社
