value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label,unit
729,620,企業数、売上高,100,計,100,企業数,2015100000,2015年度,社
689,620,企業数、売上高,100,計,100,企業数,2014100000,2014年度,社
705,620,企業数、売上高,100,計,100,企業数,2013100000,2013年度,社
645,620,企業数、売上高,100,計,100,企業数,2012100000,2012年度,社
479,620,企業数、売上高,100,計,100,企業数,2011100000,2011年度,社
391,620,企業数、売上高,100,計,100,企業数,2010100000,2010年度,社
2914751,620,企業数、売上高,100,計,110,売上高合計,2015100000,2015年度,百万円
2863556,620,企業数、売上高,100,計,110,売上高合計,2014100000,2014年度,百万円
2868607,620,企業数、売上高,100,計,110,売上高合計,2013100000,2013年度,百万円
2662068,620,企業数、売上高,100,計,110,売上高合計,2012100000,2012年度,百万円
2224986,620,企業数、売上高,100,計,110,売上高合計,2011100000,2011年度,百万円
1720150,620,企業数、売上高,100,計,110,売上高合計,2010100000,2010年度,百万円
105084,620,企業数、売上高,100,計,120,コンテンツ制作部門_映画・ビデオ制作業,2015100000,2015年度,百万円
117062,620,企業数、売上高,100,計,120,コンテンツ制作部門_映画・ビデオ制作業,2014100000,2014年度,百万円
95369,620,企業数、売上高,100,計,120,コンテンツ制作部門_映画・ビデオ制作業,2013100000,2013年度,百万円
73663,620,企業数、売上高,100,計,120,コンテンツ制作部門_映画・ビデオ制作業,2012100000,2012年度,百万円
122186,620,企業数、売上高,100,計,120,コンテンツ制作部門_映画・ビデオ制作業,2011100000,2011年度,百万円
73829,620,企業数、売上高,100,計,120,コンテンツ制作部門_映画・ビデオ制作業,2010100000,2010年度,百万円
67476,620,企業数、売上高,100,計,130,コンテンツ制作部門_アニメーション制作業,2015100000,2015年度,百万円
79147,620,企業数、売上高,100,計,130,コンテンツ制作部門_アニメーション制作業,2014100000,2014年度,百万円
85282,620,企業数、売上高,100,計,130,コンテンツ制作部門_アニメーション制作業,2013100000,2013年度,百万円
47572,620,企業数、売上高,100,計,130,コンテンツ制作部門_アニメーション制作業,2012100000,2012年度,百万円
38423,620,企業数、売上高,100,計,130,コンテンツ制作部門_アニメーション制作業,2011100000,2011年度,百万円
36614,620,企業数、売上高,100,計,130,コンテンツ制作部門_アニメーション制作業,2010100000,2010年度,百万円
160101,620,企業数、売上高,100,計,140,コンテンツ制作部門_レコード制作業,2015100000,2015年度,百万円
66838,620,企業数、売上高,100,計,140,コンテンツ制作部門_レコード制作業,2014100000,2014年度,百万円
77018,620,企業数、売上高,100,計,140,コンテンツ制作部門_レコード制作業,2013100000,2013年度,百万円
47562,620,企業数、売上高,100,計,140,コンテンツ制作部門_レコード制作業,2012100000,2012年度,百万円
31794,620,企業数、売上高,100,計,140,コンテンツ制作部門_レコード制作業,2011100000,2011年度,百万円
4150,620,企業数、売上高,100,計,140,コンテンツ制作部門_レコード制作業,2010100000,2010年度,百万円
1052389,620,企業数、売上高,100,計,150,コンテンツ制作部門_新聞業,2015100000,2015年度,百万円
1055876,620,企業数、売上高,100,計,150,コンテンツ制作部門_新聞業,2014100000,2014年度,百万円
1004480,620,企業数、売上高,100,計,150,コンテンツ制作部門_新聞業,2013100000,2013年度,百万円
1015414,620,企業数、売上高,100,計,150,コンテンツ制作部門_新聞業,2012100000,2012年度,百万円
651616,620,企業数、売上高,100,計,150,コンテンツ制作部門_新聞業,2011100000,2011年度,百万円
344653,620,企業数、売上高,100,計,150,コンテンツ制作部門_新聞業,2010100000,2010年度,百万円
805770,620,企業数、売上高,100,計,160,コンテンツ制作部門_出版業,2015100000,2015年度,百万円
822934,620,企業数、売上高,100,計,160,コンテンツ制作部門_出版業,2014100000,2014年度,百万円
924034,620,企業数、売上高,100,計,160,コンテンツ制作部門_出版業,2013100000,2013年度,百万円
872384,620,企業数、売上高,100,計,160,コンテンツ制作部門_出版業,2012100000,2012年度,百万円
759354,620,企業数、売上高,100,計,160,コンテンツ制作部門_出版業,2011100000,2011年度,百万円
657612,620,企業数、売上高,100,計,160,コンテンツ制作部門_出版業,2010100000,2010年度,百万円
437022,620,企業数、売上高,100,計,170,広告制作業,2015100000,2015年度,百万円
464071,620,企業数、売上高,100,計,170,広告制作業,2014100000,2014年度,百万円
434994,620,企業数、売上高,100,計,170,広告制作業,2013100000,2013年度,百万円
414944,620,企業数、売上高,100,計,170,広告制作業,2012100000,2012年度,百万円
384125,620,企業数、売上高,100,計,170,広告制作業,2011100000,2011年度,百万円
401740,620,企業数、売上高,100,計,170,広告制作業,2010100000,2010年度,百万円
135284,620,企業数、売上高,100,計,180,映画・ビデオ・テレビジョン番組配給業,2015100000,2015年度,百万円
108505,620,企業数、売上高,100,計,180,映画・ビデオ・テレビジョン番組配給業,2014100000,2014年度,百万円
116165,620,企業数、売上高,100,計,180,映画・ビデオ・テレビジョン番組配給業,2013100000,2013年度,百万円
66288,620,企業数、売上高,100,計,180,映画・ビデオ・テレビジョン番組配給業,2012100000,2012年度,百万円
112962,620,企業数、売上高,100,計,180,映画・ビデオ・テレビジョン番組配給業,2011100000,2011年度,百万円
106902,620,企業数、売上高,100,計,180,映画・ビデオ・テレビジョン番組配給業,2010100000,2010年度,百万円
18129,620,企業数、売上高,100,計,190,ニュース供給業,2015100000,2015年度,百万円
17545,620,企業数、売上高,100,計,190,ニュース供給業,2014100000,2014年度,百万円
17889,620,企業数、売上高,100,計,190,ニュース供給業,2013100000,2013年度,百万円
18709,620,企業数、売上高,100,計,190,ニュース供給業,2012100000,2012年度,百万円
24613,620,企業数、売上高,100,計,190,ニュース供給業,2011100000,2011年度,百万円
21408,620,企業数、売上高,100,計,190,ニュース供給業,2010100000,2010年度,百万円
133496,620,企業数、売上高,100,計,200,その他の映像・音声・文字情報制作に附帯するサービス業,2015100000,2015年度,百万円
131578,620,企業数、売上高,100,計,200,その他の映像・音声・文字情報制作に附帯するサービス業,2014100000,2014年度,百万円
113376,620,企業数、売上高,100,計,200,その他の映像・音声・文字情報制作に附帯するサービス業,2013100000,2013年度,百万円
105532,620,企業数、売上高,100,計,200,その他の映像・音声・文字情報制作に附帯するサービス業,2012100000,2012年度,百万円
99913,620,企業数、売上高,100,計,200,その他の映像・音声・文字情報制作に附帯するサービス業,2011100000,2011年度,百万円
73242,620,企業数、売上高,100,計,200,その他の映像・音声・文字情報制作に附帯するサービス業,2010100000,2010年度,百万円
287,620,企業数、売上高,120,49人以下,100,企業数,2015100000,2015年度,社
263,620,企業数、売上高,120,49人以下,100,企業数,2014100000,2014年度,社
270,620,企業数、売上高,120,49人以下,100,企業数,2013100000,2013年度,社
267,620,企業数、売上高,120,49人以下,100,企業数,2012100000,2012年度,社
128,620,企業数、売上高,120,49人以下,100,企業数,2011100000,2011年度,社
101,620,企業数、売上高,120,49人以下,100,企業数,2010100000,2010年度,社
146268,620,企業数、売上高,120,49人以下,110,売上高合計,2015100000,2015年度,百万円
151457,620,企業数、売上高,120,49人以下,110,売上高合計,2014100000,2014年度,百万円
192830,620,企業数、売上高,120,49人以下,110,売上高合計,2013100000,2013年度,百万円
123195,620,企業数、売上高,120,49人以下,110,売上高合計,2012100000,2012年度,百万円
68858,620,企業数、売上高,120,49人以下,110,売上高合計,2011100000,2011年度,百万円
75229,620,企業数、売上高,120,49人以下,110,売上高合計,2010100000,2010年度,百万円
