value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label,unit
3960.7,00001,観測値,L2100,L2100_農家総所得,00000,全国,1975100000,1975年度,千円
4279.4,00001,観測値,L2100,L2100_農家総所得,00000,全国,1976100000,1976年度,千円
4671.1,00001,観測値,L2100,L2100_農家総所得,00000,全国,1977100000,1977年度,千円
5020.2,00001,観測値,L2100,L2100_農家総所得,00000,全国,1978100000,1978年度,千円
5320.5,00001,観測値,L2100,L2100_農家総所得,00000,全国,1979100000,1979年度,千円
5593.8,00001,観測値,L2100,L2100_農家総所得,00000,全国,1980100000,1980年度,千円
5920.2,00001,観測値,L2100,L2100_農家総所得,00000,全国,1981100000,1981年度,千円
6218.5,00001,観測値,L2100,L2100_農家総所得,00000,全国,1982100000,1982年度,千円
6474.9,00001,観測値,L2100,L2100_農家総所得,00000,全国,1983100000,1983年度,千円
6749.9,00001,観測値,L2100,L2100_農家総所得,00000,全国,1984100000,1984年度,千円
6915.9,00001,観測値,L2100,L2100_農家総所得,00000,全国,1985100000,1985年度,千円
6998.9,00001,観測値,L2100,L2100_農家総所得,00000,全国,1986100000,1986年度,千円
7163.3,00001,観測値,L2100,L2100_農家総所得,00000,全国,1987100000,1987年度,千円
7451.7,00001,観測値,L2100,L2100_農家総所得,00000,全国,1988100000,1988年度,千円
7984.6,00001,観測値,L2100,L2100_農家総所得,00000,全国,1989100000,1989年度,千円
8398.7,00001,観測値,L2100,L2100_農家総所得,00000,全国,1990100000,1990年度,千円
8738.1,00001,観測値,L2100,L2100_農家総所得,00000,全国,1991100000,1991年度,千円
8819.1,00001,観測値,L2100,L2100_農家総所得,00000,全国,1992100000,1992年度,千円
8883.4,00001,観測値,L2100,L2100_農家総所得,00000,全国,1993100000,1993年度,千円
9091.2,00001,観測値,L2100,L2100_農家総所得,00000,全国,1994100000,1994年度,千円
8916.5,00001,観測値,L2100,L2100_農家総所得,00000,全国,1995100000,1995年度,千円
8935.2,00001,観測値,L2100,L2100_農家総所得,00000,全国,1996100000,1996年度,千円
