value,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
20296,321,総数,001,総数,00000,全国,1997000000,1997年
3883,321,総数,001,総数,00012,大都市,1997000000,1997年
8715,321,総数,001,総数,00013,中都市,1997000000,1997年
1380,321,総数,001,総数,00014,人口50～100万未満市,1997000000,1997年
3629,321,総数,001,総数,00015,人口30～50万未満市,1997000000,1997年
3706,321,総数,001,総数,00016,人口15～30万未満市,1997000000,1997年
5751,321,総数,001,総数,00018,小都市Ａ,1997000000,1997年
2610,321,総数,001,総数,00019,人口10～15万未満市,1997000000,1997年
3141,321,総数,001,総数,00020,人口5～10万未満市,1997000000,1997年
1084,321,総数,001,総数,00021,小都市Ｂ,1997000000,1997年
863,321,総数,001,総数,00022,町村,1997000000,1997年
1104,321,総数,001,総数,01000,北海道,1997000000,1997年
873,321,総数,001,総数,01B01,北海道　人口10万以上市,1997000000,1997年
102,321,総数,001,総数,01B02,北海道　人口5～10万市,1997000000,1997年
65,321,総数,001,総数,01B03,北海道　人口5万未満市,1997000000,1997年
64,321,総数,001,総数,01B04,北海道　町村,1997000000,1997年
248,321,総数,001,総数,01B10,北海道　道南,1997000000,1997年
523,321,総数,001,総数,01B20,北海道　道央,1997000000,1997年
138,321,総数,001,総数,01B30,北海道　道北,1997000000,1997年
195,321,総数,001,総数,01B40,北海道　道東,1997000000,1997年
292,321,総数,001,総数,02000,青森県,1997000000,1997年
216,321,総数,001,総数,02B01,青森県　人口10万以上市,1997000000,1997年
28,321,総数,001,総数,02B02,青森県　人口5～10万市,1997000000,1997年
36,321,総数,001,総数,02B03,青森県　人口5万未満市,1997000000,1997年
12,321,総数,001,総数,02B04,青森県　町村,1997000000,1997年
80,321,総数,001,総数,02B10,青森県　青森,1997000000,1997年
80,321,総数,001,総数,02B20,青森県　津軽,1997000000,1997年
108,321,総数,001,総数,02B30,青森県　南部,1997000000,1997年
24,321,総数,001,総数,02B40,青森県　下北,1997000000,1997年
212,321,総数,001,総数,03000,岩手県,1997000000,1997年
96,321,総数,001,総数,03B01,岩手県　人口10万以上市,1997000000,1997年
88,321,総数,001,総数,03B02,岩手県　人口5～10万市,1997000000,1997年
14,321,総数,001,総数,03B03,岩手県　人口5万未満市,1997000000,1997年
14,321,総数,001,総数,03B04,岩手県　町村,1997000000,1997年
102,321,総数,001,総数,03B10,岩手県　盛岡,1997000000,1997年
53,321,総数,001,総数,03B20,岩手県　岩手中部・胆江,1997000000,1997年
25,321,総数,001,総数,03B30,岩手県　両磐・気仙,1997000000,1997年
16,321,総数,001,総数,03B40,岩手県　釜石・宮古,1997000000,1997年
16,321,総数,001,総数,03B50,岩手県　久慈・二戸,1997000000,1997年
398,321,総数,001,総数,04000,宮城県,1997000000,1997年
281,321,総数,001,総数,04B01,宮城県　人口10万以上市,1997000000,1997年
79,321,総数,001,総数,04B02,宮城県　人口5～10万市,1997000000,1997年
13,321,総数,001,総数,04B03,宮城県　人口5万未満市,1997000000,1997年
25,321,総数,001,総数,04B04,宮城県　町村,1997000000,1997年
288,321,総数,001,総数,04B10,宮城県　県中南部,1997000000,1997年
79,321,総数,001,総数,04B20,宮城県　県北東部,1997000000,1997年
31,321,総数,001,総数,04B30,宮城県　県北中西部,1997000000,1997年
