value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
49954,1,全世帯,001,平均,001,集計世帯数,00000,全国,1984000000,1984年,世帯
38985,1,全世帯,001,平均,001,集計世帯数,00010,全都市,1984000000,1984年,世帯
32916,1,全世帯,001,平均,001,集計世帯数,00011,人口5万以上市,1984000000,1984年,世帯
4757,1,全世帯,001,平均,001,集計世帯数,00012,大都市,1984000000,1984年,世帯
16851,1,全世帯,001,平均,001,集計世帯数,00013,中都市,1984000000,1984年,世帯
11307,1,全世帯,001,平均,001,集計世帯数,00018,小都市Ａ,1984000000,1984年,世帯
6069,1,全世帯,001,平均,001,集計世帯数,00021,小都市Ｂ,1984000000,1984年,世帯
10969,1,全世帯,001,平均,001,集計世帯数,00022,町村,1984000000,1984年,世帯
2324,1,全世帯,001,平均,001,集計世帯数,00042,北海道地方,1984000000,1984年,世帯
4330,1,全世帯,001,平均,001,集計世帯数,00043,東北地方,1984000000,1984年,世帯
13296,1,全世帯,001,平均,001,集計世帯数,00044,関東地方,1984000000,1984年,世帯
3064,1,全世帯,001,平均,001,集計世帯数,00049,北陸地方,1984000000,1984年,世帯
5418,1,全世帯,001,平均,001,集計世帯数,00050,東海地方,1984000000,1984年,世帯
7994,1,全世帯,001,平均,001,集計世帯数,00051,近畿地方,1984000000,1984年,世帯
4246,1,全世帯,001,平均,001,集計世帯数,00053,中国地方,1984000000,1984年,世帯
2677,1,全世帯,001,平均,001,集計世帯数,00054,四国地方,1984000000,1984年,世帯
5938,1,全世帯,001,平均,001,集計世帯数,00056,九州地方,1984000000,1984年,世帯
668,1,全世帯,001,平均,001,集計世帯数,00057,沖縄地方,1984000000,1984年,世帯
9062,1,全世帯,001,平均,001,集計世帯数,00105,京浜大都市圏,1984000000,1984年,世帯
2917,1,全世帯,001,平均,001,集計世帯数,00106,中京大都市圏,1984000000,1984年,世帯
6706,1,全世帯,001,平均,001,集計世帯数,00107,京阪神大都市圏,1984000000,1984年,世帯
1797,1,全世帯,001,平均,001,集計世帯数,00110,北九州大都市圏,1984000000,1984年,世帯
18685,1,全世帯,001,平均,001,集計世帯数,00415,3大都市圏平均,1984000000,1984年,世帯
894,1,全世帯,001,平均,001,集計世帯数,13100,特別区部,1984000000,1984年,世帯
815909,1,全世帯,001,平均,002,世帯数分布（抽出率調整）,00000,全国,1984000000,1984年,世帯
631104,1,全世帯,001,平均,002,世帯数分布（抽出率調整）,00010,全都市,1984000000,1984年,世帯
568946,1,全世帯,001,平均,002,世帯数分布（抽出率調整）,00011,人口5万以上市,1984000000,1984年,世帯
171522,1,全世帯,001,平均,002,世帯数分布（抽出率調整）,00012,大都市,1984000000,1984年,世帯
