value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
31018,2,勤労者世帯,001,平均,00001,集計世帯数,00000,全国,1984000000,1984年
12908,2,勤労者世帯,001,平均,00001,集計世帯数,00415,3大都市圏平均,1984000000,1984年
508883,2,勤労者世帯,001,平均,00002,世帯数分布（抽出率調整）,00000,全国,1984000000,1984年
253297,2,勤労者世帯,001,平均,00002,世帯数分布（抽出率調整）,00415,3大都市圏平均,1984000000,1984年
10000,2,勤労者世帯,001,平均,00003,（１万分比）,00000,全国,1984000000,1984年
10000,2,勤労者世帯,001,平均,00003,（１万分比）,00415,3大都市圏平均,1984000000,1984年
3.87,2,勤労者世帯,001,平均,00004,世帯人員（人）,00000,全国,1984000000,1984年
3.8,2,勤労者世帯,001,平均,00004,世帯人員（人）,00415,3大都市圏平均,1984000000,1984年
1.62,2,勤労者世帯,001,平均,00005,有業人員（人）,00000,全国,1984000000,1984年
1.53,2,勤労者世帯,001,平均,00005,有業人員（人）,00415,3大都市圏平均,1984000000,1984年
42.2,2,勤労者世帯,001,平均,00006,世帯主の年齢（歳）,00000,全国,1984000000,1984年
41.9,2,勤労者世帯,001,平均,00006,世帯主の年齢（歳）,00415,3大都市圏平均,1984000000,1984年
67.4,2,勤労者世帯,001,平均,00007,持家率（％）,00000,全国,1984000000,1984年
64.5,2,勤労者世帯,001,平均,00007,持家率（％）,00415,3大都市圏平均,1984000000,1984年
5,2,勤労者世帯,001,平均,00008,居住室数（室）,00000,全国,1984000000,1984年
4.6,2,勤労者世帯,001,平均,00008,居住室数（室）,00415,3大都市圏平均,1984000000,1984年
33.1,2,勤労者世帯,001,平均,00009,家賃・地代を支払っている世帯割合（％）,00000,全国,1984000000,1984年
36.4,2,勤労者世帯,001,平均,00009,家賃・地代を支払っている世帯割合（％）,00415,3大都市圏平均,1984000000,1984年
5537,2,勤労者世帯,001,平均,00010,年間収入（千円）,00000,全国,1984000000,1984年
5853,2,勤労者世帯,001,平均,00010,年間収入（千円）,00415,3大都市圏平均,1984000000,1984年
671248,2,勤労者世帯,001,平均,00011,収入総額,00000,全国,1984000000,1984年
723478,2,勤労者世帯,001,平均,00011,収入総額,00415,3大都市圏平均,1984000000,1984年
375863,2,勤労者世帯,001,平均,00012,実収入,00000,全国,1984000000,1984年
395432,2,勤労者世帯,001,平均,00012,実収入,00415,3大都市圏平均,1984000000,1984年
