value,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
1217,000,0歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
625,000,0歳,002,総人口・男,00000,全国,1991000000,1991年,千人
592,000,0歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.6,000,0歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1209,000,0歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
621,000,0歳,006,日本人・男,00000,全国,1991000000,1991年,千人
588,000,0歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.6,000,0歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1212,001,1歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
621,001,1歳,002,総人口・男,00000,全国,1991000000,1991年,千人
591,001,1歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.0,001,1歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1204,001,1歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
617,001,1歳,006,日本人・男,00000,全国,1991000000,1991年,千人
588,001,1歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.0,001,1歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1262,002,2歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
647,002,2歳,002,総人口・男,00000,全国,1991000000,1991年,千人
615,002,2歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.1,002,2歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1254,002,2歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
642,002,2歳,006,日本人・男,00000,全国,1991000000,1991年,千人
611,002,2歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.1,002,2歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1303,003,3歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
669,003,3歳,002,総人口・男,00000,全国,1991000000,1991年,千人
634,003,3歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.4,003,3歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1295,003,3歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
665,003,3歳,006,日本人・男,00000,全国,1991000000,1991年,千人
630,003,3歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.4,003,3歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1346,004,4歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
690,004,4歳,002,総人口・男,00000,全国,1991000000,1991年,千人
656,004,4歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.1,004,4歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1337,004,4歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
685,004,4歳,006,日本人・男,00000,全国,1991000000,1991年,千人
652,004,4歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.1,004,4歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1377,005,5歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
706,005,5歳,002,総人口・男,00000,全国,1991000000,1991年,千人
670,005,5歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.4,005,5歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1368,005,5歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
702,005,5歳,006,日本人・男,00000,全国,1991000000,1991年,千人
666,005,5歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.4,005,5歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1441,006,6歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
738,006,6歳,002,総人口・男,00000,全国,1991000000,1991年,千人
703,006,6歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.0,006,6歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1432,006,6歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
734,006,6歳,006,日本人・男,00000,全国,1991000000,1991年,千人
699,006,6歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.0,006,6歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1491,007,7歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
764,007,7歳,002,総人口・男,00000,全国,1991000000,1991年,千人
727,007,7歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.0,007,7歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1481,007,7歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
759,007,7歳,006,日本人・男,00000,全国,1991000000,1991年,千人
723,007,7歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.0,007,7歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1508,008,8歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
772,008,8歳,002,総人口・男,00000,全国,1991000000,1991年,千人
736,008,8歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.0,008,8歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1498,008,8歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
767,008,8歳,006,日本人・男,00000,全国,1991000000,1991年,千人
731,008,8歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.0,008,8歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1512,009,9歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
774,009,9歳,002,総人口・男,00000,全国,1991000000,1991年,千人
738,009,9歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.0,009,9歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1501,009,9歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
769,009,9歳,006,日本人・男,00000,全国,1991000000,1991年,千人
732,009,9歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.0,009,9歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1531,010,10歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
785,010,10歳,002,総人口・男,00000,全国,1991000000,1991年,千人
