value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,cat05,cat05_label,area,area_label,time,time_label,unit
1384,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2003000103,2003年1～3月期,万人
1420,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2003000406,2003年4～6月期,万人
1416,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2003000709,2003年7～9月期,万人
1372,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2003001012,2003年10～12月期,万人
1350,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2004000103,2004年1～3月期,万人
1365,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2004000406,2004年4～6月期,万人
1347,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2004000709,2004年7～9月期,万人
1351,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2004001012,2004年10～12月期,万人
1334,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2005000103,2005年1～3月期,万人
1367,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2005000406,2005年4～6月期,万人
1379,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2005000709,2005年7～9月期,万人
1344,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2005001012,2005年10～12月期,万人
1338,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2006000103,2006年1～3月期,万人
1345,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2006000406,2006年4～6月期,万人
1371,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2006000709,2006年7～9月期,万人
1349,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2006001012,2006年10～12月期,万人
1325,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2007000103,2007年1～3月期,万人
1337,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2007000406,2007年4～6月期,万人
1340,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2007000709,2007年7～9月期,万人
1348,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2007001012,2007年10～12月期,万人
1326,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2008000103,2008年1～3月期,万人
1320,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2008000406,2008年4～6月期,万人
1356,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2008000709,2008年7～9月期,万人
1366,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,00,15歳以上人口,00000,全国,2008001012,2008年10～12月期,万人
758,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2003000103,2003年1～3月期,万人
801,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2003000406,2003年4～6月期,万人
804,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2003000709,2003年7～9月期,万人
779,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2003001012,2003年10～12月期,万人
761,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2004000103,2004年1～3月期,万人
777,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2004000406,2004年4～6月期,万人
778,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2004000709,2004年7～9月期,万人
802,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2004001012,2004年10～12月期,万人
778,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2005000103,2005年1～3月期,万人
817,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2005000406,2005年4～6月期,万人
841,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2005000709,2005年7～9月期,万人
802,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2005001012,2005年10～12月期,万人
790,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2006000103,2006年1～3月期,万人
825,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2006000406,2006年4～6月期,万人
843,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2006000709,2006年7～9月期,万人
832,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2006001012,2006年10～12月期,万人
794,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2007000103,2007年1～3月期,万人
846,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2007000406,2007年4～6月期,万人
845,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2007000709,2007年7～9月期,万人
846,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2007001012,2007年10～12月期,万人
810,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2008000103,2008年1～3月期,万人
819,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2008000406,2008年4～6月期,万人
830,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2008000709,2008年7～9月期,万人
847,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,02,就業者,00000,全国,2008001012,2008年10～12月期,万人
237,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2003000103,2003年1～3月期,万人
236,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2003000406,2003年4～6月期,万人
222,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2003000709,2003年7～9月期,万人
210,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2003001012,2003年10～12月期,万人
205,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2004000103,2004年1～3月期,万人
198,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2004000406,2004年4～6月期,万人
204,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2004000709,2004年7～9月期,万人
173,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2004001012,2004年10～12月期,万人
192,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2005000103,2005年1～3月期,万人
182,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2005000406,2005年4～6月期,万人
179,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2005000709,2005年7～9月期,万人
174,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2005001012,2005年10～12月期,万人
180,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2006000103,2006年1～3月期,万人
171,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2006000406,2006年4～6月期,万人
165,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2006000709,2006年7～9月期,万人
158,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2006001012,2006年10～12月期,万人
169,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2007000103,2007年1～3月期,万人
160,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2007000406,2007年4～6月期,万人
156,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2007000709,2007年7～9月期,万人
152,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2007001012,2007年10～12月期,万人
159,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2008000103,2008年1～3月期,万人
172,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2008000406,2008年4～6月期,万人
166,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2008000709,2008年7～9月期,万人
162,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,07,完全失業者,00000,全国,2008001012,2008年10～12月期,万人
388,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2003000103,2003年1～3月期,万人
383,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2003000406,2003年4～6月期,万人
389,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2003000709,2003年7～9月期,万人
383,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2003001012,2003年10～12月期,万人
384,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2004000103,2004年1～3月期,万人
389,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2004000406,2004年4～6月期,万人
365,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2004000709,2004年7～9月期,万人
375,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2004001012,2004年10～12月期,万人
363,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2005000103,2005年1～3月期,万人
367,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2005000406,2005年4～6月期,万人
359,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2005000709,2005年7～9月期,万人
369,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2005001012,2005年10～12月期,万人
369,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2006000103,2006年1～3月期,万人
349,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2006000406,2006年4～6月期,万人
362,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2006000709,2006年7～9月期,万人
359,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2006001012,2006年10～12月期,万人
362,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2007000103,2007年1～3月期,万人
331,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2007000406,2007年4～6月期,万人
339,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2007000709,2007年7～9月期,万人
349,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2007001012,2007年10～12月期,万人
357,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2008000103,2008年1～3月期,万人
330,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2008000406,2008年4～6月期,万人
360,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2008000709,2008年7～9月期,万人
357,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,08,非労働力人口(～2017年),00000,全国,2008001012,2008年10～12月期,万人
143,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2003000103,2003年1～3月期,万人
135,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2003000406,2003年4～6月期,万人
141,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2003000709,2003年7～9月期,万人
133,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2003001012,2003年10～12月期,万人
137,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2004000103,2004年1～3月期,万人
140,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2004000406,2004年4～6月期,万人
132,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2004000709,2004年7～9月期,万人
131,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2004001012,2004年10～12月期,万人
123,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2005000103,2005年1～3月期,万人
123,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2005000406,2005年4～6月期,万人
114,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2005000709,2005年7～9月期,万人
122,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2005001012,2005年10～12月期,万人
118,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2006000103,2006年1～3月期,万人
114,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2006000406,2006年4～6月期,万人
120,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2006000709,2006年7～9月期,万人
113,06,15歳以上人口,0,総数,00,総数,00,総数,00,総数,09,非労働力人口(就業希望者)(～2017年),00000,全国,2006001012,2006年10～12月期,万人
