value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,unit
127798704,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01000,総数,00000,全国,人
1046533,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,02001,0歳未満,00000,全国,人
1068411,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01001,0歳,00000,全国,人
1045046,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01002,1歳,00000,全国,人
1045302,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01003,2歳,00000,全国,人
1074270,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01004,3歳,00000,全国,人
1069953,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01005,4歳,00000,全国,人
1062061,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01006,5歳,00000,全国,人
1059478,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01007,6歳,00000,全国,人
1099985,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01008,7歳,00000,全国,人
1118809,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01009,8歳,00000,全国,人
1149549,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01010,9歳,00000,全国,人
1165151,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01011,10歳,00000,全国,人
1177298,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01012,11歳,00000,全国,人
1179027,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01013,12歳,00000,全国,人
1197930,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01014,13歳,00000,全国,人
1192891,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01015,14歳,00000,全国,人
1185748,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01016,15歳,00000,全国,人
1221102,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01017,16歳,00000,全国,人
1228447,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01018,17歳,00000,全国,人
1210487,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01019,18歳,00000,全国,人
1229608,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01020,19歳,00000,全国,人
1219079,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01021,20歳,00000,全国,人
1237486,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01022,21歳,00000,全国,人
1269702,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01023,22歳,00000,全国,人
1305907,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01024,23歳,00000,全国,人
1338049,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01025,24歳,00000,全国,人
1363891,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01026,25歳,00000,全国,人
1419871,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01027,26歳,00000,全国,人
1464265,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01028,27歳,00000,全国,人
1482710,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01029,28歳,00000,全国,人
1488256,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01030,29歳,00000,全国,人
1505657,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01031,30歳,00000,全国,人
1571785,008,人口,046,総人口 　　2011年10月1日現在人口,000,男女計,01032,31歳,00000,全国,人
