value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label,unit
792195,19,戸数,11,計,11,計,11,計,2024000000,2024年,戸
819623,19,戸数,11,計,11,計,11,計,2023000000,2023年,戸
859529,19,戸数,11,計,11,計,11,計,2022000000,2022年,戸
856484,19,戸数,11,計,11,計,11,計,2021000000,2021年,戸
815340,19,戸数,11,計,11,計,11,計,2020000000,2020年,戸
905123,19,戸数,11,計,11,計,11,計,2019000000,2019年,戸
942370,19,戸数,11,計,11,計,11,計,2018000000,2018年,戸
964641,19,戸数,11,計,11,計,11,計,2017000000,2017年,戸
967237,19,戸数,11,計,11,計,11,計,2016000000,2016年,戸
909299,19,戸数,11,計,11,計,11,計,2015000000,2015年,戸
892261,19,戸数,11,計,11,計,11,計,2014000000,2014年,戸
980025,19,戸数,11,計,11,計,11,計,2013000000,2013年,戸
882797,19,戸数,11,計,11,計,11,計,2012000000,2012年,戸
834117,19,戸数,11,計,11,計,11,計,2011000000,2011年,戸
218175,19,戸数,11,計,11,計,12,持家,2024000000,2024年,戸
224352,19,戸数,11,計,11,計,12,持家,2023000000,2023年,戸
253287,19,戸数,11,計,11,計,12,持家,2022000000,2022年,戸
285575,19,戸数,11,計,11,計,12,持家,2021000000,2021年,戸
261088,19,戸数,11,計,11,計,12,持家,2020000000,2020年,戸
288738,19,戸数,11,計,11,計,12,持家,2019000000,2019年,戸
283235,19,戸数,11,計,11,計,12,持家,2018000000,2018年,戸
284283,19,戸数,11,計,11,計,12,持家,2017000000,2017年,戸
292287,19,戸数,11,計,11,計,12,持家,2016000000,2016年,戸
283366,19,戸数,11,計,11,計,12,持家,2015000000,2015年,戸
285270,19,戸数,11,計,11,計,12,持家,2014000000,2014年,戸
354772,19,戸数,11,計,11,計,12,持家,2013000000,2013年,戸
311589,19,戸数,11,計,11,計,12,持家,2012000000,2012年,戸
305626,19,戸数,11,計,11,計,12,持家,2011000000,2011年,戸
342092,19,戸数,11,計,11,計,13,貸家,2024000000,2024年,戸
343894,19,戸数,11,計,11,計,13,貸家,2023000000,2023年,戸
345080,19,戸数,11,計,11,計,13,貸家,2022000000,2022年,戸
