value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label,unit
477854,12,建築物の数,11,計,11,計,2024000000,2024年,棟
502687,12,建築物の数,11,計,11,計,2023000000,2023年,棟
546616,12,建築物の数,11,計,11,計,2022000000,2022年,棟
572712,12,建築物の数,11,計,11,計,2021000000,2021年,棟
534747,12,建築物の数,11,計,11,計,2020000000,2020年,棟
599353,12,建築物の数,11,計,11,計,2019000000,2019年,棟
598154,12,建築物の数,11,計,11,計,2018000000,2018年,棟
604503,12,建築物の数,11,計,11,計,2017000000,2017年,棟
609535,12,建築物の数,11,計,11,計,2016000000,2016年,棟
587153,12,建築物の数,11,計,11,計,2015000000,2015年,棟
592573,12,建築物の数,11,計,11,計,2014000000,2014年,棟
676332,12,建築物の数,11,計,11,計,2013000000,2013年,棟
608770,12,建築物の数,11,計,11,計,2012000000,2012年,棟
584300,12,建築物の数,11,計,11,計,2011000000,2011年,棟
894,12,建築物の数,11,計,12,国,2024000000,2024年,棟
734,12,建築物の数,11,計,12,国,2023000000,2023年,棟
729,12,建築物の数,11,計,12,国,2022000000,2022年,棟
1026,12,建築物の数,11,計,12,国,2021000000,2021年,棟
980,12,建築物の数,11,計,12,国,2020000000,2020年,棟
910,12,建築物の数,11,計,12,国,2019000000,2019年,棟
837,12,建築物の数,11,計,12,国,2018000000,2018年,棟
957,12,建築物の数,11,計,12,国,2017000000,2017年,棟
1482,12,建築物の数,11,計,12,国,2016000000,2016年,棟
1233,12,建築物の数,11,計,12,国,2015000000,2015年,棟
1239,12,建築物の数,11,計,12,国,2014000000,2014年,棟
1496,12,建築物の数,11,計,12,国,2013000000,2013年,棟
1437,12,建築物の数,11,計,12,国,2012000000,2012年,棟
1316,12,建築物の数,11,計,12,国,2011000000,2011年,棟
1501,12,建築物の数,11,計,13,都道府県,2024000000,2024年,棟
1724,12,建築物の数,11,計,13,都道府県,2023000000,2023年,棟
1716,12,建築物の数,11,計,13,都道府県,2022000000,2022年,棟
2078,12,建築物の数,11,計,13,都道府県,2021000000,2021年,棟
1968,12,建築物の数,11,計,13,都道府県,2020000000,2020年,棟
2027,12,建築物の数,11,計,13,都道府県,2019000000,2019年,棟
2400,12,建築物の数,11,計,13,都道府県,2018000000,2018年,棟
2458,12,建築物の数,11,計,13,都道府県,2017000000,2017年,棟
2541,12,建築物の数,11,計,13,都道府県,2016000000,2016年,棟
2562,12,建築物の数,11,計,13,都道府県,2015000000,2015年,棟
2984,12,建築物の数,11,計,13,都道府県,2014000000,2014年,棟
2945,12,建築物の数,11,計,13,都道府県,2013000000,2013年,棟
2968,12,建築物の数,11,計,13,都道府県,2012000000,2012年,棟
2939,12,建築物の数,11,計,13,都道府県,2011000000,2011年,棟
6169,12,建築物の数,11,計,14,市区町村,2024000000,2024年,棟
6149,12,建築物の数,11,計,14,市区町村,2023000000,2023年,棟
6030,12,建築物の数,11,計,14,市区町村,2022000000,2022年,棟
6616,12,建築物の数,11,計,14,市区町村,2021000000,2021年,棟
7255,12,建築物の数,11,計,14,市区町村,2020000000,2020年,棟
8208,12,建築物の数,11,計,14,市区町村,2019000000,2019年,棟
8736,12,建築物の数,11,計,14,市区町村,2018000000,2018年,棟
9524,12,建築物の数,11,計,14,市区町村,2017000000,2017年,棟
9583,12,建築物の数,11,計,14,市区町村,2016000000,2016年,棟
10733,12,建築物の数,11,計,14,市区町村,2015000000,2015年,棟
12810,12,建築物の数,11,計,14,市区町村,2014000000,2014年,棟
12196,12,建築物の数,11,計,14,市区町村,2013000000,2013年,棟
10968,12,建築物の数,11,計,14,市区町村,2012000000,2012年,棟
10482,12,建築物の数,11,計,14,市区町村,2011000000,2011年,棟
187584,12,建築物の数,11,計,15,会社,2024000000,2024年,棟
204045,12,建築物の数,11,計,15,会社,2023000000,2023年,棟
214060,12,建築物の数,11,計,15,会社,2022000000,2022年,棟
203399,12,建築物の数,11,計,15,会社,2021000000,2021年,棟
191182,12,建築物の数,11,計,15,会社,2020000000,2020年,棟
214370,12,建築物の数,11,計,15,会社,2019000000,2019年,棟
213418,12,建築物の数,11,計,15,会社,2018000000,2018年,棟
211077,12,建築物の数,11,計,15,会社,2017000000,2017年,棟
202539,12,建築物の数,11,計,15,会社,2016000000,2016年,棟
186803,12,建築物の数,11,計,15,会社,2015000000,2015年,棟
185037,12,建築物の数,11,計,15,会社,2014000000,2014年,棟
192869,12,建築物の数,11,計,15,会社,2013000000,2013年,棟
177766,12,建築物の数,11,計,15,会社,2012000000,2012年,棟
164827,12,建築物の数,11,計,15,会社,2011000000,2011年,棟
6803,12,建築物の数,11,計,16,会社でない団体,2024000000,2024年,棟
7484,12,建築物の数,11,計,16,会社でない団体,2023000000,2023年,棟
8243,12,建築物の数,11,計,16,会社でない団体,2022000000,2022年,棟
9768,12,建築物の数,11,計,16,会社でない団体,2021000000,2021年,棟
10263,12,建築物の数,11,計,16,会社でない団体,2020000000,2020年,棟
11784,12,建築物の数,11,計,16,会社でない団体,2019000000,2019年,棟
11697,12,建築物の数,11,計,16,会社でない団体,2018000000,2018年,棟
12861,12,建築物の数,11,計,16,会社でない団体,2017000000,2017年,棟
13637,12,建築物の数,11,計,16,会社でない団体,2016000000,2016年,棟
13371,12,建築物の数,11,計,16,会社でない団体,2015000000,2015年,棟
14678,12,建築物の数,11,計,16,会社でない団体,2014000000,2014年,棟
15973,12,建築物の数,11,計,16,会社でない団体,2013000000,2013年,棟
15482,12,建築物の数,11,計,16,会社でない団体,2012000000,2012年,棟
15698,12,建築物の数,11,計,16,会社でない団体,2011000000,2011年,棟
274903,12,建築物の数,11,計,17,個人,2024000000,2024年,棟
282551,12,建築物の数,11,計,17,個人,2023000000,2023年,棟
315838,12,建築物の数,11,計,17,個人,2022000000,2022年,棟
349825,12,建築物の数,11,計,17,個人,2021000000,2021年,棟
323099,12,建築物の数,11,計,17,個人,2020000000,2020年,棟
362054,12,建築物の数,11,計,17,個人,2019000000,2019年,棟
361066,12,建築物の数,11,計,17,個人,2018000000,2018年,棟
367626,12,建築物の数,11,計,17,個人,2017000000,2017年,棟
379753,12,建築物の数,11,計,17,個人,2016000000,2016年,棟
372451,12,建築物の数,11,計,17,個人,2015000000,2015年,棟
375825,12,建築物の数,11,計,17,個人,2014000000,2014年,棟
450853,12,建築物の数,11,計,17,個人,2013000000,2013年,棟
400149,12,建築物の数,11,計,17,個人,2012000000,2012年,棟
389038,12,建築物の数,11,計,17,個人,2011000000,2011年,棟
360129,12,建築物の数,12,木造,11,計,2024000000,2024年,棟
378481,12,建築物の数,12,木造,11,計,2023000000,2023年,棟
412519,12,建築物の数,12,木造,11,計,2022000000,2022年,棟
439158,12,建築物の数,12,木造,11,計,2021000000,2021年,棟
405692,12,建築物の数,12,木造,11,計,2020000000,2020年,棟
451914,12,建築物の数,12,木造,11,計,2019000000,2019年,棟
445042,12,建築物の数,12,木造,11,計,2018000000,2018年,棟
445770,12,建築物の数,12,木造,11,計,2017000000,2017年,棟
449580,12,建築物の数,12,木造,11,計,2016000000,2016年,棟
428293,12,建築物の数,12,木造,11,計,2015000000,2015年,棟
429305,12,建築物の数,12,木造,11,計,2014000000,2014年,棟
499929,12,建築物の数,12,木造,11,計,2013000000,2013年,棟
443736,12,建築物の数,12,木造,11,計,2012000000,2012年,棟
428311,12,建築物の数,12,木造,11,計,2011000000,2011年,棟
65,12,建築物の数,12,木造,12,国,2024000000,2024年,棟
56,12,建築物の数,12,木造,12,国,2023000000,2023年,棟
61,12,建築物の数,12,木造,12,国,2022000000,2022年,棟
106,12,建築物の数,12,木造,12,国,2021000000,2021年,棟
118,12,建築物の数,12,木造,12,国,2020000000,2020年,棟
142,12,建築物の数,12,木造,12,国,2019000000,2019年,棟
104,12,建築物の数,12,木造,12,国,2018000000,2018年,棟
99,12,建築物の数,12,木造,12,国,2017000000,2017年,棟
224,12,建築物の数,12,木造,12,国,2016000000,2016年,棟
211,12,建築物の数,12,木造,12,国,2015000000,2015年,棟
88,12,建築物の数,12,木造,12,国,2014000000,2014年,棟
121,12,建築物の数,12,木造,12,国,2013000000,2013年,棟
65,12,建築物の数,12,木造,12,国,2012000000,2012年,棟
46,12,建築物の数,12,木造,12,国,2011000000,2011年,棟
189,12,建築物の数,12,木造,13,都道府県,2024000000,2024年,棟
270,12,建築物の数,12,木造,13,都道府県,2023000000,2023年,棟
238,12,建築物の数,12,木造,13,都道府県,2022000000,2022年,棟
282,12,建築物の数,12,木造,13,都道府県,2021000000,2021年,棟
305,12,建築物の数,12,木造,13,都道府県,2020000000,2020年,棟
277,12,建築物の数,12,木造,13,都道府県,2019000000,2019年,棟
332,12,建築物の数,12,木造,13,都道府県,2018000000,2018年,棟
335,12,建築物の数,12,木造,13,都道府県,2017000000,2017年,棟
349,12,建築物の数,12,木造,13,都道府県,2016000000,2016年,棟
365,12,建築物の数,12,木造,13,都道府県,2015000000,2015年,棟
438,12,建築物の数,12,木造,13,都道府県,2014000000,2014年,棟
423,12,建築物の数,12,木造,13,都道府県,2013000000,2013年,棟
424,12,建築物の数,12,木造,13,都道府県,2012000000,2012年,棟
429,12,建築物の数,12,木造,13,都道府県,2011000000,2011年,棟
1129,12,建築物の数,12,木造,14,市区町村,2024000000,2024年,棟
1166,12,建築物の数,12,木造,14,市区町村,2023000000,2023年,棟
1118,12,建築物の数,12,木造,14,市区町村,2022000000,2022年,棟
1419,12,建築物の数,12,木造,14,市区町村,2021000000,2021年,棟
1552,12,建築物の数,12,木造,14,市区町村,2020000000,2020年,棟
1819,12,建築物の数,12,木造,14,市区町村,2019000000,2019年,棟
1932,12,建築物の数,12,木造,14,市区町村,2018000000,2018年,棟
2291,12,建築物の数,12,木造,14,市区町村,2017000000,2017年,棟
2286,12,建築物の数,12,木造,14,市区町村,2016000000,2016年,棟
2384,12,建築物の数,12,木造,14,市区町村,2015000000,2015年,棟
3227,12,建築物の数,12,木造,14,市区町村,2014000000,2014年,棟
2666,12,建築物の数,12,木造,14,市区町村,2013000000,2013年,棟
2338,12,建築物の数,12,木造,14,市区町村,2012000000,2012年,棟
2227,12,建築物の数,12,木造,14,市区町村,2011000000,2011年,棟
137977,12,建築物の数,12,木造,15,会社,2024000000,2024年,棟
152010,12,建築物の数,12,木造,15,会社,2023000000,2023年,棟
161288,12,建築物の数,12,木造,15,会社,2022000000,2022年,棟
155403,12,建築物の数,12,木造,15,会社,2021000000,2021年,棟
143444,12,建築物の数,12,木造,15,会社,2020000000,2020年,棟
161389,12,建築物の数,12,木造,15,会社,2019000000,2019年,棟
157437,12,建築物の数,12,木造,15,会社,2018000000,2018年,棟
154334,12,建築物の数,12,木造,15,会社,2017000000,2017年,棟
148087,12,建築物の数,12,木造,15,会社,2016000000,2016年,棟
134839,12,建築物の数,12,木造,15,会社,2015000000,2015年,棟
134519,12,建築物の数,12,木造,15,会社,2014000000,2014年,棟
141918,12,建築物の数,12,木造,15,会社,2013000000,2013年,棟
128908,12,建築物の数,12,木造,15,会社,2012000000,2012年,棟
121612,12,建築物の数,12,木造,15,会社,2011000000,2011年,棟
2653,12,建築物の数,12,木造,16,会社でない団体,2024000000,2024年,棟
2822,12,建築物の数,12,木造,16,会社でない団体,2023000000,2023年,棟
2951,12,建築物の数,12,木造,16,会社でない団体,2022000000,2022年,棟
3479,12,建築物の数,12,木造,16,会社でない団体,2021000000,2021年,棟
3551,12,建築物の数,12,木造,16,会社でない団体,2020000000,2020年,棟
4175,12,建築物の数,12,木造,16,会社でない団体,2019000000,2019年,棟
4365,12,建築物の数,12,木造,16,会社でない団体,2018000000,2018年,棟
4796,12,建築物の数,12,木造,16,会社でない団体,2017000000,2017年,棟
5353,12,建築物の数,12,木造,16,会社でない団体,2016000000,2016年,棟
5010,12,建築物の数,12,木造,16,会社でない団体,2015000000,2015年,棟
4986,12,建築物の数,12,木造,16,会社でない団体,2014000000,2014年,棟
5174,12,建築物の数,12,木造,16,会社でない団体,2013000000,2013年,棟
4984,12,建築物の数,12,木造,16,会社でない団体,2012000000,2012年,棟
4901,12,建築物の数,12,木造,16,会社でない団体,2011000000,2011年,棟
218116,12,建築物の数,12,木造,17,個人,2024000000,2024年,棟
222157,12,建築物の数,12,木造,17,個人,2023000000,2023年,棟
246863,12,建築物の数,12,木造,17,個人,2022000000,2022年,棟
278469,12,建築物の数,12,木造,17,個人,2021000000,2021年,棟
256722,12,建築物の数,12,木造,17,個人,2020000000,2020年,棟
284112,12,建築物の数,12,木造,17,個人,2019000000,2019年,棟
280872,12,建築物の数,12,木造,17,個人,2018000000,2018年,棟
283915,12,建築物の数,12,木造,17,個人,2017000000,2017年,棟
293281,12,建築物の数,12,木造,17,個人,2016000000,2016年,棟
285484,12,建築物の数,12,木造,17,個人,2015000000,2015年,棟
286047,12,建築物の数,12,木造,17,個人,2014000000,2014年,棟
349627,12,建築物の数,12,木造,17,個人,2013000000,2013年,棟
307017,12,建築物の数,12,木造,17,個人,2012000000,2012年,棟
299096,12,建築物の数,12,木造,17,個人,2011000000,2011年,棟
