value,cat01,cat01_label,cat02,cat02_label
16.3,0100100,付加生産ウエイト,0001000,1AAA000100 銑鉄
2.6,0100100,付加生産ウエイト,0002000,1AAA000200 フェロマンガン（高炭素、低炭素）
9.7,0100100,付加生産ウエイト,0003000,1AAA000300 フェロニッケル
28.2,0100100,付加生産ウエイト,0004000,1AAA000400 粗鋼
34.7,0100100,付加生産ウエイト,0005000,1AAA000500 鋼半製品
0.7,0100100,付加生産ウエイト,0006000,1AAB000600 鋼矢板
3.4,0100100,付加生産ウエイト,0007000,1AAB000700 Ｈ形鋼
2.2,0100100,付加生産ウエイト,0008000,1AAB000800 大中小形形鋼
7.2,0100100,付加生産ウエイト,0009000,1AAB000900 小形棒鋼
14.6,0100100,付加生産ウエイト,0010000,1AAB001000 普通鋼鋼板
44.7,0100100,付加生産ウエイト,0011000,1AAB001100 普通鋼鋼帯
37.6,0100100,付加生産ウエイト,0012000,1AAB001200 特殊鋼熱間圧延鋼材
7.3,0100100,付加生産ウエイト,0013000,1AAC001300 普通鋼熱間鋼管
5.9,0100100,付加生産ウエイト,0014000,1AAC001400 特殊鋼熱間鋼管
26.4,0100100,付加生産ウエイト,0015000,1AAD001500 普通鋼冷延広幅帯鋼
3.8,0100100,付加生産ウエイト,0016000,1AAD001600 普通鋼冷延電気鋼帯
0.7,0100100,付加生産ウエイト,0017000,1AAD001700 冷間ロール成型軽量形鋼
1.2,0100100,付加生産ウエイト,0018000,1AAD001800 普通鋼鉄線
0.6,0100100,付加生産ウエイト,0019000,1AAD001900 普通鋼冷間圧造用炭素鋼線
0.6,0100100,付加生産ウエイト,0020000,1AAD002000 普通鋼硬鋼線
11.2,0100100,付加生産ウエイト,0021000,1AAD002100 特殊鋼冷間仕上鋼材
2.3,0100100,付加生産ウエイト,0022000,1AAD002200 特殊鋼磨棒鋼
3.3,0100100,付加生産ウエイト,0023000,1AAD002300 特殊鋼冷間圧造用炭素鋼線
5.1,0100100,付加生産ウエイト,0024000,1AAE002400 ブリキ
5.2,0100100,付加生産ウエイト,0025000,1AAE002500 ティンフリースチール
25.8,0100100,付加生産ウエイト,0026000,1AAE002600 亜鉛めっき鋼板
15.9,0100100,付加生産ウエイト,0027000,1AAF002700 鍛鋼品
8.9,0100100,付加生産ウエイト,0028000,1AAF002800 鋳鋼品
43.6,0100100,付加生産ウエイト,0029000,1AAF002900 銑鉄鋳物
21.4,0100100,付加生産ウエイト,0030000,1AAF003000 鉄系鍛工品
2.3,0100100,付加生産ウエイト,0031000,1ABA003100 アルミニウム合金地金
6.6,0100100,付加生産ウエイト,0032000,1ABA003200 アルミニウム二次合金地金
13.7,0100100,付加生産ウエイト,0033000,1ABA003300 電気金
3.5,0100100,付加生産ウエイト,0034000,1ABA003400 電気銀
26.2,0100100,付加生産ウエイト,0035000,1ABA003500 電気銅
3.5,0100100,付加生産ウエイト,0036000,1ABA003600 亜鉛
22.7,0100100,付加生産ウエイト,0037000,1ABB003700 伸銅製品
19.4,0100100,付加生産ウエイト,0038000,1ABB003800 アルミニウム板製品
18.9,0100100,付加生産ウエイト,0039000,1ABB003900 アルミニウム押出製品
4.3,0100100,付加生産ウエイト,0040000,1ABB004000 アルミニウムはく
4.8,0100100,付加生産ウエイト,0041000,1ABC004100 巻線
6,0100100,付加生産ウエイト,0042000,1ABC004200 機器用絶縁電線（輸送機器用を除く）
15.5,0100100,付加生産ウエイト,0043000,1ABC004300 輸送機器用絶縁電線
12.6,0100100,付加生産ウエイト,0044000,1ABC004400 電力用電線・ケーブル
11.7,0100100,付加生産ウエイト,0045000,1ABC004500 通信用ケーブル光ファイバ製品
6.1,0100100,付加生産ウエイト,0046000,1ABD004600 銅・銅合金鋳物
18.5,0100100,付加生産ウエイト,0047000,1ABD004700 アルミニウム鋳物
36.2,0100100,付加生産ウエイト,0048000,1ABD004800 アルミニウムダイカスト
30.6,0100100,付加生産ウエイト,0049000,1ACA004900 鉄骨
6.6,0100100,付加生産ウエイト,0050000,1ACA005000 軽量鉄骨
53,0100100,付加生産ウエイト,0051000,1ACA005100 橋りょう
25.5,0100100,付加生産ウエイト,0052000,1ACB005200 木造住宅用アルミニウムサッシ
24.4,0100100,付加生産ウエイト,0053000,1ACB005300 ビル用アルミニウムサッシ
9.4,0100100,付加生産ウエイト,0054000,1ACB005400 アルミニウムドア
20.9,0100100,付加生産ウエイト,0055000,1ACB005500 アルミニウムエクステリア
8.5,0100100,付加生産ウエイト,0056000,1ACB005600 スチール・ステンレスドア
7,0100100,付加生産ウエイト,0057000,1ACB005700 スチール・ステンレスシャッター
8.9,0100100,付加生産ウエイト,0058000,1ACC005800 ガスこんろ
5.7,0100100,付加生産ウエイト,0059000,1ACC005900 ガス湯沸器
8.6,0100100,付加生産ウエイト,0060000,1ACC006000 ガス温水給湯暖房機
23.7,0100100,付加生産ウエイト,0061000,1ACC006100 ガス風呂がま
4.2,0100100,付加生産ウエイト,0062000,1ACC006200 石油ストーブ
6.2,0100100,付加生産ウエイト,0063000,1ACC006300 石油温水給湯暖房機
12,0100100,付加生産ウエイト,0064000,1ACD006400 鋼索
4.5,0100100,付加生産ウエイト,0065000,1ACD006500 溶接金網
7.5,0100100,付加生産ウエイト,0066000,1ACD006600 電気溶接棒
7.3,0100100,付加生産ウエイト,0067000,1ACD006700 ドラム缶
4.1,0100100,付加生産ウエイト,0068000,1ACD006800 １８リットル缶
17.9,0100100,付加生産ウエイト,0069000,1ACD006900 食缶
2.5,0100100,付加生産ウエイト,0070000,1ACD007000 一般缶
5.8,0100100,付加生産ウエイト,0071000,1ACD007100 架線金物
12.2,0100100,付加生産ウエイト,0072000,1ACD007200 線ばね
14.9,0100100,付加生産ウエイト,0073000,1ACD007300 うす板ばね
15.4,0100100,付加生産ウエイト,0074000,1ACD007400 超硬チップ
14.9,0100100,付加生産ウエイト,0075000,1ACD007500 鋼管製管継手
5.2,0100100,付加生産ウエイト,0076000,1ACD007600 作業工具
17.8,0100100,付加生産ウエイト,0077000,1ACD007700 粉末や金製機械材料
4.7,0100100,付加生産ウエイト,0078000,1ACD007800 産業用アルミニウム製品
28.2,0100100,付加生産ウエイト,0079000,1ACD007900 飲料用アルミニウム缶
36.4,0100100,付加生産ウエイト,0080000,1ADAA08000 はん用内燃機関
20.6,0100100,付加生産ウエイト,0081000,1ADAA08100 水管ボイラ
3.6,0100100,付加生産ウエイト,0082000,1ADAA08200 ボイラ部品
23.9,0100100,付加生産ウエイト,0083000,1ADAA08300 一般用蒸気タービン
13,0100100,付加生産ウエイト,0084000,1ADAA08400 蒸気タービン部品
35.7,0100100,付加生産ウエイト,0085000,1ADAB08600 ポンプ
16,0100100,付加生産ウエイト,0086000,1ADAB08700 圧縮機
8.4,0100100,付加生産ウエイト,0087000,1ADAB08800 送風機
8.6,0100100,付加生産ウエイト,0088000,1ADAB08900 油圧ポンプ
7.2,0100100,付加生産ウエイト,0089000,1ADAB09000 油圧モータ
8.5,0100100,付加生産ウエイト,0090000,1ADAB09100 油圧シリンダ
8,0100100,付加生産ウエイト,0091000,1ADAB09200 油圧バルブ
9,0100100,付加生産ウエイト,0092000,1ADAB09300 空気圧シリンダ
11.8,0100100,付加生産ウエイト,0093000,1ADAB09400 空気圧バルブ
