value,cat01,cat01_label,area,area_label,time,time_label
8064,10100,販売額（１０億円）,00042,北海道,28000000,2016年
8047,10100,販売額（１０億円）,00042,北海道,29000000,2017年
7735,10100,販売額（１０億円）,00042,北海道,30000000,2018年
8052,10100,販売額（１０億円）,00042,北海道,28010000,2016年度
7913,10100,販売額（１０億円）,00042,北海道,29010000,2017年度
1868,10100,販売額（１０億円）,00042,北海道,30000103,2018年 1 ～ 3 月
1882,10100,販売額（１０億円）,00042,北海道,30000406,2018年 4 ～ 6 月
1909,10100,販売額（１０億円）,00042,北海道,30000709,2018年 7 ～ 9 月
2077,10100,販売額（１０億円）,00042,北海道,30001012,2018年10～12月
618,10100,販売額（１０億円）,00042,北海道,30000101,2018年1月
579,10100,販売額（１０億円）,00042,北海道,30000202,2018年2月
671,10100,販売額（１０億円）,00042,北海道,30000303,2018年3月
640,10100,販売額（１０億円）,00042,北海道,30000404,2018年4月
620,10100,販売額（１０億円）,00042,北海道,30000505,2018年5月
622,10100,販売額（１０億円）,00042,北海道,30000606,2018年6月
647,10100,販売額（１０億円）,00042,北海道,30000707,2018年7月
653,10100,販売額（１０億円）,00042,北海道,30000808,2018年8月
609,10100,販売額（１０億円）,00042,北海道,30000909,2018年9月
648,10100,販売額（１０億円）,00042,北海道,30001010,2018年10月
658,10100,販売額（１０億円）,00042,北海道,30001111,2018年11月
770,10100,販売額（１０億円）,00042,北海道,30001212,2018年12月
6774,10100,販売額（１０億円）,00043,東北,28000000,2016年
6791,10100,販売額（１０億円）,00043,東北,29000000,2017年
7054,10100,販売額（１０億円）,00043,東北,30000000,2018年
6796,10100,販売額（１０億円）,00043,東北,28010000,2016年度
6784,10100,販売額（１０億円）,00043,東北,29010000,2017年度
1703,10100,販売額（１０億円）,00043,東北,30000103,2018年 1 ～ 3 月
1729,10100,販売額（１０億円）,00043,東北,30000406,2018年 4 ～ 6 月
1779,10100,販売額（１０億円）,00043,東北,30000709,2018年 7 ～ 9 月
1842,10100,販売額（１０億円）,00043,東北,30001012,2018年10～12月
559,10100,販売額（１０億円）,00043,東北,30000101,2018年1月
513,10100,販売額（１０億円）,00043,東北,30000202,2018年2月
631,10100,販売額（１０億円）,00043,東北,30000303,2018年3月
585,10100,販売額（１０億円）,00043,東北,30000404,2018年4月
575,10100,販売額（１０億円）,00043,東北,30000505,2018年5月
570,10100,販売額（１０億円）,00043,東北,30000606,2018年6月
606,10100,販売額（１０億円）,00043,東北,30000707,2018年7月
599,10100,販売額（１０億円）,00043,東北,30000808,2018年8月
575,10100,販売額（１０億円）,00043,東北,30000909,2018年9月
584,10100,販売額（１０億円）,00043,東北,30001010,2018年10月
587,10100,販売額（１０億円）,00043,東北,30001111,2018年11月
671,10100,販売額（１０億円）,00043,東北,30001212,2018年12月
55455,10100,販売額（１０億円）,00044,関東,28000000,2016年
55562,10100,販売額（１０億円）,00044,関東,29000000,2017年
57787,10100,販売額（１０億円）,00044,関東,30000000,2018年
55146,10100,販売額（１０億円）,00044,関東,28010000,2016年度
56073,10100,販売額（１０億円）,00044,関東,29010000,2017年度
14027,10100,販売額（１０億円）,00044,関東,30000103,2018年 1 ～ 3 月
14201,10100,販売額（１０億円）,00044,関東,30000406,2018年 4 ～ 6 月
14254,10100,販売額（１０億円）,00044,関東,30000709,2018年 7 ～ 9 月
15306,10100,販売額（１０億円）,00044,関東,30001012,2018年10～12月
4673,10100,販売額（１０億円）,00044,関東,30000101,2018年1月
4315,10100,販売額（１０億円）,00044,関東,30000202,2018年2月
5038,10100,販売額（１０億円）,00044,関東,30000303,2018年3月
4760,10100,販売額（１０億円）,00044,関東,30000404,2018年4月
4728,10100,販売額（１０億円）,00044,関東,30000505,2018年5月
4713,10100,販売額（１０億円）,00044,関東,30000606,2018年6月
4986,10100,販売額（１０億円）,00044,関東,30000707,2018年7月
4619,10100,販売額（１０億円）,00044,関東,30000808,2018年8月
4649,10100,販売額（１０億円）,00044,関東,30000909,2018年9月
4816,10100,販売額（１０億円）,00044,関東,30001010,2018年10月
4857,10100,販売額（１０億円）,00044,関東,30001111,2018年11月
5633,10100,販売額（１０億円）,00044,関東,30001212,2018年12月
15101,10100,販売額（１０億円）,00058,中部,28000000,2016年
15702,10100,販売額（１０億円）,00058,中部,29000000,2017年
15611,10100,販売額（１０億円）,00058,中部,30000000,2018年
15330,10100,販売額（１０億円）,00058,中部,28010000,2016年度
15668,10100,販売額（１０億円）,00058,中部,29010000,2017年度
3891,10100,販売額（１０億円）,00058,中部,30000103,2018年 1 ～ 3 月
3824,10100,販売額（１０億円）,00058,中部,30000406,2018年 4 ～ 6 月
3853,10100,販売額（１０億円）,00058,中部,30000709,2018年 7 ～ 9 月
4043,10100,販売額（１０億円）,00058,中部,30001012,2018年10～12月
1313,10100,販売額（１０億円）,00058,中部,30000101,2018年1月
1230,10100,販売額（１０億円）,00058,中部,30000202,2018年2月
1348,10100,販売額（１０億円）,00058,中部,30000303,2018年3月
1278,10100,販売額（１０億円）,00058,中部,30000404,2018年4月
1278,10100,販売額（１０億円）,00058,中部,30000505,2018年5月
1269,10100,販売額（１０億円）,00058,中部,30000606,2018年6月
1323,10100,販売額（１０億円）,00058,中部,30000707,2018年7月
1281,10100,販売額（１０億円）,00058,中部,30000808,2018年8月
1249,10100,販売額（１０億円）,00058,中部,30000909,2018年9月
1263,10100,販売額（１０億円）,00058,中部,30001010,2018年10月
1280,10100,販売額（１０億円）,00058,中部,30001111,2018年11月
1499,10100,販売額（１０億円）,00058,中部,30001212,2018年12月
24976,10100,販売額（１０億円）,00051,近畿,28000000,2016年
25551,10100,販売額（１０億円）,00051,近畿,29000000,2017年
25822,10100,販売額（１０億円）,00051,近畿,30000000,2018年
24930,10100,販売額（１０億円）,00051,近畿,28010000,2016年度
25710,10100,販売額（１０億円）,00051,近畿,29010000,2017年度
6347,10100,販売額（１０億円）,00051,近畿,30000103,2018年 1 ～ 3 月
6347,10100,販売額（１０億円）,00051,近畿,30000406,2018年 4 ～ 6 月
6279,10100,販売額（１０億円）,00051,近畿,30000709,2018年 7 ～ 9 月
