value,cat01,cat01_label,cat02,cat02_label,time,time_label,unit
686173,00100,発生件数_調査年,00100,出生,2024000000,2024年,件
727288,00100,発生件数_調査年,00100,出生,2023000000,2023年,件
770759,00100,発生件数_調査年,00100,出生,2022000000,2022年,件
811622,00100,発生件数_調査年,00100,出生,2021000000,2021年,件
840835,00100,発生件数_調査年,00100,出生,2020000000,2020年,件
865239,00100,発生件数_調査年,00100,出生,2019000000,2019年,件
918400,00100,発生件数_調査年,00100,出生,2018000000,2018年,件
946146,00100,発生件数_調査年,00100,出生,2017000000,2017年,件
977242,00100,発生件数_調査年,00100,出生,2016000000,2016年,件
1005721,00100,発生件数_調査年,00100,出生,2015000000,2015年,件
351451,00100,発生件数_調査年,00110,出生_男,2024000000,2024年,件
372603,00100,発生件数_調査年,00110,出生_男,2023000000,2023年,件
395257,00100,発生件数_調査年,00110,出生_男,2022000000,2022年,件
415903,00100,発生件数_調査年,00110,出生_男,2021000000,2021年,件
430713,00100,発生件数_調査年,00110,出生_男,2020000000,2020年,件
443430,00100,発生件数_調査年,00110,出生_男,2019000000,2019年,件
470851,00100,発生件数_調査年,00110,出生_男,2018000000,2018年,件
484478,00100,発生件数_調査年,00110,出生_男,2017000000,2017年,件
502012,00100,発生件数_調査年,00110,出生_男,2016000000,2016年,件
515468,00100,発生件数_調査年,00110,出生_男,2015000000,2015年,件
334722,00100,発生件数_調査年,00120,出生_女,2024000000,2024年,件
354685,00100,発生件数_調査年,00120,出生_女,2023000000,2023年,件
375502,00100,発生件数_調査年,00120,出生_女,2022000000,2022年,件
395719,00100,発生件数_調査年,00120,出生_女,2021000000,2021年,件
410122,00100,発生件数_調査年,00120,出生_女,2020000000,2020年,件
421809,00100,発生件数_調査年,00120,出生_女,2019000000,2019年,件
447549,00100,発生件数_調査年,00120,出生_女,2018000000,2018年,件
461668,00100,発生件数_調査年,00120,出生_女,2017000000,2017年,件
475230,00100,発生件数_調査年,00120,出生_女,2016000000,2016年,件
490253,00100,発生件数_調査年,00120,出生_女,2015000000,2015年,件
1605378,00100,発生件数_調査年,00130,死亡,2024000000,2024年,件
1576016,00100,発生件数_調査年,00130,死亡,2023000000,2023年,件
1569050,00100,発生件数_調査年,00130,死亡,2022000000,2022年,件
1439856,00100,発生件数_調査年,00130,死亡,2021000000,2021年,件
1372755,00100,発生件数_調査年,00130,死亡,2020000000,2020年,件
1381093,00100,発生件数_調査年,00130,死亡,2019000000,2019年,件
1362470,00100,発生件数_調査年,00130,死亡,2018000000,2018年,件
1340567,00100,発生件数_調査年,00130,死亡,2017000000,2017年,件
1308158,00100,発生件数_調査年,00130,死亡,2016000000,2016年,件
1290510,00100,発生件数_調査年,00130,死亡,2015000000,2015年,件
819709,00100,発生件数_調査年,00140,死亡_男,2024000000,2024年,件
802536,00100,発生件数_調査年,00140,死亡_男,2023000000,2023年,件
799420,00100,発生件数_調査年,00140,死亡_男,2022000000,2022年,件
738141,00100,発生件数_調査年,00140,死亡_男,2021000000,2021年,件
706834,00100,発生件数_調査年,00140,死亡_男,2020000000,2020年,件
707421,00100,発生件数_調査年,00140,死亡_男,2019000000,2019年,件
699138,00100,発生件数_調査年,00140,死亡_男,2018000000,2018年,件
690770,00100,発生件数_調査年,00140,死亡_男,2017000000,2017年,件
674946,00100,発生件数_調査年,00140,死亡_男,2016000000,2016年,件
666728,00100,発生件数_調査年,00140,死亡_男,2015000000,2015年,件
785669,00100,発生件数_調査年,00150,死亡_女,2024000000,2024年,件
773480,00100,発生件数_調査年,00150,死亡_女,2023000000,2023年,件
769630,00100,発生件数_調査年,00150,死亡_女,2022000000,2022年,件
701715,00100,発生件数_調査年,00150,死亡_女,2021000000,2021年,件
665921,00100,発生件数_調査年,00150,死亡_女,2020000000,2020年,件
673672,00100,発生件数_調査年,00150,死亡_女,2019000000,2019年,件
663332,00100,発生件数_調査年,00150,死亡_女,2018000000,2018年,件
649797,00100,発生件数_調査年,00150,死亡_女,2017000000,2017年,件
633212,00100,発生件数_調査年,00150,死亡_女,2016000000,2016年,件
623782,00100,発生件数_調査年,00150,死亡_女,2015000000,2015年,件
1266,00100,発生件数_調査年,00160,乳児死亡数,2024000000,2024年,件
1326,00100,発生件数_調査年,00160,乳児死亡数,2023000000,2023年,件
1356,00100,発生件数_調査年,00160,乳児死亡数,2022000000,2022年,件
1399,00100,発生件数_調査年,00160,乳児死亡数,2021000000,2021年,件
1512,00100,発生件数_調査年,00160,乳児死亡数,2020000000,2020年,件
1654,00100,発生件数_調査年,00160,乳児死亡数,2019000000,2019年,件
1748,00100,発生件数_調査年,00160,乳児死亡数,2018000000,2018年,件
1762,00100,発生件数_調査年,00160,乳児死亡数,2017000000,2017年,件
1929,00100,発生件数_調査年,00160,乳児死亡数,2016000000,2016年,件
1916,00100,発生件数_調査年,00160,乳児死亡数,2015000000,2015年,件
637,00100,発生件数_調査年,00170,新生児死亡数,2024000000,2024年,件
600,00100,発生件数_調査年,00170,新生児死亡数,2023000000,2023年,件
609,00100,発生件数_調査年,00170,新生児死亡数,2022000000,2022年,件
658,00100,発生件数_調査年,00170,新生児死亡数,2021000000,2021年,件
704,00100,発生件数_調査年,00170,新生児死亡数,2020000000,2020年,件
755,00100,発生件数_調査年,00170,新生児死亡数,2019000000,2019年,件
801,00100,発生件数_調査年,00170,新生児死亡数,2018000000,2018年,件
833,00100,発生件数_調査年,00170,新生児死亡数,2017000000,2017年,件
875,00100,発生件数_調査年,00170,新生児死亡数,2016000000,2016年,件
902,00100,発生件数_調査年,00170,新生児死亡数,2015000000,2015年,件
-919205,00100,発生件数_調査年,00180,自然増減数,2024000000,2024年,件
-848728,00100,発生件数_調査年,00180,自然増減数,2023000000,2023年,件
-798291,00100,発生件数_調査年,00180,自然増減数,2022000000,2022年,件
-628234,00100,発生件数_調査年,00180,自然増減数,2021000000,2021年,件
-531920,00100,発生件数_調査年,00180,自然増減数,2020000000,2020年,件
-515854,00100,発生件数_調査年,00180,自然増減数,2019000000,2019年,件
-444070,00100,発生件数_調査年,00180,自然増減数,2018000000,2018年,件
-394421,00100,発生件数_調査年,00180,自然増減数,2017000000,2017年,件
-330916,00100,発生件数_調査年,00180,自然増減数,2016000000,2016年,件
-284789,00100,発生件数_調査年,00180,自然増減数,2015000000,2015年,件
15323,00100,発生件数_調査年,00190,死産,2024000000,2024年,件
15534,00100,発生件数_調査年,00190,死産,2023000000,2023年,件
15179,00100,発生件数_調査年,00190,死産,2022000000,2022年,件
16277,00100,発生件数_調査年,00190,死産,2021000000,2021年,件
17278,00100,発生件数_調査年,00190,死産,2020000000,2020年,件
19454,00100,発生件数_調査年,00190,死産,2019000000,2019年,件
19614,00100,発生件数_調査年,00190,死産,2018000000,2018年,件
20364,00100,発生件数_調査年,00190,死産,2017000000,2017年,件
20941,00100,発生件数_調査年,00190,死産,2016000000,2016年,件
22621,00100,発生件数_調査年,00190,死産,2015000000,2015年,件
6849,00100,発生件数_調査年,00200,自然死産,2024000000,2024年,件
7152,00100,発生件数_調査年,00200,自然死産,2023000000,2023年,件
7391,00100,発生件数_調査年,00200,自然死産,2022000000,2022年,件
8082,00100,発生件数_調査年,00200,自然死産,2021000000,2021年,件
8188,00100,発生件数_調査年,00200,自然死産,2020000000,2020年,件
8997,00100,発生件数_調査年,00200,自然死産,2019000000,2019年,件
9252,00100,発生件数_調査年,00200,自然死産,2018000000,2018年,件
9740,00100,発生件数_調査年,00200,自然死産,2017000000,2017年,件
10070,00100,発生件数_調査年,00200,自然死産,2016000000,2016年,件
10864,00100,発生件数_調査年,00200,自然死産,2015000000,2015年,件
8474,00100,発生件数_調査年,00210,人工死産,2024000000,2024年,件
8382,00100,発生件数_調査年,00210,人工死産,2023000000,2023年,件
7788,00100,発生件数_調査年,00210,人工死産,2022000000,2022年,件
8195,00100,発生件数_調査年,00210,人工死産,2021000000,2021年,件
9090,00100,発生件数_調査年,00210,人工死産,2020000000,2020年,件
10457,00100,発生件数_調査年,00210,人工死産,2019000000,2019年,件
10362,00100,発生件数_調査年,00210,人工死産,2018000000,2018年,件
10624,00100,発生件数_調査年,00210,人工死産,2017000000,2017年,件
10871,00100,発生件数_調査年,00210,人工死産,2016000000,2016年,件
11757,00100,発生件数_調査年,00210,人工死産,2015000000,2015年,件
2285,00100,発生件数_調査年,00220,周産期死亡数,2024000000,2024年,件
2404,00100,発生件数_調査年,00220,周産期死亡数,2023000000,2023年,件
2527,00100,発生件数_調査年,00220,周産期死亡数,2022000000,2022年,件
2741,00100,発生件数_調査年,00220,周産期死亡数,2021000000,2021年,件
2664,00100,発生件数_調査年,00220,周産期死亡数,2020000000,2020年,件
2955,00100,発生件数_調査年,00220,周産期死亡数,2019000000,2019年,件
2999,00100,発生件数_調査年,00220,周産期死亡数,2018000000,2018年,件
3309,00100,発生件数_調査年,00220,周産期死亡数,2017000000,2017年,件
3518,00100,発生件数_調査年,00220,周産期死亡数,2016000000,2016年,件
3729,00100,発生件数_調査年,00220,周産期死亡数,2015000000,2015年,件
1800,00100,発生件数_調査年,00230,満22週以後の死産数,2024000000,2024年,件
1943,00100,発生件数_調査年,00230,満22週以後の死産数,2023000000,2023年,件
2061,00100,発生件数_調査年,00230,満22週以後の死産数,2022000000,2022年,件
2235,00100,発生件数_調査年,00230,満22週以後の死産数,2021000000,2021年,件
2112,00100,発生件数_調査年,00230,満22週以後の死産数,2020000000,2020年,件
2377,00100,発生件数_調査年,00230,満22週以後の死産数,2019000000,2019年,件
2385,00100,発生件数_調査年,00230,満22週以後の死産数,2018000000,2018年,件
2683,00100,発生件数_調査年,00230,満22週以後の死産数,2017000000,2017年,件
2841,00100,発生件数_調査年,00230,満22週以後の死産数,2016000000,2016年,件
3064,00100,発生件数_調査年,00230,満22週以後の死産数,2015000000,2015年,件
485,00100,発生件数_調査年,00240,早期新生児死亡,2024000000,2024年,件
461,00100,発生件数_調査年,00240,早期新生児死亡,2023000000,2023年,件
466,00100,発生件数_調査年,00240,早期新生児死亡,2022000000,2022年,件
506,00100,発生件数_調査年,00240,早期新生児死亡,2021000000,2021年,件
552,00100,発生件数_調査年,00240,早期新生児死亡,2020000000,2020年,件
578,00100,発生件数_調査年,00240,早期新生児死亡,2019000000,2019年,件
614,00100,発生件数_調査年,00240,早期新生児死亡,2018000000,2018年,件
626,00100,発生件数_調査年,00240,早期新生児死亡,2017000000,2017年,件
677,00100,発生件数_調査年,00240,早期新生児死亡,2016000000,2016年,件
665,00100,発生件数_調査年,00240,早期新生児死亡,2015000000,2015年,件
485092,00100,発生件数_調査年,00250,婚姻,2024000000,2024年,件
474741,00100,発生件数_調査年,00250,婚姻,2023000000,2023年,件
504930,00100,発生件数_調査年,00250,婚姻,2022000000,2022年,件
501138,00100,発生件数_調査年,00250,婚姻,2021000000,2021年,件
525507,00100,発生件数_調査年,00250,婚姻,2020000000,2020年,件
599007,00100,発生件数_調査年,00250,婚姻,2019000000,2019年,件
586481,00100,発生件数_調査年,00250,婚姻,2018000000,2018年,件
606952,00100,発生件数_調査年,00250,婚姻,2017000000,2017年,件
620707,00100,発生件数_調査年,00250,婚姻,2016000000,2016年,件
635225,00100,発生件数_調査年,00250,婚姻,2015000000,2015年,件
185904,00100,発生件数_調査年,00260,離婚,2024000000,2024年,件
183814,00100,発生件数_調査年,00260,離婚,2023000000,2023年,件
179099,00100,発生件数_調査年,00260,離婚,2022000000,2022年,件
184384,00100,発生件数_調査年,00260,離婚,2021000000,2021年,件
193253,00100,発生件数_調査年,00260,離婚,2020000000,2020年,件
208496,00100,発生件数_調査年,00260,離婚,2019000000,2019年,件
208333,00100,発生件数_調査年,00260,離婚,2018000000,2018年,件
212296,00100,発生件数_調査年,00260,離婚,2017000000,2017年,件
216856,00100,発生件数_調査年,00260,離婚,2016000000,2016年,件
226238,00100,発生件数_調査年,00260,離婚,2015000000,2015年,件
727288,00110,発生件数_調査年前年,00100,出生,2024000000,2024年,件
770759,00110,発生件数_調査年前年,00100,出生,2023000000,2023年,件
811622,00110,発生件数_調査年前年,00100,出生,2022000000,2022年,件
840835,00110,発生件数_調査年前年,00100,出生,2021000000,2021年,件
865239,00110,発生件数_調査年前年,00100,出生,2020000000,2020年,件
918400,00110,発生件数_調査年前年,00100,出生,2019000000,2019年,件
946146,00110,発生件数_調査年前年,00100,出生,2018000000,2018年,件
977242,00110,発生件数_調査年前年,00100,出生,2017000000,2017年,件
1005721,00110,発生件数_調査年前年,00100,出生,2016000000,2016年,件
1003609,00110,発生件数_調査年前年,00100,出生,2015000000,2015年,件
372603,00110,発生件数_調査年前年,00110,出生_男,2024000000,2024年,件
395257,00110,発生件数_調査年前年,00110,出生_男,2023000000,2023年,件
415903,00110,発生件数_調査年前年,00110,出生_男,2022000000,2022年,件
