value,cat01,cat01_label,area,area_label,time,time_label,unit
686173,100,出生数,00000,全国,2024000000,2024年,人
727288,100,出生数,00000,全国,2023000000,2023年,人
770759,100,出生数,00000,全国,2022000000,2022年,人
811622,100,出生数,00000,全国,2021000000,2021年,人
840835,100,出生数,00000,全国,2020000000,2020年,人
865239,100,出生数,00000,全国,2019000000,2019年,人
918400,100,出生数,00000,全国,2018000000,2018年,人
946146,100,出生数,00000,全国,2017000000,2017年,人
977242,100,出生数,00000,全国,2016000000,2016年,人
1005721,100,出生数,00000,全国,2015000000,2015年,人
1123610,100,出生数,00000,全国,2003000000,2003年,人
1153855,100,出生数,00000,全国,2002000000,2002年,人
1170662,100,出生数,00000,全国,2001000000,2001年,人
1190547,100,出生数,00000,全国,2000000000,2000年,人
1177669,100,出生数,00000,全国,1999000000,1999年,人
1203147,100,出生数,00000,全国,1998000000,1998年,人
1191665,100,出生数,00000,全国,1997000000,1997年,人
1206555,100,出生数,00000,全国,1996000000,1996年,人
1187064,100,出生数,00000,全国,1995000000,1995年,人
22658,100,出生数,01000,北海道,2024000000,2024年,人
24430,100,出生数,01000,北海道,2023000000,2023年,人
26407,100,出生数,01000,北海道,2022000000,2022年,人
28762,100,出生数,01000,北海道,2021000000,2021年,人
29523,100,出生数,01000,北海道,2020000000,2020年,人
31020,100,出生数,01000,北海道,2019000000,2019年,人
32642,100,出生数,01000,北海道,2018000000,2018年,人
34058,100,出生数,01000,北海道,2017000000,2017年,人
35129,100,出生数,01000,北海道,2016000000,2016年,人
36696,100,出生数,01000,北海道,2015000000,2015年,人
44939,100,出生数,01000,北海道,2003000000,2003年,人
46101,100,出生数,01000,北海道,2002000000,2002年,人
46236,100,出生数,01000,北海道,2001000000,2001年,人
46780,100,出生数,01000,北海道,2000000000,2000年,人
46680,100,出生数,01000,北海道,1999000000,1999年,人
49065,100,出生数,01000,北海道,1998000000,1998年,人
48912,100,出生数,01000,北海道,1997000000,1997年,人
49784,100,出生数,01000,北海道,1996000000,1996年,人
49950,100,出生数,01000,北海道,1995000000,1995年,人
5099,100,出生数,02000,青森県,2024000000,2024年,人
5696,100,出生数,02000,青森県,2023000000,2023年,人
5985,100,出生数,02000,青森県,2022000000,2022年,人
6513,100,出生数,02000,青森県,2021000000,2021年,人
6837,100,出生数,02000,青森県,2020000000,2020年,人
7170,100,出生数,02000,青森県,2019000000,2019年,人
7803,100,出生数,02000,青森県,2018000000,2018年,人
8035,100,出生数,02000,青森県,2017000000,2017年,人
8626,100,出生数,02000,青森県,2016000000,2016年,人
8621,100,出生数,02000,青森県,2015000000,2015年,人
11723,100,出生数,02000,青森県,2003000000,2003年,人
12434,100,出生数,02000,青森県,2002000000,2002年,人
