value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
34470,06-2019,集計世帯数（概数）,00,総世帯,00,総数,00000,全国,2019000000,2019年
19220,06-2019,集計世帯数（概数）,01,世帯主が65歳未満,00,総数,00000,全国,2019000000,2019年
3500,06-2019,集計世帯数（概数）,011,単身世帯,00,総数,00000,全国,2019000000,2019年
370,06-2019,集計世帯数（概数）,012,大人１人と子供の世帯,00,総数,00000,全国,2019000000,2019年
7810,06-2019,集計世帯数（概数）,013,２人以上の大人のみの世帯,00,総数,00000,全国,2019000000,2019年
7540,06-2019,集計世帯数（概数）,014,大人２人以上と子供の世帯,00,総数,00000,全国,2019000000,2019年
15250,06-2019,集計世帯数（概数）,02,世帯主が65歳以上,00,総数,00000,全国,2019000000,2019年
3360,06-2019,集計世帯数（概数）,021,単身世帯,00,総数,00000,全国,2019000000,2019年
11890,06-2019,集計世帯数（概数）,022,２人以上の世帯,00,総数,00000,全国,2019000000,2019年
19970,06-2019,集計世帯数（概数）,R1,（再掲）世帯主が66歳未満,00,総数,00000,全国,2019000000,2019年
3630,06-2019,集計世帯数（概数）,R11,単身世帯,00,総数,00000,全国,2019000000,2019年
370,06-2019,集計世帯数（概数）,R12,大人１人と子供の世帯,00,総数,00000,全国,2019000000,2019年
8410,06-2019,集計世帯数（概数）,R13,２人以上の大人のみの世帯,00,総数,00000,全国,2019000000,2019年
7570,06-2019,集計世帯数（概数）,R14,大人２人以上と子供の世帯,00,総数,00000,全国,2019000000,2019年
14490,06-2019,集計世帯数（概数）,R2,（再掲）世帯主が66歳以上,00,総数,00000,全国,2019000000,2019年
3230,06-2019,集計世帯数（概数）,R21,単身世帯,00,総数,00000,全国,2019000000,2019年
11270,06-2019,集計世帯数（概数）,R22,２人以上の世帯,00,総数,00000,全国,2019000000,2019年
42594119,07-2019,世帯数分布,00,総世帯,00,総数,00000,全国,2019000000,2019年
26202542,07-2019,世帯数分布,01,世帯主が65歳未満,00,総数,00000,全国,2019000000,2019年
8958410,07-2019,世帯数分布,011,単身世帯,00,総数,00000,全国,2019000000,2019年
492594,07-2019,世帯数分布,012,大人１人と子供の世帯,00,総数,00000,全国,2019000000,2019年
8587449,07-2019,世帯数分布,013,２人以上の大人のみの世帯,00,総数,00000,全国,2019000000,2019年
8164089,07-2019,世帯数分布,014,大人２人以上と子供の世帯,00,総数,00000,全国,2019000000,2019年
16391576,07-2019,世帯数分布,02,世帯主が65歳以上,00,総数,00000,全国,2019000000,2019年
5606244,07-2019,世帯数分布,021,単身世帯,00,総数,00000,全国,2019000000,2019年
10785332,07-2019,世帯数分布,022,２人以上の世帯,00,総数,00000,全国,2019000000,2019年
26963464,07-2019,世帯数分布,R1,（再掲）世帯主が66歳未満,00,総数,00000,全国,2019000000,2019年
9164331,07-2019,世帯数分布,R11,単身世帯,00,総数,00000,全国,2019000000,2019年
492594,07-2019,世帯数分布,R12,大人１人と子供の世帯,00,総数,00000,全国,2019000000,2019年
9119848,07-2019,世帯数分布,R13,２人以上の大人のみの世帯,00,総数,00000,全国,2019000000,2019年
8186692,07-2019,世帯数分布,R14,大人２人以上と子供の世帯,00,総数,00000,全国,2019000000,2019年
15630654,07-2019,世帯数分布,R2,（再掲）世帯主が66歳以上,00,総数,00000,全国,2019000000,2019年
5400323,07-2019,世帯数分布,R21,単身世帯,00,総数,00000,全国,2019000000,2019年
10230331,07-2019,世帯数分布,R22,２人以上の世帯,00,総数,00000,全国,2019000000,2019年
98334365,27-2019,世帯人員数,00,総世帯,00,総数,00000,全国,2019000000,2019年
64893932,27-2019,世帯人員数,01,世帯主が65歳未満,00,総数,00000,全国,2019000000,2019年
8958410,27-2019,世帯人員数,011,単身世帯,00,総数,00000,全国,2019000000,2019年
1201400,27-2019,世帯人員数,012,大人１人と子供の世帯,00,総数,00000,全国,2019000000,2019年
22324496,27-2019,世帯人員数,013,２人以上の大人のみの世帯,00,総数,00000,全国,2019000000,2019年
32409626,27-2019,世帯人員数,014,大人２人以上と子供の世帯,00,総数,00000,全国,2019000000,2019年
33440433,27-2019,世帯人員数,02,世帯主が65歳以上,00,総数,00000,全国,2019000000,2019年
5606244,27-2019,世帯人員数,021,単身世帯,00,総数,00000,全国,2019000000,2019年
27834190,27-2019,世帯人員数,022,２人以上の世帯,00,総数,00000,全国,2019000000,2019年
66620714,27-2019,世帯人員数,R1,（再掲）世帯主が66歳未満,00,総数,00000,全国,2019000000,2019年
9164331,27-2019,世帯人員数,R11,単身世帯,00,総数,00000,全国,2019000000,2019年
1201400,27-2019,世帯人員数,R12,大人１人と子供の世帯,00,総数,00000,全国,2019000000,2019年
23739295,27-2019,世帯人員数,R13,２人以上の大人のみの世帯,00,総数,00000,全国,2019000000,2019年
32515688,27-2019,世帯人員数,R14,大人２人以上と子供の世帯,00,総数,00000,全国,2019000000,2019年
31713651,27-2019,世帯人員数,R2,（再掲）世帯主が66歳以上,00,総数,00000,全国,2019000000,2019年
5400323,27-2019,世帯人員数,R21,単身世帯,00,総数,00000,全国,2019000000,2019年
26313328,27-2019,世帯人員数,R22,２人以上の世帯,00,総数,00000,全国,2019000000,2019年
