value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label
0.278,25-2019,ジニ係数,00,等価可処分所得（ＯＥＣＤ新基準準拠）,00000,全国,2019000000,2019年
0.436,25-2019,ジニ係数,01,等価第一次所得（ＯＥＣＤ新基準準拠）,00000,全国,2019000000,2019年
0.427,25-2019,ジニ係数,02,等価市場所得（ＯＥＣＤ新基準準拠）,00000,全国,2019000000,2019年
0.302,25-2019,ジニ係数,03,等価粗所得（ＯＥＣＤ新基準準拠）,00000,全国,2019000000,2019年
0.672,25-2019,ジニ係数,10,等価純資産総額（等価純金融資産＋等価住宅・宅地）,00000,全国,2019000000,2019年
0.646,25-2019,ジニ係数,11,等価金融資産残高（貯蓄現在高）,00000,全国,2019000000,2019年
0.679,25-2019,ジニ係数,12,等価流動性金融資産残高,00000,全国,2019000000,2019年
0.798,25-2019,ジニ係数,13,等価金融負債残高,00000,全国,2019000000,2019年
0.656,25-2019,ジニ係数,14,等価住宅・宅地,00000,全国,2019000000,2019年
0.246,25-2019,ジニ係数,21,等価消費支出額（月額）,00000,全国,2019000000,2019年
0.150,25-2019,ジニ係数,22,等価消費支出額（年平均推定値）,00000,全国,2019000000,2019年
