value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
34470,06-2019,集計世帯数（概数）,0,平均,0,平均,00,総数,00000,全国,2019000000,2019年
6860,06-2019,集計世帯数（概数）,0,平均,1,１人,00,総数,00000,全国,2019000000,2019年
13080,06-2019,集計世帯数（概数）,0,平均,2,２人,00,総数,00000,全国,2019000000,2019年
6800,06-2019,集計世帯数（概数）,0,平均,3,３人,00,総数,00000,全国,2019000000,2019年
5340,06-2019,集計世帯数（概数）,0,平均,4,４人,00,総数,00000,全国,2019000000,2019年
1800,06-2019,集計世帯数（概数）,0,平均,5,５人,00,総数,00000,全国,2019000000,2019年
590,06-2019,集計世帯数（概数）,0,平均,6,６人以上,00,総数,00000,全国,2019000000,2019年
2380,06-2019,集計世帯数（概数）,0,平均,R,（再掲）５人以上,00,総数,00000,全国,2019000000,2019年
27720,06-2019,集計世帯数（概数）,1,男,0,平均,00,総数,00000,全国,2019000000,2019年
2680,06-2019,集計世帯数（概数）,1,男,1,１人,00,総数,00000,全国,2019000000,2019年
11440,06-2019,集計世帯数（概数）,1,男,2,２人,00,総数,00000,全国,2019000000,2019年
6210,06-2019,集計世帯数（概数）,1,男,3,３人,00,総数,00000,全国,2019000000,2019年
5100,06-2019,集計世帯数（概数）,1,男,4,４人,00,総数,00000,全国,2019000000,2019年
1730,06-2019,集計世帯数（概数）,1,男,5,５人,00,総数,00000,全国,2019000000,2019年
570,06-2019,集計世帯数（概数）,1,男,6,６人以上,00,総数,00000,全国,2019000000,2019年
2300,06-2019,集計世帯数（概数）,1,男,R,（再掲）５人以上,00,総数,00000,全国,2019000000,2019年
6740,06-2019,集計世帯数（概数）,2,女,0,平均,00,総数,00000,全国,2019000000,2019年
4190,06-2019,集計世帯数（概数）,2,女,1,１人,00,総数,00000,全国,2019000000,2019年
1640,06-2019,集計世帯数（概数）,2,女,2,２人,00,総数,00000,全国,2019000000,2019年
600,06-2019,集計世帯数（概数）,2,女,3,３人,00,総数,00000,全国,2019000000,2019年
240,06-2019,集計世帯数（概数）,2,女,4,４人,00,総数,00000,全国,2019000000,2019年
60,06-2019,集計世帯数（概数）,2,女,5,５人,00,総数,00000,全国,2019000000,2019年
20,06-2019,集計世帯数（概数）,2,女,6,６人以上,00,総数,00000,全国,2019000000,2019年
80,06-2019,集計世帯数（概数）,2,女,R,（再掲）５人以上,00,総数,00000,全国,2019000000,2019年
42594119,07-2019,世帯数分布,0,平均,0,平均,00,総数,00000,全国,2019000000,2019年
14564654,07-2019,世帯数分布,0,平均,1,１人,00,総数,00000,全国,2019000000,2019年
12305604,07-2019,世帯数分布,0,平均,2,２人,00,総数,00000,全国,2019000000,2019年
7452636,07-2019,世帯数分布,0,平均,3,３人,00,総数,00000,全国,2019000000,2019年
5550904,07-2019,世帯数分布,0,平均,4,４人,00,総数,00000,全国,2019000000,2019年
1999164,07-2019,世帯数分布,0,平均,5,５人,00,総数,00000,全国,2019000000,2019年
721157,07-2019,世帯数分布,0,平均,6,６人以上,00,総数,00000,全国,2019000000,2019年
2720321,07-2019,世帯数分布,0,平均,R,（再掲）５人以上,00,総数,00000,全国,2019000000,2019年
32466814,07-2019,世帯数分布,1,男,0,平均,00,総数,00000,全国,2019000000,2019年
7208920,07-2019,世帯数分布,1,男,1,１人,00,総数,00000,全国,2019000000,2019年
10593663,07-2019,世帯数分布,1,男,2,２人,00,総数,00000,全国,2019000000,2019年
6764884,07-2019,世帯数分布,1,男,3,３人,00,総数,00000,全国,2019000000,2019年
5293855,07-2019,世帯数分布,1,男,4,４人,00,総数,00000,全国,2019000000,2019年
1912346,07-2019,世帯数分布,1,男,5,５人,00,総数,00000,全国,2019000000,2019年
693146,07-2019,世帯数分布,1,男,6,６人以上,00,総数,00000,全国,2019000000,2019年
2605492,07-2019,世帯数分布,1,男,R,（再掲）５人以上,00,総数,00000,全国,2019000000,2019年
10127305,07-2019,世帯数分布,2,女,0,平均,00,総数,00000,全国,2019000000,2019年
7355733,07-2019,世帯数分布,2,女,1,１人,00,総数,00000,全国,2019000000,2019年
