value,tab,tab_label,cat01,cat01_label,cat03,cat03_label,area,area_label,time,time_label
96.4,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,1990000000,1990年
100.7,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,1991000000,1991年
102.7,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,1992000000,1992年
102.9,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,1993000000,1993年
104.5,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,1994000000,1994年
105.6,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,1995000000,1995年
106.8,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,1996000000,1996年
108.5,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,1997000000,1997年
107.0,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,1998000000,1998年
105.5,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,1999000000,1999年
105.6,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,2000000000,2000年
103.9,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,2001000000,2001年
100.9,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,2002000000,2002年
100.1,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,2003000000,2003年
99.4,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,2004000000,2004年
100.0,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,2005000000,2005年
100.2,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,2006000000,2006年
99.2,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,2007000000,2007年
98.9,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,2008000000,2008年
95.1,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,2009000000,2009年
95.7,3002,指数(平成17年平均＝100),TL,TL_調査産業計,T,5人以上,00000,全国,2010000000,2010年
19.2,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1970000000,1970年
22.0,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1971000000,1971年
25.6,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1972000000,1972年
31.0,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1973000000,1973年
39.5,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1974000000,1974年
45.3,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1975000000,1975年
51.0,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1976000000,1976年
55.3,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1977000000,1977年
58.9,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1978000000,1978年
62.3,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1979000000,1979年
66.3,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1980000000,1980年
69.9,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1981000000,1981年
72.7,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1982000000,1982年
74.7,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1983000000,1983年
77.5,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1984000000,1984年
79.6,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1985000000,1985年
81.7,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1986000000,1986年
83.3,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1987000000,1987年
86.2,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1988000000,1988年
89.9,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1989000000,1989年
94.1,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1990000000,1990年
97.3,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1991000000,1991年
99.1,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1992000000,1992年
99.7,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1993000000,1993年
101.4,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1994000000,1994年
103.3,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1995000000,1995年
104.9,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1996000000,1996年
107.0,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1997000000,1997年
105.6,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1998000000,1998年
104.1,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,1999000000,1999年
103.9,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,2000000000,2000年
102.9,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,2001000000,2001年
99.9,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,2002000000,2002年
99.8,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,2003000000,2003年
99.0,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,2004000000,2004年
100.0,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,2005000000,2005年
101.0,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,2006000000,2006年
100.1,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,2007000000,2007年
99.6,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,2008000000,2008年
94.8,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,2009000000,2009年
96.1,3002,指数(平成17年平均＝100),TL,TL_調査産業計,0,30人以上,00000,全国,2010000000,2010年
89.6,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,1990000000,1990年
94.8,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,1991000000,1991年
92.4,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,1992000000,1992年
95.1,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,1993000000,1993年
100.8,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,1994000000,1994年
99.1,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,1995000000,1995年
100.4,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,1996000000,1996年
100.9,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,1997000000,1997年
99.5,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,1998000000,1998年
101.4,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,1999000000,1999年
109.1,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,2000000000,2000年
109.8,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,2001000000,2001年
99.3,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,2002000000,2002年
95.4,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,2003000000,2003年
94.9,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,2004000000,2004年
100.0,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,2005000000,2005年
93.0,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,2006000000,2006年
89.4,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,2007000000,2007年
89.4,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,2008000000,2008年
91.0,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,2009000000,2009年
98.7,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,T,5人以上,00000,全国,2010000000,2010年
16.5,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1970000000,1970年
18.8,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1971000000,1971年
21.3,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1972000000,1972年
25.5,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1973000000,1973年
35.8,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1974000000,1974年
41.7,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1975000000,1975年
45.1,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1976000000,1976年
48.7,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1977000000,1977年
51.6,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1978000000,1978年
54.4,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1979000000,1979年
57.8,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1980000000,1980年
61.3,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1981000000,1981年
63.2,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1982000000,1982年
65.4,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1983000000,1983年
67.0,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1984000000,1984年
69.8,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1985000000,1985年
69.1,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1986000000,1986年
70.0,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1987000000,1987年
71.7,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1988000000,1988年
75.6,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1989000000,1989年
80.1,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1990000000,1990年
85.8,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1991000000,1991年
87.6,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1992000000,1992年
88.8,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1993000000,1993年
90.8,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1994000000,1994年
93.1,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1995000000,1995年
96.1,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1996000000,1996年
96.0,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1997000000,1997年
95.9,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1998000000,1998年
94.6,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,1999000000,1999年
96.4,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,2000000000,2000年
98.1,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,2001000000,2001年
91.8,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,2002000000,2002年
93.4,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,2003000000,2003年
96.8,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,2004000000,2004年
100.0,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,2005000000,2005年
102.2,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,2006000000,2006年
103.0,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,2007000000,2007年
103.7,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,2008000000,2008年
98.3,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,2009000000,2009年
101.9,3002,指数(平成17年平均＝100),C,C_鉱業，採石業，砂利採取業,0,30人以上,00000,全国,2010000000,2010年
95.8,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,1990000000,1990年
102.5,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,1991000000,1991年
105.0,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,1992000000,1992年
105.4,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,1993000000,1993年
107.9,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,1994000000,1994年
107.4,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,1995000000,1995年
109.1,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,1996000000,1996年
109.9,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,1997000000,1997年
106.5,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,1998000000,1998年
104.3,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,1999000000,1999年
104.8,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,2000000000,2000年
102.5,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,2001000000,2001年
99.5,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,2002000000,2002年
98.9,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,2003000000,2003年
100.2,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,2004000000,2004年
100.0,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,2005000000,2005年
100.2,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,2006000000,2006年
102.5,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,2007000000,2007年
104.7,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,2008000000,2008年
104.6,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,2009000000,2009年
104.0,3002,指数(平成17年平均＝100),D,D_建設業,T,5人以上,00000,全国,2010000000,2010年
16.5,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1970000000,1970年
19.0,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1971000000,1971年
21.8,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1972000000,1972年
25.8,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1973000000,1973年
32.4,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1974000000,1974年
37.6,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1975000000,1975年
42.6,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1976000000,1976年
46.0,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1977000000,1977年
49.9,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1978000000,1978年
53.8,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1979000000,1979年
57.8,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1980000000,1980年
62.0,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1981000000,1981年
64.1,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1982000000,1982年
66.0,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1983000000,1983年
68.8,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1984000000,1984年
71.2,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1985000000,1985年
74.3,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1986000000,1986年
76.3,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1987000000,1987年
80.2,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1988000000,1988年
85.4,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1989000000,1989年
91.5,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1990000000,1990年
97.5,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1991000000,1991年
100.0,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1992000000,1992年
102.7,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1993000000,1993年
104.1,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1994000000,1994年
105.4,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1995000000,1995年
106.6,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1996000000,1996年
108.2,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1997000000,1997年
105.7,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1998000000,1998年
103.3,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,1999000000,1999年
101.5,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,2000000000,2000年
99.9,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,2001000000,2001年
97.3,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,2002000000,2002年
96.9,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,2003000000,2003年
98.9,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,2004000000,2004年
100.0,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,2005000000,2005年
101.0,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,2006000000,2006年
104.3,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,2007000000,2007年
107.8,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,2008000000,2008年
107.5,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,2009000000,2009年
109.5,3002,指数(平成17年平均＝100),D,D_建設業,0,30人以上,00000,全国,2010000000,2010年
