value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
40206,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,00000,全国,2023100000,2023年度,戸・件
89,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,01000,北海道,2023100000,2023年度,戸・件
365,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,02000,青森県,2023100000,2023年度,戸・件
241,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,03000,岩手県,2023100000,2023年度,戸・件
863,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,04000,宮城県,2023100000,2023年度,戸・件
290,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,05000,秋田県,2023100000,2023年度,戸・件
399,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,06000,山形県,2023100000,2023年度,戸・件
538,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,07000,福島県,2023100000,2023年度,戸・件
1051,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,08000,茨城県,2023100000,2023年度,戸・件
689,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,09000,栃木県,2023100000,2023年度,戸・件
590,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,10000,群馬県,2023100000,2023年度,戸・件
3199,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,11000,埼玉県,2023100000,2023年度,戸・件
1621,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,12000,千葉県,2023100000,2023年度,戸・件
10179,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,13000,東京都,2023100000,2023年度,戸・件
5061,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,14000,神奈川県,2023100000,2023年度,戸・件
484,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,15000,新潟県,2023100000,2023年度,戸・件
78,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,16000,富山県,2023100000,2023年度,戸・件
